Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5DPASDOoVakOcD8EIhb46T,"High Right Now (feat. Wiz Khalifa) - Remix","High Right Now (feat. Wiz Khalifa) [Remix]","Tyla Yaweh,Wiz Khalifa",2020-01-31,175759,56,true,v828zh1enlyp9vzjlfaj5rzpm,2025-01-09T07:21:31Z,"melodic rap,rap","Epic/London Ent.",0.737,0.548,4,-7.003,0,0.0498,0.0127,0.00000976,0.176,0.156,160.058,4
spotify:track:0c7K73roy6RW4ebDkf4yGh,"VALENTINO","VALENTINO","24kGoldn",2019-01-25,179133,49,true,v828zh1enlyp9vzjlfaj5rzpm,2025-01-09T07:22:34Z,"","Records/Columbia",0.744,0.718,9,-4.853,0,0.181,0.197,0,0.134,0.549,151.098,4
spotify:track:0pYJaPb80f8Ye86b2qXurN,"Gordon R Freestyle","Gordon R Freestyle","Remble",2021-02-19,125200,42,true,v828zh1enlyp9vzjlfaj5rzpm,2025-01-09T07:31:27Z,"","Warner Records",0.729,0.54,1,-11.342,1,0.481,0.418,0,0.154,0.704,122.55,5
spotify:track:1iuljeYz6ZG3GTJOZZkoer,"RGF Island","Fetty Wap (Deluxe)","Fetty Wap",2015-09-25,173893,61,true,v828zh1enlyp9vzjlfaj5rzpm,2025-01-09T07:32:55Z,"","300 Entertainment/RGF Productions",0.746,0.764,0,-5.066,0,0.0423,0.00116,0.00000819,0.0867,0.518,137.98,4
spotify:track:1fewSx2d5KIZ04wsooEBOz,"Space Cadet (feat. Gunna)","NOT ALL HEROES WEAR CAPES (Deluxe)","Metro Boomin,Gunna",2018-11-06,203266,76,true,v828zh1enlyp9vzjlfaj5rzpm,2025-01-09T07:35:37Z,"melodic rap","Republic Records",0.901,0.464,5,-9.789,0,0.0645,0.368,0.0000182,0.238,0.638,109.004,4
spotify:track:56Sng0NtW0YYy4Edtpybm8,"Laneswitch","Laneswitch","Lil Tjay",2019-07-26,150000,32,true,v828zh1enlyp9vzjlfaj5rzpm,2025-01-09T07:37:28Z,"brooklyn drill,melodic rap","Columbia",0.736,0.708,11,-7.737,0,0.0898,0.154,0,0.219,0.273,127.996,4
spotify:track:3CDVMejYHnB1SkEEx0T1N4,"Many Men","SAVAGE MODE II","21 Savage,Metro Boomin",2020-10-02,201856,65,true,v828zh1enlyp9vzjlfaj5rzpm,2025-01-09T07:40:02Z,"","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",0.635,0.793,10,-4.333,0,0.0322,0.000647,0.747,0.113,0.281,77.594,4
spotify:track:4V9ynsDPwHtdItksqjuRu0,"Brand New Draco","SAVAGE MODE II","21 Savage,Metro Boomin",2020-10-02,202420,60,true,v828zh1enlyp9vzjlfaj5rzpm,2025-01-09T07:40:14Z,"","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",0.697,0.709,11,-6.642,0,0.298,0.041,0.000296,0.0886,0.439,155.023,4
spotify:track:1EJIcDYXwSqipW5dFe4uJz,"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","KHALED KHALED","DJ Khaled,Lil Baby,Lil Durk",2021-04-30,236524,73,true,v828zh1enlyp9vzjlfaj5rzpm,2025-01-09T07:42:22Z,"chicago drill,drill","Epic/We The Best",0.477,0.727,2,-4.053,1,0.286,0.000866,0,0.108,0.227,150.062,4
spotify:track:2BITQ360Knh6qNAOqR7Dyq,"Miss The Rage (feat. Playboi Carti)","Miss The Rage (feat. Playboi Carti)","Trippie Redd,Playboi Carti",2021-05-07,236883,3,true,v828zh1enlyp9vzjlfaj5rzpm,2025-01-09T07:43:19Z,"melodic rap,rage rap","1400 Entertainment / 10K Projects",0.584,0.859,8,-5.616,1,0.121,0.0144,0,0.847,0.369,77.005,4
