Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2DKadVIMJwOeTQuxihUrIG,"War","The Leek (Vol. 1)","Chief Keef",2015-06-16,198844,0,true,adlbid79oirgbi1v4qhjd80e8,2021-01-26T21:18:27Z,"chicago drill,drill","RBC Records",0.667,0.522,8,-3.518,1,0.0725,0.00403,0,0.392,0.0647,140.091,4
spotify:track:68MTDH8Kk4jBEV1ah0n89s,"EA (feat. 21 Savage)","SlimeBall 2","Young Nudy,21 Savage",2017-08-11,227175,71,true,adlbid79oirgbi1v4qhjd80e8,2019-10-20T03:37:34Z,"","Paradise East Records, LLC",0.451,0.876,10,-5.205,0,0.414,0.261,0,0.098,0.227,87.306,5
spotify:track:4kdKKsPHWsyNrvFsZrcg52,"Meet the Woo","Meet The Woo","Pop Smoke",2019-07-26,121080,55,true,adlbid79oirgbi1v4qhjd80e8,2020-11-07T06:02:52Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide/Republic Records",0.816,0.526,1,-8.241,1,0.29,0.022,0.0000705,0.0881,0.385,142.991,4
spotify:track:67K5Ki1bLemeOlN012sip8,"No Sense (feat. Key Glock)","Rich Slave","Young Dolph,Key Glock",2020-08-14,140466,63,true,adlbid79oirgbi1v4qhjd80e8,2021-11-18T03:52:31Z,"southern hip hop,trap","Paper Route EMPIRE",0.945,0.662,6,-6.581,1,0.24,0.0326,0.0000117,0.124,0.782,124.01,4
spotify:track:1WRzux3cJRM9xRNN99QKgR,"M.... She Wrote","#SantanaWorld (+)","Tay-K",2017-12-14,112000,66,true,adlbid79oirgbi1v4qhjd80e8,2021-02-27T18:19:42Z,"","88 Classic",0.777,0.707,9,-4.85,0,0.286,0.28,0,0.0749,0.614,159.662,4
spotify:track:4eYrjXGlDycrqg7a0Wgwed,"Crazy Story","Crazy Story","King Von",2018-12-06,146808,60,true,adlbid79oirgbi1v4qhjd80e8,2020-11-07T04:23:32Z,"chicago drill,drill","Forever and a Day, LLC / EMPIRE",0.832,0.501,11,-8.885,1,0.456,0.0114,0.0000102,0.0904,0.151,157.01,4
spotify:track:2hMBO5rFTshykDFQDcjDgY,"Hot Boy","Hot Boy","Lil Bam",2020-09-25,170000,0,true,adlbid79oirgbi1v4qhjd80e8,2020-10-31T20:48:49Z,"","MBK4L Records",0.852,0.429,9,-12.282,0,0.529,0.145,0,0.101,0.649,164.047,4
spotify:track:2bXzzN93VfUc36DbeWB312,"Get Paid","King of Memphis","Young Dolph",2016-02-19,181112,47,true,adlbid79oirgbi1v4qhjd80e8,2021-11-18T06:28:31Z,"southern hip hop,trap","Paper Route Empire",0.736,0.596,2,-4.878,1,0.134,0.0372,0,0.08,0.313,160.009,4
spotify:track:5tHEX0VGkwEOpDhVxIFlcc,"Dat Way","#SantanaWorld (+)","Tay-K",2017-12-14,131000,50,true,adlbid79oirgbi1v4qhjd80e8,2021-02-27T18:20:03Z,"","88 Classic",0.767,0.749,5,-8.097,0,0.309,0.0609,0.00000687,0.709,0.225,144.968,4
spotify:track:4B1HkmoPxGnIiovU1iy4IL,"We Getting Money","THE UNLUCCY LUCCY KID","Sheff G",2019-09-27,181508,58,true,adlbid79oirgbi1v4qhjd80e8,2020-11-07T05:32:51Z,"brooklyn drill,new york drill,drill","Winners Circle / EMPIRE",0.851,0.673,1,-5.405,1,0.257,0.0452,0,0.314,0.776,120.973,4
spotify:track:0deQjETvwRpIruf9SieDpQ,"Lil Stepper","Blowing Candles","PG RA",2019-08-12,195918,21,true,adlbid79oirgbi1v4qhjd80e8,2019-09-24T20:09:21Z,"","A1K & Spaceboy Productions LLC",0.869,0.356,10,-10.596,0,0.715,0.307,0,0.11,0.314,147.132,4
spotify:track:0UJ62ao2FxeDE4cLzpYdtw,"Cousins (feat. JusBlow600)","Cousins (feat. JusBlow600)","King Von,Jusblow600",2019-03-15,177449,57,true,adlbid79oirgbi1v4qhjd80e8,2020-11-07T04:36:08Z,"chicago drill,drill","Forever and a Day, LLC / EMPIRE",0.842,0.473,4,-8.645,0,0.45,0.00956,0.00000553,0.109,0.107,84.078,4
spotify:track:4gu6PMlTOxoTtv6mOKvkTY,"You 12","You 12","Cyraq",2020-03-31,65422,23,true,adlbid79oirgbi1v4qhjd80e8,2021-01-06T04:53:03Z,"chicago drill","Jay Rebel Music",0.844,0.668,11,-5.365,1,0.443,0.0291,0,0.223,0.517,140.076,4
