Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:119c93MHjrDLJTApCVGpvx,"C.R.E.A.M. (Cash Rules Everything Around Me)","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Wu-Tang Clan",1993-11-09,252026,73,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T19:58:56Z,"old school hip hop,east coast hip hop,hip hop,gangster rap,hardcore hip hop","RCA Records Label",0.512,0.514,11,-11.562,0,0.387,0.555,0.00958,0.126,0.565,181.033,4
spotify:track:63BokRfXSQhEU6Qi2dSJpZ,"Mind Playing Tricks on Me","We Can't Be Stopped","Geto Boys",1991-07-02,308733,41,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T20:02:00Z,"old school hip hop,southern hip hop,gangster rap,g-funk,hardcore hip hop,horrorcore","Rap-A-Lot Records",0.886,0.512,10,-11.825,0,0.237,0.207,0,0.0991,0.454,93.997,4
spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,"It Was A Good Day","The Predator","Ice Cube",1992-11-17,260000,79,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T20:05:42Z,"gangster rap,west coast hip hop,old school hip hop,g-funk","Priority Records",0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4
spotify:track:7nYvUtkQMx1v80S2FH2s9J,"Regulate","Regulate… G Funk Era","Warren G,Nate Dogg",1994-06-07,248866,74,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T20:07:25Z,"g-funk,west coast hip hop,old school hip hop,gangster rap","Island Records",0.849,0.521,11,-12.999,0,0.216,0.304,0.00000165,0.115,0.763,95.265,4
spotify:track:15HgR9Ht4obJOcMG4wregp,"Children's Story","The Great Adventures Of Slick Rick (Deluxe Edition)","Slick Rick",1988-11-01,242040,59,true,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T20:09:19Z,"old school hip hop,east coast hip hop","Def Jam Recordings",0.904,0.577,1,-7.293,1,0.132,0.126,0,0.115,0.7,102.693,4
spotify:track:2Mb3zpobD0CvJGWv6NpsPy,"They Reminisce Over You (T.R.O.Y.)","Mecca And The Soul Brother","Pete Rock & C.L. Smooth",1992-05-26,286693,59,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-03T14:58:54Z,"east coast hip hop,jazz rap,old school hip hop,boom bap","Rhino",0.761,0.683,2,-10.889,1,0.164,0.141,0,0.342,0.671,101.787,4
spotify:track:0PV1TFUMTBrDETzW6KQulB,"93 'Til Infinity","93 'til Infinity","Souls Of Mischief",1993-02-13,286440,70,false,v828zh1enlyp9vzjlfaj5rzpm,2023-06-01T17:50:13Z,"jazz rap,old school hip hop","Jive",0.59,0.672,1,-11.792,1,0.412,0.125,0.00000104,0.147,0.688,206.247,4
spotify:track:4dbZObCjUs95HtmEHfKbnU,"Feel Me Flow","Poverty's Paradise (25th Anniversary - Remastered)","Naughty By Nature",1995,212760,67,true,v828zh1enlyp9vzjlfaj5rzpm,2023-06-01T17:50:55Z,"old school hip hop,east coast hip hop","Tommy Boy Music, LLC",0.817,0.817,8,-4.911,0,0.135,0.098,0.00000161,0.0798,0.854,90.194,4
spotify:track:52IuMfbQa9aqRPz2oYPAI8,"Express Yourself","Straight Outta Compton","N.W.A.",1988-08-08,265101,60,true,v828zh1enlyp9vzjlfaj5rzpm,2023-06-01T17:52:31Z,"old school hip hop,gangster rap,west coast hip hop,hip hop,rap,g-funk","Priority Records",0.851,0.583,8,-11.022,0,0.286,0.0506,0,0.236,0.956,95.048,4
spotify:track:0JyfYLKuXRmPhMkIPVstu5,"I'm Not a Player","Capital Punishment","Big Pun",1998-04-28,221426,52,true,v828zh1enlyp9vzjlfaj5rzpm,2023-06-01T17:52:37Z,"east coast hip hop,old school hip hop,hardcore hip hop","LOUD Records",0.72,0.721,4,-4.428,0,0.242,0.0101,0.00107,0.4,0.561,94.747,4
spotify:track:5N5fp1lYSORdZbWanACki9,"Bonita Applebum","The Anthology","A Tribe Called Quest",1999-10-26,217240,53,false,v828zh1enlyp9vzjlfaj5rzpm,2023-06-01T18:11:58Z,"jazz rap,east coast hip hop,hip hop,old school hip hop","Jive",,,,,,,,,,,,
spotify:track:6glsMWIMIxQ4BedzLqGVi4,"So Fresh So Clean","Stankonia","Outkast",2000-10-31,240026,74,true,v828zh1enlyp9vzjlfaj5rzpm,2024-05-08T05:37:23Z,"southern hip hop,hip hop","Arista/LaFace Records",0.725,0.64,5,-7.905,0,0.332,0.0281,0,0.099,0.915,166.028,3
spotify:track:4JYUDRtPZuVNi7FAnbHyux,"Flava in Ya Ear Remix (feat. The Notorious B.I.G. LL Cool J Busta Rhymes Rampage)","Flava In Ya Ear Remix","Craig Mack,Busta Rhymes,LL COOL J,Rampage,The Notorious B.I.G.",1994,302013,56,true,v828zh1enlyp9vzjlfaj5rzpm,2024-07-08T16:04:20Z,"old school hip hop,east coast hip hop,gangster rap,hip hop","Rhino Atlantic",0.52,0.847,9,-5.3,1,0.427,0.272,0,0.325,0.799,177.371,4
