Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1PDP7mLiAMwhfmgIwzhOm2,"Yebba’s Heartbreak","Certified Lover Boy","Drake,Yebba",2021-09-03,133762,78,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-12T05:06:01Z,"rap","OVO",0.476,0.161,8,-11.665,0,0.0407,0.967,0.0381,0.109,0.0908,119.614,4
spotify:track:1uzVgNkXqQC7hsJhFZ749o,"Sonder Son (Interlude)","Sonder Son","Brent Faiyaz",2017-10-13,100303,61,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-12T05:06:49Z,"r&b","Lost Kids",0.461,0.303,2,-11.137,1,0.0543,0.746,0.00000898,0.223,0.099,152.862,4
spotify:track:2QdSb68BzZGMgCbsrFmSLc,"Higher","For Broken Ears","Tems",2020-09-25,196204,72,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-12T05:08:08Z,"afrobeats,afro r&b,alté,afrobeat","Leading Vibe Ltd",0.609,0.581,2,-10.854,1,0.277,0.509,0,0.283,0.528,102.964,3
spotify:track:3a3dQOO19moXPeTt2PomoT,"What You Heard","What You Heard","Sonder",2019-02-22,238242,77,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-12T05:11:55Z,"dark r&b,r&b","Sonder Global",0.429,0.371,2,-9.017,0,0.0327,0.546,0.00000571,0.104,0.135,137.134,4
spotify:track:3tkxfORwPo2zydAf25YFOc,"Care","Into","Sonder",2017-01-27,164488,71,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-12T05:13:00Z,"dark r&b,r&b","Sonder",0.36,0.182,10,-16.803,0,0.0388,0.889,0.00000753,0.117,0.098,126.721,3
spotify:track:0wlsgzAk1LaO8MMoXxpz7W,"Duvet - Acoustic","Twilight","bôa",2001-03-21,314320,62,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-15T04:33:17Z,"","Nettwerk Music Group",0.475,0.393,7,-8.563,1,0.0254,0.383,0.00000296,0.115,0.404,172.308,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,86,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-28T05:04:08Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:4qG7hWhljsqqENL5PaLA2z,"Let The Light In (feat. Father John Misty)","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey,Father John Misty",2023-03-24,278126,77,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-07T03:03:44Z,"","Polydor Records",0.335,0.44,9,-9.748,1,0.0275,0.385,0.00251,0.115,0.198,132.449,4
spotify:track:5WkCcSa78lM1Ym4LXzJUiN,"La La Lost You - Acoustic Version","NIKI Acoustic Sessions: Head In The Clouds II","NIKI,88rising",2019-08-11,208510,1,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-08T09:05:41Z,"","88rising Music/Warner Records",0.606,0.196,1,-11.652,1,0.0553,0.908,0,0.348,0.391,100.873,4
spotify:track:4y9c6t3AKZcTaBJP56u0ia,"I'd Do It All Again","The Sea","Corinne Bailey Rae",2010-01-01,187840,28,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T06:45:51Z,"","Virgin Records",0.403,0.267,9,-11.727,1,0.0316,0.807,0.00265,0.094,0.0817,131.792,4
spotify:track:3jym9PY3rlgdLi1cNxpSU3,"Chains","PINK PLANET","Pink Sweat$",2021-02-12,149077,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:02:35Z,"","Atlantic Records",0.644,0.35,2,-7.82,1,0.0308,0.815,0,0.266,0.311,91.981,4
spotify:track:1eii2RH5EQ1IrPB86SNfiG,"Hushabye Mountain","Hushabye Mountain","Stacey Kent",2011-05-30,157026,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:21:00Z,"french jazz,vocal jazz,jazz,bossa nova,smooth jazz","Candid Productions Ltd.",0.636,0.084,7,-17.864,0,0.038,0.982,0.0000488,0.123,0.163,103.327,3
spotify:track:73SyPIx501G3211y3oTYns,"Wake Up","I Can't Tell You How Much It Hurts","moow,Lotte Kestner",2017-01-27,82800,6,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:33:46Z,"lo-fi,lo-fi hip hop,lo-fi beats","VinDig",0.822,0.107,1,-13.824,1,0.0862,0.882,0.861,0.084,0.622,77.467,4
spotify:track:41zXlQxzTi6cGAjpOXyLYH,"idontwannabeyouanymore","dont smile at me","Billie Eilish",2017-12-22,203569,78,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:35:07Z,"","Darkroom",0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,3
spotify:track:7n8whMrRhLbxa0n2LXMX09,"The Winner Takes It All (Unplugged)","Unplugged","Natalie Madigan",2021-12-10,266181,25,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:35:24Z,"","Tone Tree Music / Natalie Madigan",0.364,0.205,7,-9.052,1,0.0359,0.922,0.00000486,0.134,0.24,76.888,3
spotify:track:30QD4VRP9yEneOh0eGTrtJ,"Solitude","Solitude","Billie Holiday",1956-01-01,207600,64,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:36:55Z,"jazz,vocal jazz,jazz blues,big band","Verve Reissues",0.461,0.15,8,-13.531,1,0.051,0.984,0.000902,0.105,0.188,97.902,3
spotify:track:2sV11xuq4U8KlGWKCtGNpx,"may you never forget me","flora maniia","Temachii",2023-04-21,215064,66,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-20T23:14:59Z,"","Temachii",0.603,0.153,11,-16.517,1,0.0325,0.844,0.875,0.104,0.167,115.363,3
