Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2jDtVZi6Js9McXD7qxBzNv,"New Age Chip Skylark","New Age Chip Skylark","Ski Mask The Slump God",2017-04-24,123559,31,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:40:31Z,"","Ski Mask The Slump God",0.754,0.672,1,-6.385,1,0.214,0.281,0,0.119,0.569,138.071,4
spotify:track:3eekarcy7kvN4yt5ZFzltW,"HIGHEST IN THE ROOM","HIGHEST IN THE ROOM","Travis Scott",2019-10-04,175720,83,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:42:08Z,"rap","Cactus Jack/Epic",0.598,0.427,7,-8.764,0,0.0317,0.0546,0.00000583,0.21,0.0605,76.469,4
spotify:track:2le1DeNWE6DXc81sH5uI4i,"Stevie","Stevie","Smokepurpp",2019-10-31,121906,0,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:42:15Z,"","Alamo Records/Interscope Records",0.84,0.583,10,-6.529,0,0.157,0.305,0,0.125,0.768,126.02,4
spotify:track:6xVhqLT40s5sVhepe9Mckc,"Weather the Storm (feat. Meek Mill & Lil Baby)","Father Of Asahd","DJ Khaled,Meek Mill,Lil Baby",2019-05-17,153337,43,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:42:37Z,"rap","Epic/We The Best",0.515,0.802,2,-2.655,0,0.283,0.18,0,0.241,0.279,76.069,4
spotify:track:2xLMifQCjDGFmkHkpNLD9h,"SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,82,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:43:59Z,"rap","Cactus Jack / Epic",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
spotify:track:4Z7XtjSL1fyFnd6bTYhEIQ,"Go Krazy Go Stupid Freestyle","Go Krazy Go Stupid Freestyle","Lil Yachty",2019-06-28,95306,56,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:44:16Z,"","Quality Control Music/Motown Records",0.968,0.658,10,-5.127,0,0.224,0.173,0,0.0864,0.784,126.974,4
spotify:track:4rr19p6NPfg8oUazZQnkS8,"Fuck It up (feat. Yg)","A Good Night in the Ghetto","Kamaiyah,YG",2016-03-23,141844,0,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:45:18Z,"hyphy","Kamaiyah",0.634,0.669,0,-7.369,1,0.0682,0.432,0,0.552,0.431,98.044,4
spotify:track:2ZBnK2CGFK6jcagWrpyPzA,"Handsome And Wealthy","No Label II","Migos",2014-02-25,210556,65,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:45:42Z,"trap","Quality Control Music",0.859,0.665,11,-2.907,0,0.102,0.00348,0,0.094,0.236,145.913,4
spotify:track:4V9ynsDPwHtdItksqjuRu0,"Brand New Draco","SAVAGE MODE II","21 Savage,Metro Boomin",2020-10-02,202420,60,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:46:07Z,"","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",0.697,0.709,11,-6.642,0,0.298,0.041,0.000296,0.0886,0.439,155.023,4
spotify:track:4VYKA63F2fcQnsvfWUpzn9,"GO! (with BIG30)","GO! (with BIG30)","Moneybagg Yo,BIG30",2021-04-14,123877,0,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:46:28Z,"","N-Less Entertainment/Interscope Records",0.822,0.631,1,-6.271,1,0.254,0.00212,0,0.204,0.561,175.099,4
spotify:track:06BY7fb0Ztz7f7JPRWSBZ3,"Switch it Up (feat. G Herbo No More Heroes)","Shiesty Season - Spring Deluxe","Pooh Shiesty,G Herbo,No More Heroes",2021-05-21,168648,63,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:46:39Z,"chicago drill,drill","Atlantic Records",0.443,0.731,0,-4.997,1,0.255,0.289,0,0.207,0.956,147.818,4
spotify:track:3JERoo6pokCgQ81z79Jpmo,"That's Tuff (feat. Quavo)","That's Tuff","Rich The Kid,Quavo",2019-12-06,154000,0,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:46:58Z,"trap","Republic Records",0.903,0.636,10,-4.313,0,0.205,0.635,0,0.0866,0.308,137.993,4
spotify:track:4loM16743hROPC6uIJG6wM,"MET GALA","WUNNA","Gunna",2020-05-22,149133,67,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:47:13Z,"melodic rap","300 Entertainment",0.873,0.577,1,-9.151,1,0.271,0.353,0,0.111,0.956,117.089,4
spotify:track:0pYJaPb80f8Ye86b2qXurN,"Gordon R Freestyle","Gordon R Freestyle","Remble",2021-02-19,125200,42,true,v828zh1enlyp9vzjlfaj5rzpm,2022-05-10T20:47:24Z,"","Warner Records",0.729,0.54,1,-11.342,1,0.481,0.418,0,0.154,0.704,122.55,5
