Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6GivWRmlYtefJr28jev6e0,"Leray","A Love Letter To You 4","Trippie Redd",2019-11-22,122706,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T19:46:50Z,"melodic rap","TenThousand Projects, LLC",0.774,0.195,4,-12.233,1,0.0871,0.789,0.00103,0.109,0.369,132.847,4
spotify:track:1iSqfoUFnQwV0QW1EfUit8,"Suicidal","Melly vs. Melvin","YNW Melly",2019-11-22,222997,75,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T19:47:29Z,"melodic rap","P2019",0.735,0.369,9,-9.682,0,0.0688,0.334,0,0.126,0.235,140.004,4
spotify:track:06FCvd7rrRcF3DdvWH5Isp,"LUST.","DAMN.","Kendrick Lamar",2017-04-14,307880,63,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T19:47:56Z,"hip hop,west coast hip hop","Aftermath",0.678,0.562,3,-9.197,0,0.508,0.193,0,0.104,0.566,94.241,4
spotify:track:43PuMrRfbyyuz4QpZ3oAwN,"Exchange","T R A P S O U L","Bryson Tiller",2015-10-02,194613,79,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T19:48:08Z,"trap soul,r&b","TrapSoul/RCA Records",0.525,0.433,6,-10.598,1,0.185,0.107,0,0.135,0.276,160.108,4
spotify:track:69dXVFCMiz3SL1L7M24NdX,"bad vibes forever","bad vibes forever","XXXTENTACION,PnB Rock,Trippie Redd",2019-11-22,150475,53,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T19:48:15Z,"emo rap,melodic rap","Bad Vibes Forever / EMPIRE",0.8,0.526,8,-5.153,1,0.0716,0.334,0.00174,0.0571,0.746,129.874,4
spotify:track:76tGvMdmFKuiMew33ZNNA9,"Lover Is a Day","wannabewithu","Cuco",2016-07-09,456000,1,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T19:49:58Z,"bedroom pop","Cuco",0.406,0.647,3,-10.453,1,0.0413,0.0427,0.193,0.1,0.344,180.044,4
spotify:track:7s4BGlxiD9fb0KkY6JgQtu,"21","21","Yung Pinch",2020-03-13,192209,23,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T19:50:16Z,"melodic rap","TWNSHP",0.681,0.622,1,-6.39,1,0.0617,0.165,0,0.105,0.313,160.028,4
spotify:track:4S4Mfvv03M1cHgIOJcbUCL,"In My Room","In My Room","Frank Ocean",2019-11-02,133680,69,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T19:50:28Z,"","Blonded",0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,4
spotify:track:3NsuucK8qXpIJf7KPZX7vq,"i'm closing my eyes","i'm closing my eyes","potsu",2017-05-17,118302,12,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T19:50:40Z,"lo-fi","potsu",0.895,0.109,0,-13.853,0,0.0996,0.534,0.549,0.106,0.546,134.067,4
spotify:track:2ktxr00GpTtbMNeBjNeY8D,"Who Needs Love","A Love Letter To You 4","Trippie Redd",2019-11-22,158532,1,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T19:51:27Z,"melodic rap","TenThousand Projects, LLC",0.851,0.516,0,-7.664,0,0.0692,0.763,0,0.0896,0.875,108.974,4
spotify:track:3wwo0bJvDSorOpNfzEkfXx,"Let Me Know (I Wonder Why Freestyle)","Let Me Know (I Wonder Why Freestyle)","Juice WRLD",2019-12-07,215380,77,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T00:17:57Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.635,0.537,7,-7.895,0,0.0832,0.172,0,0.418,0.383,125.028,4
spotify:track:0PXp9QxBfSKGGpWUNaws2X,"Drama (feat. Drake)","Exis","Roy Woods,Drake",2015-07-31,251859,1,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T00:23:25Z,"trap soul,rap","OVO Sound/Warner Records",0.709,0.362,11,-9.814,1,0.055,0.157,0,0.109,0.113,122.043,4
spotify:track:7022xokeCJFSeZxw2npVkn,"It Takes Time","A Love Letter To You","Trippie Redd",2017-05-14,282666,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T00:52:50Z,"melodic rap","Strainge Entertainment",0.849,0.304,10,-16.441,1,0.18,0.371,0,0.112,0.419,90.01,4
spotify:track:7FullO2NDkyvxLuxYVKINa,"Excitement (feat. PARTYNEXTDOOR)","Pegasus","Trippie Redd,PARTYNEXTDOOR",2020-10-30,283285,1,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T01:01:31Z,"melodic rap,dark r&b,r&b,trap soul","1400 Entertainment/TenThousand Projects",0.443,0.536,4,-8.187,0,0.0378,0.0194,0.0000424,0.1,0.0391,121.967,4
spotify:track:2WP8G2pdddDmnh1xbfKBOI,"Finesse","Scorpion","Drake",2018-06-29,182080,74,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T01:01:35Z,"rap","Cash Money/Drake LP6",0.807,0.319,0,-8.152,0,0.0581,0.133,0.000338,0.101,0.299,94.992,4
spotify:track:3sFi8WcTvFE2u8pTaVTHJU,"I Love You","A Love Letter To You 4 (Deluxe)","Trippie Redd,Chance the Rapper",2020-02-21,229244,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T01:02:55Z,"melodic rap","1400 Entertainment, Inc./TenThousand Projects LLC",0.732,0.739,0,-3.914,1,0.0349,0.0695,0,0.0899,0.463,142.981,4
spotify:track:5tD7bVoSnhHdQoTVV5YQO8,"Don","Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe)","Trippie Redd",2021-02-19,144215,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T01:04:26Z,"melodic rap","1400 Entertainment/TenThousand Projects",0.595,0.581,2,-8.872,0,0.185,0.51,0,0.584,0.33,112.299,3
spotify:track:08QE1DRXEB1hHXOELC4nOU,"TR666 (feat. Swae Lee)","Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe)","Trippie Redd,Swae Lee",2021-02-19,180021,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T01:06:10Z,"melodic rap","1400 Entertainment/TenThousand Projects",0.4,0.676,11,-7.118,0,0.0927,0.258,0.0000227,0.32,0.354,170.148,4
spotify:track:4d0E1GIuExjlN7fLDX42E4,"Sun God (feat. Myiah Lynnae)","Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe)","Trippie Redd,Myiah Lynnae",2021-02-19,192821,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T01:09:05Z,"melodic rap","1400 Entertainment/TenThousand Projects",0.584,0.369,6,-12.002,1,0.0304,0.38,0.000831,0.139,0.38,81.995,4
spotify:track:2jI31KH6OEH6IPz8yeGHJv,"Oomps Revenge Pt.2","Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe)","Trippie Redd",2021-02-19,117452,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T01:12:06Z,"melodic rap","1400 Entertainment/TenThousand Projects",0.563,0.69,10,-9.835,0,0.448,0.251,0,0.445,0.649,78.978,3
spotify:track:5SvPuNB30gKzuhOZRwKrMk,"Too Fly","Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe)","Trippie Redd",2021-02-19,184644,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T01:13:42Z,"melodic rap","1400 Entertainment/TenThousand Projects",0.771,0.535,1,-8.472,1,0.208,0.101,0.00000368,0.125,0.484,139.989,4
spotify:track:6uYgCE2OEulOw5zhHvZsHf,"Love Me More","A Love Letter To You 4","Trippie Redd",2019-11-22,143712,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-11T05:48:49Z,"melodic rap","TenThousand Projects, LLC",0.638,0.537,10,-5.854,1,0.0508,0.224,0,0.241,0.25,83.381,4
spotify:track:2PRKaIkl62537yLUt8VhHR,"Love Sick","A Love Letter To You 4","Trippie Redd",2019-11-22,177981,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-13T15:24:16Z,"melodic rap","TenThousand Projects, LLC",0.862,0.714,6,-6.721,0,0.103,0.528,0.0000421,0.622,0.676,119.042,4
spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,"Revenge","17","XXXTENTACION",2017-08-25,120026,81,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-17T16:31:44Z,"emo rap","Bad Vibes Forever / EMPIRE",0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,4
spotify:track:5de9Ho64dovuQI8Uhn5gPD,"I Don't Wanna Do This Anymore","Revenge","XXXTENTACION",2017-05-16,87560,72,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-17T16:34:01Z,"emo rap","Bad Vibes Forever / EMPIRE",0.433,0.778,4,-7.681,1,0.041,0.843,0,0.139,0.764,114.208,4
spotify:track:2C3iuuYK5x902AzEvDAeHN,"The Law of Recognition","The Law of Recognition","KYSLINGO",2020-04-12,129175,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T23:15:23Z,"","1099866 Records DK",0.898,0.242,10,-11.998,0,0.271,0.256,0.0593,0.187,0.145,111.98,4
spotify:track:2gZ6I0MB9XaKmWOPwNJuqt,"Inside Out","Stratosphere","Duster",1998-02-24,141040,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-29T02:15:08Z,"slowcore,shoegaze","Numero Group",0.553,0.465,9,-9.664,1,0.0301,0.837,0.97,0.102,0.651,79.224,4
spotify:track:0I9Xtmb9a1ej3oJIcnjyLS,"Gold Dust","Stratosphere","Duster",1998-02-24,125933,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-31T04:45:56Z,"slowcore,shoegaze","Numero Group",0.58,0.47,3,-11.923,1,0.0338,0.863,0.931,0.11,0.43,111.464,4
spotify:track:3uhGWxwYdkwzI9vHITtaza,"Fairy Fountain","Ocarina of Time","Super Guitar Bros",2018-02-22,63431,60,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-01T07:22:13Z,"","Super Guitar Bros",0.414,0.294,1,-15.648,0,0.043,0.966,0.789,0.0879,0.605,142.951,4
spotify:track:1Wh5LO3TWAvaeDrwp4FZgo,"King","Revenge","XXXTENTACION",2017-05-16,112800,63,true,v828zh1enlyp9vzjlfaj5rzpm,2021-04-08T19:32:49Z,"emo rap","Bad Vibes Forever / EMPIRE",0.421,0.154,0,-12.405,1,0.0319,0.102,0.00692,0.207,0.0949,99.886,4
spotify:track:6Dqja51kHdm93TJGkX7T16,"Real Feel","A Love Letter To You 4","Trippie Redd",2019-11-22,258552,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-26T06:41:39Z,"melodic rap","TenThousand Projects, LLC",0.849,0.569,2,-5.221,1,0.0659,0.369,0,0.0862,0.434,149.108,4
spotify:track:6IpvkngH89cA3hhPC84Leg,"Wish - Trippie Mix","LIFE'S A TRIP","Diplo,Trippie Redd",2018-08-10,176874,1,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-26T06:45:21Z,"moombahton,melodic rap","TenThousand Projects, LLC",0.561,0.832,9,-7.661,1,0.0711,0.233,0,0.107,0.668,93.991,4
spotify:track:30bqVoKjX479ab90a8Pafp,"Star Shopping","Star Shopping","Lil Peep",2015,142000,3,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-26T06:45:54Z,"emo rap,cloud rap","Lil Peep",0.585,0.471,4,-9.934,0,0.0616,0.0967,0.0184,0.115,0.323,93.099,4
