Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0k2GOhqsrxDTAbFFSdNJjT,"Temperature","The Trinity","Sean Paul",2005-09-27,216320,83,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-16T16:36:56Z,"dancehall","VP Records",0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,4
spotify:track:1HGyhNaRUFEDBiVLbvtbL6,"Murder She Wrote","Tease Me","Chaka Demus & Pliers",1993-01-01,245000,71,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-16T16:37:14Z,"dancehall,reggae,ragga","Universal-Island Records Ltd.",0.883,0.733,11,-9.153,0,0.128,0.161,0.00026,0.334,0.946,95.107,4
spotify:track:2zRR41MU5nXB1LeBkyjgtV,"No Games","No Games","Serani",2009-10-27,188200,56,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-16T16:37:23Z,"dancehall,reggae,soca","Phase One",0.741,0.79,2,-5.056,1,0.284,0.000755,0,0.0345,0.806,185.779,4
spotify:track:3HXbnlAREOybNI0oqdmj8D,"Sponji Reggae","20th Century Masters: The Millennium Collection: Best Of Black Uhuru","Black Uhuru",2002-01-01,298466,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-16T16:38:02Z,"reggae,roots reggae,dub,ragga,rocksteady","Island Records",0.685,0.693,7,-7.706,0,0.072,0.113,0.000617,0.0541,0.861,74.849,4
spotify:track:6Y7Eth6daKj80p4Ofmp6sx,"Bruk It Down","Sweet Jamaica","Mr. Vegas",2012-05-29,172019,52,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-16T16:39:57Z,"dancehall,ragga,reggae,soca,azonto,riddim,shatta","MV Music",0.919,0.781,2,-4.704,1,0.217,0.219,0,0.221,0.559,118.982,4
spotify:track:0V9CF315TMGEvOWXQBNuUO,"Boombastic","The Best Of Shaggy","Shaggy",2008-01-01,250200,48,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-16T16:42:21Z,"reggae","Virgin Records",0.854,0.793,2,-8.25,1,0.25,0.238,0.0000127,0.356,0.796,158.554,4
spotify:track:3WkibOpDF7cQ5xntM1epyf,"It Wasn't Me","Hot Shot","Shaggy,Rik Rok",2000-08-08,227600,80,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-16T16:42:37Z,"reggae,dancehall,riddim,lovers rock,ragga","Geffen",0.853,0.606,0,-4.596,1,0.072,0.0561,0,0.313,0.653,94.753,4
spotify:track:6F9DPkjP6Tbz9FLgLyYgX6,"Love With A Quality","OCEAN","KAROL G,Damian Marley",2019-05-03,223760,52,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-16T16:55:58Z,"reggaeton,latin,urbano latino,reggae,ragga,roots reggae,dancehall","UMLE - Latino",0.849,0.752,4,-3.756,0,0.146,0.0646,0.00000315,0.106,0.586,101.018,4
spotify:track:4OTkgeynnnEAEcXxIhQaa3,"Thrusting (feat. Swae Lee & Future)","B4 The Storm","Internet Money,Swae Lee,Future",2020-08-29,222680,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-16T17:01:22Z,"rap","Internet Money Records/ TenThousand Projects",0.675,0.577,7,-5.431,0,0.338,0.331,0,0.0857,0.568,193.777,4
spotify:track:04dPLx5yAEiGHKrxtCM75N,"Paradise Child","Halfway Tree","Damian Marley,Mr. Cheeks,Jimmy Cozier",2001-01-01,241600,28,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-17T01:45:47Z,"reggae,ragga,roots reggae,dancehall,lovers rock","Ghetto Youth Intl",0.749,0.798,1,-3.227,1,0.0963,0.0691,0,0.168,0.827,92.89,4
spotify:track:2t42wAZWVmtzX22lK6crPU,"Heads High","Heads High","Mr. Vegas",1998,211440,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T17:49:41Z,"dancehall,ragga,reggae,soca,azonto,riddim,shatta","Greensleeves Records",0.738,0.658,7,-6.152,1,0.36,0.411,0,0.152,0.804,96.908,4
spotify:track:00bnP8RyknzZMkNlEAO2ih,"Ghetto Story","Ghetto Story (Explicit Content U.S. Version)","Cham",2006-08-14,251640,44,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T17:52:59Z,"dancehall,ragga,reggae,soca,riddim","Madhouse/Atlantic",0.613,0.563,2,-8.206,1,0.358,0.338,0,0.381,0.775,103.371,5
spotify:track:1zW2csx1vVJrKfvDrFQNVt,"Jump in the Line","Jump Up Calypso","Harry Belafonte",1961-07-21,221704,66,false,v828zh1enlyp9vzjlfaj5rzpm,2020-12-27T00:03:20Z,"calypso","RCA Records Label",0.594,0.889,5,-7.775,1,0.246,0.768,0,0.124,0.8,116.187,4
spotify:track:0BBOLOV5JntPL3341swIre,"Turn Me On","Kevin Lyttle (US Domestic Release)","Kevin Lyttle",2004-03-30,192106,70,false,v828zh1enlyp9vzjlfaj5rzpm,2020-12-27T00:05:39Z,"soca,dancehall","Atlantic Records",0.677,0.682,9,-6.879,1,0.0361,0.0405,0,0.0351,0.875,106.279,4
spotify:track:0j55p8YRAPG8yajtNyjt6A,"Hold You - Hold Yuh","Hold You","Gyptian",2010-07-16,233253,71,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-04T23:36:47Z,"dancehall,reggae,soca,lovers rock,ragga","VP",0.69,0.62,8,-3.583,1,0.06,0.321,0.0000281,0.0889,0.497,66.859,3
