Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3B54sVLJ402zGa6Xm4YGNe,"Unforgettable","Jungle Rules","French Montana,Swae Lee",2017-07-14,233901,84,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T17:28:32Z,"","Bad Boy Entertainment/Epic Records",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
spotify:track:1rlIrbWboTRGeKfHhgbJRZ,"FLIP THE SWITCH (feat. Drake)","QUAVO HUNCHO","Quavo,Drake",2018-10-12,156195,56,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T17:33:30Z,"rap","Quality Control Music/Motown Records/Capitol Records",0.853,0.637,3,-5.924,0,0.331,0.129,0,0.267,0.496,86.048,4
spotify:track:1Ser4X0TKttOvo8bgdytTP,"Come Get Her","SremmLife","Rae Sremmurd",2015-01-06,212946,72,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T17:42:08Z,"","Mike WiLL Made-It",0.689,0.564,2,-6.226,1,0.14,0.19,0,0.0721,0.122,185.03,4
spotify:track:1uH1Nd8vet2uoZSDFSDwbh,"Up Down (Do This All Day) (feat. B.o.B)","Up Down (Do This All Day) (feat. B.o.B)","T-Pain,B.o.B",2013-08-13,231893,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T17:42:23Z,"","Nappy Boy/Konvict Muzik/RCA Records",0.763,0.53,5,-5.554,0,0.0577,0.272,0,0.16,0.469,97.033,4
spotify:track:20fAoPjfYltmd3K3bO7gbt,"Stick Talk","DS2 (Deluxe)","Future",2015-07-17,171333,63,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T17:42:43Z,"rap","Epic/Freebandz/A1",0.729,0.672,7,-6.749,1,0.282,0.0265,0,0.244,0.595,159.903,4
spotify:track:7oigG0toPdu2Oj8mYowsBM,"Make That Sh*t Work (feat. Juicy J)","Make That Sh*t Work (feat. Juicy J)","T-Pain,Juicy J",2015-06-08,201146,36,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T17:42:54Z,"crunk","Nappy Boy/Konvict Muzik/RCA Records",0.879,0.681,5,-6.664,0,0.174,0.0885,0,0.123,0.487,96.027,4
spotify:track:6Kd4EPrY9A4WBUFy5JaqEc,"Moves","Moves","Big Sean",2016-12-23,142920,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T17:43:24Z,"","Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",0.808,0.534,2,-6.123,1,0.283,0.0417,0,0.136,0.354,75.5,4
spotify:track:55OdqrG8WLmsYyY1jijD9b,"Wyclef Jean","JEFFERY","Young Thug",2016-08-26,236293,62,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T17:44:48Z,"rap,melodic rap,trap","300 Entertainment/Atl",0.863,0.576,5,-5.687,0,0.239,0.124,0,0.143,0.832,132.054,4
spotify:track:5OYYacWV45MGBnFakswH5d,"Audi II","Audi II","Smokepurpp",2019-12-06,164638,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T17:45:11Z,"","Alamo Records/Interscope Records",0.789,0.576,10,-6.799,0,0.435,0.0382,0,0.136,0.423,139.964,4
spotify:track:2xLMifQCjDGFmkHkpNLD9h,"SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,82,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T17:45:26Z,"rap","Cactus Jack / Epic",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
