Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1PhqXa1mAFESdpUxCmX2fc,"Full Moon On Main Street","Edge Of The City","The Kinsey Report",1987-09-01,261800,23,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:03:57Z,"blues,blues rock,modern blues","Alligator Records",0.305,0.36,9,-16.558,0,0.0403,0.00167,0.000487,0.134,0.246,164.042,3
spotify:track:3XyxLxykJBET8DgWOgbwPl,"Stop","Strike Like Lightning","Lonnie Mack",1985-01-15,325933,1,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:04:08Z,"blues,blues rock,modern blues,classic blues","Alligator Records",0.373,0.379,2,-10.196,0,0.0272,0.0192,0.0018,0.0833,0.326,109.077,3
spotify:track:539irdrSh7X5bFW5TfEqZD,"(Watching You) Cherry Red Wine","Songs From The Road","Luther Allison",2009-12-14,713573,0,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:08:45Z,"blues,classic blues,modern blues,blues rock","Ruf Records",0.309,0.81,9,-6.502,0,0.0605,0.02,0.0777,0.719,0.588,182.25,3
spotify:track:4dsTfxWKkUplwEZiJkVPYo,"Icepick Through My Heart","Iron Man","Michael Burks",2008-04-08,412920,36,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:24:27Z,"blues,modern blues,blues rock,soul blues","Alligator Records",0.352,0.63,9,-3.412,0,0.0302,0.041,0.0177,0.0898,0.355,87.835,3
spotify:track:4k0F00PnqwiWjwp7QtIZ5I,"Since I Been Loving You","Show Of Strength","Michael Burks",2012-08-21,450693,36,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:32:16Z,"blues,modern blues,blues rock,soul blues","Alligator Records",0.242,0.469,0,-6.467,0,0.0345,0.0676,0.631,0.116,0.311,72.492,3
spotify:track:0YLW69gvKazBdfPRotOleq,"A World Away","The Road We're On","Sonny Landreth",2010-06-01,284280,25,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:33:46Z,"blues,blues rock,modern blues,cajun,zydeco","Landfall Records",0.2,0.543,7,-8.065,0,0.0329,0.0515,0.0158,0.146,0.476,194.519,3
spotify:track:3PhCVPbOjZEN2UR4q1qrd8,"As The Years Go Passing By","Georgia Blue","Tinsley Ellis",1988-07-01,248506,13,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:40:55Z,"blues,blues rock,modern blues","Alligator Records",0.498,0.267,2,-15.955,0,0.0371,0.462,0.0116,0.182,0.384,156.81,3
spotify:track:4LbRwTZ8BWVvUpQyKa1Rv5,"Are You Sorry?","Fire It Up","Tinsley Ellis",1997-05-27,463626,22,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:46:08Z,"blues,blues rock,modern blues","Alligator Records",0.428,0.409,2,-9.892,0,0.0353,0.0596,0.00584,0.346,0.492,142.297,3
spotify:track:30JSZEDviIACQIQof5m2yM,"Too Late","Bare Knuckle","Guitar Shorty",2010-03-02,255000,31,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:49:54Z,"blues,blues rock,modern blues,classic blues","Alligator Records",0.723,0.811,0,-4.188,1,0.0443,0.547,0.00621,0.317,0.666,92.033,4
spotify:track:599KFVKTx45bNXIYhdVCxn,"I Go By Feel","Rhythm & Blues","Buddy Guy",2013-07-29,255600,31,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:51:38Z,"blues,classic blues,blues rock,modern blues,soul blues,country blues,jazz blues","RCA Records Label",0.37,0.808,7,-5.675,0,0.0458,0.187,0.187,0.431,0.658,179.41,4
spotify:track:0RF2CGyuMokVCsTIxgLtLY,"Blues All Night","Spare Keys","Jimmy Thackery,D. Rivers",2016-09-07,341000,19,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T08:54:59Z,"blues,blues rock,modern blues","White River Records",0.546,0.829,6,-4.225,0,0.0542,0.00539,0.0283,0.0966,0.62,115.431,4
spotify:track:0qQ9N4DhafrJdVQjve4v5s,"Late Night City Blues","Late Night City Blues","Chris Cain",1993,380000,25,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T09:01:54Z,"modern blues,blues,blues rock,jazz blues","Blue Rock'It",0.281,0.54,5,-8.044,0,0.0395,0.0625,0.432,0.318,0.341,180.901,3
spotify:track:1LqC5jWVm66Srxkv2OTSHM,"Chill Out (Things Gonna Change) - Feat. Carlos Santana","Chill Out (Remastered)","John Lee Hooker",2007-02-01,287133,0,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T09:05:56Z,"blues,classic blues,blues rock,country blues,soul blues,jazz blues","Blue Label",0.66,0.525,0,-11.285,0,0.0315,0.472,0.133,0.0731,0.658,96.656,4
spotify:track:1Msf1vU7lpnbqUDxj6HpnW,"Need Her So Bad","Everything I Need","Aynsley Lister",2006-07-06,420386,0,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T09:10:36Z,"blues,blues rock,modern blues","Ruf Records",0.387,0.422,8,-9.896,1,0.0317,0.00233,0.131,0.192,0.353,146.274,3
spotify:track:30CnvMgamyV8oWQEwyCqsq,"A Million Miles Away","Tattoo (Remastered 2017)","Rory Gallagher",1973-11-11,415900,50,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T09:19:00Z,"blues rock,blues,modern blues,classic blues","UMC (Universal Music Catalogue)",0.498,0.654,2,-10.398,0,0.0381,0.00829,0.00595,0.417,0.608,135.805,4
spotify:track:6e5jcPUhUNTUeOBRHcGirg,"I'll Play The Blues For You - Edit","Chronicle","Albert King",1979-01-01,236800,48,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T09:26:42Z,"blues,classic blues,blues rock,soul blues,jazz blues,modern blues","Stax",0.704,0.322,7,-16.755,0,0.0367,0.043,0.00034,0.104,0.597,95.511,4
spotify:track:0DnGfA1r8pAssJCuq4ojla,"Still Got The Blues","Still Got The Blues","Gary Moore",1990-01-01,370866,68,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T09:31:30Z,"blues,blues rock","Virgin Records",0.189,0.39,9,-14.497,0,0.0353,0.257,0.000152,0.122,0.32,169.563,3
spotify:track:1JGW1e2tacnCgBPfRH0haY,"Bird of Paradise","Bird of Paradise - An Anthology","Snowy White",2003-08-18,281466,54,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T09:36:44Z,"blues,blues rock","Novello & Co.",0.474,0.443,1,-11.422,1,0.0365,0.6,0.607,0.316,0.313,143.644,4
