Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2EjXfH91m7f8HiJN1yQg97,"Rockin' Around The Christmas Tree","Merry Christmas From Brenda Lee","Brenda Lee",1964-10-19,126266,63,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-09T06:11:23Z,"christmas","MCA Nashville",0.598,0.47,8,-8.744,1,0.0496,0.617,0,0.505,0.879,67.086,4
spotify:track:030mot3ZKR3oskfMsqDB2R,"Have Yourself A Merry Little Christmas","Meet Me In St. Louis","Judy Garland",1944-01-01,162333,43,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-09T06:11:34Z,"christmas","Geffen",0.251,0.181,6,-14.816,1,0.0335,0.969,0.00448,0.26,0.108,89.616,5
spotify:track:7h4Ayplz18fKgoPUIWfaJd,"Dance of the Sugar Plum Fairy","Frosty The Snowman","James Jackson Jazz Trio",2023-10-08,114393,25,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-09T06:11:47Z,"jazz","Chill Tone Records",0.706,0.217,4,-16.444,0,0.0397,0.893,0.833,0.107,0.263,92.186,4
spotify:track:0Zde2RPQqmzr8wsCqH6McE,"Winter Wonderland","The Jazz Lounge","Grayville Trio",2022-08-26,167302,27,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-09T06:15:27Z,"jazz","Grayville Trio",0.599,0.134,5,-21.439,1,0.0394,0.932,0.915,0.0991,0.434,75.46,4
spotify:track:3rjZ8FQGGSBzQDVevAsDZ6,"Jingle Bell Rock","Reet Petite - New Music for Flexible Instrumentation - Demo Tracks 2016-2017","Jim Boothe,Joe Beal,Jo Beal,Inge Sunde,Noteservice Wind Ensemble",2016-07-04,149597,30,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-18T16:51:25Z,"christmas","Norsk Noteservice",0.506,0.161,0,-17.138,1,0.0344,0.942,0.941,0.198,0.688,62.814,4
spotify:track:27tsclvcImSGiQN082KkSQ,"Santa Baby","25 or 6 to 4 - New Music for Flexible Instrumentation - Demo Tracks 2015-2016","Joan Javits,Philip Springer,Tony Springer,Noteservice Wind Ensemble",2015-07-06,170678,20,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-18T16:53:19Z,"christmas","Norsk Noteservice",0.535,0.154,0,-16.793,1,0.0399,0.818,0.946,0.126,0.533,104.527,4
spotify:track:4vdWFl5aUnJhimeaSt6Yz1,"We Need A Little Christmas (From Mame)","The New Singing Seargents","The US Air Force Singing Sergeants",2010-03-04,117346,14,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-18T16:55:03Z,"christmas","Altissimo!",0.746,0.623,4,-11.598,0,0.0968,0.928,0,0.232,0.862,132.869,4
spotify:track:405yTaNu5YQ0ldx2TtcLga,"Christmas Eve / Sarajevo 12/24 - Instrumental; 2016 Remaster","The Ghosts of Christmas Eve","Trans-Siberian Orchestra",2016-10-21,205320,36,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-18T16:59:23Z,"christmas","Rhino Atlantic",0.265,0.641,4,-6.854,0,0.033,0.192,0.952,0.11,0.167,186.004,3
spotify:track:6bA6EmNj0mbdffUHtRdRZL,"Soul","For Professional Use Only 2","araabMUZIK",2014-07-15,208676,5,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-18T17:00:40Z,"","Araabmuzik, LLC",0.399,0.709,0,-1.483,1,0.167,0.726,0.175,0.362,0.131,84.874,4
spotify:track:3QIoEi8Enr9uHffwInGIsC,"Please Come Home for Christmas - 2013 Remaster","Please Come Home for Christmas / Funky New Year (2013 Remaster)","Eagles",1978-11-27,177440,51,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-18T17:01:04Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.612,0.289,9,-11.568,1,0.0421,0.599,0.00266,0.0561,0.466,183.18,3
