Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2nsGRmMFJlYuvNsalF5RzZ,"Rose Bay - Reworked by Leo Einaudi","Rose Bay (Reworked by Leo Einaudi)","Ludovico Einaudi,Leo Einaudi",2025-06-13,217574,48,false,,2025-07-17T09:41:07Z,"neoclassical,classical","Decca (UMO) (Classics)",0.152,0.205,3,-22.379,1,0.0529,0.958,0.891,0.109,0.0627,78.465,4
spotify:track:71Z1Asq3aErm52ClsiimKK,"Without Which Nothing","Nevertheless","Hammock",2025-07-11,223760,41,false,,2025-07-17T09:41:07Z,"post-rock,ambient,space music,drone","Hammock Music",0.169,0.256,0,-17.944,1,0.0378,0.837,0.934,0.0926,0.0371,125.561,3
spotify:track:3hhJFk8PZEb0h3aAMbQRcM,"Virga (feat. Darlingside)","Virga (feat. Darlingside)","Yasmin Williams,Darlingside",2024-07-29,382867,32,false,,2025-07-17T09:41:07Z,"indie folk,folk pop","Nonesuch",0.353,0.231,7,-16.632,1,0.0304,0.917,0.921,0.15,0.122,94.466,4
spotify:track:4m0A9IhXFzCG04iJKoxA0o,"Solar Nights","Solar Nights","Juha Mäki-Patola",2025-03-21,163106,35,false,,2025-07-17T09:41:07Z,"ambient","Moderna Records",0.498,0.226,3,-26.801,0,0.032,0.992,0.961,0.0916,0.853,108.978,3
spotify:track:3pCfEaYHtIsaNyA10z5zBl,"revival","revival","Jesse Brown,Andy Salvanos",2025-03-14,129881,41,false,,2025-07-17T09:41:07Z,"neoclassical","Sonder House",0.384,0.0698,2,-22.257,1,0.0355,0.857,0.799,0.107,0.288,105.623,5
spotify:track:3KAPBsVWsGU5xTC7gvNDSE,"Half Light","Half Light","Message To Bears",2025-02-14,190225,31,false,,2025-07-17T09:41:07Z,"post-rock","Lost Birds",0.417,0.445,6,-14.577,1,0.0315,0.902,0.877,0.0853,0.116,160.035,4
spotify:track:0zUJd5WA41CfvYmcADOo88,"When the Earth Yelled Back at Me","Something Ephemeral","Alaskan Tapes,Moshimoss",2024-09-20,201000,39,false,,2025-07-17T09:41:07Z,"ambient,neoclassical","Nettwerk Music Group",0.178,0.146,1,-24.998,1,0.0385,0.886,0.92,0.0644,0.0374,126.614,4
spotify:track:4qnsORGXJJzD5bw21ec6ck,"Light Bed (Circle 51)","Light Bed (Circle 51)","Robot Koch,Foam and Sand,Peia",2025-03-07,275568,36,false,,2025-07-17T09:41:07Z,"ambient,neoclassical","Trees & Cyborgs",0.0603,0.247,4,-16.183,1,0.0404,0.97,0.977,0.117,0.0309,58.584,4
spotify:track:0Db8f7uikjXxH3qHe0UKoW,"Comfort Chain","Comfort Chain","Instupendo",2017-01-20,184363,71,false,,2025-07-17T09:41:07Z,"","Instupendo",0.83,0.251,4,-19.774,1,0.0779,0.98,0.893,0.195,0.164,110.002,4
spotify:track:5WWn2xX50nzutTq1J6QmFA,"Unswept Corners - Ambient Mix","Unswept Corners (Ambient Mix)","Brandee Younger",2025-03-07,237226,33,false,,2025-07-17T09:41:07Z,"jazz","Impulse!",0.346,0.199,5,-20.705,0,0.0314,0.953,0.887,0.109,0.0687,73.415,4
spotify:track:4gfvhMlB73sCF51Se0e29F,"Nord","Sin","Nobuhiro Okahashi",2025-05-09,121146,33,false,,2025-07-17T09:41:07Z,"ambient","PURRE GOOHN",0.17,0.0885,4,-23.553,1,0.036,0.979,0.973,0.08,0.0392,85.954,3
spotify:track:26iHdLEmhqo2ZyW3CyCzWC,"Shimmering Lake","Shimmering Lake","Koji Ishikura",2025-06-13,180666,34,false,,2025-07-17T09:41:07Z,"ambient","PURRE GOOHN",0.228,0.134,2,-23.323,1,0.0565,0.938,0.801,0.0956,0.08,80.481,4
spotify:track:2QZwhaG5da1frWBQZsallH,"für Meesha","für Meesha","Htennek Niwhsa",2025-03-28,149944,27,false,,2025-07-17T09:41:07Z,"ambient","Nettwerk Music Group",0.357,0.0684,3,-24.668,1,0.032,0.944,0.813,0.0999,0.0607,76.983,3
spotify:track:76Q7prOhYcczSlOrHfNQnj,"For One Another","For One Another","Hollie Kenniff,Goldmund,Harbors",2025-05-09,230173,26,false,,2025-07-17T09:41:07Z,"ambient,drone,neoclassical","Nettwerk Music Group",0.225,0.131,10,-20.639,1,0.035,0.933,0.956,0.081,0.0354,68.574,5
spotify:track:0fRDySUoyDdS1Erd73lztX,"RELUCESCO I","RELUCESCO I","Sarah Pagé",2025-05-02,419549,30,false,,2025-07-17T09:41:07Z,"ambient","Backward Music",0.383,0.0766,3,-19.667,1,0.0397,0.993,0.937,0.0662,0.0398,98.174,4
spotify:track:7kMiAEfbdKScZc3xwjC3Y1,"Ocean Fall and Rise","Ocean Fall and Rise","Letsko",2025-03-07,113901,26,false,,2025-07-17T09:41:07Z,"","INTRASET",0.533,0.156,3,-17.558,1,0.0325,0.972,0.93,0.714,0.109,133.671,4
