Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6b37xrsNCWYIUphFBazqD6,"Me Gustas Tu","Próxima Estación: Esperanza","Manu Chao",2001-06-01,239986,80,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T03:20:49Z,"latin alternative","Radio Bemba",0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,4
spotify:track:6Dc2tCivms1s2X9myWe4ni,"Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack","Tuyo (Narcos Theme) [A Netflix Original Series Soundtrack]","Rodrigo Amarante",2015-09-18,89293,65,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T03:21:17Z,"nova mpb","Gaumont Télévision",0.72,0.422,1,-13.338,0,0.069,0.474,0.0847,0.155,0.546,112.219,4
spotify:track:4GUzyWtooDC3cx30yeCyzk,"Dos Gardenias","El Sentimiento del Latino En Nueva York","Angel Canales",1979,182266,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T03:27:06Z,"salsa,bolero,son cubano","TTH Records",0.539,0.0683,0,-18.162,1,0.0511,0.769,0.0000225,0.0753,0.178,85.19,4
spotify:track:3XKIUb7HzIF1Vu9usunMzc,"Maria Maria (feat. The Product G&B)","Supernatural (Remastered)","Santana,The Product G&B",1999-06-15,261973,74,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T03:30:02Z,"","Columbia/Legacy",0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,4
spotify:track:5sbw5zIz9ck2pOEDXUR0QU,"Chan Chan","Buena Vista Social Club","Buena Vista Social Club",1997-06-23,256653,1,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T04:26:14Z,"son cubano,latin jazz,latin,bolero","World Circuit",0.529,0.496,2,-11.728,0,0.0346,0.832,0.005,0.0996,0.69,83.095,4
spotify:track:7dRfobhDNnsEgB2ZArxA1f,"El Cuarto de Tula","Buena Vista Social Club","Buena Vista Social Club",1997-06-23,444533,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T04:29:52Z,"son cubano,latin jazz,latin,bolero","World Circuit",0.553,0.664,9,-13.167,1,0.0453,0.595,0.000416,0.299,0.858,104.784,4
spotify:track:1eHGsCdAWh1Ffowzacpfoi,"Candela","Buena Vista Social Club","Buena Vista Social Club",1997-06-23,327866,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T04:40:49Z,"son cubano,latin jazz,latin,bolero","World Circuit",0.525,0.619,9,-12.322,1,0.0355,0.72,0.000165,0.289,0.814,101.046,4
spotify:track:16FEEqvnZKcgfA5esxe5kL,"Qué Bueno Baila Usted","Ibrahim Ferrer (Buena Vista Social Club Presents)","Ibrahim Ferrer",1999-06-07,279333,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T04:53:40Z,"son cubano,latin jazz,bolero","World Circuit",0.595,0.746,5,-4.733,1,0.0452,0.584,0,0.0703,0.712,87.363,4
spotify:track:6YTBfxkdGce9pLEy9jG9Jo,"Mais Que Nada","Foursider","Sergio Mendes & Brasil '66",1972-01-01,159466,56,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T05:09:32Z,"bossa nova,brazilian jazz,latin jazz","A&M",0.637,0.493,0,-13.094,0,0.0482,0.524,0.0000152,0.136,0.932,88.796,4
spotify:track:58BW9X4EEmarxjaXE6Izkw,"The Girl From Ipanema - Stereo Version","Stan Getz's Finest Hour","Stan Getz,João Gilberto,Astrud Gilberto",2000-01-01,325506,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T05:14:52Z,"bossa nova,jazz,brazilian jazz,cool jazz,latin jazz,samba,mpb,vocal jazz,adult standards","Universal Classics & Jazz",0.66,0.124,5,-19.2,0,0.0496,0.888,0.000764,0.111,0.362,129.919,4
spotify:track:1YwPNemawMgGe6sF4U0FTE,"Suavemente","Suavemente...Los Exitos","Elvis Crespo",2008-10-14,266306,66,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T15:59:03Z,"merengue,latin dance,salsa,latin","Sony Music Latin",0.809,0.883,8,-2.965,1,0.0689,0.238,0.00234,0.0625,0.918,124.096,4
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,"Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation Vol. 2 (Expanded Edition)","Shakira,Wyclef Jean",2005-11-28,218093,60,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T16:05:57Z,"latin pop","Epic",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
spotify:track:7FFpxe3RMrRhG63dFtgRed,"Pegadito Suavecito","One Flag","Elvis Crespo,Fito Blanko",2013,226120,56,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T16:06:03Z,"merengue,latin dance,salsa,latin","Flash Music",0.777,0.892,8,-3.54,1,0.0303,0.186,0.00000893,0.0747,0.821,115.02,4
spotify:track:6g5ov3aSDUvvDkQKIcmZQI,"Guantanamera (feat. Ms. Lauryn Hill Celia Cruz & Jeni Fujita)","Wyclef Jean presents The Carnival featuring Refugee Allstars (feat. Refugee All Stars)","Wyclef Jean,Ms. Lauryn Hill,Celia Cruz,Jeni Fujita",1997-06-24,270493,54,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T21:54:19Z,"neo soul,salsa,son cubano,bolero,cha cha cha,merengue,mambo,latin,latin dance","Ruffhouse/Columbia",0.833,0.431,2,-8.991,1,0.178,0.00195,0.000278,0.124,0.385,87.97,4
spotify:track:6K4iVISawI285iTxyvBIEB,"A Buena Vista","A Buena Vista: Barrio De La Habana","Soneros De Verdad,Luis Frank",2004-08-09,193693,56,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T22:16:07Z,"son cubano,latin jazz,timba","Timba Records",0.591,0.75,4,-5.072,0,0.106,0.509,0,0.0897,0.566,87.602,4
spotify:track:5u6y4u5EgDv0peILf60H5t,"Oye Como Va","Abraxas","Santana",1970-09-23,256933,69,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T22:19:05Z,"","Columbia/Legacy",0.736,0.379,7,-13.208,1,0.0539,0.301,0.345,0.104,0.948,128.399,4
spotify:track:51wFQM8W0YfXTmHusXUr5i,"MAMACITA","MAMACITA","Tyga,YG,Carlos Santana",2019-10-25,202653,47,true,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T22:21:33Z,"","Columbia/Last Kings Records",0.786,0.733,6,-4.961,0,0.127,0.0257,0,0.143,0.358,101.046,4
spotify:track:2pX4FpOgwItRVPPUFdRcxA,"Smooth (feat. Rob Thomas)","Supernatural (Legacy Edition)","Santana,Rob Thomas",1999,294986,72,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T22:22:42Z,"","Columbia/Legacy",0.609,0.923,9,-3.908,1,0.0338,0.16,0.00000473,0.295,0.961,115.996,4
spotify:track:5Hc7O2dX51NI4YcHPuoOpw,"Desaparecido","Clandestino","Manu Chao",1998-10-06,227160,64,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T22:28:20Z,"latin alternative","Radio Bemba",0.591,0.627,9,-6.903,0,0.0935,0.669,0,0.127,0.741,191.944,4
spotify:track:6hGfBBs2yvBcMbfTMsARGx,"Patria Querida","Linda Guajira","Los Guaracheros De Oriente",1997-01-01,189962,50,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T22:29:26Z,"son cubano,guaracha,salsa,bolero","Musart-Balboa",0.84,0.565,0,-9.145,1,0.0666,0.703,0.0000118,0.127,0.726,124.247,4
spotify:track:1MHNs42ZBA91ONnGjwmjyG,"La Calle Es Su Lugar","Aire De Todos - Antología 1984 - 1986","GIT",2004-01-01,264120,43,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-25T22:31:39Z,"latin rock,argentine rock,rock en español","Universal Music Argentina S.A.",0.646,0.698,9,-7.555,1,0.0833,0.117,0.0000133,0.162,0.803,77.67,4
