Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3jT3MU6PxJ6aZdGeTR2uyH,"I Won","Reading Writing And Arithmetic","The Sundays",1990,262874,41,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T02:49:56Z,"dream pop,jangle pop","Geffen",0.595,0.49,6,-12.079,0,0.0292,0.0095,0.000746,0.0595,0.639,96.413,4
spotify:track:0gEyKnHvgkrkBM6fbeHdwK,"Linger","Everybody Else Is Doing It So Why Can't We?","The Cranberries",1993-03-01,274706,84,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T02:50:59Z,"","Island Records",0.439,0.434,7,-14.918,1,0.0265,0.0783,0.0000518,0.14,0.204,94.843,4
spotify:track:6PmbpHTKSmKP3FuMIbjttI,"You're Not The Only One I Know","Reading Writing & Arithmetic","The Sundays",1990-01-15,230173,1,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T02:52:34Z,"dream pop,jangle pop","DGC",0.568,0.468,0,-11.578,1,0.0264,0.512,0,0.337,0.614,97.952,4
spotify:track:67Tp0vRSc3yJU0z1UQMD7B,"Here's Where The Story Ends","Reading Writing And Arithmetic","The Sundays",1990,234927,64,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T02:52:45Z,"dream pop,jangle pop","Geffen",0.56,0.606,7,-12.254,1,0.028,0.122,0,0.132,0.819,109.044,4
spotify:track:6JuEshIRliNXRU1LXctRjZ,"Halah","She Hangs Brightly","Mazzy Star",1990-05-21,196226,67,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T02:55:44Z,"dream pop,shoegaze,slowcore","Capitol Records",0.622,0.448,0,-10.709,1,0.0265,0.23,0,0.102,0.553,106.085,4
spotify:track:4wbDALtjwuwBxtMgjuumoi,"Goodbye","Blind","The Sundays",1992-01-01,284840,51,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T03:00:33Z,"dream pop,jangle pop","DGC",0.279,0.858,4,-9.183,1,0.0522,0.0739,0.289,0.178,0.369,101.998,4
spotify:track:3779JuDNzSNixKZZDlCgwG,"I Feel","Blind","The Sundays",1992-01-01,242400,47,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T03:03:00Z,"dream pop,jangle pop","DGC",0.226,0.494,4,-11.744,1,0.0325,0.18,0.000021,0.139,0.284,169.793,3
spotify:track:6Ix9YwZc6loLuisD8tDy01,"On Earth","Blind","The Sundays",1992-01-01,142693,54,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T03:08:05Z,"dream pop,jangle pop","DGC",0.518,0.489,0,-10.292,1,0.025,0.628,0.0152,0.095,0.441,97.969,4
spotify:track:7IP1TyTv9XWVFoeN0gsxx9,"More","Blind","The Sundays",1992-01-01,163333,34,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T03:22:32Z,"dream pop,jangle pop","DGC",0.516,0.625,2,-10.716,1,0.0328,0.163,0.0000358,0.31,0.359,126.129,4
spotify:track:4zEvxRDaKDoFlHxK7Hy0wg,"Sunday","Everybody Else Is Doing It So Why Can't We?","The Cranberries",1993-03-01,211066,70,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T16:48:39Z,"","Island Records",0.329,0.565,0,-13.103,1,0.0335,0.0614,0.0000197,0.126,0.167,108.859,4
