Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1G0sjeBdmr2gmVAR3xgZVs,"NO TELLIN","NO TELLIN","Dau Dau",2022-08-31,131830,9,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T19:44:31Z,"aussie drill","Swish Music PTY LTD",0.726,0.691,11,-7.771,0,0.315,0.0806,0,0.219,0.633,142.013,4
spotify:track:39d9CQbAB6AMLCxcJtSc0U,"Paris to Tokyo","B.I.B.L.E.","Fivio Foreign,The Kid LAROI",2022-07-15,130897,45,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T19:44:42Z,"brooklyn drill,new york drill,drill,uk drill","RichFish/Columbia",0.642,0.787,5,-6.389,0,0.17,0.0185,0,0.288,0.406,146.733,4
spotify:track:3IpqLTihKvd6JPIUShAp9J,"Love You Like A Love Song","Love You Like A Love Song","Stiff Lauren",2022-04-30,94931,9,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T19:44:47Z,"brooklyn drill,new york drill","Stiff Lauren",0.692,0.76,1,-6.03,0,0.256,0.273,0,0.138,0.382,144.962,4
spotify:track:7kWXW1tYyE2cOR11TPkKT7,"IN THE UK","IN THE UK","NLE Choppa",2022-07-08,183790,47,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T19:44:53Z,"","Warner Records",0.805,0.825,6,-6.123,0,0.311,0.329,0,0.0913,0.424,143.102,4
spotify:track:28KyrZDwNxyELcz1SU0TOB,"Drilly Tho","Drilly Tho","Yommy G",2021-10-31,120685,20,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:07:25Z,"new york drill,drill,brooklyn drill","3353448 Records DK",0.688,0.866,9,-5.814,1,0.33,0.116,0,0.086,0.784,160.079,4
spotify:track:4qquKK9z3Hy7p8y1Laa1vr,"Bacc Out","Bacc Out","Quelly Woo",2020-10-28,130546,19,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:11:42Z,"new york drill,brooklyn drill,drill","Equity Distribution",0.696,0.532,6,-10.616,0,0.356,0.379,0,0.126,0.564,141.999,4
spotify:track:5auKzb2kuqO3lTcoybxVJI,"No Remorse","From The Can","Sheff G",2022-07-15,149865,47,true,v828zh1enlyp9vzjlfaj5rzpm,2023-03-09T00:42:26Z,"brooklyn drill,new york drill,drill","Winners Circle/RCA Records",0.685,0.558,10,-5.192,0,0.109,0.819,0.000127,0.108,0.691,140.884,4
spotify:track:5didYDFR6fqN1zCJFroeOq,"Squeeze Freestyle","Squeeze Freestyle","TMP",2022-02-04,123259,0,true,v828zh1enlyp9vzjlfaj5rzpm,2023-03-09T00:43:22Z,"","Jnr Choi",0.672,0.829,1,-6.745,1,0.343,0.0283,0,0.141,0.758,147.962,4
spotify:track:2tkRJEM3g1AeOOD5NK2EDi,"ROLLIN N CONTROLLIN Pt. 3 (BEEN ROLLIN)","ROLLIN N CONTROLLIN","DUSTY LOCANE",2022-09-02,175813,20,true,v828zh1enlyp9vzjlfaj5rzpm,2023-03-09T00:46:19Z,"brooklyn drill,new york drill,drill","95MM / EMPIRE",0.613,0.688,1,-4.671,1,0.726,0.142,0,0.051,0.79,140.717,4
spotify:track:2NVXBBbO4xGO851zrMfCFi,"2 Mins of Pain (feat. Alborosie)","2 Mins of Pain (feat. Alborosie)","Sleepy Hallow,Alborosie",2022-09-07,136695,47,true,v828zh1enlyp9vzjlfaj5rzpm,2023-03-09T00:46:58Z,"brooklyn drill,new york drill,reggae,roots reggae,ragga,dub","Winners Circle/RCA Records",0.886,0.434,11,-12.106,0,0.403,0.101,0.00000122,0.297,0.785,147.995,4
spotify:track:4WaA43tyrDKdXmDvAopErQ,"Show Me Luv","Show Me Luv","Porter B",2022-02-14,95200,28,true,v828zh1enlyp9vzjlfaj5rzpm,2023-03-09T00:50:06Z,"new york drill,brooklyn drill,drill","Porter B",0.766,0.518,1,-11.855,1,0.258,0.447,0,0.107,0.674,76.525,4
spotify:track:4HNX7KxORBchEH3tlTnHTA,"Shoulda Known","Shoulda Known","Porter B",2021-12-03,97436,6,true,v828zh1enlyp9vzjlfaj5rzpm,2023-03-09T00:54:23Z,"new york drill,brooklyn drill,drill","Porter B",0.744,0.581,5,-11.595,0,0.334,0.367,0,0.363,0.872,144.982,4
spotify:track:3BXTMb6EczY3fmKb5PYiDa,"Go Crazy","Go Crazy","CHII WVTTZ",2021-07-27,101736,16,true,v828zh1enlyp9vzjlfaj5rzpm,2023-03-09T00:56:45Z,"new york drill,drill,brooklyn drill","CHII WVTTZ",0.767,0.456,1,-12.909,1,0.371,0.0689,0.000218,0.166,0.557,170.044,4
spotify:track:3sOQ1DCLQNHd3ULxZJiEMg,"No Negotiations","Proud Of Me Now","Sheff G",2020-12-16,110063,47,true,v828zh1enlyp9vzjlfaj5rzpm,2023-03-09T00:58:26Z,"brooklyn drill,new york drill,drill","Winners Circle/RCA Records",0.65,0.435,3,-4.808,0,0.376,0.738,0.000904,0.112,0.376,157.194,4
spotify:track:0rwOtnvfoBHa443aTwjSlu,"2MS","2MS","Nemzzz",2022-02-24,108169,68,true,v828zh1enlyp9vzjlfaj5rzpm,2023-03-09T00:58:40Z,"uk drill,drill","Motown Records UK / EMI",0.885,0.332,1,-8.62,1,0.848,0.0185,0,0.119,0.423,141.849,4
spotify:track:5Pli7y7DiK19rF0JL6Nsqi,"Krazy Krazy","Who is Nardo Wick?? (Deluxe)","Nardo Wick",2022-07-22,142697,41,true,v828zh1enlyp9vzjlfaj5rzpm,2023-03-09T00:58:58Z,"","Flawless Ent./RCA Records",0.589,0.798,11,-6.273,1,0.309,0.00226,0.00000553,0.353,0.373,162.07,4
spotify:track:5DT2fVrYGbXNhMYCnEFfg2,"Chapters","No More Leaks","Central Cee",2022-10-14,114580,58,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-18T21:10:28Z,"uk drill,drill,uk grime,grime","Central Cee",0.658,0.674,1,-8.148,1,0.221,0.113,0,0.155,0.671,154.85,1
spotify:track:49sbpteBVjEyW4M6P38SM4,"Londis","ReBourne","Blanco",2023-08-18,118687,57,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-18T21:10:35Z,"uk drill,drill,grime,afroswing,uk grime","Believe UK",0.759,0.605,7,-7.771,1,0.216,0.539,0.00000675,0.707,0.615,152.112,4
spotify:track:58E4qtpkOmMqbJxHM1dm6I,"The Mantra - Heat in the Street Freestyle","The Mantra (Heat in the Street Freestyle)","Knucks",2021-09-27,97714,55,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-18T21:10:43Z,"uk drill,grime,uk grime,drill","NODAYSOFF CC LIMITED",0.584,0.695,6,-9.029,1,0.362,0.475,0.00000798,0.397,0.666,139.599,4
spotify:track:3TN2HZSll8ueBFtt88VbfX,"Pressure","Pressure","Rushy",2023-06-23,164357,64,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-18T21:10:56Z,"uk drill","GRADUATION*",0.866,0.66,9,-7.314,1,0.302,0.0379,0.00000386,0.107,0.451,140.087,4
spotify:track:0Y4mKsTiRbldLocloTolM1,"Los Pollos Hermanos","ALPHA PLACE","Knucks",2022-05-06,95871,62,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-18T21:11:03Z,"uk drill,grime,uk grime,drill","NO DAYS OFF CC LIMITED",0.798,0.618,11,-8.218,0,0.163,0.683,0,0.695,0.874,139.972,4
spotify:track:3qIxnOusGoTpHvNVMLHscw,"Tropical","Tropical","SL",2017-12-26,180062,4,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-18T21:11:09Z,"uk drill,drill,grime,uk grime","Independent",0.847,0.434,10,-12.466,0,0.275,0.76,0.00000889,0.156,0.44,140.005,4
spotify:track:2FDTHlrBguDzQkp7PVj16Q,"Sprinter","Sprinter","Dave,Central Cee",2023-06-01,229133,81,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-18T21:11:22Z,"grime,uk grime,uk drill,drill","Neighbourhood / Live Yours",0.918,0.681,1,-4.705,1,0.201,0.263,0,0.0615,0.706,139.057,4
spotify:track:7BzPPNCbgWAUf7Mck15jFS,"Who Got the Wok","SHOTTY MEETS WORLD","Luh Shotty",2022-07-01,123977,39,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-23T15:05:46Z,"new york drill,drill","YH Entertainment",0.825,0.558,10,-10.431,1,0.343,0.0897,0.00127,0.131,0.359,150.131,4
spotify:track:6T5i0o62ZyfHRRHHihYJ1n,"PSA","The D.O.A. Tape","Kay Flock",2021-11-05,113600,65,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-25T23:13:24Z,"new york drill,drill,brooklyn drill","Capitol Records",0.872,0.77,1,-6.722,1,0.538,0.0591,0,0.0663,0.817,147.061,4
spotify:track:3pU2KkdQkI0lVjVInjFhgB,"Close Friends","Close Friends","Bandmanrill",2022-01-01,90091,42,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-25T23:14:43Z,"jersey club,new york drill,drill,philly club,sexy drill,brooklyn drill","100%Pure/1865 LLC",0.662,0.433,7,-13.147,0,0.415,0.111,0,0.196,0.38,139.888,4
spotify:track:6kJaXZXVrXZ7dBJAimAaaZ,"SHOES","SUNO MODE","Ron Suno,DUSTY LOCANE,Rah Swish",2022-08-05,142545,0,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-25T23:16:39Z,"new york drill,drill,brooklyn drill","SBL, LLC/ EMPIRE",0.809,0.645,1,-5.908,1,0.339,0.0022,0.0000915,0.297,0.685,164.805,4
spotify:track:43IYnqZj6slsFqPTmBNS4E,"Left Back - Remix","Left Back (Remix)","Ronzo,COMFY",2022-02-10,180413,40,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-25T23:21:00Z,"uk drill,drill","Ronzo, exclusively licensed by Ditto Music",0.904,0.654,11,-9.292,1,0.345,0.468,0,0.0617,0.805,144.966,4
spotify:track:1YEoYb9lL5wGupfzQja1CA,"No Drop","No Drop","StudioWyzz",2022-07-15,97500,45,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-25T23:21:08Z,"uk drill","HQ Familia",0.867,0.617,1,-9.354,1,0.324,0.0951,0,0.103,0.389,159.946,4
spotify:track:4gaB38fhaZRD3dCiRDxSzy,"Riskey x Greeze - No Miming","Riskey x Greeze - No Miming","Bagzoverfame x Riskey,GREEZE",2022-06-17,145421,0,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-25T23:21:51Z,"uk drill,drill","Tim & Barry Records",0.777,0.94,8,-4.927,0,0.23,0.331,0,0.12,0.853,160.034,4
spotify:track:2xwUNQTIb2DDfSoc9m2ZDM,"Fake Friends","Snakes & Ladders","E1 (3x3)",2023-03-10,152260,1,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-25T23:23:03Z,"uk drill,drill","3x3entlimited",0.792,0.64,10,-8.954,0,0.18,0.49,0,0.106,0.749,146.09,4
spotify:track:4nxSXFQ1c7Om6dL5l8eA1k,"Get Lit","Get Lit","Tskinz",2022-04-20,138045,34,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-25T23:24:55Z,"uk drill","Black Butter Records",0.742,0.725,2,-4.082,1,0.236,0.492,0.0473,0.15,0.679,140.075,4
spotify:track:0jPw5egV9IMUCZu4JfHwwA,"My Shit","Same Energy","Bizzy Banks",2021-07-23,120189,37,true,v828zh1enlyp9vzjlfaj5rzpm,2023-12-09T15:10:08Z,"brooklyn drill,new york drill,drill","Atlantic Records",0.453,0.666,3,-5.439,0,0.268,0.654,0,0.184,0.431,92.319,5
spotify:track:2SXasuOt1Y2B4nG80W4ytk,"Toast'd Up","Toast'd Up","Curly Savv",2021-12-03,120826,33,true,v828zh1enlyp9vzjlfaj5rzpm,2023-12-09T15:10:15Z,"new york drill,brooklyn drill,drill","SWMG",0.773,0.697,5,-7.638,0,0.252,0.398,0,0.102,0.791,142.989,4
spotify:track:5ZteGqXCZ1dffJnaGIvFdS,"hurts me","hurts me","babysevin",2022-05-30,74710,0,true,v828zh1enlyp9vzjlfaj5rzpm,2023-12-17T19:41:52Z,"new york drill,drill","3930059 Records DK",0.704,0.865,8,-5.063,1,0.2,0.0333,0,0.341,0.479,153.196,4
spotify:track:6XH5Uqo3d0cvBv0dv9Jwh8,"MONEY AND VIBES","MONEY AND VIBES","Nemzzz",2023-10-19,122253,57,true,v828zh1enlyp9vzjlfaj5rzpm,2024-02-19T23:54:52Z,"uk drill,drill","Nemzzz",0.817,0.363,5,-14.085,0,0.283,0.293,0,0.156,0.857,150.134,3
spotify:track:3DHB4RzX7kWcpjjFtcmWqh,"Twirlanta","The Blixky Tape 2","22Gz",2021-03-19,178406,65,true,v828zh1enlyp9vzjlfaj5rzpm,2024-04-02T14:18:46Z,"brooklyn drill,new york drill,drill","Atlantic Records",0.803,0.738,0,-4.946,1,0.294,0.528,0,0.112,0.323,139.948,4
