Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7ilc2TB1RZXbQJyFs5qCiC,"Fly Me To The Moon","The Shadow Of Your Smile","Astrud Gilberto",1965-05-22,142533,63,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T06:53:23Z,"bossa nova,brazilian jazz,latin jazz,vocal jazz,adult standards","Verve Reissues",0.596,0.306,7,-14.404,1,0.0345,0.884,0.000375,0.0733,0.474,133.639,4
spotify:track:2rn48d6ACa5rpLLnnowNQ0,"Un anno d'amore","Studio Uno","Mina",2009,193440,53,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T06:53:57Z,"italian singer-songwriter,italo dance","Peer Southern Productions",0.457,0.338,9,-6.589,0,0.0283,0.699,0,0.105,0.464,98.471,4
spotify:track:6rqUOLt9dpfMANLMKTzoWj,"Le temps de l'amour - Stereo Mix","Tous les garçons et les filles","Françoise Hardy",1962-06-30,144826,62,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T06:54:31Z,"chanson,french pop,variété française,french jazz","Vogue",0.586,0.412,8,-10.116,0,0.0334,0.798,0,0.152,0.706,132.199,4
spotify:track:6g5qyQrAcoBX4X7XjxBoTO,"Comment te dire adieu - Remasterisé en 2016","Comment te dire adieu (Remasterisé en 2016)","Françoise Hardy",1968-12-15,148506,63,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T06:55:34Z,"chanson,french pop,variété française,french jazz","Parlophone (France)",0.711,0.586,10,-9.78,0,0.0514,0.435,0.00000648,0.15,0.931,124.058,4
spotify:track:3XXd9jqR6IpMtxMmbMuoyn,"Le temps est bon","Le temps est bon","Isabelle Pierre",2015-08-10,209360,49,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T06:58:17Z,"french indie pop,french pop,variété française,french house","Nicole Lapointe",0.412,0.417,3,-8.25,1,0.0281,0.789,0,0.686,0.296,81.525,4
spotify:track:5ncEdaiiFwkXzqJa80iIT7,"Bang Bang","Escales Autour Du Monde","Dalida",1998-01-01,204733,42,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T06:58:31Z,"chanson,variété française","Universal Music Division Barclay",0.451,0.456,9,-6.606,0,0.0256,0.658,0,0.173,0.423,75.133,4
spotify:track:358jMpTqOfIOYjpcg2Ig2j,"Bonnie And Clyde","Bubble Gum","Brigitte Bardot,Serge Gainsbourg",1994-01-01,256000,53,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:00:22Z,"french jazz,french pop,chanson,variété française,french house","Universal Music Division Mercury Records",0.403,0.575,5,-12.029,1,0.0519,0.00631,0.246,0.122,0.567,97.68,4
spotify:track:7cUKT1Wiwve4E5iRFOLVmz,"La javanaise","N°4","Serge Gainsbourg",1962-01-01,149240,51,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:03:02Z,"chanson,variété française,french pop,french jazz,french house","Universal Music Division Mercury Records",0.426,0.459,9,-12.863,1,0.0405,0.289,0.0011,0.239,0.421,129.304,3
spotify:track:2PIGvb6Qdl9PQXmnqhbCaQ,"Le tourbillon","Jules et Jim (Original Cinema Soundtrack)","Georges Delerue",1961,127706,24,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:03:50Z,"chanson","Original Cinema Soundtrack",0.606,0.236,3,-11.715,1,0.137,0.875,0,0.123,0.589,150.251,3
spotify:track:6Q2emXXZy652fNKkSSfNht,"La Rua Madureira","Nino Ferrer","Nino Ferrer",2004-01-01,203146,47,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:05:47Z,"variété française,chanson,french pop,french house","Universal Music Division Barclay",0.532,0.5,7,-8.696,1,0.0685,0.491,0.00142,0.156,0.505,122.854,5
spotify:track:6nPYrJMje6iXmI6Mp1EX3J,"Fleur de lune","Soleil","Françoise Hardy",1970,185493,36,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:07:27Z,"chanson,french pop,variété française,french jazz","Parlophone (France)",0.471,0.632,7,-9.363,0,0.0326,0.212,0.0102,0.361,0.478,111.377,4
spotify:track:2g86TduNPjOj3bRcgpQEpL,"Samba Saravah","Un homme et une femme (Original Motion Picture Soundtrack)","Pierre Barouh",1966-05-27,276720,44,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:09:53Z,"french jazz,bossa nova","Les Films 13",0.644,0.314,8,-14.51,1,0.0556,0.906,0.000547,0.0873,0.613,147.709,4
spotify:track:4SrJyRdyHYxxkcVMQ3QkGE,"Corcovado (Quiet Nights Of Quiet Stars)","The Girl From Ipanema - The Bossa Nova Years","Stan Getz,João Gilberto,Astrud Gilberto,Antônio Carlos Jobim",1989-01-01,254666,44,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:15:23Z,"bossa nova,jazz,brazilian jazz,cool jazz,latin jazz,samba,mpb,vocal jazz,adult standards","Verve Reissues",0.572,0.152,9,-15.658,0,0.0408,0.961,0.000471,0.136,0.339,127.511,4
spotify:track:5VyLSRtAsbaDWRBwm0MRVo,"Ce soir je m'en vais","Jacqueline Taïeb","Jacqueline Taieb",1967-04-03,149493,35,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:19:49Z,"french pop","Anthology's",0.528,0.391,4,-9.666,0,0.0294,0.206,0.00000766,0.117,0.281,90.907,4
spotify:track:08BrrGh4bFSTbTgZ8eLRga,"Cannes","Les Lys Brisés","Barbara Carlotti",2006-09-04,153040,30,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:23:06Z,"french pop,french indie pop,chanson","4AD",0.855,0.525,4,-7.429,0,0.0362,0.537,0.00354,0.103,0.799,116.08,4
spotify:track:4nqih81U6mhe3YTkUowWKy,"J'ai jeté mon coeur","Tous les garçons et les filles","Françoise Hardy",1962-06-30,151973,38,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:25:00Z,"chanson,french pop,variété française,french jazz","Vogue",0.822,0.362,7,-10.361,1,0.0325,0.79,0.00078,0.0914,0.927,107.555,3
spotify:track:5zIllFUqQjHI8EvY1RBlem,"Soleil","Soleil","Françoise Hardy",1970,225226,44,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:25:18Z,"chanson,french pop,variété française,french jazz","Parlophone (France)",0.295,0.409,7,-10.441,1,0.0276,0.833,0.00896,0.103,0.342,99.314,4
spotify:track:69b0LLpQ926WY9blYcJAKb,"Le premier bonheur du jour - Remastered","Le premier bonheur du jour (Remastered)","Françoise Hardy",2017-05-20,110588,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:29:00Z,"chanson,french pop,variété française,french jazz","Vintage Records",0.467,0.47,9,-9.73,0,0.0304,0.837,0.000104,0.103,0.301,84.384,4
spotify:track:6CnsIuha7pEgfHThB89i0S,"Le troublant témoignage de Paul Martin","Le troublant témoignage","Paul Martin,Jean-Pierre Castaldi",2021-06-25,271232,30,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T07:35:25Z,"","Musiques & Solutions / M&S",0.493,0.622,8,-7.21,1,0.038,0.472,0.00149,0.356,0.38,82.137,4
