Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,"California Dreamin' - Single Version","If You Can Believe Your Eyes & Ears","The Mamas & The Papas",1966-03,162373,77,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T16:44:10Z,"folk rock","Geffen*",0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,4
spotify:track:78ZqE2tjAxbqEGGlvGnQfT,"A Whiter Shade of Pale - Original Single Version","Hits'n'Flips","Procol Harum",2019-05-03,248946,1,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T16:47:25Z,"progressive rock,baroque pop","Fly Records",0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,4
spotify:track:5AJrhrwz4oSZX2PwwV4qrN,"Time of the Season - Mono Version","Odessey and Oracle","The Zombies",1968-04-19,214026,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T16:47:30Z,"baroque pop,psychedelic rock","Marquis Enterprises Ltd",0.537,0.7,4,-6.852,0,0.0366,0.142,0.00000158,0.383,0.695,117.111,4
spotify:track:4uGIJG1jYFonGc4LGp5uQL,"Somebody to Love","Surrealistic Pillow","Jefferson Airplane",1967,174840,67,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-25T20:10:06Z,"psychedelic rock,acid rock","RCA/BMG Heritage",0.504,0.578,4,-9.302,1,0.031,0.408,0,0.321,0.654,132.411,4
spotify:track:7vYA9ET5AUqJt5pBbhKmcB,"Don't Let Me Be Misunderstood","Animal Tracks","The Animals",1965-09-01,149360,55,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-25T20:12:27Z,"classic rock","ABKCO Music & Records, Inc.",0.513,0.775,11,-5.136,0,0.0284,0.0929,0,0.404,0.518,112.202,4
spotify:track:1IqFh00G2kvvMm8pRMpehA,"Me and Bobby McGee","Pearl (Legacy Edition)","Janis Joplin",1971-01-11,271333,69,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-25T20:55:16Z,"classic rock,acid rock,psychedelic rock","Columbia/Legacy",0.43,0.463,2,-10.96,1,0.0442,0.303,0.0000584,0.152,0.66,93.405,4
spotify:track:1xKQbqQtQWrtQS47fUJBtl,"Piece of My Heart","Cheap Thrills","Big Brother & The Holding Company,Janis Joplin",1968-08-12,253333,67,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-25T20:56:27Z,"psychedelic rock,acid rock,classic rock","Columbia/Legacy",0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,4
spotify:track:3L60Vu9qmY6fg2QroRIxgi,"Cry Baby","Pearl (Legacy Edition)","Janis Joplin",1971-01-11,238600,60,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-25T21:00:45Z,"classic rock,acid rock,psychedelic rock","Columbia/Legacy",0.474,0.418,0,-9.654,1,0.0299,0.514,0.000343,0.0535,0.504,83.308,3
spotify:track:3eYCJXTViFwl5mdtcTsF4G,"Summertime","Cheap Thrills","Big Brother & The Holding Company,Janis Joplin",1968-08-12,238400,57,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-25T21:04:56Z,"psychedelic rock,acid rock,classic rock","Columbia/Legacy",0.295,0.296,5,-13.94,1,0.0291,0.0936,0.000213,0.128,0.384,180.756,3
spotify:track:0AHDlEUBrrihhv55vwd7aS,"To Love Somebody","I Got Dem Ol' Kozmic Blues Again Mama!","Janis Joplin",1969-09-01,313066,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-25T21:09:28Z,"classic rock,acid rock,psychedelic rock","Columbia/Legacy",0.52,0.331,11,-10.742,0,0.066,0.426,0.00182,0.199,0.347,124.77,4
