Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0dAfw35k2hBsnbSl74AVJF,"dashstar*","dashstar*","Knock2",2021-02-05,198095,59,false,v828zh1enlyp9vzjlfaj5rzpm,2022-03-24T01:38:58Z,"bass house,edm,bassline","NIGHTMODE",0.699,0.949,9,-2.994,1,0.0739,0.00872,0.328,0.151,0.186,126.07,4
spotify:track:2vHOCV5YErCA8ypUwHozcA,"ON FIRE","BRAVE","JOYRYDE",2020-04-03,203520,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-03-24T01:39:04Z,"bass house,g-house","HARD Recs",0.784,0.91,1,-2.698,1,0.0823,0.00735,0.588,0.28,0.596,125.026,4
spotify:track:4lhJBpSji4xKsXcB9Yhxrw,"Hard Street","House of Wax","Wax Motif,ALRT,Nessly",2022-02-18,224780,25,true,v828zh1enlyp9vzjlfaj5rzpm,2022-03-24T01:39:10Z,"bass house,g-house,tech house","Divided Souls (CMG)",0.763,0.839,3,-5.268,0,0.129,0.00441,0.0424,0.0723,0.333,127.031,4
spotify:track:0qI1sBGz9cVtTzuH27p7kS,"Nova","Nova","MPH",2021-02-12,213000,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-03-24T01:39:14Z,"uk garage,bassline,rally house,bass house","Night Bass Records",0.797,0.602,10,-7.231,0,0.141,0.149,0.845,0.109,0.478,131.998,4
spotify:track:3qLLNBpWO3XMmlpMc5bS0q,"Through Glass","Through Glass","Taiki Nulight",2019-11-07,156191,44,false,v828zh1enlyp9vzjlfaj5rzpm,2022-03-24T01:39:19Z,"bassline,bass house,g-house,uk garage","Cr2 Records",0.89,0.477,2,-5.876,1,0.056,0.0122,0.746,0.0812,0.531,125.987,4
spotify:track:7tQcHPmcQ22XiCW9Qz0nfT,"Take A Step Back","Take A Step Back","Dr. Fresch,Marten Hørger",2020-11-06,160000,53,false,v828zh1enlyp9vzjlfaj5rzpm,2022-03-24T01:39:28Z,"g-house,bass house,tech house","House Call Records",0.811,0.888,1,-5.735,1,0.263,0.0547,0.92,0.277,0.219,125.984,4
spotify:track:4FynH1lObCJ0ILN5VgfWOD,"Gotta Be - Bleu Clair Remix","Gotta Be - Bleu Clair Remix","Bleu Clair,Habstrakt",2021-03-12,176770,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-03-24T01:39:33Z,"bass house,tech house,g-house,dubstep,bassline","Insomniac Records",0.755,0.904,6,-5.332,0,0.0812,0.0338,0.0809,0.316,0.496,125.014,4
spotify:track:4p3eoIXR9fq3vwlD9yUL0i,"Hard Street","Hard Street","Wax Motif,ALRT,Nessly",2021-07-23,224780,17,true,v828zh1enlyp9vzjlfaj5rzpm,2022-03-24T01:39:38Z,"bass house,g-house,tech house","Divided Souls",0.763,0.839,3,-5.268,0,0.129,0.00441,0.0424,0.0723,0.333,127.031,4
spotify:track:20on25jryn53hWghthWWW3,"Do It To It","Do It To It","ACRAZE,Cherish",2021-08-20,157890,77,false,v828zh1enlyp9vzjlfaj5rzpm,2022-03-24T01:39:49Z,"tech house","Thrive Music, LLC",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,4
spotify:track:4QLs4TwtXGWtTh1aeyNqwG,"5 On It - 71 Digits Remix","5 On It (71 Digits Remix)","Steff da Campo,Chico Rose,71 Digits",2021-04-09,151017,50,false,v828zh1enlyp9vzjlfaj5rzpm,2022-03-24T01:39:54Z,"future house,bass house,slap house","Spinnin' Records",0.714,0.88,10,-7.013,0,0.417,0.0793,0.0000974,0.116,0.442,117.937,4
