Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0u5aRUEwlWhtO32VASKoLi,"Divine","Divine","Blair Muir",2024-11-01,163641,63,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:16:53Z,"","All Ways Dance",0.62,0.875,7,-6.5,1,0.0468,0.00781,0.043,0.107,0.102,132.007,4
spotify:track:6LiymK22664km6IxxgQ5w5,"Precision","Precision","Junior Simba",2022-01-28,179337,20,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:17:17Z,"","Simba Sounds",0.745,0.647,1,-8.406,1,0.0474,0.00112,0.508,0.146,0.19,127.979,4
spotify:track:7FuOr01j61l7nBgENXfOIX,"The Chant","The Chant","Todd Edwards",2021-03-19,186774,36,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:18:25Z,"uk garage","Undisputed Music",0.808,0.695,5,-9.711,0,0.0391,0.00881,0.0664,0.0396,0.895,125.008,4
spotify:track:7lDGg8CFySbkKUrjgzcLlY,"The Less I Know The Better","The Less I Know The Better","Mau P",2025-02-28,176114,76,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:20:29Z,"tech house,house","Nervous Records",0.754,0.8,6,-7.383,0,0.0506,0.000793,0.651,0.352,0.948,128.001,4
spotify:track:7elX5HalbHX0ce1dql4ckd,"F The Disco","Our Beats","Cavi",2020-01-24,284506,53,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:21:29Z,"disco house,funky house","Too Many Rules",0.734,0.776,5,-7.717,0,0.0992,0.00894,0.738,0.0916,0.793,124.018,4
spotify:track:1xZOYV0Z6i7z0nAnyL1zmT,"Out The Fire (At The Hotel) - Radio Edit","Out The Fire (At The Hotel)","Franky Rizardo,Ros T,Eunice Collins",2021-06-18,214687,61,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:24:23Z,"house,tech house,disco house","Altra Moda Music",0.849,0.912,11,-6.364,0,0.321,0.15,0.0000592,0.198,0.541,128.03,4
spotify:track:04gs2fDnnjT6995ruR1qbk,"Ease My Mind","Ease My Mind","Chris Lake,Abel Balder",2025-02-14,191704,70,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:25:08Z,"tech house,house,bass house","Black Book Records",0.739,0.805,8,-6.067,0,0.0337,0.0551,0.16,0.103,0.766,125.997,4
spotify:track:6ow9Iwh3H3ud5cRREiEX53,"Do To Me","Do To Me","Tim Sanders",2024-11-29,144609,73,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:26:08Z,"rally house,house","Aurorian Records",0.82,0.811,7,-10.389,1,0.0494,0.0306,0.841,0.0817,0.667,127.965,4
spotify:track:7wAuksvJErTLz0OHTDJPIa,"Hit the Ground","Hit the Ground","Texture",2025-02-14,145696,75,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:26:58Z,"","7CULT powered by PULSE.CX",0.878,0.713,8,-7.474,1,0.133,0.117,0.434,0.102,0.238,122.047,4
spotify:track:126ybtMM3PXIo6rnwCSe6i,"Can't Help But Worry (Every Night Every Day)","Can't Help But Worry (Every Night Every Day)","Soluna",2025-02-07,109440,73,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:28:16Z,"","7CULT powered by PULSE.CX",0.807,0.822,3,-6.871,0,0.145,0.0713,0.296,0.1,0.341,124.97,4
spotify:track:3DI2oqIjh0ni5PvU6n33Al,"For The Same Man - Nic Fanciulli Remix","For The Same Man (Nic Fanciulli Remix)","B Beat Girls,Nic Fanciulli",1983-03-07,214036,56,false,v828zh1enlyp9vzjlfaj5rzpm,2025-05-14T03:31:38Z,"house,tech house","Defected Records",0.778,0.877,11,-8.96,0,0.0463,0.000351,0.712,0.114,0.792,127.015,4
