Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:464u7d5Yq1oJ1vmumRX0MA,"How Blue Can You Get?","Definitive Greatest Hits","B.B. King",1999-04-12,161040,12,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:18:18Z,"blues,classic blues,jazz blues,soul blues,blues rock","Geffen",0.665,0.397,7,-8.692,1,0.0346,0.656,0.00327,0.0618,0.511,102.816,3
spotify:track:5anpAvMF806JqFfiug0fUH,"Chains And Things","Definitive Greatest Hits","B.B. King",1999-04-12,293160,11,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:19:05Z,"blues,classic blues,jazz blues,soul blues,blues rock","Geffen",0.573,0.39,4,-8.576,0,0.0322,0.543,0.0821,0.108,0.363,79.521,4
spotify:track:3JLgutRq53dVR2tb8X56FP,"To Know You Is To Love You","Definitive Greatest Hits","B.B. King",1999-04-12,229400,10,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:26:45Z,"blues,classic blues,jazz blues,soul blues,blues rock","Geffen",0.817,0.607,9,-7.525,0,0.0502,0.219,0.6,0.132,0.803,103.048,4
spotify:track:4G1Y8bG1oveKRy3ihiA1aY,"Have You Ever Loved a Woman - Live","The Blues Live! (Expanded Edition)","Freddie King",2012-02-02,767293,26,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:30:49Z,"blues,classic blues,blues rock,soul blues,modern blues","Airline Records",0.431,0.472,2,-9.454,1,0.0746,0.961,0.469,0.0699,0.381,73.839,3
spotify:track:5qcrexsUJ4AYyxw7zn3YKi,"Help The Poor","Live At The Regal","B.B. King",1965,158333,25,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:38:14Z,"blues,classic blues,jazz blues,soul blues,blues rock","Geffen*",0.678,0.382,2,-10.316,1,0.0422,0.741,0,0.653,0.795,120.643,4
spotify:track:2KaiZgGRtgeETwv52tn5rK,"I Wanna Get Funky","I Wanna Get Funky","Albert King",1973-01-01,247426,37,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:39:29Z,"blues,classic blues,blues rock,soul blues,jazz blues,modern blues","Stax",0.623,0.446,5,-12.569,1,0.0331,0.172,0.00101,0.114,0.806,116.612,3
spotify:track:4KVEHkTYmCxYwkat9eniQs,"Driftin' Blues - Single Version","That's It! / Duke Recordings Vol. III","Bobby Blue Bland",1996-01-01,208000,34,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:44:31Z,"blues,soul blues,classic blues,soul,classic soul","Geffen*",0.439,0.432,7,-7.63,1,0.0374,0.534,0,0.231,0.446,172.095,3
spotify:track:5BXmZl7ZWurBligoNBER0q,"I Can't Quit You Baby - Alternate Version","1956-1958 Cobra Recordings","Otis Rush",1999-01-14,220066,34,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:45:15Z,"blues,classic blues,blues rock,soul blues,modern blues","Paula Records",0.388,0.354,2,-11.347,1,0.0452,0.977,0.026,0.24,0.565,172.337,3
spotify:track:4Gia17DzXBhYFbYiJj6SyW,"Working Man","Mourning In The Morning","Otis Rush",2005-02-08,147800,47,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:48:44Z,"blues,classic blues,blues rock,soul blues,modern blues","Rhino Atlantic",0.633,0.625,0,-10.951,1,0.0436,0.492,0.000418,0.204,0.841,103.355,4
spotify:track:1lK8K3i4ooFEcCoCNHAmvl,"Stormy Monday","My Feeling For the Blues","Freddie King",1969,264800,42,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:52:09Z,"blues,classic blues,blues rock,soul blues,modern blues","Rhino Atlantic",0.518,0.223,5,-13.805,1,0.0338,0.459,0.000161,0.0479,0.34,143.628,3
spotify:track:7JPnNdNzVFP1tbUhRpcgMV,"Conversation with Collins","Ice Pickin'","Albert Collins",1978-01-01,531266,25,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T19:55:50Z,"blues,classic blues,blues rock,modern blues","Alligator Records",0.657,0.184,9,-14.806,0,0.0945,0.184,0.000412,0.153,0.299,146.309,3
spotify:track:2NdRldi1OaTHDdTOnTS1Z8,"As The Years Go Passing By","I Hear Some Blues Downstairs","Fenton Robinson",1978-01-01,288426,41,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T20:05:05Z,"blues,classic blues,soul blues","Alligator Records",0.612,0.113,4,-20.498,0,0.0426,0.77,0.449,0.122,0.512,81.784,3
spotify:track:0GvTuG8uhF45s8yT3aYPH4,"Luther's Blues","The Motown Years 1972-1976","Luther Allison",1996-01-01,380493,22,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T20:09:26Z,"blues,classic blues,modern blues,blues rock","Motown",0.479,0.609,5,-7.938,1,0.067,0.682,0.0000359,0.0845,0.583,177.971,3
spotify:track:1Bj9ZlEaZn5nOCKOeoCGPz,"All Over Again - Live At Royal Festival Hall London/1981","How Blue Can You Get? (Classic Live Performances 1964 - 1994)","B.B. King,The Crusaders,Royal Philharmonic Orchestra",1996-06-18,409040,23,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T20:17:31Z,"blues,classic blues,jazz blues,soul blues,blues rock,jazz funk,jazz fusion,smooth jazz,soul jazz,orchestra,classical","Geffen",0.424,0.379,8,-10.909,0,0.0465,0.872,0.0607,0.963,0.385,145.249,3
spotify:track:0xGSeBsG4V8Scc5YqpZQ66,"Maybe","I Got Dem Ol' Kozmic Blues Again Mama!","Janis Joplin",1969-09-11,219133,59,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T02:27:05Z,"classic rock,acid rock,psychedelic rock","Columbia/Legacy",0.4,0.35,8,-11.401,1,0.0345,0.227,0.0397,0.103,0.328,83.389,4
spotify:track:5Q4bBeiROteHrXGTYX7Gqz,"Got My Mojo Working","They Call Me the Popcorn Man (France 1975) [Blues Reference]","Luther Johnson",1975,250866,7,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T02:46:38Z,"blues,jazz blues,classic blues","Disques Black & Blue",0.729,0.491,9,-11.515,1,0.0483,0.448,0.00122,0.0609,0.863,132.32,4
spotify:track:3KiY2M7rSpWBxEKNHg24Xq,"Rock Me Baby","Born In Georgia (Blues Reference)","Luther Johnson",2003,205080,37,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T02:52:03Z,"blues,jazz blues,classic blues","Disques Black & Blue",0.704,0.478,4,-9.082,1,0.0375,0.616,0.077,0.21,0.827,103.958,4
spotify:track:6zQVb0GmISFam9t72ymYfd,"Woman Don't Lie","Born In Georgia (Blues Reference)","Luther Johnson",2003,341480,25,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T02:54:03Z,"blues,jazz blues,classic blues","Disques Black & Blue",0.631,0.468,4,-10.534,0,0.049,0.431,0.141,0.158,0.827,98.562,4
spotify:track:0HYctZqVD1wVOaxl4M43Uv,"Rock'n Roll Everyday","Born In Georgia (Blues Reference)","Luther Johnson",2003,180253,34,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T03:02:20Z,"blues,jazz blues,classic blues","Disques Black & Blue",0.56,0.717,4,-8.801,1,0.066,0.356,0.0388,0.441,0.922,166.336,4
spotify:track:7IqxwAWiA7Ff0Tkh8fnebb,"Why Do Things Happen To Me","The Blues","B.B. King",1957-01-01,168760,16,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T03:05:02Z,"blues,classic blues,jazz blues,soul blues,blues rock","Virgin Catalog",0.48,0.66,10,-5.221,1,0.0559,0.697,0.0000185,0.294,0.759,91.621,4
spotify:track:2npbwyr9HxwL6AHVw8mFVC,"When My Heart Beats Like A Hammer","The Blues","B.B. King",1957-01-01,175680,15,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T03:07:36Z,"blues,classic blues,jazz blues,soul blues,blues rock","Virgin Catalog",0.523,0.599,0,-5.44,1,0.0338,0.805,0.0023,0.0788,0.62,111.404,3
spotify:track:2VWfAzF3iTD4nnE3LZzHTP,"I Want To Get Married","The Blues","B.B. King",1957-01-01,184240,11,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T03:13:30Z,"blues,classic blues,jazz blues,soul blues,blues rock","Virgin Catalog",0.499,0.452,1,-6.392,1,0.0585,0.638,0.000873,0.0651,0.651,81.314,4
spotify:track:1WeX8wcU8FDEZxWurJLU0r,"Three O'clock Blues","Singin' The Blues","B.B. King",1957-01-01,183293,38,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T03:18:57Z,"blues,classic blues,jazz blues,soul blues,blues rock","Virgin Catalog",0.389,0.439,10,-7.539,1,0.0379,0.948,0.00143,0.188,0.587,70.849,4
spotify:track:79bgIoEPpQpVqRyh7aUuJN,"Coming Home","Elmore James Blues Legends","Elmore James",1963,146822,8,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-18T18:24:38Z,"blues,classic blues,blues rock","StreamWorld Entertainment Classics",0.507,0.752,2,-6.326,1,0.0441,0.883,0.00623,0.332,0.87,102.898,4
spotify:track:36WLPM8UkoLQ6L4qWG1f7S,"Look On Yonder Wall","Elmore James Blues Legends","Elmore James",1963,151419,9,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-18T18:27:14Z,"blues,classic blues,blues rock","StreamWorld Entertainment Classics",0.544,0.928,4,-3.503,1,0.0928,0.217,0.0562,0.185,0.545,105.637,4
spotify:track:7z2o61QeKKJY2i4JJTbEEI,"Mannish Boy","The Real Folk Blues","Muddy Waters",1966-01-01,177893,33,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-18T18:29:39Z,"blues,classic blues,blues rock,soul blues,jazz blues,country blues","Geffen",0.603,0.389,9,-12.949,1,0.0717,0.716,0,0.08,0.673,108.018,3
