Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4iA88oQWdf4pqbRBRd3sOp,"WAY PAST LUCK (feat. 21 Savage)","GOD DID","DJ Khaled,21 Savage",2022-08-26,136947,41,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-05T19:42:47Z,"","Epic/We The Best",0.536,0.589,11,-6.101,0,0.151,0.0169,0,0.469,0.24,77.167,4
spotify:track:5VYWq0GGM1L4OF8jBdEEov,"Limbo","Limbo","KYSLINGO",2018-07-31,85513,51,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-05T19:46:01Z,"","KYSLINGO, under exclusive license to Amuseio AB",0.771,0.431,2,-12.331,1,0.354,0.553,0.00197,0.122,0.0593,84.982,4
spotify:track:1IroEif8cZgd5StCRqQgPK,"Olympics","YungWoah 2","yung woah",2022-09-15,137743,0,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-05T19:46:13Z,"","B U entertainment",0.709,0.645,0,-6.48,1,0.205,0.00148,0,0.189,0.372,148.131,4
spotify:track:4oEI1GhYiyp222Ue00f5mh,"Y NOT? - Bonus","FLAWLESS LIKE ME","LUCKI",2022-09-23,148533,59,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-05T19:46:25Z,"cloud rap","Lucki / EMPIRE",0.735,0.661,2,-5.523,1,0.0893,0.0704,0.0000574,0.159,0.298,155.037,4
spotify:track:4CCrZzRdeWYrWJ0DoN4XCa,"FreakyT","I Can't Wait","TiaCorine",2022-09-09,134322,1,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-05T19:46:38Z,"","South Coast Music Group, LLC",0.81,0.541,0,-7.482,0,0.0631,0.237,0.00049,0.121,0.14,142.885,4
spotify:track:0AyA2lHB4YnQUNa8Y6NNjm,"Sorry 4 What? // LV BELT","Sorry 4 What","Tory Lanez",2022-09-30,154632,65,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-05T19:53:19Z,"","One Umbrella Records",0.644,0.711,1,-7.841,1,0.0766,0.019,0,0.128,0.226,126,4
spotify:track:5JS1gz9zP4GTy0LZYvSeUK,"2 Million Up","ONLY BUILT 4 DIAMOND LINKS","Peezy",2022-08-12,159973,58,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-05T19:53:33Z,"","#Boyz Entertainment LLC / EMPIRE",0.884,0.423,6,-10.181,0,0.275,0.115,0,0.0895,0.259,95.753,4
spotify:track:4FyesJzVpA39hbYvcseO2d,"Just Wanna Rock","Just Wanna Rock","Lil Uzi Vert",2022-10-17,123890,70,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-05T19:56:20Z,"melodic rap","Generation Now/Atlantic",0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4
spotify:track:5AHC49Y7yaumdlZMI6DPq2,"Numb(Outro)","Numb(Outro)","PesoLoaded",2021-12-25,209978,32,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-05T20:01:25Z,"","3602282 Records DK",0.681,0.706,11,-11.834,0,0.038,0.155,0.000115,0.0932,0.236,127.957,5
spotify:track:7rQ84WsT2Wcnrz5gTmbGmw,"Big 14 (feat. Offset & Moneybagg Yo)","Big 14 (feat. Offset & Moneybagg Yo)","Trippie Redd,Offset,Moneybagg Yo",2022-08-05,247458,0,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-05T20:06:04Z,"melodic rap","1400 Entertainment, Inc. / 10K Projects",0.71,0.828,1,-4.725,1,0.0726,0.199,0,0.168,0.316,128.027,4
