Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7JPNvoMjoIXkTDAMx9Aajj,"Tezeta","New York - Addis - London: The Story of Ethio Jazz 1965-1975","Mulatu Astatke",1969,368539,55,false,v828zh1enlyp9vzjlfaj5rzpm,2023-08-04T15:37:20Z,"ethiopian jazz","Strut",0.549,0.254,10,-14.48,1,0.0416,0.962,0.931,0.0994,0.541,81.484,3
spotify:track:29eLonNk3JNVWqu58cr7rq,"Mahè","La ragazza dalla pelle di luna","Piero Umiliani",1970-01-01,162299,58,false,v828zh1enlyp9vzjlfaj5rzpm,2023-08-04T15:40:21Z,"exotica","Easy Tempo / Right Tempo",0.43,0.376,7,-13.052,0,0.0358,0.826,0.614,0.103,0.714,83.357,4
spotify:track:7lX2zznCc07XDOe9Kt9st7,"Eastside Story","Archives Vol. 9","Trevor Duncan",1999-06-24,87400,36,false,v828zh1enlyp9vzjlfaj5rzpm,2023-08-04T15:40:58Z,"","KPM Main Series",0.164,0.355,6,-8.874,1,0.033,0.801,0.736,0.142,0.0787,133.377,4
spotify:track:3J2WUEn6oFN8eDPZov7w9I,"deep in it","deep in it","berlioz,Ted Jasper",2023-03-10,154862,16,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:45:58Z,"jazz house,jazz","berlioz",0.567,0.415,3,-11.901,0,0.0499,0.972,0.885,0.0999,0.273,118.967,4
spotify:track:6KXxYNQlAyPJPqOzizlFHg,"Kübla","Private Love Joy","Wyl,Wun Two",2022-11-11,177749,44,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:48:18Z,"jazz house,lo-fi beats,lo-fi,lo-fi hip hop,jazz beats","Wadada Records",0.436,0.574,3,-11.934,0,0.0479,0.816,0.967,0.11,0.546,162.54,4
spotify:track:6oanIhkNbxXnX19RTtkpEL,"Misty","Plays Misty","Erroll Garner",1955-01-01,171000,48,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-01T04:36:45Z,"jazz,cool jazz","Verve",0.431,0.161,10,-17.707,0,0.0389,0.952,0.799,0.106,0.173,98.018,4
spotify:track:51SEkcIzdhHMwJkPkMmRzd,"I Want To Talk About You","シーナリィ","Ryo Fukui",1976,392626,47,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-01T04:40:21Z,"jazz,jazz fusion,bebop","TRIO RECORDS",0.468,0.241,8,-12.938,1,0.0352,0.941,0.916,0.259,0.0873,115.149,4
spotify:track:6vN0AqD9Zk4uolNlCRufxQ,"Analisi scientifiche","Lavoro e tempo libero","Giuliano Sorgini",1980-10-24,294333,43,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-01T04:41:06Z,"","Sonor Music Editions",0.161,0.406,11,-11.435,1,0.0333,0.968,0.908,0.117,0.0716,105.662,3
spotify:track:30QD4VRP9yEneOh0eGTrtJ,"Solitude","Solitude","Billie Holiday",1956-01-01,207600,64,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:37:09Z,"jazz,vocal jazz,jazz blues,big band","Verve Reissues",0.461,0.15,8,-13.531,1,0.051,0.984,0.000902,0.105,0.188,97.902,3
spotify:track:4u307txePIagFC4K67AdBA,"Easy Lovers","Camille 2000 (Original Motion Picture Soundtrack)","Piero Piccioni",1998-01-11,225573,61,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:38:20Z,"","Camille 3000",0.344,0.333,0,-13.945,0,0.0294,0.9,0.422,0.118,0.175,70.225,4
