Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2P7hsSZodIh0VMgddKp8dN,"Distractions","Emotions","Wild Painting",2017-12-20,373906,37,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-12T05:19:47Z,"","ZUMIX",0.448,0.225,7,-11.377,1,0.0377,0.648,0,0.115,0.206,129.647,4
spotify:track:0h5ww1pFPyOL3UUbi1td30,"Kiwi","Kiwi (feat. Juice)","Quarters of Change",2022-01-28,332215,50,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-12T05:22:54Z,"","300 Entertainment",0.601,0.589,2,-8.206,1,0.0715,0.132,0.000033,0.129,0.251,130.061,4
spotify:track:3gW0KYyW4EnOqkuBdDDIEE,"Friction","Tek It/Friction","Cafuné",2019-11-05,185826,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-12T05:24:40Z,"","Aurelians Club",0.442,0.894,11,-5.366,0,0.0454,0.00017,0.00000192,0.155,0.563,145.864,4
spotify:track:0Kg61SKiinZ7MCt2xPYzhq,"Chihiro","Heaven Inches Away","Soft Blue Shimmer",2020-11-27,240500,33,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-12T05:34:54Z,"shoegaze,dream pop","Disposable America",0.521,0.884,4,-7.541,1,0.0308,0.00741,0.667,0.131,0.519,139.009,4
spotify:track:03hXMHGtoV6V2UzxyxuwvP,"Mercury","Wasted Mind","Glaze",2017-06-02,155333,30,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-12T05:36:35Z,"shoegaze","Glaze",0.42,0.929,9,-7.41,1,0.0673,0.00142,0.646,0.184,0.326,160.047,4
spotify:track:72BwjgUuMQuUzvuPmrEvEf,"Polarbear!","Polarbear!","Strawberry Milk Cult",2021-01-29,195840,43,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-13T05:48:44Z,"lo-fi indie","chugwater records",0.634,0.563,7,-9.48,1,0.0286,0.425,0.86,0.685,0.125,124.957,4
spotify:track:7mgI1HLrLMlIHL3wzotbyM,"Teenage Blue","Illuminaughty - EP","Dreamgirl",2015-02-14,234968,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T06:46:36Z,"","569291 Records DK2",0.178,0.461,11,-7.479,1,0.0312,0.837,0.0187,0.133,0.135,180.28,3
spotify:track:75JFxkI2RXiU7L9VXzMkle,"The Scientist","A Rush of Blood to the Head","Coldplay",2002-08-27,309600,88,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T06:58:40Z,"","Parlophone Records Limited",0.557,0.442,5,-7.224,1,0.0243,0.731,0.0000146,0.11,0.213,146.277,4
spotify:track:7FAeGZj6pT6X2X8EboCKwj,"Middy Tiddy","Middy Tiddy","Paulie Leparik",2018-04-04,94638,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:08:08Z,"","paulie leparik",0.576,0.642,3,-4.987,1,0.0357,0.0679,0.828,0.47,0.809,131.927,4
spotify:track:2HIU8kiFo9sB5ih05q8wgP,"Here Without You - Acoustic","Here Without You (Acoustic)","3 Doors Down",2004-01-01,232973,52,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:23:06Z,"post-grunge","Universal Records",0.547,0.575,10,-6.282,0,0.0258,0.0198,0,0.205,0.311,143.752,4
spotify:track:36c2NifUp0GDnoOQT5unhR,"Butterfly's Repose","Butterfly's Repose","Zabawa",2020-03-14,309079,50,false,v828zh1enlyp9vzjlfaj5rzpm,2023-11-05T19:04:47Z,"","Zabawa Records",0.3,0.0177,0,-27.293,1,0.0422,0.974,0.00764,0.106,0.0896,120.492,3
spotify:track:4nSzkb7SZQ40XX8iwHHLx4,"Dayglow Bimbo","Sugar at the Gate","TOPS",2017-06-02,134829,37,false,v828zh1enlyp9vzjlfaj5rzpm,2023-11-08T16:31:28Z,"","Arbutus Records",0.473,0.867,4,-5.438,1,0.0572,0.387,0.918,0.285,0.858,141.013,4
spotify:track:4ff1q6L0CZ3nf3LKJ1O7lY,"16 Mirrors","Trick","Alex G",2012-11-05,87093,67,false,v828zh1enlyp9vzjlfaj5rzpm,2023-11-10T19:18:50Z,"","Lucky Number",0.564,0.3,2,-7.349,1,0.0887,0.638,0.0022,0.101,0.0487,121.888,4
spotify:track:1aXV8GrmQLvgoFtBPERP7E,"Jealous","Jealous","Eyedress",2019-12-06,122338,79,false,v828zh1enlyp9vzjlfaj5rzpm,2023-11-10T19:20:15Z,"","Lex Records",0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,4
spotify:track:0KdEx2ETCXYZeEVAZS4sJ4,"wonder if you care","wonder if you care","flyingfish",2023-04-28,134556,69,false,v828zh1enlyp9vzjlfaj5rzpm,2023-11-10T19:20:41Z,"shoegaze","flyingfish",0.426,0.67,5,-8.947,0,0.0353,0.0000215,0.706,0.124,0.179,78.487,4
spotify:track:4qG7hWhljsqqENL5PaLA2z,"Let The Light In (feat. Father John Misty)","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey,Father John Misty",2023-03-24,278126,77,false,v828zh1enlyp9vzjlfaj5rzpm,2023-11-10T19:21:10Z,"","Polydor Records",0.335,0.44,9,-9.748,1,0.0275,0.385,0.00251,0.115,0.198,132.449,4
spotify:track:7s5VQqrjBtrBgZL4pEa46S,"Romantic Lover","Let's Skip to the Wedding","Eyedress",2020-08-07,86739,74,false,v828zh1enlyp9vzjlfaj5rzpm,2023-11-10T19:22:24Z,"","Lex Records",0.658,0.447,9,-9.299,0,0.0869,0.701,0.924,0.198,0.538,184.316,4
spotify:track:37XkkjihIfcn6YfE3wzkum,"Everything and Nothing","heart2heart","Acid Wave Band",2023-05-05,218773,31,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-01T17:31:04Z,"","Hogar Records",0.569,0.533,4,-12.819,1,0.026,0.262,0.596,0.103,0.793,159.998,4
spotify:track:3JcvpTfI64SmXxUl7XUvQI,"Waltzing Back","Waltzing Back","No Vacation",2021-07-14,192000,60,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-13T15:00:20Z,"bedroom pop,dream pop","Topshelf Records",0.558,0.579,7,-8.065,0,0.0272,0.00331,0.916,0.0935,0.487,104.972,4
spotify:track:1Y8od8F6yO0UpAmtekjOSz,"Today","Today","Swiss Portrait",2021-11-15,148592,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-12-13T15:04:44Z,"dream pop,lo-fi indie","Willow",0.42,0.727,10,-13.209,1,0.0402,0.0175,0.922,0.111,0.666,172.033,4
spotify:track:6aC2oJJirBozj0cT6E2g1t,"bird","return","Blue Smiley",2017-09-27,102421,45,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T02:41:47Z,"shoegaze,slowcore","Blue Smiley",0.471,0.808,8,-8.885,1,0.0545,0.0261,0.891,0.0699,0.507,125.706,4
spotify:track:33HRECrmuelZxOpid6XTNX,"Alison","Souvlaki","Slowdive",1993,230986,63,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T03:45:49Z,"shoegaze,dream pop,slowcore","Creation Records",0.276,0.449,4,-11.428,1,0.0375,0.00782,0.783,0.108,0.278,101.687,4
spotify:track:6HdMeOwJXD3oY1Thn1bsCY,"Lazuli","Bloom","Beach House",2012-05-15,301866,55,false,v828zh1enlyp9vzjlfaj5rzpm,2024-03-24T03:53:50Z,"dream pop","Sub Pop Records",0.34,0.812,11,-5.783,0,0.0299,0.0103,0.626,0.263,0.724,219.446,4
spotify:track:5jGwTv5EyFEGRjCCQ2eGdg,"One On One - Remix","One On One (Remix)","Micah Dailey-White,Headband Henny,Mickey Doo",2023-11-17,212779,44,true,v828zh1enlyp9vzjlfaj5rzpm,2024-03-30T02:03:46Z,"","MICAHKAOLTRE/Headband Henny",0.743,0.542,9,-9.639,1,0.0285,0.132,0,0.109,0.697,101.016,3
spotify:track:6UPtk7FLzgsko5Snp6afvp,"Chega de Saudade","World Class Classics: Joao Gilbert","João Gilberto",2010-07-12,123333,8,false,v828zh1enlyp9vzjlfaj5rzpm,2025-01-23T16:26:42Z,"bossa nova,brazilian jazz,samba,latin jazz,cool jazz,jazz,mpb","Cherry Red Records",0.51,0.237,2,-16.021,1,0.034,0.743,0,0.176,0.635,87.813,4
spotify:track:2QdSb68BzZGMgCbsrFmSLc,"Higher","For Broken Ears","Tems",2020-09-25,196204,72,false,v828zh1enlyp9vzjlfaj5rzpm,2025-01-27T07:37:12Z,"afrobeats,afro r&b,alté,afrobeat","Leading Vibe Ltd",0.609,0.581,2,-10.854,1,0.277,0.509,0,0.283,0.528,102.964,3
