Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:34FhndFs4d8ltOVj8JqN4s,"Jammin","Olive Green","RUBII",2023-03-10,169846,68,false,v828zh1enlyp9vzjlfaj5rzpm,2025-06-18T08:06:23Z,"","RUBII",0.855,0.383,8,-14.495,0,0.0502,0.494,0.00155,0.101,0.789,130.037,4
spotify:track:3Qa944OTMZkg8DHjET8JQv,"Woods","Circles","Mac Miller",2020-01-17,286386,69,false,v828zh1enlyp9vzjlfaj5rzpm,2025-06-18T08:06:45Z,"","Warner Records",0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,4
spotify:track:7IwPrc0AZV9uMSPitvJMxx,"Shameful Game","The Celestial Suite","Pale Jay",2021-10-22,185000,62,false,v828zh1enlyp9vzjlfaj5rzpm,2025-06-18T08:10:49Z,"retro soul","PLYGRND",0.656,0.567,0,-7.23,0,0.0285,0.194,0.844,0.148,0.653,143.867,4
spotify:track:6vX00oaG3bMuNBKxapoPYO,"Kollage","The Loveliest Time","Carly Rae Jepsen",2023-07-28,256528,49,false,v828zh1enlyp9vzjlfaj5rzpm,2025-06-18T08:12:23Z,"","Silent Records IGA",0.604,0.538,2,-7.85,0,0.033,0.306,0.001,0.0829,0.368,151.658,4
spotify:track:0K2Ou0NhEBvc7UoeWf58Cy,"Dreaming In Slow Motion","Bewilderment","Pale Jay",2023-08-18,172869,55,false,v828zh1enlyp9vzjlfaj5rzpm,2025-06-18T08:13:50Z,"retro soul","Karma Chief Records",0.498,0.57,11,-8.305,1,0.0277,0.733,0.844,0.125,0.54,78.992,4
spotify:track:2DDotwiQOexZwpf2uH83gC,"Donny In Valdez","The Celestial Suite","Pale Jay",2021-10-22,174668,50,false,v828zh1enlyp9vzjlfaj5rzpm,2025-06-18T08:18:11Z,"retro soul","PLYGRND",0.511,0.543,4,-7.638,0,0.0308,0.382,0.559,0.476,0.602,149.016,4
spotify:track:5C9anXz5T3PY3A5YkH66cn,"Pretty Little Thing","Volcano","Jungle,Bas",2023-08-11,181599,49,true,v828zh1enlyp9vzjlfaj5rzpm,2025-06-20T05:16:59Z,"","Caiola Records",0.722,0.417,2,-7.707,1,0.103,0.661,0.0268,0.1,0.28,81.895,4
spotify:track:6J4JyWGym75LACyBWqipKv,"Good At Breaking Hearts","Volcano","Jungle,JNR WILLIAMS,Loaded Honey",2023-08-11,213706,55,false,v828zh1enlyp9vzjlfaj5rzpm,2025-06-20T05:19:32Z,"retro soul","Caiola Records",0.617,0.518,2,-7.844,1,0.0341,0.566,0.00406,0.673,0.139,112.18,4
spotify:track:5tijNZEDRBHNrBK1iIyPRE,"Love Ain't Free","august","Ryan Trey",2018-08-31,288699,23,true,v828zh1enlyp9vzjlfaj5rzpm,2025-06-20T05:26:50Z,"dark r&b,trap soul","#JUSTAREGULARDAY",0.493,0.762,8,-7.494,0,0.299,0.815,0.0000414,0.13,0.0556,171.975,4
spotify:track:6WVSnyKQGzs1fosa2I3FMQ,"Shibuya (feat. Syd)","Free Nationals","Free Nationals,Syd",2019-12-13,136831,59,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-07T06:26:47Z,"alternative r&b","OBE, LLC / EMPIRE",0.76,0.665,4,-7.021,0,0.0612,0.105,0.399,0.0945,0.808,92.992,4
spotify:track:0erHRpul2OsRSuImLHQ3X4,"The Rivington (feat. Conway Westside Gunn & Joyce Wrice)","Free Nationals","Free Nationals,Conway the Machine,Westside Gunn,Joyce Wrice",2019-12-13,216629,50,true,v828zh1enlyp9vzjlfaj5rzpm,2025-07-07T06:27:20Z,"boom bap,east coast hip hop,alternative hip hop,jazz rap,alternative r&b","OBE, LLC / EMPIRE",0.6,0.798,2,-6.225,1,0.226,0.578,0,0.152,0.636,140.056,4
spotify:track:7klPHv3HnXdUY3dSfTccNc,"Time","Free Nationals","Free Nationals,Mac Miller,Kali Uchis",2019-12-13,210385,64,true,v828zh1enlyp9vzjlfaj5rzpm,2025-07-07T06:30:17Z,"","OBE, LLC / EMPIRE",0.469,0.771,5,-7.071,1,0.338,0.518,0.000197,0.0789,0.298,88.968,4
spotify:track:39NDBdU5Xkm5pCFGa5kZtI,"Ladders","Swimming","Mac Miller",2018-08-03,287040,71,true,v828zh1enlyp9vzjlfaj5rzpm,2025-07-07T06:32:14Z,"","Warner Records",0.802,0.463,8,-8.379,1,0.162,0.236,0.00531,0.105,0.291,103.961,4
spotify:track:0m3KoHVdYeoeyA9nO4mKww,"Distant Lover","Forårshygge - Hyggelig musik til afslapning - Hyggelige sange til gode tider","Marvin Gaye",2019-04-05,331280,27,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-15T00:39:33Z,"motown,classic soul,soul,northern soul,quiet storm","UME - Global Clearing House",0.376,0.437,1,-9.106,0,0.0985,0.762,0.0000247,0.686,0.465,158.487,3
