Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7KA4W4McWYRpgf0fWsJZWB,"See You Again (feat. Kali Uchis)","Flower Boy","Tyler The Creator,Kali Uchis",2017-07-21,180386,88,true,,2025-04-21T16:38:19Z,"","Columbia",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
spotify:track:6sgnvABaQ82zq4Pm6abqb1,"It Soothes Me","Coping Habits","Beach Vacation",2023-09-15,131842,57,false,,2025-04-21T16:38:19Z,"dream pop","16 Entertainment LLC",0.506,0.926,11,-8.424,1,0.0312,0.153,0.818,0.233,0.93,152.044,4
spotify:track:60qwFlUKJKd426itslpjX3,"Seasons","Seasons","Sam Austins",2024-05-21,157664,63,false,,2025-04-21T16:38:19Z,"","Atlantic Records",0.682,0.71,6,-5.946,0,0.0441,0.355,0.398,0.119,0.209,136.984,4
spotify:track:0K2Ou0NhEBvc7UoeWf58Cy,"Dreaming In Slow Motion","Bewilderment","Pale Jay",2023-08-18,172869,55,false,,2025-04-21T16:38:19Z,"retro soul","Karma Chief Records",0.498,0.57,11,-8.305,1,0.0277,0.733,0.844,0.125,0.54,78.992,4
spotify:track:5C9anXz5T3PY3A5YkH66cn,"Pretty Little Thing","Volcano","Jungle,Bas",2023-08-11,181599,49,true,,2025-04-21T16:38:19Z,"","Caiola Records",0.722,0.417,2,-7.707,1,0.103,0.661,0.0268,0.1,0.28,81.895,4
spotify:track:5zL6U9C5mmeaJSks7H4Xmw,"How many miles","Candy / How many miles","Mk.gee",2023-08-11,141236,41,false,,2025-04-21T16:38:19Z,"","R&R",0.76,0.412,5,-9.087,1,0.0441,0.845,0.404,0.0904,0.526,137.987,4
spotify:track:7eLIyJ632oXGozoLiGB1Ik,"Lover’s Rock","Lover’s Rock","Cruza",2024-03-22,148965,32,true,,2025-04-21T16:38:19Z,"alternative r&b","Def Jam Recordings",0.724,0.424,11,-11.347,1,0.334,0.396,0.108,0.111,0.577,144.96,4
spotify:track:5hc71nKsUgtwQ3z52KEKQk,"Somebody Else","I like it when you sleep for you are so beautiful yet so unaware of it","The 1975",2016-02-26,347520,72,true,,2025-04-21T16:38:19Z,"","The 1975 Artist Deal P/S",0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,4
spotify:track:2qmmnbJ9JR3f7vofbyje5r,"Slow Dance","Charm","Clairo",2024-07-12,234853,73,false,,2025-04-21T16:38:19Z,"bedroom pop","Clairo",0.727,0.534,2,-8.444,1,0.0297,0.72,0.0186,0.0977,0.598,84.007,4
spotify:track:7KZa2q92Dwbjrx2zo4obgw,"Bikini","Bikini","Nick León,Erika de Casier",2024-07-26,185798,42,false,,2025-04-21T16:38:19Z,"neoperreo,uk funky,alternative r&b","TraTraTrax",0.686,0.674,6,-11.117,0,0.0719,0.43,0.261,0.123,0.386,149.833,4
spotify:track:6J4JyWGym75LACyBWqipKv,"Good At Breaking Hearts","Volcano","Jungle,JNR WILLIAMS,Loaded Honey",2023-08-11,213706,55,false,,2025-04-21T16:38:19Z,"retro soul","Caiola Records",0.617,0.518,2,-7.844,1,0.0341,0.566,0.00406,0.673,0.139,112.18,4
spotify:track:48Co4cbgmgcAGch0mZoJuJ,"Egyptian Luvr","Dear Annie","Rejjie Snow,Dana Williams,Aminé",2018-05-03,256613,54,true,,2025-04-21T16:38:19Z,"jazz rap","+1 Records",0.834,0.591,10,-7.543,0,0.305,0.0563,0,0.074,0.901,104.949,4
spotify:track:0V5y62WNCbiceiQSGkW4M2,"Your Touch","Your Touch","Freak Slug,Treasure Bloom",2019-11-29,206394,42,false,,2025-04-21T16:38:19Z,"lo-fi indie,dream pop,bedroom pop","Nice Guys",0.561,0.353,5,-12.658,1,0.0346,0.3,0.0181,0.118,0.567,90.994,4
spotify:track:0ggTHtuRYmdQxTEs8T32ny,"desire machine","ps / dm","spirit blue",2024-06-12,230462,61,false,,2025-04-21T16:38:19Z,"","spirit blue",0.662,0.386,9,-15.785,0,0.0298,0.78,0.4,0.106,0.336,111.991,4
spotify:track:4HtGk60e5a7eOnIrlBqNI6,"Thinking About You","After the First Kiss","Faye Webster",2024-10-02,396157,43,false,,2025-04-21T16:38:19Z,"","Secretly Canadian",0.41,0.675,9,-9.249,1,0.0379,0.307,0.656,0.0896,0.659,208.178,4
spotify:track:3kBWttZ4s6uSErpI0x3qLZ,"coogie","coogie","Dijon",2023-03-03,189514,49,false,,2025-04-21T16:38:19Z,"","R&R Digital/Warner Records",0.722,0.246,1,-12.252,1,0.14,0.926,0.0051,0.0991,0.283,131.103,4
spotify:track:6KgVqbhK6A8lvxdmOpWtUV,"Lucid Girl","Lucid Girl","Thee Sacred Souls",2024-06-18,202573,45,false,,2025-04-21T16:38:19Z,"retro soul","Penrose / Daptone Records",0.43,0.618,2,-6.567,0,0.03,0.104,0.0000965,0.134,0.682,152.579,3
spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,303440,86,false,,2025-04-21T16:38:19Z,"","Darkroom/Interscope Records",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
spotify:track:6famAoizbKfoETPU9Jobz0,"I Just Can't Be Alone (with Billy Lemos)","I Just Can't Be Alone (with Billy Lemos)","Lexa Gates,Billy Lemos",2024-07-12,160062,38,true,,2025-04-21T16:38:19Z,"bedroom pop","GoodTalk",0.583,0.633,7,-3.838,1,0.0261,0.177,0,0.245,0.41,89.929,3
spotify:track:2LMkwUfqC6S6s6qDVlEuzV,"White Ferrari","Blonde","Frank Ocean",2016-08-20,248807,84,false,,2025-04-21T16:38:19Z,"","Boys Don't Cry",0.501,0.0958,0,-15.605,1,0.0433,0.77,0,0.298,0.204,108.741,4
spotify:track:3OgdnA3LYpJ6vxrfk6X3p4,"Alright","JAGUAR II","Victoria Monét",2023-08-25,173913,61,true,,2025-04-21T16:38:19Z,"alternative r&b","Lovett Music/RCA Records",0.788,0.528,11,-6.688,1,0.0729,0.279,0.00257,0.103,0.464,107.941,4
spotify:track:6MvuLjhCLJYqeV2pgZb5Mo,"Come Over And Love Me","Come Over And Love Me","Love Spells",2022-12-25,161266,58,true,,2025-04-21T16:38:19Z,"","Loveless",0.561,0.387,0,-12.315,1,0.0243,0.811,0.846,0.196,0.311,91.989,4
spotify:track:15NYGHy9F4vQstNvznsTZw,"Candy","Candy / How many miles","Mk.gee",2023-08-11,174824,35,true,,2025-04-21T16:38:19Z,"","R&R",0.76,0.521,2,-6.68,1,0.0446,0.903,0.0303,0.403,0.773,113.724,4
spotify:track:4iyH37AHAkYK1MVhveeqcm,"Dreamflower","Tarika Blue","Tarika Blue",1977,255533,48,false,,2025-04-21T16:38:19Z,"jazz funk,jazz fusion","DOWNTOWN SOUND",0.551,0.252,3,-17.767,0,0.0293,0.77,0.719,0.0834,0.376,134.878,4
spotify:track:3hFLVHNSDszA8lBvhokoH1,"Tangerine","Mister Domino","Tommy Newport",2024-08-07,203516,53,false,,2025-04-21T16:38:19Z,"","Artist Partner Group",0.775,0.422,2,-7.056,1,0.0335,0.0291,0.00227,0.0838,0.63,104.989,4
spotify:track:4eetH1a8sk7WMcxUokfkGa,"Charlie (feat. Lil Yachty)","Charlie (feat. Lil Yachty)","Lola Young,Lil Yachty",2024-10-31,291536,31,false,,2025-04-21T16:38:19Z,"","Universal-Island Records Ltd.",0.576,0.636,9,-6.406,1,0.0661,0.476,0.00109,0.318,0.459,150.036,4
spotify:track:5tffEKZUyEbyThW6FH9VFS,"Dispose of Me","Dispose of Me","Omar Apollo",2024-05-16,217880,47,false,,2025-04-21T16:38:19Z,"bedroom pop","Warner Records",0.593,0.337,4,-10.228,1,0.0427,0.769,0.212,0.111,0.424,148.346,3
spotify:track:1JkpySdM4EIKzcYbOBkIXr,"SLOW DANCE IN A GAY BAR","SLOW DANCE IN A GAY BAR","Benjamin Booker",2025-01-14,250097,22,false,,2025-04-21T16:38:19Z,"modern blues,blues rock","Fire Next Time Records",0.612,0.419,1,-9.923,1,0.0272,0.536,0.495,0.167,0.148,61.971,4
spotify:track:4CpqVGd8GCTFQqEifhgsTz,"Moment","MOVIES! WORLDWIDE: PART I","Johnny Yukon",2023-09-22,132903,45,false,,2025-04-21T16:38:19Z,"trap soul","Atlantic Records",0.917,0.493,1,-6.662,1,0.0917,0.0217,0.194,0.133,0.723,118,4
spotify:track:4mv58j67K96UMIeYvpffHB,"Floating Parade","Floating Parade","Michael Kiwanuka",2024-07-10,229619,48,false,,2025-04-21T16:38:19Z,"soul","Polydor Records",0.402,0.602,4,-8.84,0,0.0303,0.547,0.0793,0.261,0.786,85.244,4
spotify:track:5jdlKW2oMtQkOaZp5YOS4G,"Dream police","Two Star & The Dream Police","Mk.gee",2024-02-09,169519,59,false,,2025-04-21T16:38:19Z,"","R&R",0.716,0.442,1,-9.991,0,0.0389,0.806,0.0582,0.15,0.788,119.995,4
spotify:track:1j7tgS4WTvaTpQNm4uWp6D,"Hate the Sun","Halo","Bakar",2023-09-21,214800,40,false,,2025-04-21T16:38:19Z,"","Black Butter",0.789,0.181,4,-11.859,0,0.0528,0.909,0.000033,0.137,0.348,76.115,4
spotify:track:1F4Sia9UHvh5JuPV7bwgix,"Humans","Humans","Night Tapes",2022-06-07,251690,58,false,,2025-04-21T16:38:19Z,"lo-fi indie,dream pop","Nettwerk Music Group",0.645,0.562,5,-6.869,0,0.0329,0.219,0.7,0.169,0.36,91.177,4
spotify:track:4UZjcwGRc99D7GwJYXVRPd,"Nightlife","Nightlife","Morning Silk",2023-08-30,188253,55,false,,2025-04-21T16:38:19Z,"","Superbloom",0.511,0.658,10,-5.236,1,0.0295,0.0191,0.0207,0.107,0.3,77.545,4
spotify:track:2hf3Jl5GXJ86wdL3uLAm6o,"Let's Go to Trader Joe's","Quiet Music for Young People","Dana and Alden,Cinya Khan",2023-08-04,156026,36,false,,2025-04-21T16:38:19Z,"indie jazz","Dana and Alden",0.594,0.519,10,-6.886,1,0.0507,0.585,0.588,0.471,0.34,90.906,4
spotify:track:3bW3FVztCl5BoY8QooHHzj,"Little Queenie (2023 Remastered Version)","Deluxe Edition","SadGirl",2023-11-03,170434,41,false,,2025-04-21T16:38:19Z,"surf rock","Hard Feelings Records",0.559,0.287,8,-10.41,1,0.0381,0.902,0.00167,0.0985,0.332,134.655,4
spotify:track:4O3KRX2Ba4wmt6W7ijs4FA,"Fever","Fever","Sherwyn,Sariah Mae",2023-08-18,178477,47,true,,2025-04-21T16:38:19Z,"indie jazz","Sherwyn",0.882,0.519,0,-6.252,1,0.275,0.229,0,0.106,0.719,109.025,4
spotify:track:14joz9oqnhYORgpKOmE0Aj,"Monday Monday","Fauxllennium (Japanese Deluxe Edition)","TV Girl,George Clanton,Neggy Gemmy",2025-04-04,213000,51,false,,2025-04-21T16:38:19Z,"vaporwave,chillwave","Blissful Serenity Industries, LLC",0.591,0.925,10,-7.727,1,0.037,0.00206,0.703,0.327,0.703,102.013,4
spotify:track:0dCKsjBCSvldeUXYOARO7Z,"green house","Take What You Need and Then Some","Amindi",2023-09-22,117000,39,false,,2025-04-21T16:38:19Z,"dancehall","EQT Recordings",0.594,0.544,7,-8.223,1,0.0509,0.144,0.0375,0.15,0.364,160.235,4
spotify:track:0juMDnoo3u3uDJ32wjK2BF,"Hold Me Up (Thank You)","A LA SALA","Khruangbin",2024-04-05,229437,57,false,,2025-04-21T16:38:19Z,"neo-psychedelic","Dead Oceans",0.638,0.569,2,-11.601,1,0.0365,0.0952,0.805,0.125,0.671,105.079,4
spotify:track:77evpfqHmmSklsFpo8wLCB,"Within You Within Me","Eternal Embers","Meltt",2023-09-22,198613,63,false,,2025-04-21T16:38:19Z,"","Nettwerk Music Group",0.604,0.514,4,-8.295,0,0.0258,0.25,0.948,0.113,0.445,99.995,4
spotify:track:5yXf2ZVlBdgIGxbSKb6VFW,"Don't Play","Volcano","Jungle,Mood Talk",2023-08-11,226280,52,false,,2025-04-21T16:38:19Z,"","Caiola Records",0.673,0.617,10,-5.996,1,0.275,0.193,0,0.36,0.702,120.103,4
