Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0lnwtc5uNiBpnrXebjVy5f,"Pegasus","Pegasus (Spooky Sounds Edition)","Trippie Redd",2020-10-31,137600,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:35:36Z,"melodic rap","1400 Entertainment/TenThousand Projects",0.695,0.669,9,-7.144,0,0.387,0.189,0,0.544,0.447,150.407,4
spotify:track:0JP9xo3adEtGSdUEISiszL,"Moonlight","?","XXXTENTACION",2018-03-16,135090,82,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:35:58Z,"emo rap","Bad Vibes Forever, LLC",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
spotify:track:7FullO2NDkyvxLuxYVKINa,"Excitement (feat. PARTYNEXTDOOR)","Pegasus","Trippie Redd,PARTYNEXTDOOR",2020-10-30,283285,1,false,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:36:24Z,"melodic rap,dark r&b,r&b,trap soul","1400 Entertainment/TenThousand Projects",0.443,0.536,4,-8.187,0,0.0378,0.0194,0.0000424,0.1,0.0391,121.967,4
spotify:track:0wXuerDYiBnERgIpbb3JBR,"Redbone","Awaken My Love!","Childish Gambino",2016-12-02,326933,6,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:37:57Z,"","Glassnote Entertainment Group LLC",0.743,0.344,1,-11.174,1,0.118,0.169,0.00879,0.103,0.577,160.15,4
spotify:track:7s4BGlxiD9fb0KkY6JgQtu,"21","21","Yung Pinch",2020-03-13,192209,23,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:38:37Z,"melodic rap","TWNSHP",0.681,0.622,1,-6.39,1,0.0617,0.165,0,0.105,0.313,160.028,4
spotify:track:4S4Mfvv03M1cHgIOJcbUCL,"In My Room","In My Room","Frank Ocean",2019-11-02,133680,69,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:38:53Z,"","Blonded",0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,4
spotify:track:7xtC89YfFii8Gz7qnI9oUv,"Knives n Cherries","Captivating","Minthaze",2017-07-01,108189,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:39:18Z,"lo-fi beats","Repost Network",0.658,0.373,0,-16.213,1,0.111,0.283,0.869,0.0734,0.76,80.06,4
spotify:track:1k5t0MC77UuwEp5FfZnKOd,"Let Go","CHASE","Aaron May",2019-02-28,176531,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:39:41Z,"","MOVEINTHEAM / EMPIRE",0.87,0.498,9,-8.339,0,0.0623,0.046,0,0.146,0.692,110.019,4
spotify:track:2Y8hY4rRRQQjdaZkkwzpd9,"Trap (feat. Lil Baby)","Ghetto Lenny's Love Songs","SAINt JHN,Lil Baby",2019-08-23,184699,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:40:30Z,"","HITCO",0.791,0.839,0,-2.887,1,0.0424,0.0849,0,0.193,0.349,116.991,4
spotify:track:08eagREy8O7JA9ipeHGsjp,"So Stressed","Pegasus (Spooky Sounds Edition)","Trippie Redd,Yung LB",2020-10-31,204850,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:41:32Z,"melodic rap","1400 Entertainment/TenThousand Projects",0.652,0.566,6,-6.73,0,0.0862,0.174,0,0.109,0.374,133.941,4
spotify:track:1a7WZZZH7LzyvorhpOJFTe,"Wasted (feat. Lil Uzi Vert)","Goodbye & Good Riddance","Juice WRLD,Lil Uzi Vert",2018-12-10,258475,74,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:42:04Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.742,0.579,0,-5.024,1,0.202,0.0381,0,0.0952,0.502,144.994,4
spotify:track:2ZRo7axmMPeSVUvDbGkJah,"Hope","?","XXXTENTACION",2018-03-16,110886,81,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:43:24Z,"emo rap","Bad Vibes Forever, LLC",0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4
spotify:track:2gh7faW4G9xZr9k5iPqcSR,"Running on E.","Running on E.","Brent Faiyaz",2015-11-20,282087,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:51:31Z,"r&b","Lost Kids",0.663,0.339,9,-11.284,1,0.0459,0.189,0.513,0.0983,0.149,133.973,4
spotify:track:4h90qkbnW1Qq6pBhoPvwko,"Sidewalks","Starboy","The Weeknd,Kendrick Lamar",2016-11-25,231360,70,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-01T03:55:23Z,"hip hop,west coast hip hop","Universal Republic Records",0.542,0.72,1,-5.136,0,0.0628,0.147,0,0.348,0.623,149.828,4
spotify:track:0eCFVpSm0S34D44WnqRXVT,"Moonlight","Pegasus (Spooky Sounds Edition)","Trippie Redd",2020-10-31,161743,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-02T16:53:41Z,"melodic rap","1400 Entertainment/TenThousand Projects",0.632,0.644,2,-5.999,1,0.0454,0.06,0.0000181,0.17,0.112,86.007,4
spotify:track:6m3LlhdZ0HWn4D7Nnm06MQ,"Together","LIFE'S A TRIP","Trippie Redd",2018-08-10,164576,0,true,v828zh1enlyp9vzjlfaj5rzpm,2020-12-05T22:19:34Z,"melodic rap","TenThousand Projects, LLC",0.615,0.444,8,-6.773,0,0.0282,0.894,0.00000717,0.127,0.125,120.093,4
spotify:track:7umZiitjVsEjMQ6HNddpUI,"Love Is Only a Feeling","Love Is Only a Feeling","Joey Bada$$",2017-07-06,152041,75,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:29:08Z,"hip hop,rap","Pro Era",0.629,0.676,1,-7.088,0,0.191,0.53,0.000325,0.701,0.497,90.377,4
spotify:track:7022xokeCJFSeZxw2npVkn,"It Takes Time","A Love Letter To You","Trippie Redd",2017-05-14,282666,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:32:03Z,"melodic rap","Strainge Entertainment",0.849,0.304,10,-16.441,1,0.18,0.371,0,0.112,0.419,90.01,4
spotify:track:6efkcs2aUBMFKxl0cl2JWQ,"Wild Irish Roses","blkswn","Smino",2017-03-14,169319,60,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:36:14Z,"","Downtown JV",0.635,0.295,0,-11.237,0,0.543,0.561,0.0000324,0.3,0.636,86.673,4
spotify:track:2pNvbWiUfMBd3tclWIZs3k,"Let It Out (feat. Myiah Lynnae)","Pegasus","Trippie Redd,Myiah Lynnae",2020-10-30,176470,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:38:29Z,"melodic rap","1400 Entertainment/TenThousand Projects",0.462,0.475,6,-7.934,0,0.0745,0.691,0.446,0.12,0.191,135.943,4
spotify:track:3oGbHF3Kdwf3AsRCbBjUxu,"Moon & Stars (feat. Maggie Lindemann)","- TRAGEDY +","$NOT,Maggie Lindemann",2020-03-06,187586,59,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:41:20Z,"","P2020",0.713,0.47,9,-8.698,1,0.0864,0.606,0.0000135,0.306,0.0825,84.518,4
spotify:track:2PRKaIkl62537yLUt8VhHR,"Love Sick","A Love Letter To You 4","Trippie Redd",2019-11-22,177981,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:44:15Z,"melodic rap","TenThousand Projects, LLC",0.862,0.714,6,-6.721,0,0.103,0.528,0.0000421,0.622,0.676,119.042,4
spotify:track:531MBHrtGF6nAkK4zUafi9,"Mutual Butterflies","august","Ryan Trey",2018-08-31,183875,47,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:46:33Z,"dark r&b,trap soul","#JUSTAREGULARDAY",0.616,0.649,3,-5.133,0,0.462,0.59,0,0.142,0.751,78.131,4
spotify:track:72XxzjvIBR0TKljL0ETcGQ,"Nowhere To Run","Nowhere To Run","Ryan Trey,Bryson Tiller",2019-03-22,221358,45,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:49:22Z,"dark r&b,trap soul,r&b","#JUSTAREGULARDAY",0.721,0.645,4,-5.577,0,0.158,0.0878,0.00228,0.073,0.718,183.372,4
spotify:track:5nD5d1zQz091zgnIHbvgUD,"Temptations","august","Ryan Trey",2018-08-31,251874,37,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:52:10Z,"dark r&b,trap soul","#JUSTAREGULARDAY",0.569,0.43,5,-10.439,0,0.314,0.325,0.0000825,0.153,0.376,90.078,4
spotify:track:6MkQb4AuZ28zJPPMyfCplO,"Break on Monday","august","Ryan Trey",2018-08-31,264000,35,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:55:45Z,"dark r&b,trap soul","#JUSTAREGULARDAY",0.425,0.331,6,-9.099,1,0.0458,0.852,0.0000364,0.0971,0.104,100.884,4
spotify:track:2fyWDID3MNFCp0W9yZvYQJ,"Night 4","august","Ryan Trey",2018-08-31,153000,21,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T02:58:41Z,"dark r&b,trap soul","#JUSTAREGULARDAY",0.462,0.315,7,-8.855,0,0.0382,0.789,0.0133,0.126,0.134,104.977,4
spotify:track:5tijNZEDRBHNrBK1iIyPRE,"Love Ain't Free","august","Ryan Trey",2018-08-31,288699,23,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T03:00:47Z,"dark r&b,trap soul","#JUSTAREGULARDAY",0.493,0.762,8,-7.494,0,0.299,0.815,0.0000414,0.13,0.0556,171.975,4
spotify:track:0qgmAYknGcfr9r9eLGM1Vh,"Rollin","Rollin","Ryan Trey",2020-07-10,221180,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-22T03:03:49Z,"dark r&b,trap soul","#JUSTAREGULARDAY/Interscope Records",0.574,0.427,1,-6.826,0,0.229,0.651,0,0.11,0.23,103.979,4
spotify:track:1SWg0LGSxwbD3pyLfW0z5H,"hot tub DREAM Machine","hot tub DREAM Machine","tobi lou",2020-02-21,205714,40,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T02:57:37Z,"","Artclub / EMPIRE",0.677,0.526,11,-8.245,1,0.0361,0.264,0.00000277,0.113,0.467,140.082,4
spotify:track:1n4jwRVXdkK2U34nBDUKKT,"BLOOD.","DAMN.","Kendrick Lamar",2017-04-14,118066,60,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T02:58:02Z,"hip hop,west coast hip hop","Aftermath",0.357,0.238,8,-16.78,0,0.265,0.142,0.0859,0.55,0.494,156.907,4
spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,"Deja Vu","4 Your Eyez Only","J. Cole",2016-12-09,264746,68,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T02:58:13Z,"rap","J. Cole P&D",0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,4
spotify:track:3SiNNoV06PfsTbqMCwyBED,"Free Time","AI YoungBoy 2","YoungBoy Never Broke Again",2019-10-11,175516,54,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T03:00:51Z,"","Never Broke Again, LLC",0.737,0.709,7,-4.444,0,0.0533,0.403,0,0.135,0.358,136.989,4
spotify:track:2ThuiiI0d0TybcQDYDSgpS,"let me hold you","oldies","lofi.samurai,Insowmya",2018-07-06,85979,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T03:01:26Z,"lo-fi","VinDig",0.533,0.331,10,-15.903,0,0.588,0.982,0.652,0.829,0.23,69.527,4
spotify:track:5AyQfkapcdfE6nl89mY1cp,"Hikari To Mizu","Broken Belief","Toshifumi Hinata",2019-09-19,277214,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T03:01:45Z,"japanese classical","Music From Memory",0.441,0.269,5,-11.454,1,0.0399,0.839,0.00302,0.0966,0.159,70.347,3
spotify:track:5t9xjVR1jxhgIiutBVARQb,"Smoking at Midnight","Harbor","Tomppabeats",2016-05-06,95921,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T03:04:46Z,"lo-fi,lo-fi hip hop,lo-fi beats,vaporwave","VinDig",0.883,0.463,4,-6.247,0,0.125,0.778,0.757,0.104,0.664,80.276,4
spotify:track:0oufSLnKQDoBFX5mgkDCgR,"Trust","Lost","Brent Faiyaz",2018-10-19,158420,74,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T03:14:25Z,"r&b","Lost Kids / Human Re Sources",0.764,0.394,8,-8.559,1,0.152,0.231,0.0000937,0.117,0.465,92.009,4
spotify:track:1Xm9CQRcJbOgTCpKCpS9s5,"Talk 2 U","Sonder Son","Brent Faiyaz",2017-10-13,159485,66,false,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T03:14:39Z,"r&b","Lost Kids",0.688,0.634,5,-10.443,0,0.0929,0.14,0.000263,0.253,0.561,88.018,4
spotify:track:3Lj4DA8yaVF17X2buYZGJC,"So Far Gone / Fast Life Bluez","Sonder Son","Brent Faiyaz",2017-10-13,331018,56,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T03:15:05Z,"r&b","Lost Kids",0.511,0.439,9,-11.79,0,0.218,0.841,0.0000312,0.225,0.124,159.815,4
spotify:track:0mMyCFOqotvTPf8esrLM7K,"Jezebel","Promise","Sade",1985-11-04,329133,55,false,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T03:15:47Z,"","Sony Music UK",0.571,0.228,2,-12.422,0,0.0293,0.789,0.0000812,0.12,0.185,92.396,4
spotify:track:3cjF2OFRmip8spwZYQRKxP,"Feel No Ways","Views","Drake",2016-05-06,240653,76,true,v828zh1enlyp9vzjlfaj5rzpm,2021-02-23T03:16:46Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.582,0.677,7,-7.081,1,0.172,0.0312,0.0000066,0.122,0.205,193.818,4
spotify:track:6GivWRmlYtefJr28jev6e0,"Leray","A Love Letter To You 4","Trippie Redd",2019-11-22,122706,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-07T18:10:48Z,"melodic rap","TenThousand Projects, LLC",0.774,0.195,4,-12.233,1,0.0871,0.789,0.00103,0.109,0.369,132.847,4
spotify:track:2C3iuuYK5x902AzEvDAeHN,"The Law of Recognition","The Law of Recognition","KYSLINGO",2020-04-12,129175,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T23:15:29Z,"","1099866 Records DK",0.898,0.242,10,-11.998,0,0.271,0.256,0.0593,0.187,0.145,111.98,4
spotify:track:7CFfqRW50ffULvBv7lfIIg,"Violent","Violent","carolesdaughter",2020-11-23,135877,62,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T23:17:45Z,"","Arista Records",0.797,0.755,2,-5.393,1,0.0293,0.331,0.00000226,0.124,0.411,129.955,4
spotify:track:5O6QAX1oI4iktfXP8HAmgi,"the way that you see me (feat. Ayleen Valentine)","the way that you see me (feat. Ayleen Valentine)","Powfu,Rxseboy,Sarcastic Sounds,Ayleen Valentine",2021-02-19,182416,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T23:20:45Z,"lo-fi","Columbia",0.548,0.341,0,-11.667,0,0.397,0.708,0,0.121,0.34,71.573,4
spotify:track:2gZ6I0MB9XaKmWOPwNJuqt,"Inside Out","Stratosphere","Duster",1998-02-24,141040,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-29T02:34:08Z,"slowcore,shoegaze","Numero Group",0.553,0.465,9,-9.664,1,0.0301,0.837,0.97,0.102,0.651,79.224,4
spotify:track:3zksbXteOCeSusJ5Xltr3t,"Bubble Gum","Bubble Gum","Clairo",2019-02-22,175960,75,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-29T17:01:40Z,"bedroom pop","Independent",0.509,0.0167,9,-24.639,1,0.115,0.979,0.0000272,0.387,0.229,207.97,3
spotify:track:5de9Ho64dovuQI8Uhn5gPD,"I Don't Wanna Do This Anymore","Revenge","XXXTENTACION",2017-05-16,87560,72,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-29T17:01:53Z,"emo rap","Bad Vibes Forever / EMPIRE",0.433,0.778,4,-7.681,1,0.041,0.843,0,0.139,0.764,114.208,4
spotify:track:1rS0eq80peCPCgfT2t0Kmm,"Monica Lewinsky (feat. A Boogie wit da Hoodie)","Ghetto Lenny's Love Songs","SAINt JHN,A Boogie Wit da Hoodie",2019-08-23,200474,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-29T17:29:40Z,"melodic rap","Godd Complexx / HITCO",0.829,0.521,10,-5.583,1,0.138,0.858,0,0.13,0.367,106.016,4
spotify:track:5Lgcn7u07bHuqbOtXkN62u,"With You","Exclusive (Expanded Edition)","Chris Brown",2007-11-06,252120,79,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-30T14:39:53Z,"r&b","Jive",0.662,0.693,3,-4.298,1,0.0698,0.134,0,0.145,0.655,86.009,4
spotify:track:5jc4Qcs98R4ZDku8ictuE3,"Tampa","Sweet Union","Cico P",2019-10-31,176160,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-05-10T04:07:00Z,"","DawgTies Ent.",0.888,0.408,8,-10.162,0,0.487,0.164,0,0.0912,0.742,77.029,4
spotify:track:6fGEfSUTyHgQZTiIbRoffC,"Shippūden","Shippūden","Blanco",2020-03-20,179594,57,true,v828zh1enlyp9vzjlfaj5rzpm,2021-05-10T04:12:00Z,"uk drill,drill,grime,afroswing,uk grime","Polydor Records",0.858,0.363,5,-12.029,0,0.31,0.648,0.0000112,0.121,0.908,130.205,4
spotify:track:30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love Thanks for Sticking Around","Stop Staring At the Shadows","$uicideboy$",2020-02-14,168489,78,true,v828zh1enlyp9vzjlfaj5rzpm,2021-05-10T04:16:29Z,"emo rap,horrorcore,cloud rap,trap metal,underground hip hop","G59 Records",0.792,0.511,2,-6.876,1,0.0409,0.124,0.0000904,0.14,0.111,113.983,4
spotify:track:2IePEfMAtqWS6rLXXFZIgI,"His & Hers (feat. Don Toliver Lil Uzi Vert & Gunna)","His & Hers (feat. Don Toliver Lil Uzi Vert & Gunna)","Internet Money,Gunna,Don Toliver,Lil Uzi Vert",2021-05-13,224042,1,true,v828zh1enlyp9vzjlfaj5rzpm,2021-05-28T17:51:37Z,"melodic rap","Internet Money / 10K Projects",0.792,0.707,7,-5.218,0,0.0623,0.116,0,0.12,0.408,134.997,4
spotify:track:3jym9PY3rlgdLi1cNxpSU3,"Chains","PINK PLANET","Pink Sweat$",2021-02-12,149077,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-05-30T19:57:58Z,"","Atlantic Records",0.644,0.35,2,-7.82,1,0.0308,0.815,0,0.266,0.311,91.981,4
spotify:track:3ishRxjsqYVk6FdAGeeUAP,"Set Piece","Angel Youth","Vansire,sophie meiers,Ivy Sole",2018-04-26,199490,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-05-31T22:14:27Z,"bedroom pop,alternative r&b","Spirit Goth Records",0.541,0.483,1,-10.675,0,0.0514,0.351,0.4,0.111,0.641,80.73,4
spotify:track:6Dqja51kHdm93TJGkX7T16,"Real Feel","A Love Letter To You 4","Trippie Redd",2019-11-22,258552,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-06-13T06:43:21Z,"melodic rap","TenThousand Projects, LLC",0.849,0.569,2,-5.221,1,0.0659,0.369,0,0.0862,0.434,149.108,4
spotify:track:30Chv2SmIry70YwtmtaKnj,"Hello","2014 Forest Hills Drive","J. Cole",2014-12-09,219173,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-10-26T07:01:40Z,"rap","Roc Nation/Columbia",0.598,0.7,9,-8.565,0,0.22,0.0771,0.0000113,0.106,0.329,159.899,4
spotify:track:4hQ6o8ECY5MyHyodnyOHEw,"U Deserve It","A Love Letter To You 4","Trippie Redd,Chris King,Quan'ta",2019-11-22,244601,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-12-04T07:31:09Z,"melodic rap","TenThousand Projects, LLC",0.818,0.509,5,-7.287,1,0.0316,0.547,0.00000434,0.0758,0.55,109.998,4
spotify:track:3Z9vHQOOPvRtOnTPyXLkWD,"Til The End of Time","A Love Letter To You 4","Trippie Redd",2019-11-22,174433,0,true,v828zh1enlyp9vzjlfaj5rzpm,2021-12-04T07:31:41Z,"melodic rap","TenThousand Projects, LLC",0.747,0.597,7,-6.904,0,0.0292,0.177,0.0000011,0.319,0.496,120.007,4
spotify:track:42m3eP1JJhtzffal9B136J,"7am On Bridle Path","Certified Lover Boy","Drake",2021-09-03,239635,61,true,v828zh1enlyp9vzjlfaj5rzpm,2021-12-11T06:59:25Z,"rap","OVO",0.724,0.531,5,-4.108,0,0.298,0.225,0,0.11,0.141,89.901,4
