Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Lf2PlT8IPAaWc59a2fWU6,"For James","The Celestial Suite","Pale Jay",2021-10-22,83046,55,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:05:10Z,"retro soul","PLYGRND",0.253,0.674,3,-6.929,0,0.0331,0.22,0.734,0.0986,0.436,81.871,4
spotify:track:6vX00oaG3bMuNBKxapoPYO,"Kollage","The Loveliest Time","Carly Rae Jepsen",2023-07-28,256528,49,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:05:19Z,"","Silent Records IGA",0.604,0.538,2,-7.85,0,0.033,0.306,0.001,0.0829,0.368,151.658,4
spotify:track:2mMEe0jkbVXpchq1jHfbv9,"Rock Your Body (So Close)","Rock Your Body (So Close)","Fi Bin Cap,Clara La Sann",2023-08-30,124689,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:05:58Z,"","Fi Bin Cap",0.472,0.094,6,-23.56,0,0.0834,0.939,0.00000525,0.224,0.295,137.938,5
spotify:track:6qrcJkIpuWpxH0ruS8WVAy,"In This Darkness","In This Darkness","Clara La San",2023-01-29,197000,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:12:28Z,"","CLS",0.647,0.228,2,-19.288,1,0.0668,0.841,0.00149,0.108,0.189,119.828,4
spotify:track:59acp1OhcvxwVBwQJBYKuX,"Loose","Freudian","Daniel Caesar",2017-08-25,185522,21,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:13:28Z,"","Golden Child Recordings",0.198,0.162,1,-15.815,1,0.0343,0.926,0.00896,0.135,0.0527,70.453,1
spotify:track:4riDfclV7kPDT9D58FpmHd,"Some","Some","Steve Lacy",2016-10-31,118393,73,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:13:44Z,"","L-M Records",0.784,0.554,7,-6.417,1,0.03,0.00548,0.254,0.0995,0.634,104.01,4
spotify:track:1wYIv0ySOwjMFWLOtrgtbo,"III. Urn","Because the Internet","Childish Gambino",2013-12-10,73386,1,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:14:02Z,"","Glassnote Entertainment Group LLC",0.59,0.446,0,-12.759,0,0.0731,0.621,0.00235,0.0731,0.399,140.081,4
spotify:track:0FTpFi1BlqoBVELlh7jK50,"Le Départ","Lotus Glow","Adi Oasis",2023-03-03,59836,56,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:15:47Z,"indie soul,retro soul,neo soul","Unity Records",0.678,0.339,10,-11.187,0,0.0934,0.823,0.921,0.167,0.478,74.009,3
spotify:track:2VYnlKxB8jpbCeLUjQsebc,"In A Good Way","I Know I'm Funny haha","Faye Webster",2021-06-25,224680,74,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:16:22Z,"","Secretly Canadian",0.587,0.286,9,-8.839,1,0.0315,0.185,0.0288,0.214,0.302,71.123,4
spotify:track:67ngp6fHtPNrUGuGu4cvcm,"Lying To You","All For You","Amaria,Amber Navran",2023-04-28,238571,47,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:16:43Z,"alternative r&b,neo soul,contemporary r&b","Fashionably Early Records LLC",0.727,0.456,10,-9.324,0,0.0564,0.252,0.121,0.0884,0.783,84.018,4
spotify:track:6ffrYPrHM70FScnrtHIcPh,"Moment Of Your Life","Moment Of Your Life","Brent Faiyaz,Coco Jones",2023-08-23,195000,49,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:21:25Z,"r&b","ISO Supremacy under exclusive license to UnitedMasters LLC",0.762,0.48,10,-6.595,0,0.0471,0.611,0,0.0907,0.598,127.95,4
spotify:track:7dqhCs9znNwfs8gzaASJpK,"Hesitating","Demos Before Prom","Malcolm Todd",2022-05-15,144761,58,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:23:03Z,"","Columbia",0.479,0.441,5,-9.513,1,0.0711,0.873,0.0000175,0.161,0.365,126.204,4
spotify:track:3xeDr86GnwkxhHQIit7NL9,"Waste My Time","Waste My Time","Essosa",2023-06-07,180731,60,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:23:56Z,"uk r&b","Atlantic Records UK",0.784,0.531,5,-5.874,0,0.0579,0.0745,0.0000203,0.093,0.436,120.053,4
spotify:track:0qHYMTypzE560QUDwfMdfH,"Go Away","Love","Troy Javelona",2023-05-26,141538,55,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:25:51Z,"","4506868 Records DK",0.424,0.483,5,-6.253,0,0.0475,0.707,0.00777,0.135,0.192,78.033,4
spotify:track:3NMgXmqOovOeL9EK2i5XIo,"Lovin","Cold Toronto","Che Ecru",2022-12-09,64000,44,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:29:04Z,"dark r&b,trap soul","F PLUS",0.593,0.492,2,-5.574,1,0.0334,0.313,0.971,0.207,0.235,120.02,4
spotify:track:4fVXcxsXPW5lhy5ut9biHB,"Lose Control","Bittersweet","Amaria",2021-08-18,181831,54,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:31:41Z,"alternative r&b,neo soul","Fashionably Early Records LLC",0.782,0.385,0,-8.325,1,0.0544,0.424,0.0000233,0.0993,0.644,129.072,4
spotify:track:5HCBEhjJ90VMZ2bzwPwK8S,"Ray Mysterio - Instrumental","Bread","The Alchemist",2018-11-30,223535,47,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:32:23Z,"alternative hip hop,jazz rap,experimental hip hop,boom bap","ALC",0.731,0.577,1,-8.449,1,0.0508,0.548,0.867,0.278,0.865,132.062,4
spotify:track:2kC6etns1VgQmNxBnitrV9,"act i: stickerz 99","act i: stickerz 99","4batz",2023-06-27,104469,0,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:33:57Z,"","4batz",0.518,0.231,8,-16.632,1,0.0761,0.479,0.00307,0.1,0.302,139.031,4
spotify:track:6HSTJbYzJCK5jKz7hrsvQh,"intro","Getaway","Orion Sun",2022-03-11,180560,57,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:39:19Z,"alternative r&b,bedroom pop","Mom+Pop",0.525,0.459,10,-9.324,0,0.0329,0.203,0.000443,0.271,0.647,84.401,4
spotify:track:3s7MCdXyWmwjdcWh7GWXas,"Violent Crimes","ye","Kanye West",2018-06-01,215320,79,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:40:00Z,"rap","Getting Out Our Dreams, Inc./Def Jam Recordings",0.669,0.419,1,-6.724,0,0.522,0.376,0,0.187,0.0397,109.813,4
spotify:track:3EBe3nP9DVDVEQOI7IjekL,"King Farley (Intro)","Farley","Sideshow",2020-02-24,52000,31,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:42:53Z,"experimental hip hop,alternative hip hop,jazz rap","10k",0.743,0.233,3,-15.529,0,0.055,0.707,0.844,0.111,0.729,75.718,3
spotify:track:5dNPLKtvKpPdAOiu9nfUg9,"you're so lovely","it's not you it's me... it's love","Chase Shakur",2023-09-01,176773,39,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:44:13Z,"dark r&b","Def Jam Recordings",0.296,0.408,1,-8.242,0,0.0289,0.369,0.000597,0.186,0.226,143.443,3
spotify:track:30jui3PqevssdIVpjEWM38,"Is there free breakfast here?","Ugly Duck","Hotel Ugly",2023-03-24,129199,65,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:49:10Z,"","Hotel Ugly under exclusive license to Amuseio AB",0.615,0.373,2,-10.173,1,0.0278,0.597,0.00312,0.224,0.337,74.986,4
spotify:track:7JqXZgtuqIFwzREMFAJOOS,"Erykah’s Gun","Stashboxxx","DJ Harrison",2014-07-29,61333,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-27T04:53:29Z,"","Ropeadope",0.678,0.199,9,-18.326,1,0.087,0.797,0.956,0.112,0.964,90.326,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,"My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,86,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-28T05:04:08Z,"","Dead Oceans",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
spotify:track:3fuyYaLhZ2RoP9eWpvfP1H,"A New Kind Of Love - Demo","A New Kind Of Love (Demo)","Frou Frou,Imogen Heap,Guy Sigsworth",2022-04-08,259071,78,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-16T07:35:56Z,"","Megaphonic",0.674,0.487,9,-13.307,1,0.0331,0.169,0.00411,0.127,0.329,132.97,4
