Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5Ru9OjtEw5htfnVKpYsIcv,"UMI Says","Black On Both Sides","Mos Def",1999-10-12,305280,53,true,bjz53b2j0ysnqm20v1jidfoxl,2023-02-09T21:19:59Z,"east coast hip hop,old school hip hop,hip hop","Rawkus Entertainment",0.72,0.67,2,-10.224,1,0.132,0.305,0,0.0928,0.566,121.342,4
spotify:track:4JNTpbntShpUpACDUzwHV5,"GO!","Be","Common",2005-01-01,224160,58,true,bjz53b2j0ysnqm20v1jidfoxl,2023-02-09T21:20:04Z,"hip hop,jazz rap,neo soul","Geffen",0.838,0.763,10,-11.132,0,0.227,0.0914,0.0000139,0.123,0.544,104.957,4
spotify:track:3jaEmUzw0Nt4GcyPkWEDCi,"Stressed Out (feat. Faith Evans)","Beats Rhymes & Life","A Tribe Called Quest,Faith Evans",1996-07-30,298200,49,true,bjz53b2j0ysnqm20v1jidfoxl,2023-02-09T21:20:09Z,"jazz rap,east coast hip hop,hip hop,old school hip hop,r&b","Jive",0.823,0.399,7,-10.108,1,0.234,0.0712,0.000258,0.0954,0.577,93.524,4
spotify:track:4UZlEcQmkAeh4mYokk8TNs,"Let's Ride","Amplified","Q-Tip",1999-11-23,246493,47,true,bjz53b2j0ysnqm20v1jidfoxl,2023-02-10T19:08:21Z,"east coast hip hop","Arista",0.775,0.795,5,-4.171,1,0.206,0.148,0.00119,0.0411,0.796,95.212,4
spotify:track:3YN2Q4dBTFZFXOJv5e4MiE,"Two Can Win","Donuts","J Dilla",2006-02-07,107293,44,false,bjz53b2j0ysnqm20v1jidfoxl,2023-02-10T19:12:14Z,"alternative hip hop,jazz rap","Stones Throw Records",0.387,0.761,10,-9.68,0,0.41,0.011,0.224,0.775,0.807,185.182,4
spotify:track:5GO4rpfnM2lghVqEulTJUf,"They Say","Be","Common,John Legend,Kanye West",2005-01-01,237040,51,true,bjz53b2j0ysnqm20v1jidfoxl,2023-02-10T19:14:05Z,"hip hop,jazz rap,neo soul,soft pop,rap","Geffen",0.654,0.702,4,-7.419,0,0.222,0.183,0.00000893,0.0705,0.814,94.839,4
spotify:track:7tx1TUJrT6qxXFXAELqbev,"Thieves In The Night","Mos Def & Talib Kweli Are Black Star","Black Star",1998-09-29,311960,52,true,bjz53b2j0ysnqm20v1jidfoxl,2023-02-16T21:15:42Z,"east coast hip hop,hip hop,jazz rap,old school hip hop","Rawkus Entertainment",0.816,0.597,1,-6.407,1,0.281,0.147,0,0.138,0.558,92.04,4
spotify:track:4v4F0AQbwLXXOOUHcJtocT,"Y'all Ain't Ready","Welcome 2 Detroit","Jay Dee,J Dilla",2001,88773,26,true,bjz53b2j0ysnqm20v1jidfoxl,2023-02-20T15:33:12Z,"alternative hip hop,jazz rap","BBE Music",0.796,0.57,10,-8.009,0,0.428,0.00923,0.0000661,0.35,0.833,100.063,4
spotify:track:5jCvvYaoLVmfWufQ2Vco6j,"Sniper Elite","Sniperlite","J Dilla,MF DOOM",2008-10-01,118640,24,true,bjz53b2j0ysnqm20v1jidfoxl,2023-02-20T17:02:38Z,"alternative hip hop,jazz rap,experimental hip hop,east coast hip hop","Stones Throw Records",0.484,0.935,1,-4.217,0,0.398,0.216,0,0.257,0.556,90.335,4
spotify:track:5fLRkIB6jcYk7vGjXNdN5x,"Welcome 2 Detroit","Welcome 2 Detroit","Jay Dee,J Dilla",2001,49360,23,true,bjz53b2j0ysnqm20v1jidfoxl,2023-02-20T17:04:56Z,"alternative hip hop,jazz rap","BBE Music",0.6,0.375,5,-8.69,1,0.353,0.673,0.0623,0.164,0.595,91.817,3
