Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:099qKQ9zvTWcMDsNsasKpI,"Burn","Be Right Back","Jorja Smith",2021-05-14,214047,52,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:13:20Z,"","FAMM",0.89,0.433,0,-9.021,1,0.0527,0.382,0.0000437,0.0948,0.374,120.02,4
spotify:track:3W2nknW1nTuuxUSyFCUCS8,"John Redcorn","Chasing Summer","SiR",2019-08-30,187893,65,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:13:29Z,"alternative r&b,neo soul","Top Dawg Entertainment",0.734,0.435,6,-6.126,0,0.0869,0.226,0.00277,0.216,0.651,143.967,4
spotify:track:74HYrIbnpc2xKCTenv5qKM,"Window Seat","New Amerykah Part Two: Return Of The Ankh","Erykah Badu",2010-03-30,289720,61,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:13:36Z,"neo soul,r&b","Motown",0.643,0.535,0,-6.795,0,0.0941,0.648,0.00213,0.0766,0.564,82.193,4
spotify:track:6ocxCGYgcmZhCeTT1yuNkt,"I Gotta Find Peace of Mind - Live","MTV Unplugged No. 2.0","Ms. Lauryn Hill",2002-05-07,558973,58,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:14:39Z,"neo soul","Columbia",0.495,0.505,7,-10.034,1,0.409,0.813,0.00000201,0.117,0.657,173.612,4
spotify:track:47s5hKfwGXliAAB8wKMiNo,"When I'm in Your Arms","Rose in the Dark","Cleo Sol",2020-03-27,335310,67,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:15:18Z,"neo soul,alternative r&b,uk r&b","Forever Living Originals",0.596,0.462,0,-10.605,1,0.0589,0.476,0.0581,0.112,0.655,173.866,4
spotify:track:1HWGhEcHmzYjyMErq0eovQ,"Her Light","Rose in the Dark","Cleo Sol",2020-03-27,244600,57,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:15:26Z,"neo soul,alternative r&b,uk r&b","Forever Living Originals",0.522,0.503,5,-7.72,1,0.0549,0.564,0.375,0.132,0.617,79.83,4
spotify:track:7aVKQJZwdqyEPkvKSyEuxj,"Baby","Last Day Of Summer","Summer Walker",2018-10-19,88186,58,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:15:34Z,"r&b","LVRN/Interscope Records",0.548,0.461,9,-10.17,0,0.0397,0.754,0.0522,0.11,0.64,84.723,4
spotify:track:5tqZJUHEuqdN12RZVq2l9p,"Hold On","Hive Mind","The Internet",2018-07-20,406466,65,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:15:54Z,"alternative r&b,neo soul","Columbia",0.7,0.414,0,-10.864,1,0.0373,0.849,0.0606,0.107,0.444,60.479,4
spotify:track:1el1feH98jWUrPpYmu5jN8,"Sunshine","Mother","Cleo Sol",2021-08-20,262960,64,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:16:01Z,"neo soul,alternative r&b,uk r&b","Forever Living Originals",0.626,0.265,2,-15.297,0,0.0738,0.623,0.0689,0.125,0.054,86.106,4
spotify:track:6A5axPueEwxqUdi5JtZlpW,"ThankU (feat. Dave Chappelle)","Why Lawd?","NxWorries,Anderson .Paak,Knxwledge,Dave Chappelle",2024-06-14,50786,40,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:17:06Z,"comedy","Stones Throw Records",0.343,0.163,6,-20.359,1,0.0789,0.986,0,0.107,0.532,80.974,4
spotify:track:7i6p1kY8DrZkDFoWi5vxu4,"86Sentra","Why Lawd?","NxWorries,Anderson .Paak,Knxwledge",2024-06-14,96009,47,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:17:15Z,"","Stones Throw Records",0.763,0.618,10,-9.705,0,0.308,0.355,0.0000395,0.105,0.643,160.448,4
spotify:track:6NkpXwmHBAWYQmMDV0AVdw,"MoveOn","Why Lawd?","NxWorries,Anderson .Paak,Knxwledge",2024-06-14,167894,47,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-04T18:17:28Z,"","Stones Throw Records",0.565,0.626,11,-14.123,0,0.043,0.632,0.536,0.11,0.833,159.94,4
