Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Es7AUAhQvapIcoh3qMKDL,"Timeless (feat. Playboi Carti)","Timeless","The Weeknd,Playboi Carti",2024-09-27,256000,31,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:47:20Z,"rage rap","XO / Republic Records",0.769,0.722,11,-5.485,0,0.0507,0.0584,0.00000256,0.111,0.57,119.973,4
spotify:track:3xBFp4clvliIdpFOzVUakF,"Anti (feat. ClayDough) - Live","Anti (feat. ClayDough) (Live)","Slimmy B,Splash Bakery,Bryan C. Simmons,ClayDough",2024-03-31,93666,0,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:47:44Z,"hyphy","Splash Bakery",0.764,0.423,0,-9.948,0,0.108,0.904,0.000347,0.121,0.722,97.893,4
spotify:track:2ZqfDTYlf3Qc0M1L2FYLyb,"13","FLAWLESS LIKE ME","LUCKI",2022-09-23,156000,59,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:47:50Z,"cloud rap","Lucki / EMPIRE",0.593,0.331,0,-10.814,0,0.0959,0.418,0.0692,0.712,0.0467,75.01,4
spotify:track:5Pvpk8WHAvmmxMr7SkcZsN,"120","PLAN A","Lil Tecca",2024-09-20,130979,59,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:48:27Z,"melodic rap,rap","Galactic Records/Lil Tecca",0.718,0.737,11,-5.988,0,0.111,0.00724,0,0.276,0.148,132.02,4
spotify:track:2cZOYofOX4d6g0OXxkaIjA,"ALL RED","ALL RED","Playboi Carti",2024-09-13,148053,69,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:48:37Z,"rage rap","AWGE/Interscope Records",0.76,0.663,9,-4.763,0,0.0551,0.109,0,0.305,0.209,143.082,4
spotify:track:3GDxQBr7aghzWH0kA0N8yk,"Batman","Batman","mikeeysmind,dadanny",2024-02-10,134607,58,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:48:48Z,"","Mikeeysmind",0.451,0.709,1,-5.474,0,0.0759,0.0899,0.00000921,0.166,0.192,131.576,4
spotify:track:12LL3696cs252qRvZCmJWs,"Tear The Club Up","The Star","LittleRichh",2024-07-12,84218,12,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:49:02Z,"new york drill,drill,brooklyn drill","1865 LLC/Stop One Distribution LLC",0.67,0.806,3,-7.351,0,0.422,0.801,0,0.0737,0.777,154.356,4
spotify:track:3IGXYEFpYacKrn5Rfp20rj,"FREE5 (Green Light)","FREE5 (Green Light PT 2)","M Row",2024-08-30,173707,35,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:49:13Z,"new york drill,drill,brooklyn drill,sexy drill","M Row",0.719,0.619,10,-5.273,0,0.383,0.634,0,0.344,0.362,142.211,4
spotify:track:4Aq0KjqOcpdxdaKOhltgPA,"Triple Threat (PT 1)","Triple Threat (PT 1 & 2)","M Row",2023-11-17,164291,17,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:49:20Z,"new york drill,drill,brooklyn drill,sexy drill","M Row",0.669,0.693,10,-13.366,0,0.358,0.192,0,0.729,0.536,139.04,4
spotify:track:6R7cNOzIOsr44mcoHa2etH,"Space Boy","Storm Coming","Manny Laurenko,LUCKI",2021-07-30,165632,63,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:49:30Z,"cloud rap","1 OF NONE",0.64,0.656,6,-9.209,1,0.0377,0.000516,0.0000911,0.135,0.385,140.028,4
spotify:track:2zZYe0VgBUAamZ9zTxzE4l,"Laced max","Laced max","LAZER DIM 700",2024-05-15,90005,65,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:49:56Z,"","LAZER DIM 700",0.77,0.515,11,-11.788,0,0.0804,0.0327,0.00000693,0.162,0.084,99.968,4
spotify:track:4p1ajZ2s5MGd5pg3knrI2D,"Alternative Outro","Alternative Trap","LUCKI",2013-02-25,290063,51,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:50:06Z,"cloud rap","Lucki / EMPIRE",0.248,0.42,11,-13.884,1,0.0374,0.908,0.000489,0.32,0.141,89.147,3
spotify:track:4lwfqyQXSDJ7kELpMErMih,"Sorry Not Sorry","Sorry Not Sorry","Lil Yachty,Veeze",2024-08-16,136708,65,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:50:26Z,"","Quality Control Music/Motown Records",0.662,0.509,1,-9.159,1,0.322,0.247,0,0.266,0.549,157.94,4
spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,"No Pole","Love Sick (Deluxe)","Don Toliver",2023-02-28,187613,86,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:50:33Z,"","Cactus Jack / Atlantic",0.328,0.631,5,-5.169,0,0.0465,0.0714,0,0.567,0.382,85.262,4
spotify:track:19px0LYNwmvyh0QDPE9qHu,"Cozy Forever","Cozy Forever","Kembe X",2021-11-12,145454,43,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:51:08Z,"","1929343 Records DK2",0.687,0.463,1,-11.499,1,0.222,0.358,0,0.596,0.318,131.839,4
spotify:track:1jKXjxMWlq4BhH6f9GtZbu,"TORE UP","HARDSTONE PSYCHO","Don Toliver",2024-06-14,126986,77,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:51:20Z,"","Cactus Jack / Atlantic",0.534,0.819,11,-4.329,1,0.038,0.0012,0.0011,0.112,0.0806,154.994,4
spotify:track:2nNvk9siGRLiWP2RV0XDW2,"MONEY AND VIBES","DO NOT DISTURB (DELUXE)","Nemzzz",2024-03-18,122253,63,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:51:28Z,"uk drill,drill","Nemzzz",0.817,0.363,5,-14.085,0,0.283,0.293,0,0.156,0.857,150.134,3
spotify:track:72T5vG738GsAIrQHeeqCI6,"Ski What It Be","GEMINI!","LUCKI",2024-06-14,135386,48,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:51:59Z,"cloud rap","Lucki / EMPIRE",0.907,0.427,8,-3.776,1,0.0997,0.00304,0.00641,0.107,0.271,156.015,4
spotify:track:11xP1t0jr5vGbES4Oh0KD9,"covered4lyfe","gregory","Your Stepdad",2023-06-18,71260,25,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:52:19Z,"doo-wop","Your Stepdad LLC",0.685,0.565,10,-15.36,0,0.272,0.054,0.000432,0.218,0.701,150.031,4
spotify:track:2QQdvyw8QO9NJWtOlS4cIL,"All Kap","Mafia Musik","D. Savage",2023-02-17,135572,33,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:52:42Z,"cloud rap","D Savage Enterprises LLC / EMPIRE",0.725,0.582,10,-7.511,0,0.39,0.326,0.0000044,0.157,0.583,130.997,4
spotify:track:093MlZS93ZKlHpGkmb3k3W,"BROTHER STONE (FEAT. KODAK BLACK)","HARDSTONE PSYCHO","Don Toliver,Kodak Black",2024-06-14,202840,69,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:52:56Z,"","Cactus Jack / Atlantic",0.83,0.529,1,-6.374,1,0.324,0.0733,0,0.107,0.54,157.009,4
spotify:track:77jOw64pELbZ5l0blrTia9,"Stressed Out","Stressed Out","Kodak Black",2024-04-12,243374,45,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:53:06Z,"","Vulture Love/Capitol Records",0.57,0.636,10,-4.845,0,0.25,0.0634,0,0.136,0.664,119.969,4
spotify:track:1JDhNQ0oOT7XpclZn3aQ8F,"West Coast Shit (feat. Tyga & Quavo)","Shoot For The Stars Aim For The Moon","Pop Smoke,Tyga,Quavo",2020-07-03,192000,50,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:53:16Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.831,0.762,11,-5.656,0,0.207,0.0885,0,0.107,0.495,99.999,4
spotify:track:0DYjnWSIHIuOK64gwAbonx,"Anonymous","Kut Da Fan On","Hotboii,LPB Poody",2020-05-22,172083,48,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:53:35Z,"","SLV",0.78,0.607,11,-8.345,1,0.248,0.231,0,0.129,0.748,94.986,4
spotify:track:7zkM2VrMD0DvAxNrxZCICt,"Wake Up","On My Own","Dom Corleo",2023-05-26,112153,51,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:53:48Z,"rage rap,underground hip hop","New 11 Records",0.735,0.457,11,-6.395,0,0.0541,0.0402,0,0.174,0.473,137.091,4
spotify:track:6EUcP55GlbmsmCzfL2vxtZ,"on one tonight","One of Wun","Gunna",2024-05-10,90760,79,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:54:05Z,"melodic rap","300 Entertainment",0.887,0.727,4,-4.318,0,0.135,0.381,0.00000116,0.213,0.932,130.035,4
spotify:track:5JJRnenyacNL3nPbzR9HmE,"Real Snakes","Real Snakes","Marcel White",2023-01-15,127899,42,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:54:22Z,"","Marcel White",0.583,0.279,1,-13.867,1,0.487,0.128,0.749,0.115,0.375,83.014,4
spotify:track:1d7I0U9uUGlE5OAQEMzAmH,"Deuce & Fanta","3PEAT - EP","Warhol.SS,Babyface Ray",2022-08-04,144020,49,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:54:28Z,"chicago drill","Warhol.ss",0.788,0.639,1,-5.971,1,0.0631,0.00992,0.0000654,0.132,0.163,129.932,4
spotify:track:7MURXO8ygXnNxg1PMMlX3o,"JACKPOT","JACKPOT","Cochise",2024-04-18,140526,46,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:54:48Z,"rage rap","Columbia",0.676,0.548,2,-6.833,1,0.035,0.0048,0.0000613,0.311,0.204,152.058,4
spotify:track:4eQj2u1cbkhs0gzdYLPSLE,"Suicide","No Hooks","Lud Foe",2018-05-18,233382,31,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:55:25Z,"chicago drill","YSN Records, Inc. / EMPIRE",0.645,0.623,0,-5.793,1,0.0582,0.0655,0,0.432,0.423,128.746,5
spotify:track:0LMXLuS77q8PUSYS3AEALZ,"Recuperate","No Hooks II","Lud Foe",2017-01-01,192074,52,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-20T23:48:05Z,"chicago drill","YSN Records, Inc. / EMPIRE",0.857,0.751,4,-6.161,0,0.202,0.0188,0,0.194,0.245,99.988,4
spotify:track:2ht2G1JL1yg0kIbz6Wfr8V,"New","X","Ken Carson",2022-07-08,169889,55,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-20T23:55:57Z,"rage rap","Opium/Interscope Records",0.684,0.638,5,-4.191,1,0.033,0.242,0.000773,0.199,0.0545,148.074,4
spotify:track:176LvsOHbOXcgJgBBZ8wgs,"Almost Back","Almost Back","LUCKI",2019-05-31,91585,65,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-30T01:08:41Z,"cloud rap","Lucki",0.764,0.456,2,-10.227,1,0.264,0.00994,0.925,0.111,0.227,125.965,4
spotify:track:3icILkEkTKNPaPQ5usTbsw,"New Drank","New Drank","LUCKI",2022-03-31,88893,67,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-30T01:14:40Z,"cloud rap","Lucki / EMPIRE",0.703,0.599,11,-10.215,0,0.143,0.00183,0,0.117,0.695,131.051,4
spotify:track:4H4x6mlA3Mk8zUqmLrirGI,"douji feva","douji feva","Barretta",2023-11-27,105229,58,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-30T01:16:28Z,"","'94 Sounds / 10K Projects",0.744,0.44,9,-10.437,1,0.324,0.391,0.000108,0.125,0.313,153.932,4
spotify:track:0a6j47Vk0Q0cNAumjvLDG2,"Bracket","Bracket","Barretta",2024-06-21,96109,49,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-30T01:18:56Z,"","Barretta",0.804,0.569,5,-8.399,1,0.169,0.411,0,0.122,0.45,79.982,4
spotify:track:5CESGK65NsTfHaDHW5dspw,"Close 2 The Sun","Close 2 The Sun","Draft Day",2023-02-24,132656,47,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-30T01:22:55Z,"","Concrete Boys",0.802,0.719,11,-7.104,1,0.17,0.000102,0,0.232,0.221,120.035,4
spotify:track:1BpKJw4RZxaFB88NE5uxXf,"ILoveUIHateU","Whole Lotta Red","Playboi Carti",2020-12-25,135122,73,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-30T01:26:24Z,"rage rap","AWGE/Interscope Records",0.684,0.693,4,-6.651,0,0.0339,0.00534,0,0.506,0.108,134.988,4
spotify:track:2QxYsn2ygOrfJ70JItrlCO,"#CERTIFIED (feat. DJ Ess) - DJ Ess Mix","#CERTIFIED (DJ Ess Mix) [feat. DJ Ess]","BabyTron,DJ Ess",2023-10-26,122012,64,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-30T01:28:05Z,"","The Hip Hop Lab Records / EMPIRE",0.735,0.548,8,-4.162,1,0.043,0.00785,0.00000223,0.114,0.114,95.052,4
spotify:track:0AJ0YZUk2ACFGfBUiaULe4,"Challenge","Challenge","Barretta",2023-11-10,132543,20,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-30T01:29:44Z,"","4558016 Records DK",0.767,0.454,8,-6.378,1,0.12,0.222,0,0.101,0.131,144.957,4
spotify:track:1BF7LPbDbv49zchwZJ4oX6,"NO SHOW","NO SHOW","janu4ryss",2024-06-12,73358,44,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-30T01:30:07Z,"","The System",0.513,0.693,8,-9.651,1,0.0567,0.000125,0.739,0.219,0.101,191.291,4
