Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0kwXshCu0tNGW5brIkSUDN,"MMM","Living Too Fast (Deluxe)","Corey St.Rose",2022-01-21,136666,0,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:08:12Z,"jersey club","True Colors WorldWide",0.778,0.522,5,-8.733,0,0.228,0.0403,0.00000708,0.319,0.518,144.073,4
spotify:track:6fkHAN8f7niP1UUB0mDiPR,"You Dont Know My Name","No Auto A","Young A 804",2021-12-04,125063,2,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:08:19Z,"","3505796 Records DK",0.421,0.843,2,-6.332,1,0.429,0.137,0,0.175,0.164,153.78,4
spotify:track:35OI3vYrrPEgokYILfcx9W,"456","456","Douly G",2022-03-10,132050,7,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:08:24Z,"","Douly G",0.76,0.446,0,-12.388,1,0.446,0.814,0,0.114,0.681,160.081,4
spotify:track:28KyrZDwNxyELcz1SU0TOB,"Drilly Tho","Drilly Tho","Yommy G",2021-10-31,120685,20,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:08:29Z,"new york drill,drill,brooklyn drill","3353448 Records DK",0.688,0.866,9,-5.814,1,0.33,0.116,0,0.086,0.784,160.079,4
spotify:track:5AHC49Y7yaumdlZMI6DPq2,"Numb(Outro)","Numb(Outro)","PesoLoaded",2021-12-25,209978,32,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:09:01Z,"","3602282 Records DK",0.681,0.706,11,-11.834,0,0.038,0.155,0.000115,0.0932,0.236,127.957,5
spotify:track:2mMujXZEIk8c65UHOZGcJl,"Nagato","Nagato","Headband Andy",2022-01-17,182256,0,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:09:14Z,"rage rap","Bouncehouse Records",0.786,0.809,4,-6.326,0,0.388,0.0869,0.000272,0.101,0.487,137.027,4
spotify:track:1gTXzFmtZKf1SX0gigm2l5,"EVIL SHIT","TOP DOWN","Lil Temptacion",2022-07-29,84426,1,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:13:22Z,"","Grimmy",0.663,0.496,1,-7.854,1,0.0846,0.0141,0,0.109,0.209,164.813,3
spotify:track:39d9CQbAB6AMLCxcJtSc0U,"Paris to Tokyo","B.I.B.L.E.","Fivio Foreign,The Kid LAROI",2022-07-15,130897,45,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:13:37Z,"brooklyn drill,new york drill,drill,uk drill","RichFish/Columbia",0.642,0.787,5,-6.389,0,0.17,0.0185,0,0.288,0.406,146.733,4
spotify:track:3P7xjKJTg7tG7xWlyCpfih,"Most Hated Pt. 1","4500","Aflacko",2019-04-12,80196,0,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:14:52Z,"","Get Dough",0.422,0.608,6,-7.287,0,0.196,0.0508,0,0.11,0.176,84.05,4
spotify:track:2LBIr8iTIgb6Zx7HTlxCWs,"Gypsy Woman","Gypsy Woman","Ghosu",2021-06-05,139222,0,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:14:58Z,"","Dead Inside Club",0.875,0.501,10,-8.73,0,0.174,0.149,0.0194,0.11,0.597,160.087,4
spotify:track:3at6WxcwxONcdbvcW02OOY,"Playboy","Playboy","Jx.Zero",2021-03-05,152373,4,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:15:08Z,"","772428 Records DK",0.831,0.565,1,-8.444,0,0.679,0.0136,0,0.144,0.588,158.007,4
spotify:track:1FKG2wgJ75wS9MFNVZFiWd,"POCKET ROCKET","POCKET ROCKET","Cochise",2021-08-20,131500,62,true,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:15:20Z,"rage rap","Columbia",0.711,0.646,2,-5.444,0,0.225,0.0216,0,0.0921,0.778,160.931,3
