Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Ph1DMQe7fcEbtPI3NZLSL,"Now That We Found Love","Love Songs","The O'Jays",2003,281200,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-04T22:37:00Z,"philly soul,classic soul,motown,quiet storm,soul","Epic/Legacy",0.714,0.646,0,-8.402,1,0.0391,0.286,0.00000295,0.256,0.963,113.982,4
spotify:track:6UtfMFnVWLJjHsd3dPcGgB,"Midnight Train to Georgia","Love Songs","Gladys Knight & The Pips",2005-01-11,277573,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-04T22:45:44Z,"motown,classic soul,soul,northern soul","Buddah/Legacy",0.583,0.454,10,-8.996,0,0.0412,0.234,0.000016,0.0808,0.501,91.714,4
spotify:track:14rTFBs1cCkOBp5JPUrJhw,"Ain't No Love In The Heart Of The City - Single Version","Music For Groovin'","Bobby Blue Bland",2007-01-01,225346,44,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-04T22:46:06Z,"blues,soul blues,classic blues,soul,classic soul","UMC (Universal Music Catalogue)",0.559,0.657,9,-8.699,0,0.0472,0.258,0.000205,0.2,0.656,79.638,4
spotify:track:5GYcaVfaFBHe2gzA6Oybgj,"Me and Mrs. Jones","R&B: From Doo-Wop To Hip-Hop","Billy Paul",1999-10-08,285293,47,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-04T22:46:13Z,"philly soul,classic soul,soul,motown","Sony Music Entertainment",0.416,0.404,0,-14.133,0,0.0373,0.479,0.000105,0.056,0.413,100.423,1
spotify:track:10vkYRKw6Jjr7try1ir50G,"Tired of Being Alone","Gets Next to You","Al Green",1971-08-14,172320,71,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-04T22:46:41Z,"soul,classic soul,motown,soul blues","Fat Possum",0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,4
spotify:track:6aeSAKcpmdXyxUJK4ojyyR,"Wake up Everybody (feat. Teddy Pendergrass)","R&B: From Doo-Wop To Hip-Hop","Harold Melvin & The Blue Notes,Teddy Pendergrass",1999-10-08,211426,42,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-04T22:46:47Z,"philly soul,classic soul,motown,soul,quiet storm","Sony Music Entertainment",0.503,0.552,6,-10.073,1,0.0888,0.444,0,0.16,0.481,96.384,4
spotify:track:59Rn3cbfrBjhHzXTG9BcUT,"Never Can Say Goodbye","Maybe Tomorrow","The Jackson 5",1971-04-12,177626,51,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-04T22:46:55Z,"motown,christmas","Motown",0.528,0.658,2,-11.751,1,0.0386,0.565,0.000843,0.385,0.909,165.796,4
spotify:track:0sjxRg1VlYfx4YG7uxurrq,"I Put A Spell On You","I Put A Spell On You","Nina Simone",1965-06-01,155026,68,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-04T22:49:29Z,"vocal jazz,jazz blues,soul,soul jazz,jazz,blues","Verve Reissues",0.428,0.398,6,-9.13,0,0.0295,0.755,0.000537,0.172,0.365,88.886,3
spotify:track:6phRBjTrbK80DNeqTCEC1e,"Stand By Me","Soul Classics","Ben E. King",2021-03-26,172613,22,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-04T22:49:34Z,"","Warner Music Group - X5 Music Group",0.655,0.481,9,-4.861,1,0.0343,0.58,0.0000292,0.187,0.71,119.119,4
spotify:track:1gBnzPqC7GapzpCQdeUc27,"Wishing on a Star - Edit","Soul Classics","Rose Royce",2021-03-26,238506,7,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-04T22:49:39Z,"quiet storm,disco,classic soul","Warner Music Group - X5 Music Group",0.463,0.474,10,-10.769,0,0.0496,0.831,0.0000124,0.176,0.376,97.705,4
spotify:track:6Ndauo9gCxNjTfklsFYS7b,"You're All I Need To Get By","You're All I Need","Marvin Gaye,Tammi Terrell",1968-01-01,173866,58,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-06T07:21:22Z,"motown,classic soul,soul,northern soul,quiet storm","UNI/MOTOWN",0.513,0.448,11,-11.074,0,0.0325,0.135,0,0.0678,0.172,97.63,4
spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,"Feeling Good","I Put A Spell On You","Nina Simone",1965-06-01,174000,74,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-06T07:25:11Z,"vocal jazz,jazz blues,soul,soul jazz,jazz,blues","Verve Reissues",0.451,0.326,7,-9.239,0,0.0372,0.863,0,0.192,0.55,81.726,4
spotify:track:0KOE1hat4SIer491XKk4Pa,"A Change Is Gonna Come","Ain't That Good News","Sam Cooke",1964-03-01,191160,3,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-07T21:19:21Z,"motown,soul,classic soul","ABKCO Music and Records, Inc.",0.212,0.383,10,-10.071,1,0.0347,0.723,0,0.299,0.452,173.79,3
spotify:track:3zBhihYUHBmGd2bcQIobrF,"(Sittin' On) the Dock of the Bay","The Dock of the Bay (Mono)","Otis Redding",1968,163755,77,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-07T21:21:39Z,"soul,motown,classic soul,soul blues","Rhino Atlantic",0.768,0.367,2,-11.226,1,0.0315,0.683,0.0000179,0.081,0.532,103.621,4
spotify:track:5Iev69m1Jnf7oc79VvPjpd,"Cupid","The Best of Sam Cooke","Sam Cooke",1962,158013,58,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-07T21:22:01Z,"motown,soul,classic soul","RCA/Legacy",0.485,0.433,7,-10.503,1,0.0342,0.476,0,0.0861,0.825,120.471,4
spotify:track:6G7MHIvSDR3ehXPkuDFAlM,"California Dreamin'","Fly Me To The Moon","Bobby Womack",1969-01,200973,64,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-07T21:22:34Z,"soul,classic soul","Capitol Records",0.47,0.385,6,-13.159,0,0.0296,0.767,0.0653,0.179,0.694,112.377,4
spotify:track:5spAjqC772iC2KzDvEkmSr,"A Song for You","Donny Hathaway","Donny Hathaway",1971,325946,58,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-07T21:24:17Z,"soul,classic soul","Rhino Atlantic",0.332,0.22,5,-13.157,1,0.036,0.821,0.000205,0.245,0.0719,100.196,4
spotify:track:1UdoFJDUHWu4oWH5JlwmDP,"The Closer I Get to You","Blue Lights in the Basement","Roberta Flack,Donny Hathaway",1977,280800,57,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-07T21:32:27Z,"adult standards,soul,classic soul","Atlantic Records",0.49,0.321,9,-13.283,1,0.0302,0.711,0.00000215,0.0372,0.229,121.377,4
spotify:track:3gsCAGsWr6pUm1Vy7CPPob,"Killing Me Softly With His Song","Killing Me Softly","Roberta Flack",1973,286920,72,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-07T21:33:21Z,"adult standards","Atlantic Records",0.476,0.381,5,-10.238,0,0.0342,0.727,0,0.0614,0.33,121.948,4
spotify:track:6yMGxqKj0218mFR5KqsMRq,"Georgia on My Mind","True Genius","Ray Charles",2021-09-10,219560,60,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-08T16:55:09Z,"jazz blues,soul,soul blues,blues,classic soul,vocal jazz","Tangerine Records",0.19,0.323,7,-12.405,1,0.0303,0.626,0.00000217,0.176,0.281,94.34,4
spotify:track:4Hhv2vrOTy89HFRcjU3QOx,"At Last","At Last!","Etta James",1960,179693,75,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-10T15:23:30Z,"soul,jazz blues,soul blues,blues,vocal jazz","Geffen*",0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3
spotify:track:4skknrc3sJqaPTtUr2cwFq,"These Arms of Mine","Pain in My Heart","Otis Redding",1964,154533,67,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-10T15:24:06Z,"soul,motown,classic soul,soul blues","Rhino/Elektra",0.403,0.284,10,-14.014,1,0.0338,0.798,0,0.142,0.686,176.537,3
spotify:track:5K09WxKdlkroDyEVyOSySy,"(You Make Me Feel Like) A Natural Woman","Lady Soul (With Bonus Selections)","Aretha Franklin",1968-01-22,165333,68,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-10T15:24:10Z,"soul,motown,classic soul,jazz blues","Rhino Atlantic",0.603,0.271,5,-10.083,1,0.0284,0.679,0,0.141,0.405,110.89,3
spotify:track:3p6keDkfLYYpuAdvv1Ktsh,"That's How Strong My Love Is","The Great Otis Redding Sings Soul Ballads","Otis Redding",1965-03,144373,55,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-10T15:26:57Z,"soul,motown,classic soul,soul blues","Rhino Atlantic",0.473,0.421,3,-10.234,0,0.0558,0.757,0,0.145,0.682,161.584,3
spotify:track:5EoYc5wvRYOtkudLfrjsL1,"Bring It On Home to Me","The Best of Sam Cooke","Sam Cooke",1962,164252,64,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-10T15:30:38Z,"motown,soul,classic soul","RCA/Legacy",0.487,0.532,0,-7.496,1,0.0322,0.631,0,0.184,0.609,70.838,4
spotify:track:5ZoDwIP1ntHwciLjydJ8X2,"My Cherie Amour","My Cherie Amour","Stevie Wonder",1969-08-01,173306,66,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-10T15:31:06Z,"motown,classic soul,soul","Motown",0.574,0.507,6,-11.343,1,0.0258,0.228,0.00000457,0.279,0.514,101.085,4
spotify:track:6RANU8AS5ICU5PEHh8BYtH,"Isn't She Lovely","Songs In The Key Of Life","Stevie Wonder",1976-09-28,394266,65,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-10T15:33:52Z,"motown,classic soul,soul","UNI/MOTOWN",0.481,0.826,1,-6.974,0,0.0851,0.182,0.00352,0.324,0.819,118.679,4
spotify:track:6RNDeRnWsRMjPdNVgupZCs,"I Just Called To Say I Love You","At The Close Of A Century","Stevie Wonder",1999-11-23,262240,76,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-10T15:44:13Z,"motown,classic soul,soul","UNI/MOTOWN",0.748,0.551,1,-9.054,1,0.0239,0.243,0.00000157,0.0943,0.65,113.535,4
spotify:track:7gh2v4IHnxdiwSgA6xluhe,"Through the Fire","I Feel for You","Chaka Khan",1984,288653,63,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T17:33:34Z,"","Rhino/Warner Records",0.563,0.593,8,-7.099,1,0.0322,0.192,0.0000185,0.145,0.428,130.744,4
spotify:track:5RnlUyTKgmd7V6tXdQcKVK,"Ready or Not Here I Come (Can't Hide from Love)","The Sound Of Sexy Soul","The Delfonics",1969,119466,46,false,v828zh1enlyp9vzjlfaj5rzpm,2022-04-22T17:38:38Z,"philly soul,classic soul,motown","RCA/Legacy",0.552,0.636,3,-6.215,1,0.0338,0.304,0.0000232,0.153,0.663,82.884,4
