Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2meEiZKWkiN28gITzFwQo5,"Into You","Dangerous Woman","Ariana Grande",2016-05-20,244453,4,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T13:45:06Z,"pop","Universal Records",0.623,0.734,9,-5.948,1,0.107,0.0162,0.00000175,0.145,0.37,107.853,4
spotify:track:1u0l8zWpQeMYStFkc2mLD7,"Everywhere","The Spirit Room","Michelle Branch",2001-07-31,214826,67,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T13:46:41Z,"","Maverick",0.523,0.828,1,-4.696,1,0.0762,0.0136,0.000255,0.165,0.476,96.952,4
spotify:track:4Ub8UsjWuewQrPhuepfVpd,"Pompeii","All This Bad Blood","Bastille",2013-01-01,214147,74,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T13:48:43Z,"","EMI (Virgin)",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
spotify:track:5HCyWlXZPP0y6Gqq8TgA20,"STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",2021-07-09,141805,80,true,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T13:49:59Z,"","Columbia",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
spotify:track:6DvgsZ0NiEPV9qYM931T1F,"Telephone","The Fame Monster (International Deluxe)","Lady Gaga,Beyoncé",2009-11-18,220626,54,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T13:54:59Z,"art pop,pop","Streamline/Interscope",0.825,0.832,5,-5.862,0,0.0403,0.00587,0.000733,0.114,0.713,122.021,4
spotify:track:5YJtMNWKe55yr49cyJgxva,"Everytime We Touch","Everytime We Touch (Premium Edition)","Cascada",2010-02-12,197124,75,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T13:57:07Z,"europop,eurodance","Zoo Digital",0.633,0.976,8,-5.362,1,0.0519,0.00281,0.0000129,0.382,0.493,142.027,4
spotify:track:1XGmzt0PVuFgQYYnV2It7A,"Payphone","Overexposed Track By Track","Maroon 5,Wiz Khalifa",2012-01-01,231173,84,true,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T13:57:40Z,"pop,rap","Interscope Records*",0.743,0.752,4,-4.813,1,0.0414,0.0188,0,0.287,0.545,110.015,4
spotify:track:2bL2gyO6kBdLkNSkxXNh6x,"Animals","V","Maroon 5",2014-09-02,231013,81,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T13:58:37Z,"pop","Interscope Records*",0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,4
spotify:track:14OxJlLdcHNpgsm4DRwDOB,"Habits (Stay High)","Queen Of The Clouds","Tove Lo",2014-01-01,209160,75,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T14:04:56Z,"","Universal Music AB",0.729,0.65,5,-3.539,1,0.0313,0.0702,0.0000669,0.0829,0.347,110.02,4
spotify:track:2kQuhkFX7uSVepCD3h29g5,"Smack That","Konvicted","Akon,Eminem",2006-01-01,212360,84,true,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T14:05:06Z,"rap,hip hop","Konvict/Upfront/SRC/Universal Records",0.939,0.741,5,-5.171,0,0.0471,0.323,0,0.107,0.925,118.978,4
spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,"Wild Ones (feat. Sia)","Wild Ones","Flo Rida,Sia",2012-06-22,232946,81,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-04T14:08:53Z,"","Poe Boy/Atlantic",0.608,0.86,5,-5.324,0,0.0554,0.0991,0,0.262,0.437,127.075,4
spotify:track:4gbVRS8gloEluzf0GzDOFc,"Maps","V","Maroon 5",2014-09-02,189960,83,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-05T14:28:26Z,"pop","Interscope Records*",0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,4
spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,"Outside (feat. Ellie Goulding)","Motion","Calvin Harris,Ellie Goulding",2014-10-31,227266,85,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-05T14:28:37Z,"edm","Columbia",0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,4
spotify:track:6hkOqJ5mE093AQf2lbZnsG,"The One That Got Away","Teenage Dream","Katy Perry",2010-01-01,227333,73,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-05T16:33:23Z,"pop","Capitol Records",0.689,0.795,1,-4.021,0,0.0356,0.000812,0.00000107,0.156,0.876,133.968,4
spotify:track:0laYHRpNTS6i8FXdupHkJ4,"Love You Like A Love Song","When The Sun Goes Down","Selena Gomez & The Scene",2011-01-01,188453,81,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-05T16:33:34Z,"","Hollywood Records",0.858,0.678,1,-3.87,0,0.0469,0.0761,0,0.0741,0.922,117.009,4
spotify:track:7o1Pm9jpH0wFpN5g793Lnq,"Can't Remember to Forget You (feat. Rihanna)","Shakira. (Expanded Edition) [Spanish Version]","Shakira,Rihanna",2014-03-13,206866,79,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-05T16:36:54Z,"latin pop","RCA/Sony Latin Iberia",0.694,0.81,11,-3.556,0,0.0661,0.122,0,0.141,0.824,137.968,4
spotify:track:1CdqVF1ywD0ZO1zXtB9yWa,"Break Your Heart","Rokstarr","Taio Cruz,Ludacris",2010-01-01,186266,69,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-05T17:38:20Z,"southern hip hop","Universal-Island Records Ltd.",0.666,0.899,8,-4.676,1,0.0281,0.00156,0,0.0678,0.616,122.049,4
spotify:track:2tpWsVSb9UEmDRxAl1zhX1,"Counting Stars","Native","OneRepublic",2013-01-01,257265,87,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-05T19:06:37Z,"soft pop","Mosley / Interscope",0.663,0.706,1,-4.972,0,0.0383,0.0654,0,0.118,0.474,122.013,4
spotify:track:5lF0pHbsJ0QqyIrLweHJPW,"Burn","Halcyon Nights","Ellie Goulding",2012-10-12,231213,76,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-08T13:28:58Z,"","UMC (Universal Music Catalogue)",0.313,0.76,10,-5.049,0,0.0616,0.3,0,0.105,0.343,86.735,4
spotify:track:6lV2MSQmRIkycDScNtrBXO,"Airplanes (feat. Hayley Williams of Paramore)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B,Hayley Williams",2010-04-27,180480,76,true,v828zh1enlyp9vzjlfaj5rzpm,2024-06-08T13:29:13Z,"art pop","Rebel Rock/Grand Hustle/Atlantic",0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,4
spotify:track:0nrRP2bk19rLc0orkWPQk2,"Wake Me Up","True","Avicii",2013-09-16,247426,86,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-08T13:57:48Z,"edm","Pophouse Entertainment Group",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
spotify:track:69uxyAqqPIsUyTO8txoP2M,"Adventure of a Lifetime","A Head Full of Dreams","Coldplay",2015-12-04,263786,84,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-11T18:49:14Z,"","Parlophone UK",0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,4
spotify:track:5jzKL4BDMClWqRguW5qZvh,"Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,75,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-22T00:10:15Z,"pop","Capitol Records",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.012,4
spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn,"Don't Stop The Music","Good Girl Gone Bad","Rihanna",2007-01-01,267080,74,false,v828zh1enlyp9vzjlfaj5rzpm,2024-06-22T00:13:43Z,"","Def Jam Recordings",0.834,0.669,6,-5.582,0,0.0637,0.0341,0.0000718,0.0535,0.547,122.669,4
spotify:track:5jsw9uXEGuKyJzs0boZ1bT,"Stitches","Handwritten","Shawn Mendes",2015-04-14,206880,84,false,v828zh1enlyp9vzjlfaj5rzpm,2024-07-11T20:27:41Z,"","Island Records",0.752,0.754,1,-6.684,1,0.0615,0.0151,0,0.0486,0.755,149.789,4
spotify:track:6btyEL6NwUa97Nex9cZFvo,"Pump It","Monkey Business","Black Eyed Peas",2005-01-01,213066,20,true,v828zh1enlyp9vzjlfaj5rzpm,2024-08-02T16:44:35Z,"","A&M",0.649,0.931,1,-3.15,0,0.181,0.0093,0,0.751,0.744,153.645,4
spotify:track:6wOYnPq1hPihRepcDClPUw,"Meet Me Halfway","THE E.N.D. (THE ENERGY NEVER DIES)","Black Eyed Peas",2009-01-01,284373,77,false,v828zh1enlyp9vzjlfaj5rzpm,2024-10-16T00:24:32Z,"","Interscope",0.798,0.629,11,-6.857,0,0.0735,0.00474,0.0000229,0.324,0.4,130.002,4
spotify:track:7dJYggqjKo71KI9sLzqCs8,"Agora Hills","Scarlet","Doja Cat",2023-09-22,265360,75,true,v828zh1enlyp9vzjlfaj5rzpm,2024-10-18T16:46:17Z,"","Kemosabe Records/RCA Records",0.75,0.674,8,-6.128,0,0.097,0.228,0.0000891,0.122,0.392,123.026,4
spotify:track:21jGcNKet2qwijlDFuPiPb,"Circles","Hollywood's Bleeding","Post Malone",2019-09-06,215280,85,false,v828zh1enlyp9vzjlfaj5rzpm,2024-11-14T02:05:53Z,"","Republic Records",0.695,0.763,0,-3.497,1,0.0396,0.189,0.00242,0.0863,0.551,120.042,4
spotify:track:32lItqlMi4LBhb4k0BaSaC,"Candy Paint","beerbongs & bentleys","Post Malone",2018-04-27,227533,73,true,v828zh1enlyp9vzjlfaj5rzpm,2024-11-14T02:08:28Z,"","Republic Records",0.66,0.667,4,-5.941,1,0.156,0.64,0.00000122,0.0753,0.381,180.044,4
spotify:track:3Dv1eDb0MEgF93GpLXlucZ,"Say So","Hot Pink","Doja Cat",2019-11-07,237893,75,true,v828zh1enlyp9vzjlfaj5rzpm,2024-11-26T14:39:47Z,"","Kemosabe Records/RCA Records",0.787,0.673,11,-4.583,0,0.159,0.264,0.00000335,0.0904,0.779,110.962,4
spotify:track:3DarAbFujv6eYNliUTyqtz,"Kiss Me More (feat. SZA)","Planet Her","Doja Cat,SZA",2021-06-25,208666,83,true,v828zh1enlyp9vzjlfaj5rzpm,2024-11-26T14:47:55Z,"r&b","Kemosabe Records/RCA Records",0.764,0.705,8,-3.463,1,0.0284,0.259,0.0000892,0.12,0.781,110.97,4
spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Sunflower - Spider-Man: Into the Spider-Verse","Hollywood's Bleeding","Post Malone,Swae Lee",2019-09-06,157560,81,false,v828zh1enlyp9vzjlfaj5rzpm,2024-11-26T14:49:13Z,"","Republic Records",0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4
