Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6lAMnXLVCBPMXXWAK4lGSL,"Ylang Ylang","Ylang Ylang EP","FKJ,((( O )))",2019-11-12,213000,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-05-22T07:15:33Z,"","Mom+Pop",0.559,0.243,1,-12.453,1,0.0326,0.925,0.935,0.108,0.162,69.941,4
spotify:track:19blFYzqmPj7FtW7W4DFEl,"Stuff We Did","Up (Original Motion Picture Soundtrack)","Michael Giacchino",2009-01-01,133066,59,false,v828zh1enlyp9vzjlfaj5rzpm,2022-05-22T07:15:40Z,"soundtrack","Walt Disney Records",0.256,0.00484,7,-34.386,1,0.0427,0.924,0.0408,0.0634,0.0373,57.412,4
spotify:track:6h6runZeeczWEuEW2pFvYW,"New Home (Slowed)","New Home (Slowed)","Austin Farwell",2021-05-26,174521,69,false,v828zh1enlyp9vzjlfaj5rzpm,2022-05-22T07:15:46Z,"","Austin Farwell",0.356,0.00558,11,-27.72,1,0.0417,0.99,0.934,0.0991,0.122,70.012,4
spotify:track:1z021pfmI681uLVplsoftZ,"Lonely Boy with a Toy Ukulele","Discography 2016","Tomppabeats",2016-06-02,60066,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-05-22T07:17:03Z,"lo-fi,lo-fi hip hop,lo-fi beats,vaporwave","VinDig",0.411,0.32,5,-14.443,1,0.0432,0.894,0.613,0.625,0.124,67.867,3
spotify:track:5BAXlRDW3YaPr3rfqV51TA,"Comfort Chain","Comfort Chain","Instupendo",2017-01-20,184363,8,false,v828zh1enlyp9vzjlfaj5rzpm,2022-05-22T07:19:13Z,"","Instupendo",0.83,0.251,4,-19.774,1,0.0779,0.98,0.893,0.195,0.164,109.999,4
spotify:track:53zFbuFK9PkXy4zDQ5yixL,"Oogway Ascends Lo-Fi","Oogway Ascends Lo-Fi","Prithvi",2021-09-05,125333,18,false,v828zh1enlyp9vzjlfaj5rzpm,2022-05-22T07:20:38Z,"lo-fi,lo-fi hip hop","prithvibeats",0.555,0.0989,4,-18.917,1,0.0331,0.952,0.976,0.0882,0.104,179.987,4
spotify:track:5NGtFXVpXSvwunEIGeviY3,"Gymnopédie No. 1","Erik Satie & Friends","Erik Satie,Philippe Entremont",2016-04-01,205866,68,false,v828zh1enlyp9vzjlfaj5rzpm,2022-05-22T07:22:35Z,"classical,classical piano","Sony Classical",0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,3
spotify:track:2OulDXvmqVYVS1mUrIM1vb,"pure imagination","Winter - EP","Bassti",2017-07-14,73653,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-05-22T07:24:01Z,"lo-fi,lo-fi beats,lo-fi hip hop,jazz beats","VinDig",0.556,0.236,8,-16.604,1,0.036,0.434,0.907,0.133,0.417,97.008,3
spotify:track:76tRYb7dbjdnALo9kaVQEq,"Untitled Pt. 2","The Trippy Summer Collection","Cameron Gainley",2021-10-16,282000,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-05-22T07:28:43Z,"","CC Records",0.154,0.339,7,-14.233,1,0.0323,0.976,0.851,0.177,0.0398,134.68,4
spotify:track:2bh7CwpS8enLBMuk2p8pHG,"꽃날 (황진이 OST)","감성이 뿜뿜!! 뉴에이지 베스트(#카페#피아노#봄#드라마#다방)","달콤한꿈",2019-04-13,99888,47,false,v828zh1enlyp9vzjlfaj5rzpm,2022-05-22T07:36:53Z,"","GOG Entertainment",0.675,0.242,7,-14.783,1,0.049,0.986,0.92,0.0989,0.223,149.939,3
