Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4NlnpZPi5Z3r1uuyRglUhO,"Needed Me","ANTI","Rihanna",2016-01-28,191600,53,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:49:52Z,"","Roc Nation / Rihanna",0.697,0.315,5,-8.091,0,0.234,0.11,0,0.0825,0.298,110.872,4
spotify:track:4at3d5QWnlibMVN75ECDrp,"Pretty Little Fears (feat. J. Cole)","East Atlanta Love Letter","6LACK,J. Cole",2018-09-14,240341,69,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:50:05Z,"rap","LVRN Records",0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099,4
spotify:track:5WoaF1B5XIEnWfmb5NZikf,"Sky Walker (feat. Travis Scott)","War & Leisure","Miguel,Travis Scott",2017-12-01,259333,75,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:50:12Z,"r&b,rap","ByStorm Entertainment/RCA Records",0.674,0.506,6,-10.532,1,0.0434,0.173,0,0.0866,0.183,145.965,4
spotify:track:43PuMrRfbyyuz4QpZ3oAwN,"Exchange","T R A P S O U L","Bryson Tiller",2015-10-02,194613,79,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:50:18Z,"trap soul,r&b","TrapSoul/RCA Records",0.525,0.433,6,-10.598,1,0.185,0.107,0,0.135,0.276,160.108,4
spotify:track:6XHVuErjQ4XNm6nDPVCxVX,"No Guidance (feat. Drake)","Indigo","Chris Brown,Drake",2019-06-28,260640,81,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:50:34Z,"r&b,rap","Chris Brown Entertainment/RCA Records",0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928,4
spotify:track:0PJIbOdMs3bd5AT8liULMQ,"oui","Late Nights: The Album","Jeremih",2015-12-04,238320,76,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:50:43Z,"","Def Jam",0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521,5
spotify:track:3pXF1nA74528Edde4of9CC,"Don't","T R A P S O U L","Bryson Tiller",2015-10-02,198293,83,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:50:49Z,"trap soul,r&b","TrapSoul/RCA Records",0.765,0.356,11,-5.556,0,0.195,0.223,0,0.0963,0.189,96.991,4
spotify:track:6gU9OKjOE7ghfEd55oRO57,"The Weekend","Ctrl","SZA",2017-06-09,272186,74,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:51:01Z,"r&b","Top Dawg Entertainment/RCA Records",0.4,0.366,8,-9.405,0,0.0597,0.242,0,0.126,0.161,73.313,3
spotify:track:4mL59LVbKgOpEACxraGYdr,"While We're Young","Trip","Jhené Aiko",2017-09-22,236160,72,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:51:08Z,"r&b","Def Jam Recordings",0.649,0.791,2,-6.013,1,0.193,0.104,0.00000197,0.108,0.811,128.023,4
spotify:track:6PGoSes0D9eUDeeAafB2As,"LOVE. FEAT. ZACARI.","DAMN.","Kendrick Lamar,Zacari",2017-04-14,213400,83,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:52:34Z,"hip hop,west coast hip hop","Aftermath",0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,4
spotify:track:6fOOKqQWcSy33ApU1wqkkW,"Paradise","Free Spirit","Khalid",2019-04-05,173653,48,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:57:55Z,"","Right Hand Music Group, LLC/RCA Records",0.581,0.452,11,-9.558,1,0.15,0.206,0.00329,0.0881,0.523,75.046,4
spotify:track:7FOJvA3PxiIU0DN3JjQ7jT,"Power Trip (feat. Miguel)","Born Sinner","J. Cole,Miguel",2013-06-14,241160,1,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:58:03Z,"rap,r&b","Roc Nation/Columbia",0.667,0.61,1,-7.054,1,0.217,0.322,0.000203,0.426,0.465,99.991,4
spotify:track:6Nle9hKrkL1wQpwNfEkxjh,"Chanel","Chanel","Frank Ocean",2017-03-10,210285,76,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:58:33Z,"","Blonded",0.776,0.503,0,-5.732,0,0.237,0.874,0,0.112,0.473,110.134,4
spotify:track:4JRTgtkNlZ13BBIL3D6FLS,"Confidence (triple j Like A Version)","Confidence (triple j Like A Version)","Adrian Eagle",2019-05-10,217331,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T03:58:43Z,"","ABC Music / MGM",0.716,0.573,11,-6.279,0,0.0908,0.668,0.0000657,0.36,0.385,147.865,4
spotify:track:2aSC2xhRxOLiiZZVjhbylH,"Hold On We're Going Home","Nothing Was The Same","Drake,Majid Jordan",2013-01-01,227880,73,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T04:01:26Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.777,0.414,6,-7.44,0,0.0946,0.00421,0.0000273,0.0724,0.287,100.002,4
spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,"Nights Like This (feat. Ty Dolla $ign)","While We Wait","Kehlani,Ty Dolla $ign",2019-02-22,201787,75,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T04:01:58Z,"trap soul","TSNMI / Atlantic",0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,4
spotify:track:2z3htsNRuhDN923ITatc56,"Marvins Room","Take Care (Deluxe)","Drake",2011-11-15,347226,29,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T04:04:06Z,"rap","Aspire Music Group, LLC",0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,5
spotify:track:1eUGmzzvahJjOSWgDHuRlv,"Girl With The Tattoo Enter.lewd","All I Want Is You","Miguel",2010-11-26,102813,78,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T04:07:45Z,"r&b","Jive",0.372,0.239,6,-11.314,0,0.0296,0.856,0.000175,0.168,0.127,113.451,4
spotify:track:0oufSLnKQDoBFX5mgkDCgR,"Trust","Lost","Brent Faiyaz",2018-10-19,158420,74,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T04:08:15Z,"r&b","Lost Kids / Human Re Sources",0.764,0.394,8,-8.559,1,0.152,0.231,0.0000937,0.117,0.465,92.009,4
spotify:track:7DFnq8FYhHMCylykf6ZCxA,"Yo (Excuse Me Miss)","Chris Brown (Expanded Edition)","Chris Brown",2005,229040,75,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-19T04:53:16Z,"r&b","Jive",0.536,0.612,4,-5.847,1,0.272,0.119,0,0.209,0.57,86.768,4
spotify:track:1sOW4PuG5X3Ie3EXUhAopJ,"Escape From LA","After Hours","The Weeknd",2020-03-20,355960,65,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-20T03:59:39Z,"","Republic Records",0.372,0.525,5,-8.996,0,0.0592,0.0457,0.00313,0.199,0.171,144.95,4
spotify:track:0q75NwOoFiARAVp4EXU4Bs,"Love Galore (feat. Travis Scott)","Ctrl","SZA,Travis Scott",2017-06-09,275080,75,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-21T14:03:29Z,"r&b,rap","Top Dawg Entertainment/RCA Records",0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,4
spotify:track:1oGdVdYjeQvojGKDddxLQQ,"True Colors","Starboy","The Weeknd",2016-11-25,206013,60,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-27T01:15:32Z,"","Universal Republic Records",0.624,0.424,1,-8.237,1,0.24,0.286,0,0.173,0.584,76.671,4
spotify:track:37F0uwRSrdzkBiuj0D5UHI,"Reminder","Starboy","The Weeknd",2016-11-25,218880,81,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-27T01:18:50Z,"","Universal Republic Records",0.705,0.505,8,-6.923,1,0.193,0.142,0,0.164,0.388,160.053,4
spotify:track:4h90qkbnW1Qq6pBhoPvwko,"Sidewalks","Starboy","The Weeknd,Kendrick Lamar",2016-11-25,231360,70,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-27T01:23:22Z,"hip hop,west coast hip hop","Universal Republic Records",0.542,0.72,1,-5.136,0,0.0628,0.147,0,0.348,0.623,149.828,4
spotify:track:15k2nBQJ0teDmPZHrOXL2N,"Ordinary Life","Starboy","The Weeknd",2016-11-25,221920,60,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-27T01:34:25Z,"","Universal Republic Records",0.537,0.587,7,-7.486,0,0.0771,0.0275,0,0.0961,0.365,149.748,4
