Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ujbOwvdiH020TO5EucGiX,"Hypnotize","Life After Death (Deluxe Version)","The Notorious B.I.G.",1997-03-04,230053,1,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T22:06:43Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.922,0.573,9,-5.161,1,0.277,0.131,0,0.305,0.66,93.929,4
spotify:track:7zfmhBiUvGoHz76NO1d5bZ,"I Got a Story to Tell - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,283053,53,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T22:07:20Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Rhino Atlantic",0.88,0.813,1,-5.589,1,0.269,0.227,0.013,0.0581,0.603,94.071,4
spotify:track:0xdYzkbBBfTevSyOJqWUSX,"Sky's the Limit (feat. 112) - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.,112",1997-03-04,329426,65,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T22:07:35Z,"old school hip hop,gangster rap,east coast hip hop,hip hop,r&b","Rhino Atlantic",0.637,0.66,0,-4.792,1,0.162,0.217,0,0.09,0.503,90.876,4
spotify:track:5onGESUxi3P9xLt311oS59,"One More Chance - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,283026,52,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T22:08:10Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.731,0.695,10,-5.741,0,0.45,0.122,0,0.106,0.696,188.182,4
spotify:track:5ByAIlEEnxYdvpnezg7HTX,"Juicy - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,302760,75,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T22:08:34Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,4
spotify:track:3bOvAqhaZNSWpGVIvHEx8B,"Everyday Struggle - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,319320,55,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T22:09:07Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.913,0.712,1,-6.455,0,0.265,0.0643,0.00176,0.117,0.449,96.145,4
spotify:track:4RY96Asd9IefaL3X4LOLZ8,"In Da Club","Get Rich Or Die Tryin'","50 Cent",2003-02-06,193466,74,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T22:10:15Z,"east coast hip hop,old school hip hop","Shady Records",0.904,0.72,6,-2.776,0,0.348,0.259,0,0.0749,0.805,90.062,4
spotify:track:7m97yKVzPpXV9Z4ezEziOD,"Big Pimpin'","Vol. 3... Life And Times Of S. Carter","JAY-Z,UGK",1999-12-28,283066,68,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T22:11:30Z,"hip hop,east coast hip hop,rap,southern hip hop","Roc-A-Fella",0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,4
spotify:track:05Sgj1Hx03ZXc57gsV1kfX,"It's Goin' Down (feat. Nitti)","New Joc City","Yung Joc,NITTI",2006-06-06,241840,67,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T22:12:29Z,"crunk,southern hip hop,east coast hip hop","Bad Boy Records",0.888,0.577,1,-7.702,0,0.0612,0.0986,0,0.131,0.609,84.003,4
spotify:track:0CAJdthKDdRjB2h8YOguN6,"What You Know","King","T.I.",2006-03-26,274333,66,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T22:12:54Z,"southern hip hop","Grand Hustle, LLC",0.551,0.81,11,-4.365,1,0.0344,0.0155,0,0.169,0.332,73.464,4
