Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Prv7tKONwFjjoJ2KswCoR,"Free Mr. Banks","Free Mr. Banks","LUCKI",2025-04-04,119285,56,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T21:24:36Z,"cloud rap","Lucki / EMPIRE",0.63,0.627,1,-7.151,1,0.272,0.00177,0,0.367,0.617,168.072,4
spotify:track:1cVDuG58Cj3RGe8ySKwY6i,"Diamond Stitching","Diamond Stitching","LUCKI",2025-05-30,149711,59,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T21:25:35Z,"cloud rap","Lucki / EMPIRE",0.654,0.266,9,-16.268,1,0.0981,0.00607,0.0139,0.172,0.428,84.954,4
spotify:track:68qeaZhtMZ6abrJCYt6nQn,"RATHER LIE (with The Weeknd)","MUSIC","Playboi Carti,The Weeknd",2025-03-14,209680,80,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T21:27:29Z,"rage rap","AWGE/Interscope Records",0.72,0.665,8,-4.431,1,0.0325,0.0583,0,0.213,0.279,132.991,4
spotify:track:1e1JKLEDKP7hEQzJfNAgPl,"Magnolia","Playboi Carti","Playboi Carti",2017-04-14,181812,77,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T21:28:37Z,"rage rap","AWGE Label",0.791,0.582,11,-7.323,0,0.286,0.0114,0,0.35,0.443,162.991,4
spotify:track:3yk7PJnryiJ8mAPqsrujzf,"Location","Playboi Carti","Playboi Carti",2017-04-14,168783,77,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T21:28:51Z,"rage rap","AWGE Label",0.717,0.79,11,-4.213,1,0.2,0.33,0.000125,0.518,0.371,125.985,4
spotify:track:5O9zs6G6RcB6yP1OKwnwiM,"Choppa Won't Miss (feat. Young Thug)","Die Lit","Playboi Carti,Young Thug",2018-05-11,217960,61,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T21:29:33Z,"rage rap,rap,melodic rap,trap","AWGE Label",0.857,0.661,0,-6.544,1,0.319,0.0182,0,0.115,0.612,163.077,4
spotify:track:2BJSMvOGABRxokHKB0OI8i,"Shoota (feat. Lil Uzi Vert)","Die Lit","Playboi Carti,Lil Uzi Vert",2018-05-11,153800,74,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T21:30:07Z,"rage rap,melodic rap","AWGE Label",0.673,0.649,1,-8.433,0,0.196,0.188,0,0.122,0.47,153.075,4
spotify:track:2cZOYofOX4d6g0OXxkaIjA,"ALL RED","ALL RED","Playboi Carti",2024-09-13,148053,69,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T21:32:24Z,"rage rap","AWGE/Interscope Records",0.76,0.663,9,-4.763,0,0.0551,0.109,0,0.305,0.209,143.082,4
spotify:track:2rGZ3rzHQdvly9LGwRA9IH,"Miss The Rage","Miss The Rage","Trippie Redd,Playboi Carti",2021-05-07,236883,50,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T21:34:19Z,"melodic rap,rage rap","1400 Entertainment / 10K Projects",0.584,0.859,8,-5.616,1,0.121,0.0144,0,0.847,0.369,77.005,4
spotify:track:14PWHDV87nXiSuClZDsEYC,"Richard Millie Plain","Drip or Drown 2","Gunna",2019-02-22,200134,59,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T21:36:48Z,"melodic rap","300 Entertainment",0.744,0.674,1,-7.518,0,0.0641,0.356,0,0.128,0.316,134.021,4
