Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3BUQFs6aFWh7EFNmI8bfL7,"Johnny B. Goode","Berry Is On Top","Chuck Berry",1959-01-01,161560,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-26T04:03:27Z,"rockabilly,rock and roll","Universal Music Group",0.516,0.798,10,-9.049,1,0.083,0.738,0.000128,0.305,0.969,168.195,4
spotify:track:4R6LAvOMzkTJcFbSOmmEh9,"The Twist","Cameo Parkway - The Best Of Chubby Checker (Original Hit Recordings) [International Version]","Chubby Checker",1961-01-01,153760,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-26T04:04:00Z,"rock and roll","Universal Music Group",0.533,0.638,4,-7.13,1,0.0341,0.202,0,0.0729,0.937,156.663,4
spotify:track:4Z1fbYp0HuxLBje4MOZcSD,"Twist And Shout - Remastered","Please Please Me (Remastered)","The Beatles",1963-03-22,155226,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-26T04:05:38Z,"classic rock,psychedelic rock","EMI Catalogue",0.482,0.849,2,-9.198,1,0.0452,0.641,0.00000774,0.0414,0.937,124.631,4
spotify:track:5XfWzGa5zuz88IOYbWNTMa,"Mr. Crowley","Blizzard of Ozz (Expanded Edition)","Ozzy Osbourne",1980-09-20,302640,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-29T00:21:51Z,"metal,glam metal,heavy metal,hard rock","Epic/Legacy",0.287,0.757,2,-6.482,0,0.0591,0.204,0.000294,0.359,0.357,108.554,4
spotify:track:2GnVuaoKSkB6Xa07l1BBg8,"N.I.B.","The Ultimate Collection","Black Sabbath",2017-02-03,364493,65,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-29T00:24:34Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock","Rhino/Warner Records",0.476,0.556,4,-10.586,0,0.0646,0.0838,0.0000159,0.125,0.43,103.122,4
spotify:track:5zH710lFSLtkHbMkslLDjR,"Crazy On You","Dreamboat Annie","Heart",1975,293440,70,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-29T00:24:58Z,"classic rock,aor,rock","Capitol Records",0.435,0.459,9,-12.442,0,0.0329,0.117,0.000103,0.132,0.383,129.929,4
spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,"Paint It Black","Aftermath","The Rolling Stones",1966-04-15,202266,82,false,v828zh1enlyp9vzjlfaj5rzpm,2020-01-30T19:48:20Z,"classic rock,rock","ABKCO Music and Records, Inc.",0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,4
spotify:track:11LmqTE2naFULdEP94AUBa,"Heart-Shaped Box","In Utero (Deluxe Edition)","Nirvana",1993-09-21,281160,81,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-23T18:36:20Z,"grunge,rock","Geffen",0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,4
spotify:track:5ghIJDpPoe3CfHMGu71E6T,"Smells Like Teen Spirit","Nevermind (Remastered)","Nirvana",1991-09-26,301920,79,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-23T18:36:26Z,"grunge,rock","Geffen",0.502,0.912,1,-4.556,1,0.0564,0.0000255,0.000173,0.106,0.72,116.761,4
spotify:track:4P5KoWXOxwuobLmHXLMobV,"Come As You Are","Nevermind (Remastered)","Nirvana",1991-09-26,218920,79,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-23T18:36:35Z,"grunge,rock","Geffen",0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
spotify:track:4QkvD53COA5qLA7rQ1Pa7D,"Nobody But Me","Nobody But Me","The Human Beinz",1968-01-01,140440,53,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T18:06:17Z,"garage rock","Capitol Records",0.568,0.75,2,-8.913,1,0.0466,0.0731,0,0.121,0.407,75.82,4
spotify:track:4KfSdst7rW39C0sfhArdrz,"Barracuda","Little Queen","Heart",1977-05-14,261933,74,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-26T18:08:08Z,"classic rock,aor,rock","Epic/Portrait",0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,4
spotify:track:0dOg1ySSI7NkpAe89Zo0b9,"Born in the U.S.A.","Born In The U.S.A.","Bruce Springsteen",1984-06-04,278680,75,false,v828zh1enlyp9vzjlfaj5rzpm,2020-02-27T19:27:41Z,"","Columbia",0.398,0.952,4,-6.042,1,0.061,0.000373,0.0000775,0.1,0.584,122.093,4
