Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5S5u0EWtlblH00iTNExZ6X,"I Think I Like When It Rains","Locals 2","WILLIS",2017-06-12,278293,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T07:59:18Z,"","WILLIS",0.622,0.471,9,-7.105,1,0.0277,0.0448,0,0.0957,0.278,124.455,4
spotify:track:41mclLjggl2nmbYpRisKrh,"Chateau (Feel Alright)","Twenty Twenty","Djo",2019-09-13,272157,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T07:59:28Z,"","Djo",0.641,0.365,7,-11.763,1,0.027,0.43,0.00000823,0.297,0.348,134.881,4
spotify:track:5n0abEPD52UfSS1g8FnnJs,"Glow","Forever in Bloom","Vacations",2020-09-18,197478,51,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:00:06Z,"","No Fun Records",0.534,0.786,1,-6.418,1,0.0271,0.000183,0.159,0.171,0.318,107.013,4
spotify:track:7EXXONDM8VzYvP1J8t6zVw,"Only","Locals 2","WILLIS",2017-06-12,220026,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:00:23Z,"","WILLIS",0.404,0.606,4,-7.117,1,0.0312,0.0789,0,0.18,0.144,111.661,4
spotify:track:1W5yqqeMcqRLrX9uW5URCD,"Dreams","Dreams","Wendy Lane",2018-06-15,193500,34,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:00:45Z,"","Three Palm Records",0.522,0.371,0,-10.27,1,0.0379,0.778,0.000916,0.0869,0.281,159.959,4
spotify:track:0f8eRy9A0n6zXpKSHSCAEp,"Infrunami","The Lo-Fis","Steve Lacy",2020-12-04,178328,80,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:01:10Z,"","L-M Records",0.826,0.299,9,-7.721,1,0.0446,0.31,0.0952,0.0758,0.215,97.012,4
spotify:track:6XbEFoodVk68AcwMsOuvAP,"Be Like That","Locals 3","WILLIS",2019-06-28,162351,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:01:28Z,"","WILLIS",0.63,0.636,3,-8.273,1,0.0237,0.434,0.00011,0.206,0.581,103.994,4
spotify:track:3My7lwGD0D1SvJ2JzSipUN,"Killer Whale","Goose Bumps","Boyscott",2019-09-13,147939,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:02:13Z,"surf rock","Topshelf Records",0.615,0.617,2,-9.315,1,0.036,0.249,0.928,0.106,0.188,91.948,4
spotify:track:6t3Lvi7J8BfU2wzgckQ6D3,"Tek It - Acoustic","Tek It (Acoustic)","Cafuné",2022-06-17,209319,52,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:02:32Z,"","Elektra (NEK)",0.634,0.342,8,-7.857,1,0.0262,0.862,0.0000271,0.132,0.498,134.928,4
spotify:track:556jf0hyPQuLNHuNWo12I5,"Floated By","Bismillah","Peter Cat Recording Co.",2019-06-07,256000,50,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:03:38Z,"indian indie","Panache",0.729,0.286,2,-13.654,1,0.0355,0.283,0.0245,0.105,0.469,92.03,4
spotify:track:51MWWouyvwSN74TucuMvmF,"Maeve","Oh Dear","Indigo",2022-04-22,228489,34,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:04:14Z,"","3718241 Records DK2",0.724,0.694,9,-11.846,1,0.0691,0.128,0.547,0.0993,0.428,110.054,4
spotify:track:1XrSjpNe49IiygZfzb74pk,"What Once Was","Songs of Her's","Her's",2017-05-12,255067,74,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:04:55Z,"indie","Heist Or Hit Records",0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,3
spotify:track:6dBUzqjtbnIa1TwYbyw5CM,"Lovers Rock","French Exit","TV Girl",2014-06-05,213920,85,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:06:04Z,"","TV Girl",0.559,0.871,5,-5.338,0,0.0397,0.00000753,0.00545,0.096,0.572,104.97,4
spotify:track:4VpLdvee1V7CTKXv1xaDCk,"Sun Outside My Window","Sun Outside My Window","Strawberry Guy",2021-10-29,201226,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:06:23Z,"bedroom pop","Melodic",0.433,0.632,10,-6.404,1,0.0301,0.181,0.911,0.234,0.224,142.098,4
spotify:track:2AjLglUo6dT2WvXwACfsEL,"1995","1995","Blue Dahlia",2019-03-12,235754,34,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:08:30Z,"","1179351 Records DK",0.64,0.707,0,-3.973,1,0.0242,0.401,0.00333,0.0896,0.0711,106.013,4
spotify:track:0PLDdnyogdGfgpoJNFOrMA,"current strum joy","the Cave","soma",2020-09-02,234713,33,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:08:49Z,"","Dead Funny Records",0.52,0.431,3,-10.489,0,0.0259,0.932,0.887,0.0982,0.354,77.968,4
spotify:track:6RG8y3WSNUE3DcIC3eQCXO,"Blue Lips","Invitation to Her's","Her's",2018-08-24,222062,54,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:09:10Z,"indie","Heist Or Hit Records",0.359,0.727,2,-7.088,1,0.0345,0.0512,0.81,0.112,0.698,109.853,4
spotify:track:1NjzNt18LlNTuJYErYGvbQ,"She Needs Him","Invitation to Her's","Her's",2018-08-24,314390,63,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T08:09:37Z,"indie","Heist Or Hit Records",0.504,0.58,1,-5.917,1,0.0279,0.0101,0.491,0.071,0.585,157.026,4
