Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2STqplYkSLD5ovON11dwcB,"West End Blues","This Is Jazz #1","Louis Armstrong",1996-03-22,195440,0,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:16:47Z,"jazz,swing music,big band,vocal jazz,jazz blues","Columbia/Legacy",0.616,0.274,3,-12.058,1,0.048,0.985,0.508,0.116,0.51,84.729,4
spotify:track:33jt3kYWjQzqn3xyYQ5ZEh,"Cheek To Cheek","The Complete Ella And Louis On Verve","Ella Fitzgerald,Louis Armstrong",1997-05-20,354533,62,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:17:15Z,"vocal jazz,jazz,swing music,jazz blues,big band,christmas","Verve Reissues",0.663,0.264,0,-14.571,1,0.0914,0.706,0,0.1,0.657,122.482,4
spotify:track:7AL1pxI9IwHoXs98G0T8cC,"Let There Be Love","Nat King Cole Sings George Shearing Plays","Nat King Cole",1962-03-01,165973,59,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:17:45Z,"christmas,adult standards,vocal jazz","Capitol Records",0.676,0.19,0,-16.696,1,0.0482,0.853,0.000472,0.085,0.233,120.093,4
spotify:track:6dRx7OUXfvosnXG3g9lWGi,"Flamenco Sketches (feat. John Coltrane Cannonball Adderley & Bill Evans)","Kind Of Blue (Legacy Edition)","Miles Davis,John Coltrane,Cannonball Adderley,Bill Evans",1959-08-17,566133,50,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:53:43Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,free jazz,jazz blues","Columbia/Legacy",0.348,0.0219,2,-21.065,0,0.0427,0.899,0.112,0.0906,0.225,178.698,3
spotify:track:1V4NaFlrUCK49MXcdOcVeS,"They Can't Take That Away From Me","The Complete Ella And Louis On Verve","Ella Fitzgerald,Louis Armstrong",1997-05-20,280000,50,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:43:48Z,"vocal jazz,jazz,swing music,jazz blues,big band,christmas","Verve Reissues",0.563,0.136,3,-17.402,1,0.0683,0.87,0,0.106,0.368,104.928,4
spotify:track:4vLYewWIvqHfKtJDk8c8tq,"So What (feat. John Coltrane Cannonball Adderley & Bill Evans)","Kind Of Blue (Legacy Edition)","Miles Davis,John Coltrane,Cannonball Adderley,Bill Evans",1959-08-17,562640,62,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:53:33Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,free jazz,jazz blues","Columbia/Legacy",0.532,0.151,0,-17.266,1,0.0376,0.706,0.00136,0.116,0.211,136.759,4
spotify:track:2d64G7VaZdHQuAquz5HQNu,"That Old Feeling","Chet Baker Sings","Chet Baker",1956,183893,55,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:45:10Z,"jazz,cool jazz,vocal jazz","Blue Note Records",0.643,0.175,5,-16.813,0,0.0391,0.633,0.0000424,0.143,0.642,78.031,4
spotify:track:5y8zb3grlQonjdqd27K39T,"A Kiss To Build A Dream On - Single Version","Satchmo Serenades","Louis Armstrong",1952-04-01,181493,63,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:48:15Z,"jazz,swing music,big band,vocal jazz,jazz blues","Verve",0.722,0.0811,0,-14.113,1,0.0631,0.779,0,0.509,0.36,88.044,4
spotify:track:78MI7mu1LV1k4IA2HzKmHe,"Dream A Little Dream Of Me - Single Version","Love Ella","Ella Fitzgerald,Louis Armstrong",2007-05-03,185160,65,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:48:29Z,"vocal jazz,jazz,swing music,jazz blues,big band,christmas","Verve Reissues",0.443,0.104,0,-17.042,1,0.101,0.913,0,0.191,0.394,76.474,4
spotify:track:5b7OgznPJJr1vHNYGyvxau,"Fly Me To The Moon (In Other Words)","Sinatra/Basie: The Complete Reprise Studio Recordings","Frank Sinatra,Count Basie",1962-12-10,147000,72,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:48:46Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,4
spotify:track:0aWMVrwxPNYkKmFthzmpRi,"Blue in Green (feat. John Coltrane & Bill Evans)","Kind Of Blue (Legacy Edition)","Miles Davis,John Coltrane,Bill Evans",1959-08-17,337733,64,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:53:10Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,free jazz,jazz blues","Columbia/Legacy",0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,4
spotify:track:648TTtYB0bH0P8Hfy0FmkL,"Unforgettable","Unforgettable","Nat King Cole",1954-01-01,191973,69,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:48:56Z,"christmas,adult standards,vocal jazz","CAPITOL CATALOG MKT (C92)",0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,3
spotify:track:0zGLlXbHlrAyBN1x6sY0rb,"A Sunday Kind Of Love","At Last!","Etta James",1960,196133,70,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:49:07Z,"soul,jazz blues,soul blues,blues,vocal jazz","Geffen*",0.421,0.285,2,-9.43,0,0.0293,0.829,0.00000155,0.233,0.402,85.861,4
spotify:track:0E8q2Fx2XuzXCO2NSAppkR,"In A Sentimental Mood","Duke Ellington & John Coltrane","Duke Ellington,John Coltrane",1963-02,255226,66,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:49:40Z,"jazz,big band,swing music,cool jazz,hard bop,free jazz,bebop,jazz blues","Impulse!",0.464,0.305,3,-12.435,0,0.0316,0.936,0.0848,0.208,0.281,107.854,4
spotify:track:2gNjmvuQiEd2z9SqyYi8HH,"Summertime","Porgy And Bess","Ella Fitzgerald,Louis Armstrong",1958-01-01,298133,65,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:50:22Z,"vocal jazz,jazz,swing music,jazz blues,big band,christmas","Verve Reissues",0.175,0.0695,6,-21.295,0,0.0345,0.916,0.00199,0.137,0.0998,167.004,5
spotify:track:4Hhv2vrOTy89HFRcjU3QOx,"At Last","At Last!","Etta James",1960,179693,75,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:50:47Z,"soul,jazz blues,soul blues,blues,vocal jazz","Geffen*",0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3
spotify:track:0aAdPAlrBJqqqkkhttZIKU,"When You're Smiling (The Whole World Smiles With You) - Without Intro","Highlights From His Decca Years","Louis Armstrong",1994-01-01,244373,47,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:52:15Z,"jazz,swing music,big band,vocal jazz,jazz blues","GRP",0.443,0.182,8,-10.395,1,0.0462,0.84,0.000403,0.114,0.325,80.417,4
spotify:track:1kPBT8S2wJFNAyBMnGVZgL,"I'd Rather Go Blind","Tell Mama","Etta James",1968-04-18,156653,75,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:52:51Z,"soul,jazz blues,soul blues,blues,vocal jazz","Geffen",0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,3
spotify:track:6LPqphk2rbt2i63bR2o247,"All The Things You Are","Odyssey: 1945-1952","Dizzy Gillespie",2002-05-21,169506,50,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:54:30Z,"bebop,jazz,hard bop,latin jazz,big band,cool jazz","Savoy",0.564,0.0822,8,-17.658,1,0.0453,0.962,0.583,0.11,0.483,127.422,4
spotify:track:1jf3wYtynxiPOdhqAp3cUN,"The Masquerade Is Over","Nancy Wilson/Cannonball Adderley","Nancy Wilson,Cannonball Adderley",1962,258106,52,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:54:42Z,"vocal jazz,jazz,hard bop,bebop,cool jazz,jazz blues","Blue Note Records",0.341,0.0446,10,-18.109,1,0.0348,0.909,0.00785,0.157,0.128,174.365,3
spotify:track:5vb7At47uO0yPGfmYnAHuw,"'Round Midnight (feat. John Coltrane Red Garland Paul Chambers & Philly Joe Jones)","'Round About Midnight","Miles Davis,John Coltrane,Red Garland,Paul Chambers,Philly Joe Jones",1957-03-18,355333,54,false,adlbid79oirgbi1v4qhjd80e8,2020-09-17T04:54:52Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,free jazz,jazz blues","Columbia/Legacy",0.494,0.182,10,-11.116,0,0.0443,0.79,0.00036,0.129,0.21,112.689,4
spotify:track:1YQWosTIljIvxAgHWTp7KP,"Take Five","Time Out","The Dave Brubeck Quartet",1959-12-14,324133,69,false,adlbid79oirgbi1v4qhjd80e8,2020-09-27T05:45:23Z,"jazz,cool jazz","Columbia/Legacy",0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,5
spotify:track:02JIdsrod3BYucThfUFDUX,"Le Festin","Ratatouille (Original Motion Picture Soundtrack)","Camille,Michael Giacchino",2007-01-01,170786,63,false,adlbid79oirgbi1v4qhjd80e8,2020-10-26T03:55:56Z,"french jazz,soundtrack","Walt Disney Records",0.439,0.303,3,-10.839,1,0.0422,0.839,0,0.071,0.268,139.475,3
spotify:track:6NGtkvOkM1VbybOxgBgxRZ,"Maldito Cabaret","Hoy...Gran Mano a Mano de la Música Popular","Los Pamperos",2006,172416,0,false,adlbid79oirgbi1v4qhjd80e8,2020-10-26T03:56:37Z,"bolero,popular colombian music,latin folk","Colmusica",0.769,0.57,0,-4.649,0,0.0335,0.652,0,0.253,0.791,111.705,4
spotify:track:3aPlQWU07jGgyHaBHVS5TS,"Fever","Things Are Swingin'","Peggy Lee",1958-11-03,199600,65,false,adlbid79oirgbi1v4qhjd80e8,2020-11-29T16:38:57Z,"vocal jazz,swing music,big band,jazz","Blue Note Records",0.838,0.171,4,-12.614,0,0.0729,0.23,0,0.11,0.397,135.925,4
spotify:track:0SIzIfR6913S1oqTbyg8YC,"Blue Skies","Get Happy! (Expanded Edition)","Ella Fitzgerald",1959-01-01,226360,55,false,adlbid79oirgbi1v4qhjd80e8,2020-11-29T16:42:08Z,"vocal jazz,jazz,swing music,jazz blues,big band,christmas","Verve Reissues",0.611,0.285,0,-10.225,1,0.0682,0.837,0,0.102,0.604,79.463,4
spotify:track:39CdOo5GPGSIdxWDvyyWkr,"The Nearness Of You","The Complete Ella And Louis On Verve","Ella Fitzgerald,Louis Armstrong",1997-05-20,342960,40,false,adlbid79oirgbi1v4qhjd80e8,2020-11-29T16:46:50Z,"vocal jazz,jazz,swing music,jazz blues,big band,christmas","Verve Reissues",0.409,0.105,6,-17.849,1,0.0484,0.926,0,0.126,0.239,81.884,4
spotify:track:2htH7r8oqqEwp3BB6oh2cU,"Come Rain or Come Shine","The Genius Of Ray Charles","Ray Charles",1959,222733,59,false,adlbid79oirgbi1v4qhjd80e8,2020-11-29T16:52:03Z,"jazz blues,soul,soul blues,blues,classic soul,vocal jazz","Rhino Atlantic",0.357,0.216,3,-12.833,1,0.0343,0.767,0.00000431,0.531,0.283,119.57,4
spotify:track:2WMyu5IYgxEuCd6xgFgJrl,"Nature Boy","The Nat King Cole Story","Nat King Cole",1961-09-25,173533,56,false,adlbid79oirgbi1v4qhjd80e8,2020-11-29T16:56:51Z,"christmas,adult standards,vocal jazz","Capitol Records",0.275,0.0895,2,-19.755,0,0.0374,0.971,0.0221,0.108,0.111,104.144,4
spotify:track:1layZXCAmJ84fi21OmnTt5,"Los Caminos De La Vida","Los Caminos De La Vida","La Tropa Vallenata",1998-01-01,291133,64,false,adlbid79oirgbi1v4qhjd80e8,2021-09-01T14:05:06Z,"cumbia,cumbia sonidera,vallenato","Universal Music Mexico",0.624,0.698,2,-6.262,0,0.03,0.384,0,0.114,0.946,151.519,4
