Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1tqT6DhmsrtQgyCKUwotiw,"I Heard It Through The Grapevine","In The Groove","Marvin Gaye",1968-08-26,194293,72,false,,2024-07-02T22:47:47Z,"motown,classic soul,soul,northern soul,quiet storm","Motown",0.711,0.362,3,-10.851,0,0.0381,0.272,0,0.127,0.616,117.287,4
spotify:track:63xdwScd1Ai1GigAwQxE8y,"Let's Stay Together","Let's Stay Together","Al Green",1972,199396,78,false,,2024-07-02T22:47:47Z,"soul,classic soul,motown,soul blues","Fat Possum",0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,4
spotify:track:50uGbeaQIxKiSc7jvRTjWx,"(Sittin' On) the Dock of the Bay","Atlantic 60th: Soul Sweat And Strut","Otis Redding",2007-10-30,166826,57,false,,2024-07-02T22:47:47Z,"soul,motown,classic soul,soul blues","Rhino Atlantic",0.484,0.312,2,-13.522,1,0.0535,0.724,0.00000165,0.0601,0.598,205.981,4
spotify:track:5LuVBkfELaydohNZahwvNN,"It's A Shame - Remastered","Definitive Soul: Spinners","The Spinners",2007-04-02,192760,52,false,,2024-07-02T22:47:47Z,"philly soul,motown,classic soul,soul,northern soul","Rhino Atlantic",0.373,0.856,8,-8.117,0,0.122,0.176,0,0.228,0.605,198.372,4
spotify:track:7KMILVTQdVS4zQ8ilTcpRO,"Theme From Shaft - Remastered 2009","Shaft (Deluxe Edition)","Isaac Hayes",1971,279200,57,false,,2024-07-02T22:47:47Z,"soul,classic soul,funk","Stax",0.487,0.716,9,-17.689,0,0.0463,0.233,0.00445,0.113,0.819,120.795,4
spotify:track:745H5CctFr12Mo7cqa1BMH,"My Girl","The Temptations Sing Smokey","The Temptations",1965-03-22,165000,80,false,,2024-07-02T22:47:47Z,"motown,classic soul,soul","UNI/MOTOWN",0.574,0.418,0,-10.739,1,0.0345,0.636,0,0.0961,0.692,104.57,4
spotify:track:3Um9toULmYFGCpvaIPFw7l,"What's Going On","What's Going On","Marvin Gaye",1971-05-21,233000,70,false,,2024-07-02T22:47:47Z,"motown,classic soul,soul,northern soul,quiet storm","UNI/MOTOWN",0.283,0.716,1,-9.632,0,0.0986,0.447,0,0.399,0.828,201.96,4
spotify:track:4qYHnP5AmKzXbJhciPV8si,"Ain't No Love In The Heart Of The City - Single Version","Dreamer","Bobby Blue Bland",1974-01-01,233560,64,false,,2024-07-02T22:47:47Z,"blues,soul blues,classic blues,soul,classic soul","Geffen*",0.518,0.376,9,-18.248,0,0.0431,0.933,0.86,0.0976,0.744,158.089,4
spotify:track:6KKcey1w86oP0qxN8frbfD,"Green Onions","Green Onions / Behave Yourself","Booker T. & the M.G.'s",1962,167384,55,false,,2024-07-02T22:47:47Z,"","Rhino Atlantic",0.788,0.38,10,-15.179,1,0.0346,0.811,0.906,0.102,0.892,138.205,4
spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,"Ain't No Sunshine","Just As I Am","Bill Withers",1971-05-01,125093,80,false,,2024-07-02T22:47:47Z,"soul,classic soul,motown","Columbia/Legacy",0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,4
