Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Uyh92tLyb9JawG8lmWCzJ,"Differences","The Life","Ginuwine",2001-04-03,265533,67,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T00:49:23Z,"r&b","Epic",0.562,0.594,3,-4.578,0,0.0558,0.318,0,0.311,0.423,62.876,4
spotify:track:6mz1fBdKATx6qP4oP1I65G,"Pony","R&B: From Doo-Wop To Hip-Hop","Ginuwine",1999-10-08,251733,71,true,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T00:50:58Z,"r&b","Sony Music Entertainment",0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,4
spotify:track:1Dx8rIZaXzZPvUQRF2j9hB,"Sweet Lady","Tyrese","Tyrese",1998-08-31,290600,61,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T00:54:27Z,"r&b,quiet storm","RCA Records Label",0.588,0.522,9,-6.254,0,0.0383,0.233,0,0.24,0.584,66.024,4
spotify:track:4j1Bk0BEIGCF9hR7cSwl9d,"Candy Rain","Candy Rain","Soul For Real",1995,276066,69,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T00:59:08Z,"new jack swing","Geffen*",0.589,0.699,11,-7.529,0,0.0788,0.00389,0.0000476,0.0577,0.63,188.253,4
spotify:track:1KGi9sZVMeszgZOWivFpxs,"No Scrubs","Fanmail","TLC",1999-02-23,214400,82,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T22:35:46Z,"","Arista/LaFace Records",0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,4
spotify:track:3LmvfNUQtglbTrydsdIqFU,"We Belong Together","The Emancipation of Mimi","Mariah Carey",2005-04-12,201400,71,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T22:35:51Z,"christmas","Island Records",0.833,0.467,0,-7.89,1,0.0619,0.0339,0,0.09,0.767,139.971,4
spotify:track:5GorFaKkP2mLREQvhSblIg,"All My Life","Love Always","K-Ci & JoJo",1997-01-01,331240,71,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T22:40:16Z,"r&b","Geffen*",0.634,0.512,1,-8.651,1,0.0285,0.114,0.00000391,0.0588,0.193,128.019,4
spotify:track:7H6ev70Weq6DdpZyyTmUXk,"Say My Name","The Writing's On The Wall","Destiny's Child",1999-07-27,271333,79,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T22:45:09Z,"","Columbia",0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,4
spotify:track:3l3xTXsUXeWlkPqzMs7mPD,"End Of The Road","Cooleyhighharmony (Bonus Tracks Version)","Boyz II Men",1991-04-30,351466,73,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T22:46:28Z,"new jack swing,r&b,quiet storm","UNI/MOTOWN",0.641,0.428,5,-9.29,0,0.024,0.0666,0,0.0579,0.53,149.705,3
spotify:track:1PmHkalaUHhh0fz23SBHDL,"Let's Get Married","J.E. Heartbreak","Jagged Edge",2000-01-18,263226,56,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T23:06:00Z,"r&b","So So Def",0.761,0.627,1,-5.554,1,0.0538,0.175,0,0.128,0.891,109.821,4
spotify:track:1vbe9sh7U9vdMceAhitWr2,"Can You Stand The Rain","Heart Break","New Edition",1988-01-01,297706,64,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-24T23:07:00Z,"new jack swing,quiet storm","Geffen*",0.614,0.37,8,-15.198,1,0.0353,0.678,0.00261,0.143,0.746,143.314,4
spotify:track:567UAkWoLBqZ709s3Qcbze,"Maria Maria (feat. The Product G&B)","Supernatural (Legacy Edition)","Santana,The Product G&B",1999,261973,70,false,v828zh1enlyp9vzjlfaj5rzpm,2020-05-28T04:17:13Z,"","Columbia/Legacy",0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,4
spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi,"Survivor","Survivor","Destiny's Child",2001-05-01,254026,69,false,v828zh1enlyp9vzjlfaj5rzpm,2020-06-02T03:14:49Z,"","Columbia",0.514,0.911,1,-2.027,0,0.41,0.0559,0,0.775,0.619,161.109,4
spotify:track:0ZTJrZ1axCUmP1fiFzyabF,"Are You That Somebody","Annabelle - The Complete Fantasy Playlist","Aaliyah",2019-07-25,265666,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-06-17T02:58:04Z,"r&b","FNM",0.848,0.663,9,-7.078,0,0.159,0.124,0.0293,0.0737,0.833,137.953,4
spotify:track:69QIVIjPMnI1ABLBqh9P1b,"Twisted","Keith Sweat","Keith Sweat",1996,260666,70,false,v828zh1enlyp9vzjlfaj5rzpm,2020-06-26T19:57:06Z,"new jack swing,quiet storm,r&b","Rhino/Elektra",0.615,0.514,11,-9.759,1,0.0466,0.393,0,0.248,0.822,175.849,4
spotify:track:5SkRLpaGtvYPhw02vZhQQ9,"All Falls Down","The College Dropout","Kanye West,Syleena Johnson",2004-02-10,223506,80,true,v828zh1enlyp9vzjlfaj5rzpm,2020-07-04T18:56:58Z,"rap,neo soul","Roc-A-Fella",0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,4
spotify:track:71EHOyEOhNx1SzTebRRyng,"Weak","It's About Time","SWV",1992-10-27,291906,67,false,v828zh1enlyp9vzjlfaj5rzpm,2020-07-13T17:36:39Z,"new jack swing,r&b","RCA Records Label",0.693,0.533,2,-10.954,0,0.0402,0.107,0,0.0695,0.568,127.661,4
spotify:track:2QsZVnbWVSjKMXK6K3uRBL,"U Remind Me","8701","USHER",2001-08-07,266893,73,false,v828zh1enlyp9vzjlfaj5rzpm,2020-08-22T15:23:16Z,"r&b","Arista",0.657,0.629,6,-4.938,1,0.0782,0.194,0,0.254,0.726,93.985,4
spotify:track:4iuNZTcvT9diFySSzVsnVS,"When I See U","Fantasia","Fantasia",2006-12-09,217346,73,false,v828zh1enlyp9vzjlfaj5rzpm,2021-10-09T18:01:13Z,"r&b","J Records",0.569,0.596,8,-6.486,1,0.172,0.452,0.0000792,0.205,0.754,93.135,4
spotify:track:5Anh8jULgeUgciLHCR25Mk,"Like A Star","Corinne Bailey Rae","Corinne Bailey Rae",2006-01-01,243213,63,false,v828zh1enlyp9vzjlfaj5rzpm,2020-09-07T01:42:28Z,"","EMI Records",0.606,0.226,2,-10.617,0,0.0347,0.715,0.0001,0.35,0.142,122.711,4
spotify:track:06TuMCjDEYjTOJScCRzmjf,"Don't Let Go (Love)","EV3","En Vogue",1997-06-17,291880,64,false,v828zh1enlyp9vzjlfaj5rzpm,2020-09-08T05:44:48Z,"new jack swing","Atlantic Records",0.618,0.688,5,-5.867,0,0.0477,0.409,0.00000632,0.3,0.561,78.311,4
spotify:track:7z3N2W7Xz1t2G2sAO8wFVH,"Burn","Confessions (Expanded Edition)","USHER",2004-03-23,231933,74,false,v828zh1enlyp9vzjlfaj5rzpm,2020-09-13T15:10:19Z,"r&b","LaFace Records",0.796,0.477,1,-7.161,1,0.108,0.314,0,0.12,0.685,119.928,4
spotify:track:2GFExyKXf9383tSRSrEHEt,"Can't Take My Eyes Off of You - (I Love You Baby)","The Miseducation of Lauryn Hill","Ms. Lauryn Hill",1998-08-25,221466,70,false,v828zh1enlyp9vzjlfaj5rzpm,2020-09-13T22:00:02Z,"neo soul","Ruffhouse/Columbia",0.747,0.662,1,-7.9,0,0.0796,0.0118,0,0.138,0.63,88.926,4
spotify:track:12Y1GaS44vga0G3rUtjFAY,"The Miseducation of Lauryn Hill","The Miseducation of Lauryn Hill","Ms. Lauryn Hill",1998-08-25,235466,51,false,v828zh1enlyp9vzjlfaj5rzpm,2020-09-13T22:01:46Z,"neo soul","Ruffhouse/Columbia",0.356,0.355,3,-11.125,0,0.0341,0.295,0.000107,0.151,0.653,69.271,4
spotify:track:7iCs98iS5n6KCI4q3H7zp9,"Tell Him","The Miseducation of Lauryn Hill","Ms. Lauryn Hill",1998-08-25,280760,64,false,v828zh1enlyp9vzjlfaj5rzpm,2020-09-13T22:05:34Z,"neo soul","Ruffhouse/Columbia",0.655,0.647,1,-9.465,1,0.0903,0.19,0.00877,0.0412,0.931,80.077,4
spotify:track:4FCb4CUbFCMNRkI6lYc1zI,"Hero","Music Box","Mariah Carey",1993-08-31,257733,2,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-07T06:17:22Z,"christmas","Columbia",0.495,0.378,4,-9.37,1,0.0293,0.734,0,0.119,0.177,120.06,4
spotify:track:4eHbdreAnSOrDDsFfc4Fpm,"I Will Always Love You","The Bodyguard - Original Soundtrack Album","Whitney Houston",1992-11-17,271093,78,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-07T06:18:56Z,"","Arista",0.332,0.214,4,-12.518,1,0.0349,0.845,0.00000562,0.0839,0.11,67.531,4
spotify:track:152oiKrzbqUOWutP8m5PWv,"I Ain't Mad At Cha","Greatest Hits","2Pac,Danny Boy",1998-01-01,293226,54,true,v828zh1enlyp9vzjlfaj5rzpm,2020-10-08T22:35:18Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","2Pac Greatest Hits",0.85,0.676,5,-4.224,0,0.209,0.0785,0.0000395,0.361,0.606,85.05,4
spotify:track:4Lw1ePUkkLEG9kIVhpslO0,"Don't Leave Me","The Best Of BLACKstreet - 20th Century Masters The Millennium Collection","Blackstreet",2004-01-01,311640,50,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-08T22:42:33Z,"new jack swing","Interscope",0.789,0.541,2,-5.067,0,0.0341,0.0498,0,0.0908,0.71,81.826,4
spotify:track:3x6ElAgBpyvhGcWRQl7Pwh,"Yesterday","II","Boyz II Men",1994-01-01,188266,35,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-13T04:39:45Z,"new jack swing,r&b,quiet storm","Motown",0.297,0.147,4,-15.11,1,0.0305,0.736,0,0.374,0.364,139.059,3
spotify:track:4aKnYxo2WpiuZBh4QSXUkJ,"It's So Hard To Say Goodbye To Yesterday - Radio Version","The Best Of Boyz II Men 20th Century Masters The Millennium Collection","Boyz II Men,Rex Salas",2003-10-07,187213,24,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-13T04:41:02Z,"new jack swing,r&b,quiet storm","UNI/MOTOWN",0.285,0.287,4,-13.415,1,0.0287,0.802,0,0.167,0.289,141.644,4
spotify:track:264JdkdtNRAGL4M4PnDYHC,"It's So Hard To Say Goodbye To Yesterday","Cooleyhighharmony - Expanded Edition","Boyz II Men",2009-01-01,168626,49,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-13T04:42:49Z,"new jack swing,r&b,quiet storm","Hip-O Select",0.3,0.224,4,-11.079,1,0.0265,0.915,0,0.159,0.286,87.1,3
spotify:track:5eZ6igEpm6n3h2ygKP3Vq4,"You're All I Need To Get By","You're All I Need","Marvin Gaye,Tammi Terrell",1968-01-01,173866,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-16T00:38:35Z,"motown,classic soul,soul,northern soul,quiet storm","Universal Music Group",0.519,0.43,11,-10.982,0,0.0315,0.113,0,0.0708,0.197,97.89,4
