Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0sCeNwt8xRCMR4NhKpMyBe,"Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition","Empyrean Isles (Expanded Edition)","Herbie Hancock",1964-06-17,333946,61,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:21:44Z,"jazz,jazz fusion,jazz funk,hard bop,cool jazz","Blue Note Records",0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.414,116.11,4
spotify:track:0VZEHM4h252BGh5P0N7MS5,"Overture - From Whiplash","Whiplash (Original Motion Picture Soundtrack)","Justin Hurwitz",2014-10-06,199388,0,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:21:50Z,"","Varese Sarabande",0.506,0.718,5,-9.841,0,0.106,0.117,0.179,0.121,0.684,136.306,3
spotify:track:6PxLjmt9UoUxlMUkkK8mTE,"Let's Groove","Stan The Man Turrentine","Stanley Turrentine",1960-01-13,363386,30,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:22:00Z,"hard bop,jazz,soul jazz,cool jazz,bebop","Time Records",0.514,0.513,0,-11.138,0,0.0344,0.677,0.0368,0.0487,0.707,96.783,4
spotify:track:1mfuiPczjGndB6HAbYc8fF,"Roll 'Em","The Essential Benny Goodman","Benny Goodman",2007-05-22,255400,20,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:23:12Z,"big band,swing music,jazz,ragtime","Columbia/Legacy",0.426,0.726,7,-10.189,0,0.132,0.922,0.878,0.957,0.813,197.177,4
spotify:track:2gK90iDN9ggQoECv4494mb,"The Jody Grind","The Jody Grind","Horace Silver",1991-01-01,350026,32,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:57:42Z,"hard bop,jazz,bebop,cool jazz,soul jazz","Blue Note Records",0.531,0.579,5,-9.216,0,0.0339,0.667,0.0000275,0.116,0.536,154.341,4
spotify:track:0wegLTw4radMpYyw28dIVQ,"Johnny's Blue","Like Someone In Love","Art Blakey & The Jazz Messengers",1967-08-01,552000,26,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:57:47Z,"hard bop,jazz,bebop,cool jazz","Blue Note Records",0.495,0.445,5,-11.374,0,0.15,0.725,0.0386,0.135,0.684,174.875,4
spotify:track:0f6Fb3g0DRpCIbhljotYwO,"Windows","Now He Sings Now He Sobs (Expanded Edition)","Chick Corea",1968-12-01,192106,49,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:57:54Z,"jazz fusion,jazz,latin jazz,free jazz","Blue Note Records",0.471,0.446,8,-12.842,0,0.0315,0.705,0.441,0.18,0.488,107.248,1
spotify:track:16nJl8NnriCJxraco5Zssm,"Better Git It in Your Soul","Mingus Ah Um","Charles Mingus",1959,440840,46,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:57:59Z,"jazz,hard bop,bebop,free jazz,cool jazz","Columbia/Legacy",0.457,0.548,5,-12.486,0,0.0551,0.111,0.00016,0.103,0.76,88.8,4
spotify:track:4Vkk3iD1VrENHJEACNddvt,"Moanin'","Moanin' (Expanded Edition)","Art Blakey & The Jazz Messengers",1959-01-01,570720,57,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:58:05Z,"hard bop,jazz,bebop,cool jazz","Blue Note Records",0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358,4
spotify:track:1xXydFs62EqOXFMPizVhn4,"Salt Peanuts","Groovin' High","Dizzy Gillespie",1955-01-01,196640,42,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T02:02:10Z,"bebop,jazz,hard bop,latin jazz,big band,cool jazz","Savoy",0.701,0.393,5,-9.868,1,0.155,0.919,0.384,0.0964,0.791,75.908,4
spotify:track:2iYHPl8WczwjAGS2ERz7a0,"A Night In Tunisia - Live","The Genius Of Charlie Parker","Charlie Parker",1991-01-01,185506,37,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T02:03:16Z,"bebop,jazz,hard bop,cool jazz,jazz blues","Savoy",0.478,0.459,7,-8.586,0,0.0586,0.882,0.0174,0.115,0.623,175.424,4
spotify:track:3ltk3yU2BcHXixu1ykWsCo,"Up A Step - Remastered 2000 / Rudy Van Gelder Edition","No Room For Squares (Remastered 2000 / Rudy Van Gelder Edition)","Hank Mobley",2000-01-01,511853,24,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T04:07:13Z,"hard bop,jazz,bebop,jazz blues,cool jazz","Blue Note Records",0.549,0.581,0,-9.096,1,0.0327,0.618,0.0000151,0.158,0.662,97.973,4
