Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0QLuexVmR2wgNsekPKbv6c,"OSOM (feat. J. Cole)","Redemption","Jay Rock,J. Cole",2018-06-15,323120,53,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:10:20Z,"rap","Top Dawg Ent./Interscope Records",0.749,0.674,8,-6.756,0,0.229,0.406,0,0.296,0.396,124.917,4
spotify:track:2NJu5JtZLPmmuZF7Lr4Arr,"Interlude","Cole World: The Sideline Story","J. Cole",2011-09-27,99680,42,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:13:26Z,"rap","Roc Nation LLC",0.521,0.285,5,-14.619,0,0.105,0.936,0.000168,0.115,0.157,64.825,3
spotify:track:5pIn0ZiclQOMzoFUlgDY0f,"Sideline Story","Cole World: The Sideline Story","J. Cole",2011-09-27,237853,59,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:13:37Z,"rap","Roc Nation LLC",0.745,0.572,10,-7.003,0,0.174,0.705,0,0.146,0.663,89.051,4
spotify:track:4OkiWfrZKmmVoILXk8JEtl,"In The Morning","Cole World: The Sideline Story","J. Cole,Drake",2011-09-27,234386,69,false,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:17:49Z,"rap","Roc Nation LLC",0.44,0.671,3,-10.598,0,0.477,0.764,0,0.212,0.479,83.078,4
spotify:track:4gkl7QbQvBd3TM9PhlWFkI,"Love Yourz","2014 Forest Hills Drive","J. Cole",2014-12-09,211680,1,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:24:19Z,"rap","Roc Nation/Columbia",0.502,0.623,8,-8.812,1,0.44,0.609,0,0.119,0.399,75.578,1
spotify:track:6gWo0JYLA6Dnw40WIx1MTl,"Mile High (feat. Travis Scott & Metro Boomin)","Assume Form","James Blake,Travis Scott,Metro Boomin",2019-01-18,193600,37,false,v828zh1enlyp9vzjlfaj5rzpm,2019-09-10T08:46:25Z,"rap","Polydor Records",0.754,0.37,6,-9.854,0,0.12,0.403,0.0000622,0.107,0.228,114.941,4
spotify:track:3JZ23tAD3kFjFHtXnzvDKm,"I Remember (feat. Lil Baby)","Life B4 Fame","Quando Rondo,Lil Baby",2018-05-29,230042,51,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-11T20:11:18Z,"melodic rap","2018",0.758,0.528,0,-9.199,1,0.124,0.149,0,0.081,0.261,99.993,4
spotify:track:6G0FACzGN80Dj2v4ass5rq,"gone girl","gone girl","iann dior,Trippie Redd",2019-07-04,136568,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-19T20:36:41Z,"melodic rap","TenThousand Projects, LLC",0.677,0.714,11,-5.637,1,0.0287,0.162,0,0.0717,0.355,94.956,4
spotify:track:3ViHeWphifuEGsSipW3uoz,"Driftin'","ELEVATORS: Act I & II","Bishop Nehru",2018-03-16,174340,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-16T21:33:26Z,"","Nehruvia LLC Catalog",0.734,0.423,7,-9.379,0,0.337,0.0491,0,0.106,0.284,87.951,4
spotify:track:4aPB8rSxGFISs0o6V2LrTy,"Gold Roses (feat. Drake)","Gold Roses (feat. Drake)","Rick Ross,Drake",2019-07-26,345160,50,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-17T00:08:18Z,"southern hip hop,rap","Epic",0.581,0.642,1,-5.318,1,0.407,0.0519,0,0.183,0.536,80.142,4
spotify:track:4BNqWebyipWrMsupuTmKO9,"Drift","Honeybloom","Choker",2018-08-03,215189,35,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-17T19:11:35Z,"","Jet Fuzz",0.334,0.44,0,-9.857,1,0.0477,0.749,0.000607,0.236,0.371,81.002,4
spotify:track:7nEZZ1mWK7h98x8ENbQuqJ,"Nice to See You","Angel Youth","Vansire,FLOOR CRY",2018-04-26,181677,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-17T19:14:06Z,"bedroom pop","Spirit Goth Records",0.539,0.535,1,-9.717,1,0.0319,0.42,0.632,0.263,0.352,78.885,4
spotify:track:0puyikpyVwe8TTv2tvMHeq,"Social Sites","Social Sites","Cosmo Pyke",2016-10-24,289308,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-17T19:19:40Z,"bedroom pop","70Hz Recordings Ltd",0.411,0.618,4,-4.964,0,0.0469,0.109,0,0.279,0.211,120.734,4
spotify:track:2QdSGpeLF0ZlAmhsf2lWhv,"Lucky","Forever & A Few","Choker",2019-02-08,251034,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-17T19:20:08Z,"","Jet Fuzz",0.477,0.328,4,-8.458,1,0.0658,0.906,0.00000736,0.262,0.283,174.143,4
spotify:track:6YEyNkfWYAFTib8j1eXg1A,"Hey Ma","Hey Ma","Bon Iver",2019-06-04,216706,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-17T19:34:02Z,"","Jagjaguwar",0.326,0.285,9,-10.972,0,0.0339,0.872,0.000278,0.0968,0.198,143.702,4
spotify:track:0hNhlwnzMLzZSlKGDCuHOo,"Space Song","Depression Cherry","Beach House",2015-08-28,320466,1,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-17T19:35:48Z,"dream pop","Sub Pop Records",0.508,0.788,0,-7.288,0,0.0296,0.233,0.13,0.144,0.586,147.06,4
spotify:track:1oCUj7YvKxxSKRDAU3pePN,"Levitation","Depression Cherry","Beach House",2015-08-28,354600,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-17T19:36:08Z,"dream pop","Sub Pop Records",0.223,0.451,2,-7.094,1,0.0304,0.544,0.393,0.0612,0.0635,142.384,4
spotify:track:4hiNXRP0MUIl6wdEMAnazO,"Magic--Pearl","Sights & Sounds","Arbour",2018-02-23,200856,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-19T08:24:57Z,"lo-fi beats,lo-fi hip hop,lo-fi","Inner Ocean Records",0.335,0.278,0,-12.984,1,0.0397,0.815,0.764,0.103,0.067,152.555,4
spotify:track:6BPO4rLBfsAJsdgxG4ufFx,"The Lamp Is High","The Lamp Is High","Bitte Please",2017-11-14,157664,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-26T05:14:02Z,"lo-fi beats,lo-fi","649916 Records DK",0.598,0.3,4,-9.427,0,0.0435,0.182,0.217,0.277,0.134,68.47,4
spotify:track:7yB6GF5kgPEoeGE4EAWiJU,"Blue Laces 2","Victory Lap","Nipsey Hussle",2018-02-16,250920,58,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-26T06:08:40Z,"west coast hip hop","Atlantic Records",0.569,0.836,4,-3.831,0,0.226,0.0276,0,0.479,0.0927,75.701,4
spotify:track:0lgScP4Sc9teQbV8TBJac6,"Sweet Dreams","Blue Madonna","BØRNS",2018-01-12,199767,49,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-02T03:44:19Z,"","UMGRI Interscope",0.623,0.534,11,-6.678,1,0.0315,0.0427,0.0000824,0.119,0.387,91.997,4
spotify:track:7mgI1HLrLMlIHL3wzotbyM,"Teenage Blue","Illuminaughty - EP","Dreamgirl",2015-02-14,234968,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-02T03:54:18Z,"","569291 Records DK2",0.178,0.461,11,-7.479,1,0.0312,0.837,0.0187,0.133,0.135,180.28,3
spotify:track:5z51HY4ei5QhTjcvwq5Msw,"On Chill (feat. Jeremih)","Wow... That's Crazy","Wale,Jeremih",2019-10-11,214035,63,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-05T23:13:24Z,"","MMG/Warner Records",0.597,0.733,1,-6.017,1,0.41,0.134,0,0.159,0.639,171.016,4
spotify:track:7cEZShpmZ7dencnV8ibyUS,"Never Needed No Help","Harder Than Ever","Lil Baby",2018-05-18,195635,63,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-09T18:50:08Z,"","Quality Control Music, LLC",0.713,0.495,5,-6.885,0,0.111,0.0467,0,0.215,0.426,130.046,4
spotify:track:0lnuFBWmq2KSQ9oyNYExNh,"Alone","Survival","Dave East,Jacquees",2019-11-08,260853,42,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-12T19:25:19Z,"r&b,trap soul","Def Jam Recordings",0.495,0.738,6,-4.557,1,0.262,0.202,0,0.114,0.656,138.176,4
spotify:track:3VrAgE4jotl0UVypVFm3C0,"Godfather 4","Survival","Dave East,Nas,The Soul Rebels",2019-11-08,251866,31,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-12T19:26:19Z,"east coast hip hop,old school hip hop,hip hop,new orleans bounce","Def Jam Recordings",0.415,0.728,6,-5.843,0,0.252,0.0795,0,0.675,0.578,70.959,4
spotify:track:3c07yD1n2fRvcD9wY638hg,"Crepuscolo Sul Mare","La Legge Dei Gangsters","Piero Umiliani",2009-11-19,167314,57,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-13T06:28:35Z,"exotica","Easy Tempo / Right Tempo",0.269,0.443,5,-12.812,1,0.0315,0.973,0.907,0.111,0.363,100.295,4
spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,"SUGAR","GINGER","BROCKHAMPTON",2019-08-23,204533,67,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-19T21:08:08Z,"","Question Everything/RCA Records",0.453,0.538,1,-8.212,1,0.0638,0.449,0,0.19,0.516,122.973,4
spotify:track:4vHNeBWDQpVCmGbaccrRzi,"Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,70,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-19T21:08:18Z,"bedroom pop","Still Woozy Productions Inc., under exclusive license to Interscope Records",0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,0.233,0.619,138.263,4
spotify:track:4eFvubnLRBu8vMPZqu5eC9,"Show Me Love (feat. 21 Savage & Miguel)","Show Me Love (feat. 21 Savage & Miguel)","Alicia Keys,21 Savage,Miguel",2019-10-30,239439,41,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-20T00:19:12Z,"r&b,neo soul","RCA Records Label",0.643,0.751,5,-5.215,0,0.116,0.269,0,0.0507,0.735,129.144,4
spotify:track:49MJOwRnxJTgBO2jDhSKy8,"Power Hungry Animals","The Way Way Back - Music From The Motion Picture","The Apache Relay",2013-06-28,172866,23,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-21T06:53:44Z,"","Columbia",0.49,0.59,3,-7.819,1,0.0354,0.0358,0.000011,0.111,0.478,131.886,4
spotify:track:0GHlFvtU5ALfhCSNEtTE0T,"Midnight Blue","Midnight Blue","Puma Blue",2018-09-26,279984,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-21T07:25:54Z,"bedroom pop","Blue Flowers Music",0.681,0.259,10,-9.106,0,0.0933,0.812,0.0066,0.393,0.333,74.837,4
spotify:track:7LjRPqtlYb2qyqUmKOwKuz,"Nirvana (with Falcons & B. Lewis)","Spilled Milk 1","Bas,Falcons,B. Lewis",2019-08-09,165953,32,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-22T18:08:44Z,"","J. Cole/ DreamVille",0.722,0.538,9,-8.145,0,0.0584,0.361,0,0.148,0.527,129.978,4
spotify:track:3VyjsVV24RmBIbWJAeUJNu,"No Idea","No Idea","Don Toliver",2019-05-29,154424,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-28T01:00:54Z,"","Cactus Jack / Atlantic",0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,4
spotify:track:6FIsKBZc3EHaTvWndQajIF,"Diva","Donny Womack","Don Toliver",2018-08-02,201181,54,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-28T01:03:30Z,"","We Run It Ent./Cactus Jack/Atlantic",0.757,0.655,6,-7.118,0,0.15,0.0759,0,0.0743,0.897,153.912,4
spotify:track:7w1yRWWeP2s0anD6luiBYs,"Dark Conversations","Ghetto Gospel","Rod Wave",2019-11-01,144960,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-30T23:28:42Z,"","Alamo Records",0.719,0.648,9,-5.667,0,0.189,0.302,0,0.0561,0.61,158.992,4
spotify:track:65oGVYJfdT6mYIdmmb6q3c,"Some Minds (feat. Andrew Wyatt)","Some Minds (feat. Andrew Wyatt)","Flume,Andrew Wyatt",2015-05-29,263764,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-03T18:48:40Z,"future bass","Mom+Pop",0.263,0.555,4,-6.884,0,0.0446,0.316,0.0000578,0.128,0.191,79.783,4
spotify:track:2aMHA0kCzCKDiRTNEe4NJc,"Breakdown","Cole World: The Sideline Story","J. Cole",2011-09-27,285306,46,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-03T19:18:35Z,"rap","Roc Nation LLC",0.455,0.647,1,-7.27,1,0.203,0.0207,0.0556,0.098,0.489,99.505,3
spotify:track:4QXkUqCzWJMU9znu821Kky,"Shine Thru","Speakthru (Bonus Tracks Version)","FloFilz,Ivan Ave",2015-12-04,187175,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:51:06Z,"jazz rap,jazz beats,lo-fi beats,lo-fi hip hop,lo-fi","Jakarta",0.799,0.51,7,-7.168,1,0.185,0.366,0.000221,0.105,0.625,88.501,4
spotify:track:6ulzLZnp6Y2TVLh1inckeJ,"Brand Name","GO:OD AM","Mac Miller",2015-09-18,302133,54,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-05T22:04:57Z,"","Warner Records",0.385,0.71,9,-5.158,0,0.0805,0.0565,0.00000724,0.0632,0.398,148.385,4
spotify:track:0wXuerDYiBnERgIpbb3JBR,"Redbone","Awaken My Love!","Childish Gambino",2016-12-02,326933,6,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-09T19:02:05Z,"","Glassnote Entertainment Group LLC",0.743,0.344,1,-11.174,1,0.118,0.169,0.00879,0.103,0.577,160.15,4
spotify:track:0K1glOFXQzLm3KxjJY5rtK,"Gemini (feat. George Maple)","Gemini (feat. George Maple)","What So Not,George Maple",2015-04-03,270257,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-13T22:12:31Z,"future bass","OWSLA",0.481,0.687,7,-6.748,0,0.0699,0.238,0.11,0.107,0.188,145.971,4
spotify:track:4YrS33mjBWWchoLJTkAKwt,"Go In","Go In","Lil Tjay",2019-12-13,254962,51,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-13T22:21:05Z,"brooklyn drill,melodic rap","Columbia",0.799,0.698,9,-5.947,0,0.169,0.125,0,0.0778,0.799,121.998,4
spotify:track:4BjX3hTy43SMyXUKXBVF2v,"God's Whisper","Indigo Child","Raury",2015-02-24,248613,44,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-14T20:40:51Z,"","Love Renaissance/Columbia",0.611,0.556,9,-9.999,0,0.0293,0.0626,0.343,0.107,0.412,144.023,3
spotify:track:6XHVuErjQ4XNm6nDPVCxVX,"No Guidance (feat. Drake)","Indigo","Chris Brown,Drake",2019-06-28,260640,81,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-16T17:25:29Z,"r&b,rap","Chris Brown Entertainment/RCA Records",0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928,4
spotify:track:4m1mrlWu35x0trDuKE5XvX,"Fall In Love","Fall in Love","Craig Xen,Diablo",2019-10-08,150073,44,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-18T06:25:00Z,"trap metal,emo rap,argentine trap","Cruel World / EMPIRE",0.709,0.57,4,-9.574,0,0.352,0.9,0,0.0784,0.605,80.003,4
spotify:track:29ufDd9TslJkmpsC6xUb53,"Curry Chicken","Curry Chicken","Joey Bada$$",2014-12-23,213330,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-20T15:19:12Z,"hip hop,rap","Cinematic Music Group",0.711,0.793,9,-5.123,1,0.0777,0.302,0,0.855,0.374,140.04,4
spotify:track:6fOOKqQWcSy33ApU1wqkkW,"Paradise","Free Spirit","Khalid",2019-04-05,173653,48,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-22T09:54:27Z,"","Right Hand Music Group, LLC/RCA Records",0.581,0.452,11,-9.558,1,0.15,0.206,0.00329,0.0881,0.523,75.046,4
spotify:track:5JEx7HbmvHQQswJCsoo9rA,"Close To Me (with Diplo) (feat. Swae Lee)","Close To Me (feat. Swae Lee)","Ellie Goulding,Diplo,Swae Lee",2018-10-24,182623,59,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-23T03:04:36Z,"moombahton","Polydor Records",0.575,0.758,1,-5.029,0,0.0618,0.0954,0,0.394,0.493,144.107,4
spotify:track:3TwgZ3wCKwObhP8qNkbLYR,"I Can't Help","I Can't Help","Sarcastic Sounds",2018-01-12,77583,40,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-23T08:21:48Z,"lo-fi","627824 Records DK",0.645,0.324,2,-12.177,1,0.0759,0.443,0.14,0.127,0.32,164.095,4
spotify:track:06iMqWThw4w8fTFyccvOwr,"Ride Wit Me","Country Grammar","Nelly,City Spud",2000-06-27,291781,1,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-23T18:53:05Z,"","Universal/Island Def Jam",0.854,0.692,7,-6.625,1,0.0479,0.0668,0,0.247,0.753,101.865,4
spotify:track:7FOJvA3PxiIU0DN3JjQ7jT,"Power Trip (feat. Miguel)","Born Sinner","J. Cole,Miguel",2013-06-14,241160,1,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-26T02:12:00Z,"rap,r&b","Roc Nation/Columbia",0.667,0.61,1,-7.054,1,0.217,0.322,0.000203,0.426,0.465,99.991,4
spotify:track:3ishRxjsqYVk6FdAGeeUAP,"Set Piece","Angel Youth","Vansire,sophie meiers,Ivy Sole",2018-04-26,199490,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-26T20:56:28Z,"bedroom pop,alternative r&b","Spirit Goth Records",0.541,0.483,1,-10.675,0,0.0514,0.351,0.4,0.111,0.641,80.73,4
spotify:track:35Xf2ABjPzUXKz19akd7Jj,"Famous Hoes","Famous Hoes","NLE Choppa",2019-12-10,135460,56,true,v828zh1enlyp9vzjlfaj5rzpm,2020-01-01T14:38:17Z,"","Warner Records",0.732,0.627,4,-5.693,0,0.161,0.346,0,0.261,0.332,81.481,4
