Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4MqFHxNM8uM7UEW4t56nzU,"I Fall Apart","Rory Gallagher (Remastered 2017)","Rory Gallagher",1971-05-23,312400,53,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T10:04:12Z,"blues rock,blues,modern blues,classic blues","UMC (Universal Music Catalogue)",0.362,0.614,7,-13.297,0,0.0961,0.107,0.0012,0.123,0.664,79.432,4
spotify:track:3DmHaJ9zYKj5Snos05lkVF,"Bad Penny","Top Priority (Remastered 2017)","Rory Gallagher",1979-09-16,245377,56,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T10:04:27Z,"blues rock,blues,modern blues,classic blues","UMC (Universal Music Catalogue)",0.252,0.729,2,-10.022,0,0.0646,0.0974,0.00881,0.045,0.689,199.738,4
spotify:track:15PTVLJS4Kczhnwl0FWFsh,"Shadow Play","Photo Finish (Remastered 2017)","Rory Gallagher",1978-10-01,286983,46,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T10:10:17Z,"blues rock,blues,modern blues,classic blues","UMC (Universal Music Catalogue)",0.395,0.853,2,-10.334,0,0.0678,0.0848,0.0417,0.121,0.601,157.324,4
spotify:track:400XN4PpJ4sFByiegnHFZi,"Moonchild","Calling Card (Remastered 2017)","Rory Gallagher",1976-10-24,287297,45,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T10:12:57Z,"blues rock,blues,modern blues,classic blues","UMC (Universal Music Catalogue)",0.445,0.94,9,-10.656,0,0.0573,0.0433,0.00284,0.423,0.557,98.472,4
spotify:track:3xvCFEGjWycuWkgtvnLOI8,"Bullfrog Blues","Canned Heat","Canned Heat",1967-01-01,140200,42,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T10:21:14Z,"blues rock,blues","Capitol Records",0.57,0.464,9,-12.776,0,0.0454,0.0228,0.000225,0.0898,0.924,152.183,4
spotify:track:7vnYJ3614D81Ips9RgU5y5,"Late November","Pampered Menial","Pavlov's Dog",1975-09-08,194293,26,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T10:24:05Z,"progressive rock,art rock","Black Beard Records",0.479,0.777,2,-10.126,0,0.0402,0.0391,0.0000265,0.166,0.685,122.964,4
spotify:track:2EC9IJj7g0mN1Q5VrZkiYY,"Rebel Rebel - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,274746,70,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T10:31:20Z,"glam rock,art rock","Parlophone UK",0.635,0.686,9,-15.648,1,0.053,0.209,0.0176,0.282,0.464,125.988,4
spotify:track:7EGqe1xQ4s2XSoWnpeG8ta,"Crest Of A Wave","Deuce (Remastered 2017)","Rory Gallagher",1971-11-28,351596,37,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T10:34:16Z,"blues rock,blues,modern blues,classic blues","UMC (Universal Music Catalogue)",0.297,0.814,2,-9.626,1,0.048,0.00598,0.0044,0.558,0.531,102.655,4
spotify:track:6TSBIfIbxuPDi1uqMqy1iV,"Wishing Well","Heartbreaker","Free",1973-01-01,220146,51,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T10:40:33Z,"classic rock,blues rock","UMC (Universal Music Catalogue)",0.498,0.72,4,-10.533,0,0.0674,0.14,0.000252,0.38,0.576,121.892,4
spotify:track:2kYNx3wptnHtR1Ub8cdkNn,"Wild One","Fighting","Thin Lizzy",1975-01-01,257786,43,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T10:49:03Z,"classic rock,hard rock","EMI",0.621,0.549,1,-13.32,0,0.0425,0.483,0.177,0.0664,0.674,119.392,4
