Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ilkJUTXjd773UKTo3tZe6,"So Brooklyn","So Brooklyn","Casanova,Fabolous",2019-08-16,227546,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T20:52:56Z,"brooklyn drill","Roc Nation Records",0.559,0.895,11,-4.526,0,0.436,0.0488,0,0.138,0.362,123.14,5
spotify:track:3R9j8urSPiBbapNbyuSYkE,"Grinding All My Life","Victory Lap","Nipsey Hussle",2018-02-16,175040,65,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:02:39Z,"west coast hip hop","Atlantic Records",0.6,0.716,3,-5.554,0,0.384,0.0491,0,0.109,0.246,180.165,4
spotify:track:39xWBHPM4E9MwzEy5gbM7p,"Last Time That I Checc'd (feat. YG)","Victory Lap","Nipsey Hussle,YG",2018-02-16,225573,60,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:03:31Z,"west coast hip hop","Atlantic Records",0.711,0.746,1,-4.224,1,0.253,0.0289,0,0.371,0.279,96.024,4
spotify:track:2wAJTrFhCnQyNSD3oUgTZO,"Work Out","Cole World: The Sideline Story","J. Cole",2011-09-27,235320,80,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:19:30Z,"rap","Roc Nation LLC",0.831,0.427,2,-6.903,1,0.106,0.0531,0,0.307,0.216,93.004,4
spotify:track:0VbjK4mUXj3REfGeIZTPvr,"Over","Over (Explicit Version)","Drake",2010-01-01,234506,44,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:26:47Z,"rap","Aspire Music Group, LLC",0.406,0.86,7,-5.422,1,0.153,0.0124,0,0.15,0.479,102.339,5
spotify:track:4jtyUzZm9WLc2AdaJ1dso7,"0 To 100 / The Catch Up","0 To 100 / The Catch Up","Drake",2013-07-14,275226,68,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:28:18Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.559,0.716,11,-3.964,0,0.39,0.737,0,0.252,0.504,176.618,4
spotify:track:5lFDtgWsjRJu8fPOAyJIAK,"Back To Back","Back To Back","Drake",2015-07-31,170637,66,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:29:34Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.893,0.48,1,-3.728,0,0.356,0.00855,0,0.116,0.382,86.976,4
spotify:track:45dMFo7G7BBOYI6wRYvfAy,"Dreamchasers 2","Dreamchasers 2","Meek Mill",2012-05-07,123293,37,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:35:30Z,"rap","Meek Mill",0.674,0.621,9,-8.239,1,0.276,0.0351,0,0.277,0.38,78.81,4
spotify:track:3dNFEYMFyncHlQgzBShVgK,"Lean Wit It","Dreamchasers 2","Meek Mill",2012-05-07,237920,34,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:36:09Z,"rap","Meek Mill",0.46,0.738,2,-8.225,1,0.323,0.0212,0.00000375,0.187,0.326,168.685,4
spotify:track:3z3kmFOgYKmTZ2HK8OV6vv,"Self Made","Dreamchasers","Meek Mill",2011-08-11,186400,21,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:40:21Z,"rap","Meek Mill",0.355,0.835,1,-4.88,0,0.39,0.0446,0,0.244,0.182,68.252,4
spotify:track:0bp9B38gfKhOxUx1CUu4Ph,"U Don't Know - Slander Remix","Run (Deluxe Edition - Remixes)","Alison Wonderland,Wayne Coyne,SLANDER",2015-10-30,294013,28,false,v828zh1enlyp9vzjlfaj5rzpm,2019-09-16T18:54:23Z,"edm trap,future bass,edm,melodic bass,dubstep","EMI Recorded Music Australia Pty Ltd",0.344,0.679,2,-5.592,0,0.0406,0.133,0.508,0.0564,0.181,163.987,4
spotify:track:42zd6DYQ4o4SECmTITrM1U,"Dreams and Nightmares","Dreams and Nightmares (Deluxe Edition)","Meek Mill",2012-10-26,230693,70,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-19T18:14:31Z,"rap","MMG/Warner Records",0.631,0.774,11,-2.459,1,0.3,0.468,0,0.281,0.44,79.745,4
spotify:track:4QUUmoiuVPfRUrYHfnL5B5,"We Ball","We Ball","Ace Hood",2019-02-27,200376,37,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-15T01:23:24Z,"","Hood Nation / EMPIRE",0.761,0.426,10,-11.968,0,0.334,0.0692,0,0.133,0.141,155.001,4
spotify:track:4bNHovAcLP57rZLkc3gy9Y,"Came Wit the Posse","Trust the Process","Ace Hood",2017-08-21,178055,46,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-15T01:31:06Z,"","Hood Nation",0.953,0.486,5,-7.177,1,0.0859,0.235,0.00000633,0.121,0.701,127.055,3
spotify:track:6h34uraDjPgIpI3pJODJNs,"In My Zone","In My Zone","Bishop Nehru",2019-09-06,238106,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-16T05:57:52Z,"","Nehruvia LLC",0.916,0.627,1,-7.678,1,0.107,0.308,0,0.115,0.387,121.968,4
spotify:track:6LRLG13jtUAKJDOKMoMTZr,"Real Niggas Come First","Dreams and Nightmares (Deluxe Edition)","Meek Mill",2012-10-26,212120,31,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-17T01:43:09Z,"rap","MMG/Warner Records",0.38,0.805,0,-3.167,0,0.218,0.316,0,0.36,0.419,70.875,4
spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,"Bandit (with YoungBoy Never Broke Again)","Bandit (with YoungBoy Never Broke Again)","Juice WRLD,YoungBoy Never Broke Again",2019-10-04,189322,66,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-20T03:44:50Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,4
spotify:track:3RzK8spPyswJ5lrEeiJSEz,"ChopBloc 2 (feat. NLE Choppa)","ChopBloc 2 (feat. NLE Choppa)","BlocBoy JB,NLE Choppa",2019-10-03,182931,35,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-22T19:31:11Z,"","Foundation / ISR PS",0.878,0.555,8,-4.702,1,0.506,0.0506,0,0.102,0.382,142.077,4
spotify:track:5MqPHMhLXyZDDPHMGEF6MQ,"Routine (feat. Rick Ross & Meek Mill)","Wow... That's Crazy","Wale,Meek Mill,Rick Ross",2019-10-11,217060,41,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-28T16:15:34Z,"rap,southern hip hop","MMG/Warner Records",0.74,0.712,9,-7.188,1,0.415,0.0796,0,0.491,0.652,146.315,4
spotify:track:74v6wARdz8PGlBxjM2WqyG,"Like A Soccer Mom","Slaps For My Drop-Top Mini-Van","Ski Mask The Slump God",2017-01-01,109818,32,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-29T19:26:46Z,"","Ski Mask The Slump God",0.78,0.654,10,-7.641,0,0.076,0.112,0,0.12,0.713,140.007,4
spotify:track:73Y1xzpGxg1Wic4wqr3ZUa,"But I Still Respect Women","But I Still Respect Women","Smokepurpp",2018-12-14,112941,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-06T21:02:40Z,"","Alamo Records / Interscope",0.808,0.543,2,-8.498,0,0.222,0.386,0,0.118,0.304,76.495,4
spotify:track:2WB4Iip3WXoQPt940zkAAj,"Boomin","Fetty Wap (Deluxe)","Fetty Wap",2015-09-25,195186,36,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-09T18:29:01Z,"","300 Entertainment/RGF Productions",0.769,0.895,2,-3.13,0,0.216,0.00776,0,0.227,0.579,142.091,4
spotify:track:1zIb1bYJAo1UdR2Xf4oESb,"Exotic","Harder Than Ever","Lil Baby,Starlito",2018-05-18,162229,57,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-09T18:47:52Z,"southern hip hop","Quality Control Music, LLC",0.807,0.687,11,-4.349,1,0.109,0.000852,0,0.0554,0.184,130.073,4
spotify:track:4voDl84hImSNrFKe7wmXKj,"Everyday","Survival","Dave East,Gunna",2019-11-08,201320,33,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-12T19:25:31Z,"melodic rap","Def Jam Recordings",0.75,0.81,0,-6.702,1,0.226,0.0971,0,0.187,0.939,148.19,4
spotify:track:32E3IS0JLjsdttswvRgoPR,"Kd","Hate Me Now","Dave East",2015-10-02,197000,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-12T19:27:23Z,"","Mass Appeal Records",0.496,0.766,9,-3.026,1,0.376,0.108,0,0.288,0.124,74.201,4
spotify:track:79s5XnCN4TJKTVMSmOx8Ep,"Dior","Meet The Woo","Pop Smoke",2019-07-26,216386,76,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-18T23:12:39Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide/Republic Records",0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,4
spotify:track:0ARVztksKgBK3yGUDw9NO1,"Cannon Remix (feat. Lil' Wayne Willie the Kid Freeway & T.I.)","Gangsta Grillz The Album","DJ Drama,Lil Wayne,Willie The Kid,Freeway,T.I.",2007-12-03,288053,46,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-23T16:35:32Z,"southern hip hop,rap,hip hop,underground hip hop,boom bap,east coast hip hop","Grand Hustle/Atlantic",0.424,0.847,1,-7.777,0,0.474,0.198,0,0.237,0.607,79.882,4
spotify:track:1Yl4UBgyoHPgyne7rEsFZp,"Dollar And A Dream III","Cole World: The Sideline Story","J. Cole",2011-09-27,283066,49,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-03T19:27:15Z,"rap","Roc Nation LLC",0.42,0.726,3,-7.113,0,0.415,0.516,0,0.0907,0.316,76.585,4
spotify:track:722tgOgdIbNe3BEyLnejw4,"Black Skinhead","Yeezus","Kanye West",2013-06-18,188013,71,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-09T19:02:58Z,"rap","Rock The World/IDJ/Kanye/LP6",0.766,0.809,1,-6.123,1,0.279,0.0011,0,0.168,0.325,130.127,4
spotify:track:5zH710lFSLtkHbMkslLDjR,"Crazy On You","Dreamboat Annie","Heart",1975,293440,70,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-22T23:16:35Z,"classic rock,aor,rock","Capitol Records",0.435,0.459,9,-12.442,0,0.0329,0.117,0.000103,0.132,0.383,129.929,4
spotify:track:46a59ZT7JG0i3tJNaQmPom,"Ain't No Sunshine - Lido Remix","Ain't No Sunshine (Lido Remix)","Bill Withers,Lido",2015-05-26,186413,45,false,v828zh1enlyp9vzjlfaj5rzpm,2020-01-11T18:05:06Z,"soul,classic soul,motown","Ultra Records, LLC",0.647,0.756,9,-7.594,0,0.381,0.0517,0.00325,0.179,0.533,74.979,4
spotify:track:1tv6IvWoOilhj0XbBoVVMo,"Burn (feat. Big Sean)","Dreams and Nightmares (Deluxe Edition)","Meek Mill,Big Sean",2012-10-26,216666,44,true,v828zh1enlyp9vzjlfaj5rzpm,2020-01-12T17:56:19Z,"rap","MMG/Warner Records",0.67,0.895,2,-1.438,1,0.349,0.327,0,0.269,0.622,111.389,5
spotify:track:2ECapVMB4Dwin4Y9DGSZuA,"If I Can't","If I Can't","50 Cent",2004-09-16,198400,32,true,v828zh1enlyp9vzjlfaj5rzpm,2020-01-17T16:28:25Z,"east coast hip hop,old school hip hop","Eminem Catalog PS",0.883,0.633,11,-2.518,0,0.295,0.267,0,0.0237,0.851,93.962,4
