Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0VgkVdmE4gld66l8iyGjgx,"Mask Off","FUTURE","Future",2017-06-30,204600,81,true,,2020-11-27T12:32:47Z,"rap","Epic/Freebandz/A1",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4
spotify:track:6Nle9hKrkL1wQpwNfEkxjh,"Chanel","Chanel","Frank Ocean",2017-03-10,210285,76,true,,2020-11-27T12:32:47Z,"","Blonded",0.776,0.503,0,-5.732,0,0.237,0.874,0,0.112,0.473,110.134,4
spotify:track:14PWHDV87nXiSuClZDsEYC,"Richard Millie Plain","Drip or Drown 2","Gunna",2019-02-22,200134,59,true,,2020-11-27T12:32:47Z,"melodic rap","300 Entertainment",0.744,0.674,1,-7.518,0,0.0641,0.356,0,0.128,0.316,134.021,4
spotify:track:3B54sVLJ402zGa6Xm4YGNe,"Unforgettable","Jungle Rules","French Montana,Swae Lee",2017-07-14,233901,84,true,,2020-11-27T12:32:47Z,"","Bad Boy Entertainment/Epic Records",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
spotify:track:0c7K73roy6RW4ebDkf4yGh,"VALENTINO","VALENTINO","24kGoldn",2019-01-25,179133,49,true,,2020-11-27T12:32:47Z,"","Records/Columbia",0.744,0.718,9,-4.853,0,0.181,0.197,0,0.134,0.549,151.098,4
spotify:track:5RqR4ZCCKJDcBLIn4sih9l,"Party Girl","Party Girl","StaySolidRocky",2020-04-21,147800,68,true,,2020-11-27T12:32:47Z,"","Columbia",0.728,0.431,6,-9.966,0,0.0622,0.749,0,0.0996,0.629,130.022,4
spotify:track:1bGlwUfy2eORtmbGTpsY9b,"Bands","QUINCHO","Quin Nfn",2020-03-27,108169,0,true,,2020-11-27T12:32:47Z,"","TenThousand Projects, LLC",0.767,0.773,9,-6.198,1,0.307,0.045,0,0.208,0.106,141.882,4
spotify:track:6vN77lE9LK6HP2DewaN6HZ,"Yes Indeed","Harder Than Ever","Lil Baby,Drake",2018-05-18,142273,76,true,,2020-11-27T12:32:47Z,"rap","Quality Control Music, LLC",0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957,4
spotify:track:3XiNC94b4Tq1xwv70sQJGN,"Sanguine Paradise","Sanguine Paradise","Lil Uzi Vert",2019-04-09,243976,71,true,,2020-11-27T12:32:47Z,"melodic rap","Generation Now/Atlantic",0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,4
spotify:track:0b6wdul3A5sQNpIOv03OxP,"Ocean Drive","Ocean Drive","Duke Dumont",2015-07-31,206320,68,false,,2020-11-27T12:32:47Z,"house","EMI",0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,4
spotify:track:7FOJvA3PxiIU0DN3JjQ7jT,"Power Trip (feat. Miguel)","Born Sinner","J. Cole,Miguel",2013-06-14,241160,1,true,,2020-11-27T12:32:47Z,"rap,r&b","Roc Nation/Columbia",0.667,0.61,1,-7.054,1,0.217,0.322,0.000203,0.426,0.465,99.991,4
spotify:track:73Y1xzpGxg1Wic4wqr3ZUa,"But I Still Respect Women","But I Still Respect Women","Smokepurpp",2018-12-14,112941,0,true,,2020-11-27T12:32:47Z,"","Alamo Records / Interscope",0.808,0.543,2,-8.498,0,0.222,0.386,0,0.118,0.304,76.495,4
spotify:track:4YhJ3a6kBPGJWX4Ek77sDd,"TOP FLOOR (feat. Travis Scott)","WUNNA","Gunna,Travis Scott",2020-05-22,169906,70,true,,2020-11-27T12:32:47Z,"melodic rap,rap","300 Entertainment",0.823,0.504,8,-8.65,0,0.16,0.206,0,0.417,0.481,112.985,4
spotify:track:7hav1MHURQf5SAoPk0egqh,"Baby Pluto","Eternal Atake","Lil Uzi Vert",2020-03-06,210261,64,true,,2020-11-27T12:32:47Z,"melodic rap","Generation Now/Atlantic",0.772,0.634,10,-6.101,0,0.212,0.135,0,0.432,0.671,160.052,4
spotify:track:2xv48INYWXzGfcHRUxekM9,"Westside","Lil Boat 3","Lil Yachty",2020-05-29,151431,35,true,,2020-11-27T12:32:47Z,"","Quality Control Music/Motown Records",0.916,0.704,6,-4.065,0,0.235,0.0302,0,0.11,0.812,145.981,4
spotify:track:4DkZDzcHicZBXCEdA19oWs,"Big Drip","Pain and Love - EP","Fivio Foreign",2019-11-13,168306,37,true,,2020-11-27T12:32:47Z,"brooklyn drill,new york drill,drill,uk drill","RichFish/Columbia",0.814,0.661,0,-6.453,1,0.356,0.186,0,0.163,0.474,139.956,4
spotify:track:4S4Mfvv03M1cHgIOJcbUCL,"In My Room","In My Room","Frank Ocean",2019-11-02,133680,69,true,,2020-11-27T12:32:47Z,"","Blonded",0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,4
spotify:track:0AphwbfFSlGgGDlXGeiEpu,"Bands","Bawskee","Comethazine",2018-08-24,98734,0,true,,2020-11-27T12:32:47Z,"","Alamo Records",0.834,0.457,10,-10.775,1,0.572,0.21,0,0.0641,0.533,158.008,4
spotify:track:7rvyVWja33WG9R97oeJAjx,"Envy Me","Wildboy","Calboy",2019-05-31,120133,61,true,,2020-11-27T12:32:47Z,"melodic rap","Polo Grounds Music/RCA Records",0.74,0.488,1,-7.664,0,0.27,0.234,0,0.241,0.584,149.042,4
spotify:track:03o9Cj2S5T56GeV9SeZNt0,"DO BETTER","WUNNA","Gunna",2020-05-22,152386,59,true,,2020-11-27T12:32:47Z,"melodic rap","300 Entertainment",0.833,0.456,1,-11.54,0,0.0582,0.134,0,0.22,0.624,120.06,4
spotify:track:2DnyKpPcFpC460wLJeGzOs,"23 Island","Misunderstood","JayDaYoungan",2019-10-11,243246,68,true,,2020-11-27T12:32:47Z,"melodic rap","Atlantic Records",0.804,0.383,7,-10.984,1,0.354,0.563,0,0.238,0.455,118.009,4
spotify:track:3wxMOkWUa1c2jVr3QYtSiN,"Ride the Wave","Long Live Mexico","Lil Keed",2019-06-14,164706,36,true,,2020-11-27T12:32:47Z,"melodic rap","300 Entertainment",0.85,0.361,4,-9.442,0,0.376,0.0168,0,0.191,0.214,139.967,4
spotify:track:4cVjz1G6FYEZgAIEAqyoz8,"Keep Talkin","Keep Talkin","King Staccz",2019-01-08,127921,23,true,,2020-11-27T12:32:47Z,"","King Staccz",0.791,0.555,2,-12.059,1,0.598,0.104,0,0.291,0.774,158.132,4
spotify:track:466cKvZn1j45IpxDdYZqdA,"Toosie Slide","Dark Lane Demo Tapes","Drake",2020-05-01,247058,69,true,,2020-11-27T12:32:47Z,"rap","OVO",0.83,0.49,1,-8.82,0,0.209,0.289,0.00000304,0.113,0.845,81.604,4
spotify:track:5OYYacWV45MGBnFakswH5d,"Audi II","Audi II","Smokepurpp",2019-12-06,164638,0,true,,2020-11-27T12:32:47Z,"","Alamo Records/Interscope Records",0.789,0.576,10,-6.799,0,0.435,0.0382,0,0.136,0.423,139.964,4
spotify:track:5mhhIHsPJGqBMTRiFOtHDF,"Venetia","Eternal Atake (Deluxe) - LUV vs. The World 2","Lil Uzi Vert",2020-03-13,188800,47,true,,2020-11-27T12:32:47Z,"melodic rap","Generation Now/Atlantic",0.775,0.757,9,-4.139,1,0.175,0.162,0,0.148,0.562,142.933,4
spotify:track:57crda5Lx9OVaYCzb4Wrnd,"CAN'T STOP","BLAME IT ON BABY","DaBaby",2020-04-17,168373,38,true,,2020-11-27T12:32:47Z,"","South Coast Music Group/Interscope Records",0.732,0.707,11,-5.849,0,0.304,0.0348,0,0.399,0.832,140.04,4
spotify:track:6ZhUSJUTNbCmvbbgwjhwGy,"Anybody (feat. Lil Duke & Gunna)","Long Live Mexico","Lil Keed,Lil Duke,Gunna",2019-06-14,256626,41,true,,2020-11-27T12:32:47Z,"melodic rap","300 Entertainment",0.921,0.501,4,-7.446,0,0.366,0.102,0,0.115,0.241,119.935,4
spotify:track:7DadISanumr7RMy1A7SW7Q,"Florida Jit","Florida Jit","Smokepurpp,RONNY J",2020-06-19,80615,0,true,,2020-11-27T12:32:47Z,"argentine trap","Alamo (Geffen Records)",0.795,0.623,10,-6.822,0,0.0616,0.0574,0.0000509,0.149,0.21,85.044,4
spotify:track:7sjFIZ1g5QLJLGja3k592K,"44 BullDog","Shoot For The Stars Aim For The Moon","Pop Smoke",2020-07-03,150857,56,true,,2020-11-27T12:32:47Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.8,0.564,8,-5.817,1,0.4,0.0287,0.00000165,0.112,0.318,139.989,4
spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,"Life Is Good (feat. Drake)","Life Is Good (feat. Drake)","Future,Drake",2020-01-10,237735,72,true,,2020-11-27T12:32:47Z,"rap","Epic/Freebandz",0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,4
spotify:track:4YcWzLSnGqLjSCycuSMHnn,"Prices","Eternal Atake","Lil Uzi Vert,WanMor",2020-03-06,233333,62,true,,2020-11-27T12:32:47Z,"melodic rap","Generation Now/Atlantic",0.786,0.683,7,-5.397,1,0.205,0.173,0,0.706,0.57,126.002,4
spotify:track:0ytvsZOerGzUWfHXVT2Sgy,"Eternal Youth","Eternal Youth","RŮDE",2017-08-07,205766,61,false,,2020-11-27T12:32:47Z,"lo-fi","Chill Squad",0.655,0.487,6,-7.988,1,0.033,0.0347,0.897,0.271,0.0454,139.914,4
spotify:track:6FrKOgFStS9YiAdabGNIOS,"Big Rocks","Big Rocks","Melvoni",2019-10-04,177998,21,true,,2020-11-27T12:32:47Z,"new york drill","Apm The Label",0.842,0.399,2,-9.992,1,0.219,0.0171,0,0.331,0.255,115.964,4
spotify:track:4loM16743hROPC6uIJG6wM,"MET GALA","WUNNA","Gunna",2020-05-22,149133,67,true,,2020-11-27T12:32:47Z,"melodic rap","300 Entertainment",0.873,0.577,1,-9.151,1,0.271,0.353,0,0.111,0.956,117.089,4
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,"The Box","Please Excuse Me for Being Antisocial","Roddy Ricch",2019-12-06,196652,81,true,,2020-11-27T12:32:47Z,"melodic rap","Atlantic Records",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4
spotify:track:2ZrAjMSmlbDIil0JaVgTHh,"Broke In A Minute","Broke In A Minute","Tory Lanez",2020-02-07,132023,0,true,,2020-11-27T12:32:47Z,"","Interscope Records",0.929,0.7,0,-5.595,0,0.0906,0.144,0,0.349,0.802,120.009,4
spotify:track:36LdLA4ZA0p5bO5bB18Fai,"Yesterday","Yesterday","Rylo Rodriguez",2020-01-09,209208,0,true,,2020-11-27T12:32:47Z,"","Four Pockets Full",0.851,0.489,9,-8.281,1,0.401,0.279,0,0.11,0.537,118.1,4
spotify:track:7tGlzXJv6GD5e5qlu5YmDg,"Love Me","I Am Not A Human Being II (Deluxe)","Lil Wayne,Drake,Future",2013-01-01,253440,2,true,,2020-11-27T12:32:47Z,"rap,hip hop","CM/Republic",0.674,0.608,8,-6.628,0,0.0334,0.0119,0,0.103,0.464,124.952,4
