Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3lu9rsd5g0ZrwSm6ByqCfm,"Eyes Wide Shut","Ultra Despair Girl","NESYA,Gardial,Artie Trasshko",2024-05-17,193941,24,false,,2025-08-31T16:47:50Z,"darkwave","Boom.Records",0.574,0.895,9,-7.572,1,0.0285,0.00795,0.0000765,0.111,0.575,120.003,4
spotify:track:0uMZbmAAgOhdMrv25iPEH6,"Goth","White Light","Sidewalks and Skeletons",2015-03-05,207120,76,false,,2025-08-31T16:33:43Z,"witch house,darkwave","Sidewalks and Skeletons",0.558,0.697,1,-9.171,1,0.0325,0.00339,0.585,0.1,0.172,115.024,4
spotify:track:64kEBCPbeV06af3omyh1Ju,"Just for Now","Speak for Yourself (Deluxe Version)","Imogen Heap",2005,180303,70,false,,2025-08-31T16:32:40Z,"","Megaphonic",0.45,0.376,3,-9.139,1,0.0286,0.82,0.00000174,0.123,0.465,149.918,4
spotify:track:0InIeZW4P6VO7dUGRM4AKH,"Sienna","Submarine","The Marías",2024-05-31,224840,84,false,,2025-08-31T16:26:37Z,"bedroom pop","Nice Life/Atlantic",0.685,0.468,7,-9.405,1,0.031,0.583,0.57,0.159,0.594,147.993,4
spotify:track:43oBNdp6W1Z9YDu1svX1hl,"3am","Rockstar Junkie","Loe Shimmy,Don Toliver",2025-07-18,136127,71,true,,2025-08-31T16:23:42Z,"sexy drill","Rebel/gamma.",0.74,0.482,10,-7.131,0,0.34,0.236,0,0.112,0.118,127.049,4
spotify:track:3siwsiaEoU4Kuuc9WKMUy5,"No One Noticed","Submarine","The Marías",2024-05-31,236906,89,false,,2025-08-31T16:17:24Z,"bedroom pop","Nice Life/Atlantic",0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4
spotify:track:63WM8lxE32ioMMtbA3xliD,"Where It Goes","Ultra Despair Girl","NESYA",2024-05-17,162491,31,false,,2025-08-31T16:14:06Z,"darkwave","Boom.Records",0.565,0.926,2,-5.654,1,0.0307,0.000942,0.00504,0.0997,0.393,94.988,4
spotify:track:2dVmZ5FPuBsZY8XwK7CRSc,"ALICE.","when angels cry","jev.",2024-06-14,179366,64,true,,2025-08-31T16:08:37Z,"jazz rap","LONER inc.",0.647,0.729,1,-7.777,1,0.331,0.254,0.0000055,0.355,0.4,94.443,4
spotify:track:2VtXANhW6YpAzsMDQCFkAv,"Your face","Pandora","Wisp",2024-04-05,229728,75,false,,2025-08-31T07:33:34Z,"shoegaze","Music Soup/Interscope Records",0.512,0.77,4,-5.932,1,0.0284,0.00499,0.888,0.174,0.178,134.053,4
spotify:track:5dXED6MP1v1qghkaniirb1,"You Can Do Magic","View From The Ground","America",1982-01-01,237466,69,false,,2025-08-31T07:29:16Z,"yacht rock,soft rock,folk rock","Capitol Records",0.859,0.568,4,-12.516,0,0.0387,0.29,0,0.31,0.936,129.72,4
spotify:track:7ziYzhR5nL81mx1dEUmXEW,"Voy Pa 'lla","La Chupadera","Anthony Santos",2005-11-22,221000,44,false,,2025-08-30T20:07:03Z,"bachata,merengue","PLATANO RECORDS",0.826,0.571,0,-5.982,1,0.0512,0.0349,0,0.0772,0.798,135.375,4
spotify:track:4NfwBgmzmzx8WpyIy9C6p7,"Que Vuelva","Medicina De Amor","Raulin Rodriguez",1994-11-08,391466,54,false,,2025-08-30T18:52:48Z,"bachata,merengue","PLATANO RECORDS",0.772,0.598,0,-7.355,0,0.0414,0.601,0.00712,0.123,0.862,140.92,4
spotify:track:666tHAZqomBLhWPTYFi2XD,"Look What That Woman Has Done","Look What That Woman Has Done","Walter The Producer",2025-08-29,111176,34,false,,2025-08-30T06:54:19Z,"","Walter The Producer's Label",0.723,0.924,4,-7.139,0,0.0297,0.0139,0.00149,0.323,0.856,121.964,4
spotify:track:30jEnUWPJIt6zh25s2Kbh0,"Little Green Apples - Single Version","A Tender Look At Love","Roger Miller",1968-06-01,156960,45,false,,2025-08-25T04:09:41Z,"classic country","Mercury Nashville",0.507,0.18,0,-18.607,1,0.0529,0.867,0.037,0.13,0.42,102.275,4
spotify:track:3zqH1uR85lHmf5YIyhPFuV,"don't waste your breath","don't waste your breath","NESYA",2024-08-16,157544,44,false,,2025-08-25T04:00:23Z,"darkwave","UnhappyHappyPlace",0.627,0.666,6,-7.578,1,0.036,0.0114,0.518,0.176,0.845,94.988,4
spotify:track:3HvBuEmvCqRrF0swwY7BKg,"No One Noticed","No One Noticed","The Marías",2024-05-31,236906,61,false,,2025-08-24T05:37:29Z,"bedroom pop","Nice Life/Atlantic",0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4
spotify:track:6sTnyAm9qGBzDhMGkh8ICz,"DROP #jerseyclub","DROP #jerseyclub","Prod.CeeJay,Bronya",2025-04-25,128003,39,false,,2025-08-22T00:54:02Z,"jersey club","5751789 Records DK2",0.843,0.382,0,-7.994,0,0.344,0.145,0.897,0.152,0.516,82.531,4
spotify:track:2bcoefFvjSgbq7IPBEVLNt,"Intro","Tha Carter IV (Complete Edition)","Lil Wayne",2011-08-29,172053,43,true,,2025-08-21T15:06:58Z,"rap,hip hop","CM/Republic",0.623,0.81,8,-5.985,1,0.206,0.0018,0,0.149,0.413,130.91,4
spotify:track:0dpok9LbD1eATa5XPMardF,"John","Tha Carter IV (Complete Edition)","Lil Wayne,Rick Ross",2011-08-29,286973,59,true,,2025-08-21T15:01:07Z,"rap,hip hop,southern hip hop","CM/Republic",0.59,0.819,11,-4.472,1,0.111,0.0144,0,0.112,0.423,77.516,4
spotify:track:1taGiVxLW3rzZ0T5TyUrws,"Interlude","Tha Carter IV (Complete Edition)","Lil Wayne,Tech N9ne",2011-08-29,121226,46,true,,2025-08-21T14:59:15Z,"rap,hip hop,horrorcore","CM/Republic",0.665,0.905,10,-4.231,0,0.267,0.0197,0,0.209,0.532,130.864,4
spotify:track:5hUYsaOyMY32yjRXeuQwGj,"Mirror","Tha Carter IV (Complete Edition)","Lil Wayne,Bruno Mars",2011-08-29,228093,75,true,,2025-08-21T14:58:14Z,"rap,hip hop","CM/Republic",0.328,0.622,5,-7.291,0,0.0866,0.858,0,0.104,0.401,74.267,4
spotify:track:2qfhmUBsKt9e9bxBVOEANF,"I Like The View","Tha Carter IV (Complete Edition)","Lil Wayne",2011-08-29,281266,46,true,,2025-08-21T14:54:41Z,"rap,hip hop","CM/Republic",0.501,0.856,4,-5.922,0,0.147,0.00307,0.00000162,0.145,0.373,96.287,5
spotify:track:0nDCgWmID4UcKJQ4muVPen,"Outro","Tha Carter IV (Complete Edition)","Lil Wayne,Bun B,Nas,Shyne,Busta Rhymes",2011-08-29,232666,44,true,,2025-08-21T14:49:25Z,"rap,hip hop,southern hip hop,east coast hip hop,old school hip hop","CM/Republic",0.734,0.864,10,-4.841,0,0.141,0.0556,0,0.305,0.652,131.146,4
spotify:track:0FEZedp3QtZK11jcphYQ4y,"It's Good","Tha Carter IV (Complete Edition)","Lil Wayne,Drake,Jadakiss",2011-08-29,241466,49,true,,2025-08-21T14:44:42Z,"rap,hip hop,east coast hip hop","CM/Republic",0.665,0.714,8,-7.292,1,0.158,0.0246,0,0.119,0.0999,85.368,5
spotify:track:15WOWZpw9YnE4RQQnXHQqW,"President Carter","Tha Carter IV (Complete Edition)","Lil Wayne",2011-08-29,255373,56,true,,2025-08-21T14:40:49Z,"rap,hip hop","CM/Republic",0.671,0.618,2,-7.495,0,0.191,0.69,0.00815,0.127,0.468,79.799,4
spotify:track:0o6WbmrUbv1Ta40YFfNKS9,"ILY (iloveyou) #jerseyclub","BeforeTheShow","sjmadeit",2025-08-15,144000,59,false,,2025-08-21T13:59:58Z,"jersey club","Nowhere Alone",0.602,0.415,2,-12.847,1,0.115,0.278,0.254,0.117,0.0936,159.99,4
spotify:track:259op6g3A12uwePehZntdk,"Paper Machine","BGM","藤丸バンド,芳野藤丸",1977-06-21,149200,52,false,,2025-08-21T06:16:11Z,"jazz fusion,city pop","KING RECORDS",0.626,0.462,10,-11.28,1,0.0559,0.156,0.851,0.176,0.615,146.164,4
spotify:track:1V4yGfKxloEPfQsD11b8xR,"NAGISA MODERATO","THE MAN WITH THE GUITAR -recorded at LIVETERIA-","Masayoshi Takanaka",2001,371800,30,false,,2025-08-21T06:07:52Z,"jazz fusion,city pop,jazz funk","Sony Music Direct (Japan) Inc.",0.627,0.791,6,-6.093,0,0.0319,0.116,0.231,0.0699,0.69,98.018,4
spotify:track:2gK90iDN9ggQoECv4494mb,"The Jody Grind","The Jody Grind","Horace Silver",1991-01-01,350026,32,false,,2025-08-21T01:51:33Z,"hard bop,jazz,bebop,cool jazz,soul jazz","Blue Note Records",0.531,0.579,5,-9.216,0,0.0339,0.667,0.0000275,0.116,0.536,154.341,4
spotify:track:0wegLTw4radMpYyw28dIVQ,"Johnny's Blue","Like Someone In Love","Art Blakey & The Jazz Messengers",1967-08-01,552000,26,false,,2025-08-21T01:50:48Z,"hard bop,jazz,bebop,cool jazz","Blue Note Records",0.495,0.445,5,-11.374,0,0.15,0.725,0.0386,0.135,0.684,174.875,4
spotify:track:0EjtZmOLT6WLShJRHCFWVU,"Tapestry from an Asteroid","We Travel the Spaceways","Sun Ra",2014-04-28,127398,42,false,,2025-08-21T01:49:13Z,"free jazz,jazz,avant-garde,hard bop","Enterplanetary Koncepts",0.373,0.108,8,-16.105,1,0.0286,0.668,0.756,0.168,0.354,72.118,4
spotify:track:0f6Fb3g0DRpCIbhljotYwO,"Windows","Now He Sings Now He Sobs (Expanded Edition)","Chick Corea",1968-12-01,192106,49,false,,2025-08-21T01:47:56Z,"jazz fusion,jazz,latin jazz,free jazz","Blue Note Records",0.471,0.446,8,-12.842,0,0.0315,0.705,0.441,0.18,0.488,107.248,1
spotify:track:3vwLF3EZd4LqUqZe8K1C0c,"Laird Baird","Now’s The Time: The Genius Of Charlie Parker #3","Charlie Parker Quartet",1952-12-12,166506,43,false,,2025-08-21T01:47:38Z,"bebop,jazz,jazz blues,hard bop","Verve Reissues",0.553,0.261,0,-13.245,0,0.058,0.782,0.0239,0.182,0.556,79.872,4
