Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0wVluBsVAVzBKrqspuCcwR,"Check Yes Juliet","We The Kings","We The Kings",2007-10-07,220146,5,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:10:36Z,"pop punk","S-Curve Records",0.352,0.912,7,-4.253,1,0.0725,0.00197,0,0.193,0.351,166.795,4
spotify:track:5wQnmLuC1W7ATsArWACrgW,"Welcome to the Black Parade","The Black Parade","My Chemical Romance",2006-10-20,311106,80,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:10:44Z,"emo,pop punk","Reprise",0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,4
spotify:track:2TfSHkHiFO4gRztVIkggkE,"Sugar We're Goin Down","From Under The Cork Tree","Fall Out Boy",2005-05-03,229093,78,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:10:50Z,"emo,pop punk","Island Records",0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,4
spotify:track:5lDriBxJd22IhOH9zTcFrV,"Dirty Little Secret","Move Along","The All-American Rejects",2005-01-01,193653,74,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:11:08Z,"pop punk,emo","Interscope",0.465,0.954,10,-4.251,1,0.044,0.000346,0.00000538,0.573,0.458,143.85,4
spotify:track:4bPQs0PHn4xbipzdPfn6du,"I Write Sins Not Tragedies","A Fever You Can't Sweat Out","Panic! At The Disco",2005-09-27,186634,74,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:12:25Z,"emo","Decaydance Records / Fueled By Ramen",0.569,0.83,9,-4.106,0,0.14,0.0807,0,0.114,0.609,170.094,4
spotify:track:6GG73Jik4jUlQCkKg9JuGO,"The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,81,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:12:32Z,"emo,pop punk","Interscope",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
spotify:track:003FTlCpBTM4eSqYSWPv4H,"Swing Swing","The All-American Rejects","The All-American Rejects",2002-10-15,233266,69,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:15:28Z,"pop punk,emo","Interscope",0.553,0.717,7,-5.857,1,0.0318,0.0000648,0.128,0.0385,0.318,127.947,4
spotify:track:1Rb2wHDDtNfLZwboO3UEQ4,"Absolutely (Story of a Girl)","Snapshots","Nine Days",2016-07-08,190758,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:15:56Z,"","Madding Music",0.504,0.948,7,-3.285,1,0.0962,0.00458,0,0.135,0.674,97.015,4
spotify:track:0a7BloCiNzLDD9qSQHh5m7,"Dance Dance","From Under The Cork Tree","Fall Out Boy",2005-05-03,180266,77,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:20:01Z,"emo,pop punk","Island Records",0.621,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.451,4
spotify:track:0BRHnOFm6sjxN1i9LJrUDu,"The Anthem","The Young and The Hopeless","Good Charlotte",2002-10-04,175093,74,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:21:37Z,"pop punk,punk,emo","Epic/Daylight",0.494,0.939,1,-3.127,1,0.126,0.00666,0,0.139,0.893,177.751,4
spotify:track:0uukw2CgEIApv4IWAjXrBC,"Dead!","The Black Parade","My Chemical Romance",2006-10-20,195520,70,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T01:26:55Z,"emo,pop punk","Reprise",0.481,0.973,7,-1.945,1,0.0542,0.0037,0.000877,0.325,0.362,99.331,4
spotify:track:6ihL9TjfRjadfEePzXXyVF,"Gives You Hell","When The World Comes Down","The All-American Rejects",2008-01-01,213106,74,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T15:05:48Z,"pop punk,emo","Interscope",0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,4
spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,"Everlong","The Colour And The Shape","Foo Fighters",1997-05-20,250546,83,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T16:55:28Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.413,0.881,11,-5.541,0,0.0367,0.0000599,0.000308,0.0805,0.364,158.066,4
spotify:track:7x8dCjCr0x6x2lXKujYD34,"The Pretender","Echoes Silence Patience & Grace","Foo Fighters",2007-09-25,269373,78,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T16:58:00Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.433,0.959,9,-4.04,1,0.0431,0.000917,0,0.028,0.365,172.984,4
spotify:track:5OQsiBsky2k2kDKy2bX2eT,"Learn to Fly","There Is Nothing Left To Lose","Foo Fighters",1999-11-02,235293,76,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T16:59:42Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.465,0.919,4,-4.025,1,0.0408,0.0000183,0.0000207,0.262,0.537,135.997,4
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,88,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T16:59:47Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
spotify:track:18lR4BzEs7e3qzc0KVkTpU,"What I've Done","Minutes to Midnight","Linkin Park",2007-05-14,205226,84,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T16:59:52Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.627,0.935,5,-4.882,1,0.0324,0.0092,0,0.147,0.287,120.092,4
spotify:track:2nLtzopw4rPReszdYBJU6h,"Numb","Meteora","Linkin Park",2003-03-25,187520,87,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-10T16:59:55Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
spotify:track:1hIupFeRu3nmMcjbjxPnMc,"I'm Just A Kid","No Pads No Helmets...Just Balls","Simple Plan",2002-03-19,198333,1,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T16:15:27Z,"pop punk,punk,emo","Lava",0.527,0.834,1,-5.531,1,0.0447,0.00107,0.000102,0.0993,0.422,110.065,4
spotify:track:2l57cfmCnOkwNX1tky02n1,"Move Along","Move Along","The All-American Rejects",2005-01-01,238880,72,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-25T15:14:17Z,"pop punk,emo","Interscope",0.518,0.916,3,-3.858,1,0.0454,0.000148,0,0.291,0.646,109.864,4
spotify:track:38YgZVHPWOWsKrsCXz6JyP,"Come On Get Higher","Some Mad Hope","Matt Nathanson",2007-01-01,215173,64,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-09T22:54:59Z,"","Vanguard Records",0.672,0.623,9,-5.699,1,0.0297,0.241,0,0.0848,0.617,92.018,4
spotify:track:5oQcOu1omDykbIPSdSQQNJ,"1985","A Hangover You Don't Deserve","Bowling For Soup",2004,193000,73,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-18T15:49:08Z,"pop punk,punk","Jive",0.606,0.887,4,-4.404,1,0.0598,0.000242,0,0.337,0.903,119.974,4
spotify:track:7j31rVgGX9Q2blT92VBEA0,"Teenagers","The Black Parade","My Chemical Romance",2006-10-20,161920,81,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-18T15:52:36Z,"emo,pop punk","Reprise",0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,4
spotify:track:0MsrWnxQZxPAcov7c74sSo,"Holiday / Boulevard of Broken Dreams","American Idiot","Green Day",2004-09-21,493400,72,true,v828zh1enlyp9vzjlfaj5rzpm,2021-04-19T03:47:20Z,"punk,pop punk","Reprise",0.29,0.827,8,-3.451,1,0.0362,0.000659,0.00000255,0.301,0.45,167.086,4
spotify:track:27L8sESb3KR79asDUBu8nW,"Stacy's Mom","Welcome Interstate Managers","Fountains Of Wayne",2003-01-01,197986,75,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-19T03:47:33Z,"power pop","S-Curve Records",0.774,0.75,11,-4.927,0,0.0412,0.00207,0.0000178,0.0808,0.927,118.015,4
spotify:track:0JJP0IS4w0fJx01EcrfkDe,"Dear Maria Count Me In","So Wrong It's Right","All Time Low",2007-09-25,182826,79,false,v828zh1enlyp9vzjlfaj5rzpm,2021-04-30T16:32:37Z,"pop punk,emo,punk","Hopeless Records",0.459,0.895,2,-3.126,1,0.0805,0.00725,0,0.206,0.572,181.04,4
spotify:track:2z4U9d5OAA4YLNXoCgioxo,"What the Hell","Goodbye Lullaby (Expanded Edition)","Avril Lavigne",2011-03-08,220706,76,false,v828zh1enlyp9vzjlfaj5rzpm,2021-05-11T05:46:00Z,"","Epic",0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,4
spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,"Complicated","Let Go","Avril Lavigne",2002-06-04,244506,83,false,v828zh1enlyp9vzjlfaj5rzpm,2021-05-11T17:22:54Z,"","Arista",0.585,0.776,5,-5.898,1,0.0459,0.0572,0.00000774,0.3,0.427,77.987,4
spotify:track:6ZOBP3NvffbU4SZcrnt1k6,"Kryptonite","The Better Life","3 Doors Down",2000,233933,81,false,v828zh1enlyp9vzjlfaj5rzpm,2021-05-13T00:54:42Z,"post-grunge","Universal Records",0.545,0.865,11,-5.708,0,0.0286,0.00664,0.000011,0.168,0.543,99.005,4
spotify:track:3xrn9i8zhNZsTtcoWgQEAd,"Since U Been Gone","Breakaway","Kelly Clarkson",2004-01-17,188960,76,false,v828zh1enlyp9vzjlfaj5rzpm,2021-05-13T20:18:50Z,"christmas","RCA Records Label",0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131,4
spotify:track:1LkoYGxmYpO6QSEvY5C0Zl,"Scotty Doesn't Know","Left for Dead","Lustra",2006,175200,75,false,v828zh1enlyp9vzjlfaj5rzpm,2021-05-24T01:14:28Z,"","XOFF Records",0.317,0.887,0,-4.525,1,0.0472,0.000449,0.00000923,0.363,0.544,174.009,4
spotify:track:3dPQuX8Gs42Y7b454ybpMR,"Seven Nation Army","Elephant","The White Stripes",2003-04-01,232106,83,false,v828zh1enlyp9vzjlfaj5rzpm,2021-05-30T19:08:19Z,"garage rock,blues rock,rock,alternative rock","Legacy Recordings",0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4
spotify:track:60TThBDrPpek5k520l0W0L,"Black Sheep - Brie Larson Vocal Version","Black Sheep (Brie Larson Vocal Version)","Metric,Brie Larson",2010,294065,71,false,v828zh1enlyp9vzjlfaj5rzpm,2021-06-04T21:41:59Z,"","ABKCO Music & Records, Inc.",0.462,0.599,11,-5.735,0,0.0375,0.000278,0.000441,0.0909,0.173,123.938,4
spotify:track:2g2a5kDeZexbUTD8abcvm6,"Lifestyles of the Rich & Famous","The Young and The Hopeless","Good Charlotte",2002-10-04,190173,68,false,v828zh1enlyp9vzjlfaj5rzpm,2021-06-16T16:26:08Z,"pop punk,punk,emo","Epic/Daylight",0.62,0.93,1,-3.685,1,0.0374,0.00043,0,0.0686,0.609,106.22,4
spotify:track:6VoIBz0VhCyz7OdEoRYDiA,"Say It Ain't So - Original Mix","Weezer","Weezer",1994-05-10,258826,76,false,v828zh1enlyp9vzjlfaj5rzpm,2021-06-16T16:27:27Z,"alternative rock","DGC",0.634,0.551,3,-7.136,1,0.0352,0.00737,0.0000182,0.07,0.453,151.779,4
spotify:track:3mwvKOyMmG77zZRunnxp9E,"Buddy Holly","Weezer","Weezer",1994-05-10,159226,77,false,v828zh1enlyp9vzjlfaj5rzpm,2021-07-09T21:53:50Z,"alternative rock","DGC",0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,4
spotify:track:6rUp7v3l8yC4TKxAAR5Bmx,"I Hate Everything About You","Three Days Grace (Expanded Edition)","Three Days Grace",2003-07-22,231480,73,false,v828zh1enlyp9vzjlfaj5rzpm,2021-09-04T17:30:20Z,"post-grunge,rock","Jive",0.498,0.83,6,-5.157,0,0.0421,0.00461,0,0.139,0.453,89.342,4
spotify:track:1fBl642IhJOE5U319Gy2Go,"Animal","Habits","Neon Trees",2010-01-01,212293,72,false,v828zh1enlyp9vzjlfaj5rzpm,2021-09-15T19:25:41Z,"","Mercury Records",0.482,0.833,5,-5.611,1,0.0449,0.000346,0,0.365,0.74,148.039,4
spotify:track:00Mb3DuaIH1kjrwOku9CGU,"Sk8er Boi","Let Go","Avril Lavigne",2002-06-04,204000,78,false,v828zh1enlyp9vzjlfaj5rzpm,2021-09-15T19:41:09Z,"","Arista",0.487,0.9,0,-4.417,1,0.0482,0.0000679,0,0.358,0.484,149.937,4
spotify:track:0273i5ysrlovK8rr0KJfQn,"Sweet Child O' Mine","The Globe Sessions","Sheryl Crow",1998-09-21,234133,55,false,v828zh1enlyp9vzjlfaj5rzpm,2021-10-02T22:40:08Z,"","A&M",0.59,0.865,7,-3.183,1,0.0282,0.0839,0.00000351,0.103,0.66,124.276,4
spotify:track:2DlHlPMa4M17kufBvI2lEN,"Chop Suey!","Toxicity","System Of A Down",2001-09-04,210240,84,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-09T15:57:33Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4
spotify:track:6gSy97jmK1W3UIO7tnvEXa,"I Melt With You","Goes to the Movies (Expanded Edition)","Bowling For Soup",2005-11-15,241440,43,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-12T17:56:48Z,"pop punk,punk","Jive/Legacy",0.433,0.948,4,-4.381,1,0.0537,0.00593,0,0.347,0.82,165.953,4
spotify:track:4VqPOruhp5EdPBeR92t6lQ,"Uprising","The Resistance","Muse",2009-09-10,304840,77,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-16T05:03:33Z,"alternative rock,rock","Warner Records",0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,4
