Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7oOOI85fVQvVnK5ynNMdW7,"Rock with You - Single Version","Off the Wall","Michael Jackson",1979-08-10,220626,79,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T02:57:56Z,"","Epic",0.808,0.535,1,-12.521,1,0.0353,0.179,0.0000991,0.158,0.848,114.031,4
spotify:track:4cgjA7B4fJBHyB9Ya2bu0t,"Human Nature","Thriller","Michael Jackson",1982-11-30,246040,72,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T03:00:49Z,"","Epic",0.628,0.409,2,-14.348,1,0.0306,0.498,0.00565,0.29,0.755,93.005,4
spotify:track:5ChkMS8OtdzJeqyybCc9R5,"Billie Jean","Thriller 25 Super Deluxe Edition","Michael Jackson",2008-02-08,293826,79,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T15:07:03Z,"","Epic/Legacy",0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,4
spotify:track:4RvWPyQ5RL0ao9LPZeSouE,"Everybody Wants To Rule The World","Songs From The Big Chair (Super Deluxe Edition)","Tears For Fears",1985-02-25,251488,86,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T15:07:08Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,87,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T15:07:15Z,"new wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,"Every Breath You Take","Synchronicity (Remastered 2003)","The Police",1983-06-17,253920,90,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T15:07:49Z,"","Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
spotify:track:0sKlV58cODrjxGFOyf9IXY,"The Way You Make Me Feel - 2012 Remaster","Bad 25th Anniversary","Michael Jackson",2012-09-18,298120,70,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T15:07:55Z,"","Epic/Legacy",0.877,0.854,1,-4.523,1,0.147,0.0544,0.000055,0.144,0.54,114.472,4
spotify:track:3qI94hINNNeb4S7xQi18lS,"Blame It on the Boogie","Destiny","The Jacksons",1978-12-17,214200,72,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T15:08:13Z,"disco,motown,philly soul","Epic",0.774,0.641,1,-10.193,1,0.0799,0.0765,0,0.0867,0.875,113.256,4
spotify:track:7o9uu2GDtVDr9nsR7ZRN73,"Time After Time","She's So Unusual","Cyndi Lauper",1983-10-14,241333,80,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T15:08:18Z,"","Portrait",0.726,0.449,0,-9.206,1,0.0286,0.487,0.00000134,0.0824,0.294,130.388,4
spotify:track:3Z2tPWiNiIpg8UMMoowHIk,"We Are The World","We Are The World","U.S.A. For Africa",1985-01-01,427333,67,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-02T15:08:22Z,"","USA for Africa",0.528,0.447,4,-15.255,1,0.0435,0.189,0,0.0745,0.292,72.58,4
