Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5HQ639Z3ms3hnZx0KfWnkp,"Private Eyes","Private Eyes (Expanded Edition)","Daryl Hall & John Oates",1981,217200,72,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T22:28:44Z,"yacht rock,soft rock","RCA/BMG Heritage",0.85,0.938,9,-6.889,0,0.0415,0.409,0.000346,0.0582,0.84,120.826,4
spotify:track:0SPBrxOUEMIKugXR4bFhxs,"Love Gun","Love Gun","KISS",1977-06-30,198706,62,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T22:28:52Z,"glam rock,glam metal,hard rock,rock,classic rock","Casablanca Records",0.409,0.868,3,-6.236,0,0.0368,0.0266,0.0357,0.276,0.704,147.211,4
spotify:track:1pydT12pGHLgfj3JLxWIUB,"White Wedding – Part 1","White Wedding","Billy Idol",2009-01-01,214573,48,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T22:28:57Z,"","Capitol Records",0.648,0.623,9,-12.848,1,0.0384,0.00898,0.00517,0.323,0.783,147.617,4
spotify:track:7o67roCVsFiCt7Cf0ZLOJq,"Out of Touch","The Very Best of Daryl Hall / John Oates","Daryl Hall & John Oates",2001-01-23,249573,65,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T22:29:03Z,"yacht rock,soft rock","RCA Records Label",0.806,0.649,9,-9.004,0,0.0347,0.0391,0.0000555,0.0557,0.897,114.834,4
spotify:track:4TIJ7zSBNejpoIPaWpWRKc,"Rebel Yell","Rebel Yell","Billy Idol",1983-11-01,288533,77,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T22:29:31Z,"","CAPITOL CATALOG MKT (C92)",0.531,0.864,4,-4.948,0,0.0611,0.000753,0.00046,0.354,0.485,166.312,4
spotify:track:7C0rG4oWO7VeZcffyW1sK9,"Mr. Roboto","Kilroy Was Here","Styx",1983-01-01,328706,61,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T22:30:19Z,"classic rock,aor,progressive rock,arena rock","A&M",0.663,0.482,1,-12.093,1,0.0479,0.186,0,0.0521,0.314,144.13,4
spotify:track:3eX2JOSwcPjVEe2zbVZ2GH,"The Night Begins to Shine","The Night Begins to Shine","B.E.R.",2015-10-30,210509,62,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T22:30:52Z,"","Telepictures Music",0.618,0.648,2,-7.098,1,0.0287,0.00416,0.0668,0.171,0.346,129.917,4
spotify:track:1O5Cs8QMzeJmU2UOBA6uNR,"Never - From Footloose Soundtrack","Footloose (15th Anniversary Collectors' Edition)","Moving Pictures",1984,226666,44,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T22:31:07Z,"","Columbia/Legacy",0.573,0.779,9,-9.226,0,0.0268,0.0643,0,0.0758,0.381,136.797,4
spotify:track:4ECNtOnqzxutZkXP4TE3n3,"Separate Ways (Worlds Apart)","Frontiers","Journey",1983-02-22,323706,6,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-08T22:35:47Z,"aor,classic rock","Columbia/Legacy",0.451,0.962,0,-3.947,1,0.0739,0.0187,0.00000319,0.277,0.376,131.438,4
spotify:track:2wn7iOQew89dylXFlLcHSs,"Push It To The Limit","Push It To The Limit","Youngan Youngan",2022-02-21,184064,0,false,v828zh1enlyp9vzjlfaj5rzpm,2022-07-09T20:16:52Z,"","Youngan Youngan",0.565,0.647,10,-13.058,0,0.0326,0.0295,0.00000946,0.882,0.582,153.164,4
