Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3gOL6mYIq19Oq8raxIntrV,"LIKE ME (feat. 42 Dugg & Lil Baby)","I NEVER LIKED YOU","Future,42 Dugg,Lil Baby",2022-05-02,132986,60,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-06T18:20:55Z,"rap","Epic/Freebandz",0.741,0.788,2,-6.403,1,0.2,0.00119,0,0.0957,0.307,160.03,4
spotify:track:1hS8xbWKEifaf0VuFpIY69,"Bluffin (feat. Lil Baby)","Bluffin (feat. Lil Baby)","Gucci Mane,Lil Baby",2023-06-16,148302,46,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-06T18:21:56Z,"southern hip hop,rap,trap","1017/Atlantic",0.678,0.483,1,-7.956,1,0.422,0.00361,0,0.109,0.12,160.156,4
spotify:track:194U52vElkbmFe8QTefrgw,"Khabib","Khabib","Central Cee",2022-02-10,201168,50,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-06T18:32:07Z,"uk drill,drill,uk grime,grime","Central Cee",0.773,0.672,4,-5.885,0,0.225,0.522,0,0.0851,0.624,145.014,4
spotify:track:1VKwyECSiOXve1qGyVeJ9r,"SIGNED UP","LOYALTY","Joey Trap",2021-03-18,78600,19,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-06T18:34:36Z,"","Young Rich Squad/ PIVTL Projects",0.792,0.647,8,-5.44,0,0.399,0.0327,0.0000536,0.0997,0.519,195.005,4
spotify:track:1WzG5HmDVHY34ec0ttXxGE,"New York City","Living Too Fast (Deluxe)","Corey St.Rose",2022-01-21,108116,0,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-06T18:54:48Z,"jersey club","True Colors WorldWide",0.71,0.55,0,-9.295,0,0.272,0.288,0,0.545,0.645,141.849,4
spotify:track:7uvCi4BwD5xr0hkMNoEH2n,"Loyalty (feat. Internet Money)","The Blixky Tape 2 (Deluxe)","22Gz,Internet Money",2022-02-22,120424,39,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-07T15:53:48Z,"brooklyn drill,new york drill,drill","Atlantic Records",0.725,0.907,1,-2.329,1,0.184,0.169,0.0000582,0.162,0.38,142.984,4
spotify:track:4vVjPTApwXZwB2H3mBq3ml,"HOTEL LOBBY (Unc & Phew)","Only Built For Infinity Links","Quavo,Takeoff",2022-10-07,142657,69,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-07T15:55:27Z,"","Quality Control Music/Motown Records",0.823,0.638,11,-4.377,1,0.156,0.132,0,0.228,0.155,127.984,4
spotify:track:1qbqP15RKuH5UHbHkuSsmm,"Rumors (feat. Lil Durk)","So Icy Gang: The ReUp","Gucci Mane,Lil Durk",2022-06-17,185855,65,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-07T15:56:23Z,"southern hip hop,rap,trap,chicago drill,drill","1017/Atlantic",0.688,0.842,2,-4.211,1,0.264,0.0499,0,0.241,0.416,159.897,4
spotify:track:0PGRXJFSwpn5OAGFpEwiqK,"Remember (with Nigo)","I Know NIGO!","Pop Smoke,Nigo",2022-03-25,135111,51,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-07T15:57:01Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.685,0.744,11,-3.687,0,0.187,0.201,0.0000174,0.161,0.167,134.95,4
spotify:track:1mAey8kEPmDM2icL56kS9d,"4 Da Gang (with Roddy Ricch)","Free Dem Boyz","42 Dugg,Roddy Ricch",2021-05-21,156367,66,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-07T15:57:33Z,"melodic rap","NEW CMG 42 Dugg P&D",0.87,0.561,7,-10.388,1,0.186,0.0124,0,0.103,0.691,100.458,4
spotify:track:4V9ynsDPwHtdItksqjuRu0,"Brand New Draco","SAVAGE MODE II","21 Savage,Metro Boomin",2020-10-02,202420,60,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-07T16:06:20Z,"","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",0.697,0.709,11,-6.642,0,0.298,0.041,0.000296,0.0886,0.439,155.023,4
spotify:track:3T3SeUjR8NhTzSE3NSDxkK,"Move Like a Boss (feat. Young M.A)","Move Like a Boss (feat. Young M.A)","Fivio Foreign,Young M.A",2020-06-19,175774,38,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-07T16:08:01Z,"brooklyn drill,new york drill,drill,uk drill","RichFish/Columbia",0.798,0.793,1,-3.926,1,0.32,0.0665,0,0.297,0.494,141.944,1
spotify:track:6xVhqLT40s5sVhepe9Mckc,"Weather the Storm (feat. Meek Mill & Lil Baby)","Father Of Asahd","DJ Khaled,Meek Mill,Lil Baby",2019-05-17,153337,43,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-07T16:09:44Z,"rap","Epic/We The Best",0.515,0.802,2,-2.655,0,0.283,0.18,0,0.241,0.279,76.069,4
spotify:track:2eN0rxTtgxKkmVCNgizayr,"Greatness","Greatness","Quavo",2023-02-24,185000,54,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-07T16:17:38Z,"","Quality Control Music/Motown Records",0.816,0.716,1,-2.896,1,0.0539,0.0778,0.000207,0.139,0.914,139.952,4
spotify:track:1EJIcDYXwSqipW5dFe4uJz,"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","KHALED KHALED","DJ Khaled,Lil Baby,Lil Durk",2021-04-30,236524,73,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-09T18:59:46Z,"chicago drill,drill","Epic/We The Best",0.477,0.727,2,-4.053,1,0.286,0.000866,0,0.108,0.227,150.062,4
spotify:track:50xlqNticOjNCnR192H1YJ,"No Time For Sleep (Freestyle)","No Time For Sleep (Freestyle)","Bobby Shmurda",2021-09-03,375652,43,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-09T19:00:54Z,"","GS9/Epic",0.79,0.725,1,-5.643,1,0.418,0.00844,0,0.138,0.264,170.062,4
spotify:track:2tUL6dZf1mywCj5WvCPZw6,"No Friends In The Industry","Certified Lover Boy","Drake",2021-09-03,204346,69,true,v828zh1enlyp9vzjlfaj5rzpm,2023-07-09T19:05:35Z,"rap","OVO",0.84,0.744,1,-4.751,1,0.113,0.0181,0,0.629,0.171,83.737,4
