Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6C9SwoZ5OrxcvkntgA5t8s,"4pm in Calabasas","Care Package","Drake",2019-08-02,240217,55,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-08T18:09:29Z,"rap","OVO",0.743,0.66,4,-4.802,0,0.418,0.115,0,0.101,0.549,192.031,4
spotify:track:5pIn0ZiclQOMzoFUlgDY0f,"Sideline Story","Cole World: The Sideline Story","J. Cole",2011-09-27,237853,59,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:13:47Z,"rap","Roc Nation LLC",0.745,0.572,10,-7.003,0,0.174,0.705,0,0.146,0.663,89.051,4
spotify:track:2a3QH6bZDNpeC2YUMH5A2K,"God's Gift","Cole World: The Sideline Story","J. Cole",2011-09-27,212800,47,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:19:20Z,"rap","Roc Nation LLC",0.332,0.791,1,-4.489,0,0.22,0.0311,0.000264,0.104,0.439,79.65,4
spotify:track:0kjX99NTf49aJtbb7EVfx4,"Miss America","Miss America","J. Cole",2012-11-13,224026,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:24:47Z,"rap","Roc Nation/Columbia",0.4,0.696,9,-6.291,0,0.117,0.017,0.00168,0.206,0.204,172.459,4
spotify:track:4WfjYOo0JxommRm1PyObJl,"High For Hours","High For Hours","J. Cole",2017-01-18,251308,53,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:25:05Z,"rap","J. Cole P&D",0.87,0.446,1,-9.818,1,0.424,0.449,0,0.16,0.684,95.518,4
spotify:track:4jtyUzZm9WLc2AdaJ1dso7,"0 To 100 / The Catch Up","0 To 100 / The Catch Up","Drake",2013-07-14,275226,68,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:28:31Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.559,0.716,11,-3.964,0,0.39,0.737,0,0.252,0.504,176.618,4
spotify:track:3kCwyvhvVTyehIzYN2I0nF,"Omertà","The Best In The World Pack","Drake",2019-06-15,219506,54,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:34:02Z,"rap","Republic Records",0.646,0.899,6,-2.232,1,0.298,0.0337,0,0.232,0.685,164.119,4
spotify:track:6gBCHco2kvsROZyU1j9no8,"Real","Dreamchasers 2","Meek Mill",2012-05-07,123480,25,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:36:41Z,"rap","Meek Mill",0.426,0.775,8,-10.719,0,0.424,0.164,0,0.118,0.416,174.577,4
spotify:track:29b78ANBzEWV0pPaglrcaO,"Dreamchasers","Dreamchasers","Meek Mill,Beanie Sigel",2011-08-11,247506,31,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:37:55Z,"rap,east coast hip hop","Meek Mill",0.431,0.786,9,-3.967,1,0.425,0.0648,0,0.78,0.408,88.449,4
spotify:track:2oy7IgL4VTpO3vwC9n93zu,"Love Don't Live Here","Dreamchasers","Meek Mill",2011-08-11,196666,35,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:38:42Z,"rap","Meek Mill",0.499,0.872,2,-3.029,1,0.392,0.00393,0,0.111,0.506,127.951,5
spotify:track:3BXcvqbwds7xnHGgbFBfXP,"Kendrick You Next","Unreleased Killadelphia Muzik","Meek Mill",2014-10-27,304239,24,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:41:53Z,"rap","Meek Mill",0.572,0.791,1,-5.852,1,0.479,0.0231,0,0.105,0.804,82.81,4
spotify:track:6pUBrvKfJL4qmn95mxU7rC,"Respect the Game","Championships","Meek Mill",2018-11-30,192098,64,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:44:36Z,"rap","MMG/Atlantic",0.603,0.67,2,-4.809,1,0.25,0.0871,0,0.326,0.159,89.842,4
spotify:track:0jqLv5PuEUA0GthFjdtlS1,"Oodles O' Noodles Babies","Championships","Meek Mill",2018-11-30,181274,42,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:44:53Z,"rap","MMG/Atlantic",0.609,0.836,4,-3.442,0,0.264,0.593,0,0.466,0.584,72.099,4
spotify:track:7J2gyNghNTzl4EsLhXp01Q,"infinity (888) - feat. Joey Bada$$","?","XXXTENTACION,Joey Bada$$",2018-03-16,176590,68,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-11T19:25:10Z,"emo rap,hip hop,rap","Bad Vibes Forever, LLC",0.562,0.579,10,-6.788,0,0.484,0.274,0,0.102,0.577,84.143,4
spotify:track:5UJ3N25ukIruG4Do8RDHra,"UP LIKE AN INSOMNIAC - Freestyle","A GHETTO CHRISTMAS CAROL","XXXTENTACION",2017-12-19,151249,51,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-11T19:28:11Z,"emo rap","Bad Vibes Forever, LLC",0.979,0.401,7,-7.401,1,0.407,0.0829,0.011,0.0657,0.411,120.002,4
spotify:track:0fWkWSpXp1V8nWslbA25Sg,"hate will never win","A GHETTO CHRISTMAS CAROL","XXXTENTACION",2017-12-19,104071,54,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-11T19:33:35Z,"emo rap","Bad Vibes Forever, LLC",0.648,0.218,10,-13.603,0,0.384,0.817,0.005,0.108,0.596,88.577,4
spotify:track:0FnxK9FEAQyPJ284QcieNb,"5 Am in Toronto","Care Package","Drake",2019-08-02,205264,60,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-16T16:13:49Z,"rap","OVO",0.555,0.88,11,-4.325,0,0.265,0.0678,0,0.0723,0.391,87.195,4
spotify:track:7iRIG5FikWiaVRRrPyNlnK,"No Mercy (Intro)","Herstory in the Making","Young M.A",2019-09-27,131289,44,true,v828zh1enlyp9vzjlfaj5rzpm,2019-09-29T17:46:55Z,"","M.A Music / 3D",0.665,0.765,4,-3.158,0,0.305,0.338,0,0.194,0.524,180.108,4
spotify:track:4QUUmoiuVPfRUrYHfnL5B5,"We Ball","We Ball","Ace Hood",2019-02-27,200376,37,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-15T01:23:32Z,"","Hood Nation / EMPIRE",0.761,0.426,10,-11.968,0,0.334,0.0692,0,0.133,0.141,155.001,4
spotify:track:1L2L1Tu1ngxvJ1k6R7nad6,"Amnesia","Starvation 5","Ace Hood",2016-07-11,214256,42,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-15T19:24:00Z,"","Hood Nation / EMPIRE",0.777,0.478,1,-6.356,1,0.0501,0.315,0,0.0979,0.14,100.034,4
spotify:track:1R11kvkIH0Y9CfGf7X4v58,"Night Shift","Survival","Dave East,Lil Baby",2019-11-08,222600,35,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-12T19:25:57Z,"","Def Jam Recordings",0.762,0.636,5,-7.812,0,0.35,0.0217,0,0.0865,0.648,139.733,4
spotify:track:3VrAgE4jotl0UVypVFm3C0,"Godfather 4","Survival","Dave East,Nas,The Soul Rebels",2019-11-08,251866,31,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-12T19:26:22Z,"east coast hip hop,old school hip hop,hip hop,new orleans bounce","Def Jam Recordings",0.415,0.728,6,-5.843,0,0.252,0.0795,0,0.675,0.578,70.959,4
spotify:track:3TAxBcvqU6ykovzdT7yJQw,"Keisha","Kairi Chanel","Dave East",2016-09-30,263000,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-12T19:27:11Z,"","Mass Appeal Records",0.537,0.933,0,-3.24,0,0.393,0.263,0,0.0962,0.716,158.778,4
spotify:track:0Fi1CxPMNQVhpbTt6XIivi,"Forbes List (feat. Nas)","Hate Me Now","Dave East,Nas",2015-10-02,244000,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-12T19:28:36Z,"east coast hip hop,old school hip hop,hip hop","Mass Appeal Records",0.505,0.914,5,-2.74,0,0.385,0.189,0,0.122,0.4,85.485,4
spotify:track:4e2Xe81htNEr7NWFm5KIWL,"Type of Time","Kairi Chanel","Dave East",2016-09-30,356306,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-11-12T19:28:53Z,"","Mass Appeal Records",0.556,0.724,0,-6.384,0,0.513,0.0642,0,0.124,0.163,91.091,3
spotify:track:2aMHA0kCzCKDiRTNEe4NJc,"Breakdown","Cole World: The Sideline Story","J. Cole",2011-09-27,285306,46,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-03T19:16:28Z,"rap","Roc Nation LLC",0.455,0.647,1,-7.27,1,0.203,0.0207,0.0556,0.098,0.489,99.505,3
spotify:track:1Yl4UBgyoHPgyne7rEsFZp,"Dollar And A Dream III","Cole World: The Sideline Story","J. Cole",2011-09-27,283066,49,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-03T19:27:04Z,"rap","Roc Nation LLC",0.42,0.726,3,-7.113,0,0.415,0.516,0,0.0907,0.316,76.585,4
spotify:track:4YrS33mjBWWchoLJTkAKwt,"Go In","Go In","Lil Tjay",2019-12-13,254962,51,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-19T23:26:07Z,"brooklyn drill,melodic rap","Columbia",0.799,0.698,9,-5.947,0,0.169,0.125,0,0.0778,0.799,121.998,4
spotify:track:5GpAhJpbHvUi6gY6RG15Ze,"Welcome to the Rodeo","Life of a Dark Rose","Lil Skies",2017-12-12,169411,60,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-21T19:34:00Z,"melodic rap","All We Got Ent.",0.69,0.881,5,-4.297,0,0.284,0.128,0,0.0927,0.503,169.973,4
