Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:02GPCqwsvBuCi1bd1sq3xC,"Sonnentanz - Sun Don't Shine (ELIASDASS Remix)","Sonnentanz [Sun Don't Shine (ELIASDASS Remix / Sped-Up)]","Klangkarussell,Will Heard,ELIASDASS",2023-03-24,183793,49,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-07T00:36:58Z,"","Klangkarussell",0.67,0.732,7,-7.52,1,0.18,0.0191,0.251,0.0778,0.215,153.908,4
spotify:track:29LvrhHCFMe0ars4VVFS7C,"In My Mind","In My Mind","TECHNO KING,2Hounds",2023-10-04,159324,57,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-07T00:37:06Z,"hypertechno,techno,slap house","Techno King Records",0.598,0.843,11,-8.07,1,0.161,0.107,0.411,0.43,0.826,148.09,4
spotify:track:6GOOcBV0wLoHrH5D9AWA32,"Say My Name - Remix","Say My Name (Remix)","Morgan Seatree,Florence + The Machine",2024-12-06,168000,82,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-07T00:38:00Z,"baroque pop","Positiva",0.48,0.954,11,-4.078,0,0.079,0.0164,0.000594,0.1,0.471,140.067,4
spotify:track:5QyVkOoloNqSLOh0jshztd,"ASTRO - Police In Paris Remix","ASTRO (Police In Paris Remix)","Slowboy,IVOXYGEN,zaichkou888,Police In Paris",2024-07-19,188870,62,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-07T00:41:09Z,"phonk,brazilian phonk,rally house,hard techno,techno","Aurorian Records",0.593,0.969,1,-3.784,0,0.146,0.000673,0.389,0.201,0.485,150.021,4
spotify:track:6S2M0NR1DhK0CBRqn7R24g,"Club Bizarre - Steve Baltes Remix","Best of 1991-2001","U96,Steve Baltes",2000-03-08,297466,54,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-12T12:35:14Z,"eurodance,happy hardcore,krautrock","Kingsize Records",0.57,0.918,11,-10.68,0,0.0368,0.00859,0.465,0.302,0.699,158.038,4
spotify:track:42O31gY8N28p4DAk7YYkeM,"Get Shaky (Macon's Remix)","Get Shaky (Macon's Remix)","The Ian Carey Project,Macon",2023-04-14,150204,67,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-20T13:04:50Z,"hypertechno,techno","Spinnin' Records",0.709,0.774,5,-6.279,0,0.166,0.0821,0.683,0.0797,0.427,146.993,4
spotify:track:1P2X1qOXTAUk11bfMXDL7h,"Insomnia","Insomnia","Restricted,NIKSTER",2024-07-19,168004,66,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-20T13:08:19Z,"hard techno,hypertechno,techno,slap house","Dystopia (Rave Culture)",0.625,0.996,9,-3.293,1,0.121,0.074,0.494,0.0836,0.0695,149.977,4
spotify:track:4wobkmDH2DEWyyRc2B3XtO,"Meet Her At The Love Parade","Meet Her At The Love Parade","Alfons",2024-04-04,116388,69,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-20T13:10:52Z,"epadunk,melbourne bounce","Bounce & Bass",0.746,0.978,7,-3.74,1,0.0903,0.0609,0.768,0.139,0.32,148.963,4
spotify:track:2IHMAlPCyiFlvcPshaEEIT,"303 (Sound Of The Underground)","Bow & Arrow - EP","Nicolas Julian,ULTIMO,AENJAY",2024-05-24,182800,62,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-20T13:15:38Z,"techno,hypertechno,hard techno,tekno","Nicolas Julian",0.633,0.965,1,-7.444,1,0.0481,0.00364,0.0488,0.229,0.155,150.027,4
spotify:track:2pgfgEF6CWsrPFF8HB6Xra,"Transgender","Transgender","POLTERGST,Police In Paris,Staarz",2024-10-25,176516,63,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-20T13:17:06Z,"hypertechno,techno,hard techno,phonk","Spinnin' Records",0.49,0.969,8,-3.863,0,0.0563,0.000801,0.323,0.129,0.0578,155.058,4
spotify:track:2apRbQlpckuUM282gW1Z6p,"Maneater","Maneater","JKRS,ECHO",2023-02-17,154285,62,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-20T13:17:55Z,"hypertechno,techno","Garde",0.834,0.881,3,-7.983,1,0.194,0.0749,0.142,0.175,0.757,140.016,4
spotify:track:7AFAB7RL8PXHrSf4uY10Z6,"Mask Off","Mask Off","Nicolas Julian",2023-11-03,155070,66,true,v828zh1enlyp9vzjlfaj5rzpm,2025-07-20T13:23:24Z,"techno,hypertechno,hard techno,tekno","Columbia/B1 Recordings",0.835,0.658,2,-7.949,1,0.0743,0.259,0.00725,0.0652,0.399,155.017,3
spotify:track:2cxlyCk4NZZDDaq7TDcsSs,"Pain in my Heart","Sturm und Drang","Schrotthagen",2024-06-07,224698,63,false,v828zh1enlyp9vzjlfaj5rzpm,2025-07-20T13:26:47Z,"techno,hard techno","Schrott",0.509,0.77,1,-11.153,0,0.0437,0.0803,0.73,0.35,0.0806,156.994,4
spotify:track:7Dh4j5JltkdH159xm77JiF,"Crazy","Crazy","Myles Lloyd,BUNT.",2025-08-01,162888,72,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-09T14:38:49Z,"stutter house","broke",0.646,0.657,6,-7.761,0,0.0394,0.458,0.000676,0.178,0.438,130.062,4
spotify:track:2wRKES8HKm4EutRHz7JD1x,"light years (feat. Inéz)","light years (feat. Inéz)","John Summit,Inéz",2025-03-26,220978,71,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-15T17:53:58Z,"house,tech house","Experts Only/Darkroom Records",0.593,0.934,4,-4.606,0,0.0412,0.00209,0.07,0.173,0.414,138.045,4
