Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7JbHx1w8yllNESuyp9SYv3,"Personal Jesus - Acoustic","Personal Jesus","Depeche Mode",1989,207866,0,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-10T05:08:31Z,"new wave,synthpop,darkwave","Reprise/Mute",0.667,0.266,9,-16.339,0,0.0362,0.918,0.284,0.136,0.349,138.178,4
spotify:track:1Qj2vPfVyEq2QkCeS2p3Wp,"Sure Know Something","MTV Unplugged","KISS",1996-03-12,254266,0,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-10T05:09:26Z,"glam rock,glam metal,hard rock,rock,classic rock","Universal Music Ltd.",0.735,0.8,3,-6.193,0,0.0385,0.118,0,0.952,0.776,113.836,4
spotify:track:0LQzcDvU8eryc78iZBgCD2,"Just A Girl - Acoustic Live - German Radio","Rock Steady","No Doubt",2001-12-11,213506,0,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-10T05:09:33Z,"","Interscope",0.685,0.376,11,-4.878,0,0.0348,0.843,0,0.151,0.465,105.577,4
spotify:track:3bH8PZsfbCRIoeNiFm7JmU,"All Apologies - Live","MTV Unplugged In New York","Nirvana",1994-11-01,263226,58,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-10T05:11:06Z,"grunge,rock","DGC",0.569,0.579,1,-10.988,1,0.0716,0.5,0.0000279,0.109,0.407,108.998,4
spotify:track:3QmesrvdbPjwf7i40nht1D,"Everlong - Acoustic Version","Greatest Hits","Foo Fighters",2009-11-03,250906,67,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-10T05:11:33Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.643,0.344,2,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,4
spotify:track:4EKuq3f7dP1NHqaE4w9WVB,"Extreme Ways - Reprise Version / Edit","Extreme Ways (Reprise Version)","Moby",2021-09-03,200634,29,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-10T05:13:04Z,"downtempo,trip hop","Deutsche Grammophon (DG)",0.38,0.359,9,-11.515,0,0.0303,0.46,0.000926,0.0868,0.345,85.213,4
spotify:track:2qt8jR309s3wJsUmUlRhE6,"Crazy - Acoustic","Best 1991 - 2004","Seal",2004,244506,44,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-10T05:19:01Z,"","Warner Records",0.6,0.425,2,-12.539,1,0.0366,0.32,0.0000211,0.101,0.221,95.27,4
spotify:track:6P5nJPssIu8mIZvP8KNhPk,"Lights - Live At Amoeba Music","Live At Amoeba Music","Ellie Goulding",2011-01-01,280760,16,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-10T16:27:25Z,"","Polydor Records",0.59,0.398,8,-9.678,0,0.144,0.758,0,0.702,0.607,126.018,4
spotify:track:1qylvO4iCIZZcqc4TqSjTZ,"Zombie - Acoustic Version","Something Else","The Cranberries",2017-04-28,241560,0,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-12T17:36:56Z,"","BMG Rights Management (UK) Ltd",0.469,0.427,4,-7.954,0,0.0241,0.00414,0.0000377,0.128,0.0821,84.053,4
spotify:track:5bMtpnI01NMBbCLd8XFFOd,"Cold Little Heart - Acoustic","Cold Little Heart (Acoustic)","Michael Kiwanuka",2019-06-07,269386,48,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-13T03:50:47Z,"soul","Polydor Records",0.507,0.327,7,-6.322,0,0.0264,0.833,0,0.232,0.188,107.942,4
spotify:track:3ViYGKZhaAakD6dVbYx3rH,"black hole sun","black hole sun","bigboihums",2025-03-07,310193,30,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-14T06:25:17Z,"","Range Music Partners, LLC",0.341,0.175,8,-15.462,1,0.0317,0.968,0.175,0.128,0.193,76.79,3
spotify:track:1tlTFxB34VorrZnJNfRWcs,"Something In The Way - Live","MTV Unplugged In New York","Nirvana",1994-11-01,241533,56,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-14T06:28:19Z,"grunge,rock","DGC",0.547,0.335,1,-13.304,1,0.0501,0.656,0.000161,0.115,0.109,106.099,4
spotify:track:5J7aILM0273RGHm7czdLxx,"You Know More Than I Know","Fear","John Cale",1974-01-01,215293,42,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-15T08:03:14Z,"art rock,baroque pop,proto-punk,singer-songwriter","Universal-Island Records Ltd.",0.465,0.288,0,-14.561,1,0.0317,0.277,0.000537,0.226,0.325,135.165,4
spotify:track:553kxyijYu24YwMS7SdmY4,"young and beautiful - acoustic","young and beautiful - acoustic","sunkissed,Alessandro Bellardi,Tazzy",2022-08-03,238001,17,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-16T07:37:04Z,"hypertechno,hardstyle,nightcore","Afterpeak Music Group",0.605,0.193,9,-11.062,1,0.0352,0.809,0,0.0668,0.365,116.124,4
