Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2bWRTS19HxH6FuUocwBML1,"Omae Wa Mou","Omae Wa Mou","deadman 死人",2017-09-22,113568,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-08-08T04:47:16Z,"anime","deadman 死人",0.751,0.76,0,-11.468,1,0.0522,0.125,0.863,0.0975,0.704,93.002,4
spotify:track:1Xj2w9otwkrC4h5Xcgqgbq,"Ququ","saying nothing","Aebleo",2018-04-27,115330,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-09-30T07:34:03Z,"lo-fi,lo-fi beats","VinDig",0.601,0.294,3,-13.396,0,0.0511,0.512,0.849,0.124,0.134,102.259,3
spotify:track:6pPdSiA17dUM773DCRFhUx,"Scootaloo","Sheep Rotation","Jobii",2019-03-29,147110,31,false,v828zh1enlyp9vzjlfaj5rzpm,2019-09-30T07:34:08Z,"lo-fi beats,lo-fi","Epidemic Sound",0.731,0.424,7,-6.664,0,0.259,0.36,0.000834,0.19,0.604,84.995,4
spotify:track:6J3LIB8a2yqps2qKadTQKl,"Sad Sak","Sad Sak","Lunchmoney",2018-05-25,109106,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-09-30T07:34:35Z,"lo-fi beats,lo-fi","beats@lunch",0.825,0.328,8,-9.937,1,0.0822,0.914,0.906,0.0955,0.334,109.979,4
spotify:track:40VkaO6rB8tMr3TVKPNcnD,"I know","saying nothing","Aebleo",2018-04-27,97195,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-19T03:01:32Z,"lo-fi,lo-fi beats","VinDig",0.714,0.498,6,-10.303,0,0.0796,0.287,0.27,0.077,0.533,181.482,3
spotify:track:6BPO4rLBfsAJsdgxG4ufFx,"The Lamp Is High","The Lamp Is High","Bitte Please",2017-11-14,157664,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-23T05:25:50Z,"lo-fi beats,lo-fi","649916 Records DK",0.598,0.3,4,-9.427,0,0.0435,0.182,0.217,0.277,0.134,68.47,4
spotify:track:7woCxOw0jmj65ohlQ3x0tH,"controlla","rainy evening","Idealism",2017-08-30,108000,54,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-26T05:26:59Z,"lo-fi,lo-fi beats,lo-fi hip hop","idealism",0.788,0.446,6,-9.812,1,0.0693,0.54,0.694,0.273,0.545,80.033,4
spotify:track:7MdZQXUBijQxcBkYz4G1Z5,"Affection","Life","Jinsang",2016-12-23,117495,12,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-26T05:29:06Z,"lo-fi,lo-fi hip hop,lo-fi beats","VinDig",0.698,0.193,1,-15.01,1,0.0902,0.914,0.937,0.0882,0.607,84.03,4
spotify:track:44q3z1tWKbYbVKkHyJOO7p,"Je Te Met Au Défi (feat. Nohidea)","Jazz Channel Instrumentals","Engelwood,simon eng,Nohidea",2017-07-06,92671,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-13T07:45:05Z,"lo-fi beats,jazz beats,lo-fi,lo-fi hip hop","Engelwood",0.559,0.454,5,-10.496,1,0.155,0.846,0.932,0.11,0.436,67.849,4
spotify:track:1YT1zLUNAy4qtdlAFX078j,"slumpin","Confessions","Jinsang",2017-09-29,169951,6,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-13T07:46:37Z,"lo-fi,lo-fi hip hop,lo-fi beats","VinDig",0.757,0.447,1,-12.025,1,0.0399,0.219,0.688,0.112,0.28,98.014,4
spotify:track:6VdNr8ogGNB9dawLq4IcF6,"Gameboy in Traffic","Kids' Menu","Jaeden Camstra",2017-06-02,71946,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-13T08:08:18Z,"lo-fi,lo-fi beats,lo-fi hip hop","VinDig",0.714,0.589,1,-4.631,1,0.0438,0.32,0.0243,0.126,0.408,75.994,4
spotify:track:45P8cJFQ2YNQm4MMTqsu1d,"Green Stamps","Spotless Minds","Tesk",2017-04-24,157270,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-13T08:08:45Z,"lo-fi beats,lo-fi hip hop,jazz beats,lo-fi,jazz rap","Chillhop Records",0.784,0.229,3,-9.73,0,0.0447,0.00874,0.846,0.252,0.689,173.997,4
spotify:track:4w2DlrDfeag7OYoOHbpHoK,"_S W E E T .S O U |","_S W E E T .S O U |","S I M",2017-10-26,175151,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-13T08:20:10Z,"lo-fi beats,lo-fi,jazz rap","728202 Records DK",0.632,0.79,8,-4.881,1,0.0578,0.0867,0.745,0.0529,0.889,84.981,4
spotify:track:15LqhqSSDfZmIylBdlxxVK,"sundown","sundown / whisper","mt. fujitive",2019-09-03,106899,6,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-13T08:24:19Z,"lo-fi,lo-fi beats,lo-fi hip hop","VinDig",0.653,0.167,5,-19.743,1,0.0396,0.958,0.931,0.0986,0.461,75.962,3
spotify:track:2H1G5ubtYJiPGbUJG5ve13,"Reminisce.","Solitude.","Jinsang",2016-01-16,79216,6,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-13T19:08:20Z,"lo-fi,lo-fi hip hop,lo-fi beats","VinDig",0.688,0.302,9,-16.802,1,0.352,0.91,0.871,0.103,0.835,139.525,3
spotify:track:21IiEw3SqSLLcMmPQt44zC,"1995","1995","CoryaYo",2014-04-03,159056,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T09:39:31Z,"lo-fi hip hop,jazz rap,lo-fi beats,lo-fi","VinDig",0.798,0.481,6,-8.435,1,0.17,0.101,0.00000703,0.196,0.579,90.188,4
