Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3hpm0fTeSqlhJbnqAgaLZs,"Marlboro Rojo","111XPANTIA","Fuerza Regida",2025-05-02,184173,89,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T15:59:51Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sierreño,banda,electro corridos,sad sierreño,dembow belico","Rancho Humilde/Street Mob Records/Sony Music Latin",0.773,0.645,4,-6.376,0,0.0349,0.342,0.00000338,0.32,0.923,114.996,1
spotify:track:3FqUPvubYeRCMsdJ02QyZR,"TÚ NAME","Dolido Pero No Arrepentido","Fuerza Regida",2024-02-09,152078,81,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T15:59:57Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sierreño,banda,electro corridos,sad sierreño,dembow belico","Rancho Humilde/Street Mob Records",0.76,0.747,0,-5.083,0,0.0282,0.0675,0.00000273,0.309,0.884,128.912,3
spotify:track:4N1dogCaVWnGyFdPjdqNWF,"COMO CAPO","MIJA NO TE ASUSTES","Clave Especial,Fuerza Regida",2025-02-20,165482,82,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T16:00:01Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sierreño,banda,electro corridos,sad sierreño,dembow belico","WEA Latina",0.767,0.768,5,-4.529,0,0.0474,0.147,0,0.068,0.802,133.082,3
spotify:track:4e76Ss3ji7HQZ4qwcPNkNA,"MIENTRAS DUERMES","$AD BOYZ 4 LIFE II","Junior H",2023-10-05,226035,83,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T16:00:06Z,"corridos tumbados,corrido,corridos bélicos,sad sierreño,sierreño,música mexicana,banda","WEA Latina",0.752,0.645,11,-6.656,1,0.037,0.246,0,0.0972,0.923,125.132,3
spotify:track:7ifMxHITc3NIipJO4R5NGb,"No Le Aflojo","No Le Aflojo","Los Gemelos De Sinaloa,Fuerza Regida",2022-03-02,202875,73,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T16:00:19Z,"corrido,corridos bélicos,corridos tumbados,sad sierreño,sierreño,música mexicana,banda,electro corridos,dembow belico","Rancho Humilde",0.698,0.687,5,-4.115,0,0.0501,0.195,0,0.0829,0.773,116.765,4
spotify:track:6x59lSlNU7TvsJZy7134uC,"ROSONES","ROSONES","Jorsshh,Fuerza Regida",2024-11-15,178079,78,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T16:00:24Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sierreño,banda,electro corridos,sad sierreño,dembow belico","Street Mob Records",0.752,0.871,6,-4.387,1,0.029,0.164,0,0.296,0.827,119.997,3
spotify:track:0L5gbpFGU06vqSHacOxgka,"TU TU TU","MIJA NO TE ASUSTES","Clave Especial,Edgardo Nuñez",2025-02-20,151570,79,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T16:00:29Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,electro corridos,dembow belico,banda","WEA Latina",0.768,0.816,5,-5.264,0,0.0755,0.169,0.000051,0.477,0.828,142.163,3
spotify:track:1haJsMtoBhHfvuM7XWuT3W,"El Azul","El Azul","Junior H,Peso Pluma",2023-02-10,187225,77,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T16:00:34Z,"corridos tumbados,corrido,corridos bélicos,sad sierreño,sierreño,música mexicana,banda,electro corridos","WEA Latina",0.561,0.643,0,-7.118,1,0.054,0.232,0.00000845,0.0986,0.842,143.907,3
spotify:track:3kx21xR6IboC9HVdajgBoc,"SABOR FRESA","Pa las Baby's Y Belikeada","Fuerza Regida",2023-10-20,156500,70,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T16:00:39Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sierreño,banda,electro corridos,sad sierreño,dembow belico","Rancho Humilde/Street Mob Records",0.778,0.864,7,-4.61,0,0.0907,0.0898,0,0.0901,0.961,130.17,3
spotify:track:4Nf5EZ40JenjMUKXOiyRU5,"NUEVA VIDA","GÉNESIS","Peso Pluma",2023-06-29,190680,80,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-17T16:00:44Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,banda,electro corridos","Double P Records",0.639,0.676,5,-7.376,0,0.11,0.296,0.00059,0.18,0.852,179.971,3
spotify:track:3zFLlF1SvWCt9oZUVPZehW,"Kalashnikov","Kalashnikov","Clave Especial",2024-01-18,129500,62,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-18T11:34:48Z,"corrido,corridos tumbados,corridos bélicos,música mexicana","Street Mob Records",0.773,0.836,7,-5.665,0,0.0373,0.213,0.00024,0.105,0.881,145.079,3
spotify:track:78CE12m0ygkEbWpTSNqLOM,"Por Clave Caiman","Por Clave El Caiman","LEGADO 7,Tomas Ballardo",2023-02-17,158626,59,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-18T11:36:20Z,"corrido,corridos tumbados,corridos bélicos,sierreño,norteño,sad sierreño,electro corridos","Ochoa Records LLC",0.643,0.871,10,-5.017,0,0.108,0.147,0,0.076,0.895,157.148,3
spotify:track:0LTwdL5yZ6YOTEGUQPFuSN,"ROSONES","ROSONES","Tito Double P",2024-12-05,177590,82,true,v828zh1enlyp9vzjlfaj5rzpm,2025-08-18T11:38:00Z,"corrido,corridos tumbados,corridos bélicos,electro corridos,dembow belico,música mexicana","Double P Records",0.802,0.726,1,-5.939,1,0.0318,0.704,0.0000097,0.117,0.604,120.129,3
