Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5cPcd6pLrpDVmKnonjd3EQ,"I Think I Like It","Fix Your Accent","Fake Blood",2018-10-27,335800,61,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-14T02:23:58Z,"electronica","Blood Music",0.727,0.847,1,-6.021,1,0.217,0.014,0.128,0.144,0.64,128.015,4
spotify:track:4IlqQhaxrGPxmg35YcXXuS,"Dancin - Krono Remix","Ibiza 2019","Aaron Smith,Luvli,Krono",2019-11-11,256000,73,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-14T02:24:04Z,"","Moody Recordings",0.751,0.727,10,-9.789,0,0.0304,0.0442,0.0338,0.1,0.28,119.982,4
spotify:track:49X0LAl6faAusYq02PRAY6,"Lady - Hear Me Tonight","Modjo (Remastered)","Modjo",2001,307153,81,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-14T02:24:17Z,"french house,disco house","Modjo Music",0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4
spotify:track:75N5R8CeZDyJurQJsoRTx1,"Risky Business","Risky Business","ZHU",2020-09-11,320853,43,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-14T02:26:21Z,"edm","Astralwerks",0.787,0.653,11,-6.825,0,0.0649,0.0875,0.735,0.0933,0.396,122.995,4
spotify:track:6bbx7nYlixYuElKMbYCzMm,"Mvinline","Mvinline","Boys Noize",2020-05-29,199836,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-14T02:31:02Z,"electro house","Defected Records",0.716,0.817,11,-5.825,0,0.233,0.0154,0.139,0.0767,0.363,125.087,4
spotify:track:0b6wdul3A5sQNpIOv03OxP,"Ocean Drive","Ocean Drive","Duke Dumont",2015-07-31,206320,68,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-14T02:32:00Z,"house","EMI",0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,4
spotify:track:5UwR04Cke847W9Whoxx57s,"Are U Down","Both Of Us / Are U Down","Jayda G",2020-07-03,257841,27,true,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T01:45:01Z,"","Ninja Tune",0.747,0.652,4,-11.639,1,0.123,0.225,0.213,0.0947,0.418,124.022,4
spotify:track:48fPdAwGVoSkGK8GSez9yx,"Anything","Anything","Alison Wonderland,Valentino Khan",2020-11-13,226000,47,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T01:48:08Z,"edm trap,future bass,edm,bass house,moombahton,g-house","Mad Decent",0.768,0.908,5,-5.014,0,0.0486,0.184,0.546,0.0583,0.423,120.042,4
spotify:track:00bq71I9OZ87M6jZqQFV6I,"You and Me","Renaissance","The Magician",2020-05-15,214958,46,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T16:32:09Z,"","Atlantic Records UK",0.646,0.814,7,-5.263,0,0.0437,0.000415,0.0305,0.0882,0.117,121.043,4
spotify:track:0HR9gzUvpJ6Wv0lSOD2gGB,"Fever","Fever","SOMMA,FAST BOY",2021-03-19,162934,51,false,v828zh1enlyp9vzjlfaj5rzpm,2021-03-23T16:34:32Z,"deep house,afro house","Selected.",0.465,0.756,10,-6.992,0,0.0797,0.0784,0.00000232,0.0669,0.291,120.247,4
