Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:79RYNk7I1YDy4RLPamenAn,"Symphony No. 7 in A Major Op. 92: II. Allegretto","Beethoven: Symphonies Nos.4 & 7","Ludwig van Beethoven,Berliner Philharmoniker,Herbert von Karajan",1985-01-01,465333,50,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-30T07:07:00Z,"classical,classical piano,chamber music,orchestra,opera,requiem","Deutsche Grammophon (DG)",0.219,0.0359,4,-22.931,0,0.0357,0.932,0.763,0.0931,0.0885,77.116,4
spotify:track:00Ym9pLCeLnEzwy95bnzn1,"honey thighs","honey thighs","strongboi",2020-04-10,284441,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-30T07:07:32Z,"bedroom pop","strongboi",0.633,0.625,7,-8.871,1,0.0388,0.678,0.00216,0.0911,0.393,131.99,4
spotify:track:6VLjdregMReJhKp2r32IWo,"Natural","Shelly","Shelly",2020-10-30,163764,63,false,v828zh1enlyp9vzjlfaj5rzpm,2023-09-30T07:07:45Z,"lo-fi indie","Orange Hill Records",0.538,0.6,10,-10.241,1,0.0302,0.429,0.0562,0.117,0.499,169.931,3
spotify:track:6AshXllQhobwSXsdpgp41w,"Johnny P's Caddy","Johnny P's Caddy","Benny The Butcher,J. Cole",2022-01-28,225000,58,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-30T07:08:16Z,"boom bap,east coast hip hop,rap","Griselda Records / EMPIRE",0.535,0.819,8,-6.792,1,0.455,0.584,0,0.16,0.581,150.451,4
spotify:track:1GzNGrxi4NIOKu0Z4npUss,"Encore","The Black Album","JAY-Z",2003-11-14,250973,51,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-30T07:08:35Z,"hip hop,east coast hip hop,rap","Roc Nation / Jay-Z",0.382,0.92,10,-1.149,0,0.259,0.285,0.00125,0.973,0.525,98.907,1
spotify:track:6pUBrvKfJL4qmn95mxU7rC,"Respect the Game","Championships","Meek Mill",2018-11-30,192098,64,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-30T07:11:38Z,"rap","MMG/Atlantic",0.603,0.67,2,-4.809,1,0.25,0.0871,0,0.326,0.159,89.842,4
spotify:track:0jqLv5PuEUA0GthFjdtlS1,"Oodles O' Noodles Babies","Championships","Meek Mill",2018-11-30,181274,42,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-30T07:11:45Z,"rap","MMG/Atlantic",0.609,0.836,4,-3.442,0,0.264,0.593,0,0.466,0.584,72.099,4
spotify:track:75ld9n7watXCD0nHnE931J,"Cold Hearted II","Championships","Meek Mill",2018-11-30,301870,47,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-30T07:12:10Z,"rap","MMG/Atlantic",0.296,0.781,6,-7.148,1,0.451,0.0377,0,0.805,0.367,77.27,4
spotify:track:7zfmhBiUvGoHz76NO1d5bZ,"I Got a Story to Tell - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,283053,53,true,v828zh1enlyp9vzjlfaj5rzpm,2023-09-30T07:12:22Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Rhino Atlantic",0.88,0.813,1,-5.589,1,0.269,0.227,0.013,0.0581,0.603,94.071,4
spotify:track:0bhwnn2xqnBUcMZDcXNuII,"Hey Lover","Hey Lover / Stand by Me","The Daughters Of Eve",1966-02-05,144000,71,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-01T04:14:10Z,"","USA Records a division of 43 North Broadway, LLC.",0.48,0.482,7,-11.451,0,0.0364,0.257,0.000239,0.345,0.685,128.152,4
spotify:track:0i3QUeoCXFShE2yxJ5slP4,"Beggin' - Speaker Killer Remix","Beggin'","Frankie Valli & The Four Seasons",2021-08-06,323626,14,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-01T16:29:33Z,"doo-wop,northern soul,motown","Warner Music Group - X5 Music Group",0.737,0.837,2,-5.406,0,0.0309,0.000843,0.279,0.333,0.474,129.628,4
spotify:track:2G2YzndIA6jeWFPBXhUjh5,"Be My Baby","Be My Baby: The Very Best of The Ronettes","The Ronettes",2011-02-22,160906,72,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-03T15:13:49Z,"christmas","Legacy Recordings",0.511,0.769,4,-7.032,1,0.042,0.181,0,0.0921,0.818,129.657,4
spotify:track:4mmkhcEm1Ljy1U9nwtsxUo,"Through The Wire","The College Dropout","Kanye West",2004-02-10,221226,74,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-03T15:43:08Z,"rap","Roc-A-Fella",0.571,0.739,7,-6.11,1,0.247,0.00865,0.00000521,0.158,0.66,83.089,4
spotify:track:1UGD3lW3tDmgZfAVDh6w7r,"Devil In A New Dress","My Beautiful Dark Twisted Fantasy","Kanye West,Rick Ross",2010-11-22,351946,78,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-03T15:43:17Z,"rap,southern hip hop","Roc-A-Fella",0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,4
spotify:track:2BITQ360Knh6qNAOqR7Dyq,"Miss The Rage (feat. Playboi Carti)","Miss The Rage (feat. Playboi Carti)","Trippie Redd,Playboi Carti",2021-05-07,236883,3,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-03T15:45:26Z,"melodic rap,rage rap","1400 Entertainment / 10K Projects",0.584,0.859,8,-5.616,1,0.121,0.0144,0,0.847,0.369,77.005,4
spotify:track:6RANU8AS5ICU5PEHh8BYtH,"Isn't She Lovely","Songs In The Key Of Life","Stevie Wonder",1976-09-28,394266,65,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T02:47:42Z,"motown,classic soul,soul","UNI/MOTOWN",0.481,0.826,1,-6.974,0,0.0851,0.182,0.00352,0.324,0.819,118.679,4
spotify:track:4Lw1ePUkkLEG9kIVhpslO0,"Don't Leave Me","The Best Of BLACKstreet - 20th Century Masters The Millennium Collection","Blackstreet",2004-01-01,311640,50,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T02:57:56Z,"new jack swing","Interscope",0.789,0.541,2,-5.067,0,0.0341,0.0498,0,0.0908,0.71,81.826,4
spotify:track:03o9Cj2S5T56GeV9SeZNt0,"DO BETTER","WUNNA","Gunna",2020-05-22,152386,59,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T03:02:46Z,"melodic rap","300 Entertainment",0.833,0.456,1,-11.54,0,0.0582,0.134,0,0.22,0.624,120.06,4
spotify:track:3eT851yEUBZFxqVPxzO5pi,"Lo Dudo (feat. Frankie Ruiz & Hector Trioche)","Celebrando Otro Aniversario (feat. Frankie Ruiz & Hector Trioche)","Tommy Olivencia y Su Orquesta,Frankie Ruiz,Hector Trioche",1985-09-08,308009,39,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T03:03:47Z,"salsa,merengue","TOV Productions",0.705,0.544,11,-13.326,0,0.0425,0.749,0.0000336,0.347,0.765,94.358,4
spotify:track:2WQKHNETUytUGsD32TTNeO,"Medication","Stony Hill","Damian Marley,Stephen Marley",2017-07-21,222466,69,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T03:07:27Z,"reggae,ragga,roots reggae,dancehall","Universal Records/Tuff Gong Records",0.865,0.562,10,-6.811,0,0.251,0.0318,0,0.246,0.81,85.02,4
spotify:track:1yy2DlSDtEt90d54rPDPXz,"I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster","No Way Out (2014 Remaster)","Diddy,112,Faith Evans",1997,306560,67,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T14:33:01Z,"hip hop,east coast hip hop,r&b","Rhino Atlantic",0.833,0.619,7,-5.595,1,0.0538,0.111,0.0000213,0.159,0.901,109.92,4
spotify:track:78ocJAEFOYKVjYgXZ8fggD,"I Melt With You - Rerecorded","Pillow Lips","Modern English",1990-01-01,235933,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T14:45:53Z,"new wave,synthpop","The Orchard",0.53,0.647,0,-11.221,1,0.0327,0.00223,0.485,0.454,0.726,154.818,4
spotify:track:5fdhThPDe6jQQDqCyWrdAn,"Jolene","Jolene (Expanded Edition)","Dolly Parton",1974,161533,71,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T14:59:15Z,"country,classic country","RLG/Legacy",0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,4
spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,"Everlong","The Colour And The Shape","Foo Fighters",1997-05-20,250546,83,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T20:32:17Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.413,0.881,11,-5.541,0,0.0367,0.0000599,0.000308,0.0805,0.364,158.066,4
spotify:track:0xdYzkbBBfTevSyOJqWUSX,"Sky's the Limit (feat. 112) - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.,112",1997-03-04,329426,65,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T20:32:59Z,"old school hip hop,gangster rap,east coast hip hop,hip hop,r&b","Rhino Atlantic",0.637,0.66,0,-4.792,1,0.162,0.217,0,0.09,0.503,90.876,4
spotify:track:6tZ3b7ik1QDXFAZlXib0YZ,"Kevin’s Heart","KOD","J. Cole",2018-04-20,200309,68,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-04T20:33:35Z,"rap","J. Cole P&D",0.829,0.527,6,-6.644,0,0.367,0.482,0,0.631,0.475,116.079,4
spotify:track:0fIffclhgJC5h8AdMMVvkp,"Welcome To The Party","Meet The Woo","Pop Smoke",2019-07-26,214960,64,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-05T04:10:34Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide/Republic Records",0.63,0.724,2,-5.543,1,0.105,0.0138,0.0000692,0.196,0.237,143.024,4
spotify:track:15oIDe2OKJu4qxJT9Zoy1B,"Tek It","Tek It/Friction","Cafuné",2019-11-05,191584,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-05T15:20:07Z,"","Aurelians Club",0.419,0.892,8,-5.604,1,0.0618,0.0000759,0.0000024,0.127,0.6,146.97,4
spotify:track:78j9wYboWAkB0UxVVq0X0H,"Painkiller","Prom Queen","Beach Bunny",2018-08-10,216146,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-05T15:24:16Z,"","Mom+Pop",0.371,0.778,4,-7.969,1,0.0497,0.000272,0.000311,0.169,0.482,122.719,4
spotify:track:0HUTL8i4y4MiGCPId7M7wb,"Freaks","Buds","Surf Curse",2015-05-10,147036,1,false,v828zh1enlyp9vzjlfaj5rzpm,2023-10-05T15:30:51Z,"indie","Big Joy Records",0.346,0.944,9,-9.874,1,0.0485,0.0000416,0.565,0.0546,0.403,179.63,4
spotify:track:39d9CQbAB6AMLCxcJtSc0U,"Paris to Tokyo","B.I.B.L.E.","Fivio Foreign,The Kid LAROI",2022-07-15,130897,45,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-05T15:33:28Z,"brooklyn drill,new york drill,drill,uk drill","RichFish/Columbia",0.642,0.787,5,-6.389,0,0.17,0.0185,0,0.288,0.406,146.733,4
spotify:track:7EcE5yCPVZaZut1JqowbcI,"Faneto","Back from the Dead 2","Chief Keef",2015-06-16,206654,2,true,v828zh1enlyp9vzjlfaj5rzpm,2023-10-05T15:38:07Z,"chicago drill,drill","RBC Records",0.849,0.755,1,-7.4,0,0.363,0.346,0,0.0564,0.393,144.188,4
