Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:52yEkn1b6BiOZad3x7x6PP,"I'll See You in My Dreams","Djangologie Vol9 / 1939 - 1940","Django Reinhardt",1970,153333,46,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:43:29Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.765,0.522,5,-12.037,1,0.0339,0.931,0.913,0.102,0.84,112.747,4
spotify:track:0NDjQezJaEC1KX9TfwEfzf,"Minor Swing","Djangologie Vol6 / 1937","Django Reinhardt,Stéphane Grappelli,Quintette du Hot Club de France",1970,196626,50,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:43:41Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.58,0.47,9,-8.787,0,0.168,0.933,0.743,0.098,0.738,202.376,4
spotify:track:6En4XJAnYIeMUWMRG3WhCD,"Fiddle's Blues","Djangologie Vol6 / 1937","Django Reinhardt",1970,166066,21,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:44:02Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.729,0.51,7,-6.107,1,0.0376,0.93,0.723,0.179,0.903,106.66,4
spotify:track:75LBvLhNCU8KWqeOr6BSOd,"Swinging with Django","Djangologie Vol6 / 1937","Django Reinhardt,Stéphane Grappelli,Quintette du Hot Club de France,Michel Warlop",1970,172160,34,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:44:07Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.723,0.613,11,-7.108,0,0.0805,0.925,0.629,0.0908,0.903,118.346,4
spotify:track:4sA7zM3uB8wCtrXsmLHJYo,"Paramount Stomp","Djangologie Vol6 / 1937","Django Reinhardt",1970,157520,18,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:44:13Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.598,0.567,5,-6.76,1,0.0487,0.914,0.52,0.558,0.909,110.553,4
spotify:track:5Qwm8Ghl2c3aYVRjPDUtuB,"Out of Nowhere","Djangologie Vol9 / 1939 - 1940","Django Reinhardt",1970,196680,27,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:45:43Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.714,0.321,7,-6.925,1,0.101,0.987,0.568,0.16,0.652,125.689,4
spotify:track:1AOSLDQJ1qxgg0AuqZtw73,"Blue Light Blues","Djangologie Vol8 / 1937 - 1938","Django Reinhardt,Benny Carter",1970,186400,5,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:51:24Z,"swing music,jazz,french jazz,ragtime,big band,cool jazz","Parlophone (France)",0.628,0.321,10,-8.427,1,0.0536,0.984,0.918,0.154,0.961,143.209,4
spotify:track:7D0Vzk7rZ6ncTFZj3AqT84,"Django's Tiger","Djangologie Vol15 / 1946 - 1947","Django Reinhardt",1970,158013,41,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T00:58:10Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.741,0.572,9,-9.415,1,0.0456,0.957,0.707,0.107,0.96,112.832,4
spotify:track:2OBta0X7oBpvOwu2saLudm,"St. Louis Blues","St. Louis Blues","Quintette du Hot Club de France,Stéphane Grappelli,Django Reinhardt",2017-11-14,211767,36,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:16:12Z,"swing music,jazz,french jazz,ragtime,big band","Editions Audiovisuel Beulah",0.653,0.116,7,-17.767,1,0.0627,0.988,0.888,0.0866,0.533,96.776,4
spotify:track:6lMMTn73wVaDh1gJW3rsBu,"Limehouse Blues","Djangologie Vol.2 / 1936 - 1937","Django Reinhardt,Quintette du Hot Club de France,Stéphane Grappelli",1970,166000,31,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:17:03Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.687,0.53,2,-10.713,1,0.0324,0.937,0.76,0.121,0.827,140.749,4
spotify:track:2BsOqXWv9LMNBaSzaznPFv,"Billets Doux","St. Louis Blues","Quintette du Hot Club de France,Stéphane Grappelli,Django Reinhardt",2017-11-14,177015,35,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:23:57Z,"swing music,jazz,french jazz,ragtime,big band","Editions Audiovisuel Beulah",0.685,0.33,7,-14.906,1,0.0693,0.978,0.853,0.035,0.676,120.9,4
spotify:track:5zS3m7o4vo7ppWbc5sMjyS,"Nagasaki","Djangologie Vol.2 / 1936 - 1937","Django Reinhardt,Quintette du Hot Club de France",1970,171106,30,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:26:02Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.86,0.368,7,-11.964,1,0.0637,0.89,0.0484,0.0625,0.94,117.356,4
spotify:track:5WH1iadRs9X5whNpHiRV3N,"Swing Guitars","Djangologie Vol.2 / 1936 - 1937","Django Reinhardt,Quintette du Hot Club de France",1970,146560,12,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:28:17Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.807,0.348,8,-12.324,1,0.0668,0.917,0.63,0.0823,0.917,111.079,4
spotify:track:0EndJ4wpgN0MX0dUuiQ7hf,"Shine","Djangologie Vol.2 / 1936 - 1937","Django Reinhardt,Quintette du Hot Club de France",1970,177160,19,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:32:37Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.748,0.695,9,-5.713,0,0.0438,0.891,0.509,0.108,0.951,133.382,3
spotify:track:6qztLCOiDxi65F1vnJMFGX,"Exactly Like You","Djangologie Vol.2 / 1936 - 1937","Django Reinhardt,Stéphane Grappelli,Quintette du Hot Club de France",1970,151346,19,false,v828zh1enlyp9vzjlfaj5rzpm,2025-08-21T01:36:36Z,"swing music,jazz,french jazz,ragtime,big band","Parlophone (France)",0.787,0.407,7,-9.332,1,0.0674,0.848,0.72,0.0745,0.931,92.416,4
