Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5GGK2gnm4lIRXDSPb5lDjb,"Care a Little","Laughing On The Outside","Bernadette Carroll",2021-04-16,141613,34,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:09:43Z,"","Numero Group",0.285,0.135,3,-12.873,1,0.0306,0.772,0.000152,0.111,0.306,190.857,3
spotify:track:2xMAFTxwZ0w1twuyMZcYb7,"Maybe","The Best Of The Chantels","The Chantels",2006-01-24,174133,40,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:09:57Z,"doo-wop","Rhino",0.489,0.415,10,-7.466,1,0.0268,0.751,0.000653,0.14,0.357,104.207,4
spotify:track:7pihvWmEVo5J2PcxvP6T4f,"Life Is but a Dream","The Harptones","The Harptones",1955-05-26,163746,45,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:10:09Z,"doo-wop","Universal Digital Enterprises",0.252,0.364,5,-10.566,1,0.0503,0.788,0.00000122,0.0972,0.286,178.501,3
spotify:track:11XR0tRT4g5ov4u8M92wbF,"Earth Angel (Will You Be Mine)","The Best Of The Penguins","The Penguins",1996-01-01,179426,50,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:10:14Z,"doo-wop","Island Mercury",0.524,0.177,8,-12.306,1,0.0302,0.865,0,0.21,0.466,69.125,4
spotify:track:0bhwnn2xqnBUcMZDcXNuII,"Hey Lover","Hey Lover / Stand by Me","The Daughters Of Eve",1966-02-05,144000,71,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:10:54Z,"","USA Records a division of 43 North Broadway, LLC.",0.48,0.482,7,-11.451,0,0.0364,0.257,0.000239,0.345,0.685,128.152,4
spotify:track:0S8ibKBl3tjRmYbZhGHNhG,"Only You (And You Alone)","The Platters Golden Hits","The Platters",1986-01-01,156560,2,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:11:21Z,"doo-wop","Universal (MT)",0.34,0.308,3,-10.518,1,0.0284,0.935,0,0.135,0.336,79.923,4
spotify:track:4BYihPUYW4qMzz6yS5g0jl,"You Belong to Me","Movie Music","Santo & Johnny",2018,125746,36,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:13:18Z,"surf rock,exotica","Canadian American records CAR-195966",0.665,0.234,0,-13.884,1,0.0322,0.866,0.879,0.086,0.557,95.928,3
spotify:track:2L9ISa8cLoUZMMlY1JEkoE,"Bad Boy","Savoy Chart Busters","The Jive Bombers",2003-01-01,172733,34,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:14:18Z,"doo-wop","Savoy",0.373,0.29,5,-11.722,1,0.0413,0.974,0.00000124,0.0903,0.482,217.743,3
spotify:track:0kyAOmAramsZyQcUbtyr8A,"Sugar Song","Sleepwalk","Santo & Johnny",2002,137485,32,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:15:55Z,"surf rock,exotica","Duck Records",0.466,0.308,2,-7.049,1,0.0339,0.682,0.867,0.699,0.523,184.27,3
spotify:track:3HgV08D7OOay214URalpnZ,"Chapel of Dreams","Rmg's Top Doo-Wop Cloud Hits Volume 1","The Dubs",2013-08-27,152600,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:18:15Z,"doo-wop","Resnik Music Group",0.526,0.383,3,-9.159,1,0.0265,0.856,0.00000803,0.0813,0.58,97.264,3
spotify:track:3ZnR40BVG0urQIAYm0FRd1,"It Was Only a Dream","It Was Only a Dream","Thee Sinseers",2019-06-04,148946,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-11-13T08:20:16Z,"retro soul","Colemine Records",0.42,0.196,5,-12.052,1,0.0299,0.823,0.762,0.101,0.381,180.277,3
