Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Bsg6EfrmEx0x0eC8v4vuG,"栞","泣きたくなるほど嬉しい日々に","Creep Hyp",2018-09-26,261546,64,false,v828zh1enlyp9vzjlfaj5rzpm,2022-09-20T20:14:25Z,"j-pop,j-rock","Universal Music LLC",0.505,0.883,6,-3.094,1,0.0481,0.0117,0,0.0578,0.666,100.496,4
spotify:track:1JY9kyntam7eoK3UjyDfHB,"Mi Pequeño Bogatyr","Diecisiete","Da Skate",2017-03-27,203093,11,false,v828zh1enlyp9vzjlfaj5rzpm,2022-09-26T20:52:38Z,"hardcore punk,skate punk,melodic hardcore,punk,hardcore","Vegan Records",0.232,0.765,6,-5.927,0,0.147,0.00101,0.00387,0.113,0.119,196.197,4
spotify:track:64yajM6CxtLghmgB53VeXT,"インフェルノ","インフェルノ","Mrs. GREEN APPLE",2019-07-18,212546,68,false,v828zh1enlyp9vzjlfaj5rzpm,2022-09-26T20:57:07Z,"j-pop,anime,j-rock","Universal Music LLC",0.529,0.93,4,-1.538,1,0.0588,0.00955,0,0.465,0.694,92.463,4
spotify:track:1YrU8ExqF04ygegVoOOoFU,"中庭の少女たち","SHISHAMO 3","SHISHAMO",2016-03-02,310893,50,false,v828zh1enlyp9vzjlfaj5rzpm,2022-09-26T21:00:35Z,"japanese indie,j-rock,j-pop","Universal Music LLC",0.469,0.837,4,-3.841,1,0.0358,0.00227,0,0.174,0.854,174.812,4
spotify:track:1Gqpa08T7eBAvPQj9O9L2Q,"Just Awake","All That We Have Now","Fear and Loathing in Las Vegas",2012-08-08,218573,1,false,v828zh1enlyp9vzjlfaj5rzpm,2022-09-26T21:00:42Z,"anime,j-rock","VAP",0.357,0.98,5,-1.286,0,0.153,0.00143,0,0.196,0.567,191.147,4
spotify:track:1lTzbQ8kjow5ZR9BOE3hX7,"ナニヲナニヲ","Progressive","Mrs. GREEN APPLE",2015-02-18,212493,48,false,v828zh1enlyp9vzjlfaj5rzpm,2022-09-26T21:05:21Z,"j-pop,anime,j-rock","Universal Music LLC",0.278,0.899,1,-1.99,1,0.154,0.0000783,0.00339,0.33,0.574,199.461,4
spotify:track:5V5akuBxKpIlTUPaueNpyy,"chase","chase","batta",2016-07-27,145400,62,false,v828zh1enlyp9vzjlfaj5rzpm,2022-09-26T21:09:10Z,"anime,j-rock","ワーナー・ホーム・ビデオ",0.389,0.988,6,-1.949,0,0.107,0.00241,0.000615,0.346,0.0996,111.975,4
spotify:track:65mHu2GHtlQ8Fy3akl6hgX,"平成ペイン","FOOLs","go!go!vanillas",2017-07-26,236666,48,false,v828zh1enlyp9vzjlfaj5rzpm,2022-09-26T21:11:38Z,"j-rock,j-pop","Getting Better",0.409,0.925,9,-2.038,1,0.057,0.0000402,0,0.0379,0.769,119.933,4
spotify:track:4ApxIZNf5Gq6avVFHIMC2r,"英雄故事 (電影 警察故事 主題曲)","成龍 (華星40系列)","Jackie Chan",2014-07-01,175760,36,false,v828zh1enlyp9vzjlfaj5rzpm,2022-10-08T02:42:21Z,"mandopop,cantopop,c-pop","Capital Artists Music Limited",0.57,0.753,4,-9.769,1,0.0768,0.223,0,0.245,0.525,152.042,4
spotify:track:5ORPYXJKlpHWIdceavSGrL,"遥か彼方","BEST HIT AKG","ASIAN KUNG-FU GENERATION",2012-01-18,243346,66,false,v828zh1enlyp9vzjlfaj5rzpm,2023-01-26T21:36:40Z,"j-rock,anime,j-pop","Sony Music Labels Inc.",0.308,0.955,4,-3.763,1,0.111,0.0000239,0.113,0.166,0.237,174.991,4
spotify:track:0jXK4Xy4LAEKFgRiTr3M7w,"HUNTING FOR YOUR DREAM","ANGEL OF SALVATION","GALNERYUS",2012-10-10,324480,0,false,v828zh1enlyp9vzjlfaj5rzpm,2023-08-17T15:01:54Z,"power metal,anime,j-rock,visual kei,symphonic metal,speed metal","VAP",0.277,0.925,11,-3.532,1,0.0586,0.00000382,0.00000836,0.0877,0.36,178.036,4
spotify:track:4cXlM7IelyGNnaOiROPZqn,"アイデンティティ","アイデンティティ","Kiro Akiyama",2021-01-27,269813,43,false,v828zh1enlyp9vzjlfaj5rzpm,2025-02-02T06:02:57Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.264,0.889,8,-3.494,1,0.0589,0.0000098,0.0396,0.0857,0.492,118.977,4
spotify:track:28DlaPydCnrs8NxYOnUPZ8,"ポラリス","Q.E.D","BLUE ENCOUNT",2020-11-18,224213,63,false,v828zh1enlyp9vzjlfaj5rzpm,2025-06-21T19:10:17Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.534,0.941,8,-2.561,1,0.077,0.00204,0.00615,0.102,0.573,95.008,4
spotify:track:4YycgLIc3P6oQRY5NiOybl,"THE HERO !! ～怒れる拳に火をつけろ～","AREA Z","JAM Project",2016-06-29,229742,2,false,v828zh1enlyp9vzjlfaj5rzpm,2025-06-21T19:12:11Z,"anime,j-rock","Lantis",0.467,0.967,2,-3.528,1,0.116,0.0000468,0,0.195,0.177,130.175,4
