Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6GyFP1nfCDB8lbD2bG0Hq9,"Midnight City","Hurry up We're Dreaming","M83",2011-10-17,243960,79,false,adlbid79oirgbi1v4qhjd80e8,2019-10-26T06:48:48Z,"","M83 Recording Inc",0.507,0.729,11,-5.399,0,0.0393,0.0182,0.0000014,0.0658,0.272,105.013,4
spotify:track:1snNAXmmPXCn0dkF9DaPWw,"You & Me - Flume Remix","Settle (The Remixes)","Disclosure,Eliza Doolittle,Flume",2013-06-11,282812,60,false,adlbid79oirgbi1v4qhjd80e8,2020-04-18T22:39:16Z,"house,future bass","Universal-Island Records Ltd.",0.593,0.392,10,-6.872,0,0.0257,0.382,0.000114,0.131,0.25,75.065,4
spotify:track:3n69hLUdIsSa1WlRmjMZlW,"Breezeblocks","An Awesome Wave","alt-J",2012-09-18,227080,70,false,adlbid79oirgbi1v4qhjd80e8,2019-10-26T10:35:00Z,"indie,indie rock","Canvasback/ATL",0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,4
spotify:track:0LtOwyZoSNZKJWHqjzADpW,"Feels Like We Only Go Backwards","Lonerism","Tame Impala",2012-01-01,192960,75,false,adlbid79oirgbi1v4qhjd80e8,2019-10-26T11:08:11Z,"neo-psychedelic,indie","Modular",0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,4
spotify:track:7mgI1HLrLMlIHL3wzotbyM,"Teenage Blue","Illuminaughty - EP","Dreamgirl",2015-02-14,234968,0,false,adlbid79oirgbi1v4qhjd80e8,2019-10-26T11:49:56Z,"","569291 Records DK2",0.178,0.461,11,-7.479,1,0.0312,0.837,0.0187,0.133,0.135,180.28,3
spotify:track:0PHwCbA310LLIMcSDpQbgF,"Two Weeks","LP1","FKA twigs",2014-08-12,247547,0,true,adlbid79oirgbi1v4qhjd80e8,2020-04-18T22:31:27Z,"art pop,alternative r&b","Young Turks Recordings Ltd",0.48,0.717,0,-6.663,1,0.23,0.0625,0.000685,0.0814,0.335,109.756,4
spotify:track:2QVmiA93GVhWNTWQctyY1K,"Outro","Hurry Up We're Dreaming","M83",2011,247026,65,false,adlbid79oirgbi1v4qhjd80e8,2019-10-26T11:58:53Z,"","Mute",0.226,0.261,2,-11.276,1,0.0339,0.0301,0.0677,0.0628,0.084,108.915,4
spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine","BØRNS",2015-10-16,218106,79,false,adlbid79oirgbi1v4qhjd80e8,2019-10-26T12:09:02Z,"","UMGRI Interscope",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
spotify:track:2pA4ip3VIEVcIa3qE02oAX,"10000 Emerald Pools","Dopamine","BØRNS",2015-10-16,174693,66,false,adlbid79oirgbi1v4qhjd80e8,2019-10-26T12:09:13Z,"","UMGRI Interscope",0.568,0.578,6,-5.589,1,0.0404,0.00694,0.000353,0.099,0.555,139.951,4
spotify:track:2MLHyLy5z5l5YRp7momlgw,"Island In The Sun","Weezer","Weezer",2001-05-15,200306,80,false,adlbid79oirgbi1v4qhjd80e8,2019-10-26T12:09:28Z,"alternative rock","Geffen",0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.622,4
