Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5WNfllr5vx9PWc3e5B4eYi,"Plastic Jesus","Folksongs & Ballads","Tia Blake",1972,153693,55,false,v828zh1enlyp9vzjlfaj5rzpm,2025-03-31T23:39:49Z,"folk","Caravage",0.58,0.167,10,-19.479,1,0.0304,0.962,0.0723,0.12,0.747,96.242,4
spotify:track:0DIxVvqfuozsXLS9Xf75AO,"Wanton Way of Loving","This Time Last Night","Esther Rose",2017-06-16,206021,47,false,v828zh1enlyp9vzjlfaj5rzpm,2025-03-31T23:42:41Z,"americana,alt country","Mashed Potato Records",0.481,0.422,8,-8.151,1,0.0266,0.961,0.00385,0.0999,0.807,163.922,4
spotify:track:0WAEGVylZjbe2mQ6Or6HxY,"Cannock Chase","Crying Laughing Loving Lying","Labi Siffre",1972,246866,63,false,v828zh1enlyp9vzjlfaj5rzpm,2025-03-31T23:43:05Z,"","Edsel",0.381,0.484,6,-11.858,0,0.0334,0.861,0.931,0.129,0.492,123.7,4
spotify:track:31xqbaSu7ozgcK8desDuMK,"Do I Ever Cross Your Mind","Chet Atkins - The Master And His Music","Chet Atkins",2001-02-07,158853,51,false,v828zh1enlyp9vzjlfaj5rzpm,2025-03-31T23:44:14Z,"","RCA Records Label Nashville",0.661,0.265,2,-14.42,1,0.0465,0.934,0.00707,0.12,0.831,121.058,4
spotify:track:65aEANAvV7oZ3HKCKpZ32B,"A Message to Pretty","Calm Before...","The Rising Storm",2018-01-12,208826,53,false,v828zh1enlyp9vzjlfaj5rzpm,2025-03-31T23:46:20Z,"psychedelic rock","Sundazed Music / Modern Harmonic",0.542,0.225,7,-17.297,1,0.0283,0.889,0.489,0.101,0.564,100.256,4
spotify:track:2Ll9VtmKPqyA09NnNEO6r7,"Walkin'","Walkin' b/w It's Gone","Patti Whipp",1969-01-01,154649,38,false,v828zh1enlyp9vzjlfaj5rzpm,2025-03-31T23:48:37Z,"","Numero Group",0.457,0.229,4,-18.219,1,0.0364,0.706,0.586,0.11,0.634,136.018,4
spotify:track:4B8bkKX9g0FA9wQaIa7tHt,"In the Pines","Bowling Green and Other Folk Songs from the Southern Mountains","The Kossoy Sisters",1956-08-19,199000,36,false,v828zh1enlyp9vzjlfaj5rzpm,2025-03-31T23:50:09Z,"bluegrass,traditional folk,folk,southern gothic","Tradition Records",0.422,0.153,0,-10.846,1,0.0558,0.976,0.00000272,0.132,0.149,210.192,3
spotify:track:5zIUMC17E2DrF0iNEJG0bz,"The Lone Prairie","The Lone Prairie","Sam Shackleton",2023-03-07,165602,55,false,v828zh1enlyp9vzjlfaj5rzpm,2025-03-31T23:51:08Z,"traditional folk,folk","Sam Shackleton",0.697,0.257,10,-10.539,1,0.0493,0.99,0.22,0.103,0.66,181.348,4
spotify:track:6ZL9Wlq3ChUXY2nWQRjzrX,"The Moonlight Song","The Dawg Years (1975-1978)","Blaze Foley",2010,160760,42,false,v828zh1enlyp9vzjlfaj5rzpm,2025-03-31T23:55:14Z,"folk,outlaw country,americana,singer-songwriter,alt country","Fat Possum",0.509,0.17,0,-15.452,1,0.0333,0.985,0.619,0.128,0.346,152.314,3
spotify:track:3ORn0rgu27z7hlnNgvYWse,"Don't Think Twice It's All Right","The First 10 Years","Joan Baez",1970,189800,56,false,v828zh1enlyp9vzjlfaj5rzpm,2025-03-31T23:57:40Z,"folk,folk rock,singer-songwriter","Vanguard Records",0.564,0.0561,2,-22.377,1,0.0325,0.89,0.000885,0.696,0.466,105.159,4
