Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5UqTWnG7YZAbj1SYMvnGsU,"Scarlett","Can You Afford To Lose Me?","Holly Humberstone",2022-10-24,196226,54,false,v828zh1enlyp9vzjlfaj5rzpm,2022-12-12T21:21:06Z,"","Polydor Records",0.618,0.615,2,-8.71,1,0.0724,0.172,0.0000111,0.0821,0.437,143.09,4
spotify:track:7Ktbhp8YaAxKYiYbwjg9rg,"I Would Die 4 U","I Would Die 4 U","Holly Humberstone",2022-02-25,140566,46,false,v828zh1enlyp9vzjlfaj5rzpm,2022-12-12T21:22:50Z,"","Polydor Records",0.668,0.452,2,-12.612,1,0.0772,0.839,0.00000218,0.127,0.148,126.138,4
spotify:track:2F9DCIJ7ZXHhNkiIlIIOkw,"All I Ever Asked","All I Ever Asked","Rachel Chinouriri",2022-03-08,215384,57,false,v828zh1enlyp9vzjlfaj5rzpm,2022-12-12T21:24:24Z,"","Parlophone UK",0.913,0.459,5,-7.528,1,0.0446,0.469,0.000889,0.0891,0.848,114.996,4
spotify:track:7Ck7GSPoBIDwNwcas05Sz1,"Will We Ever Get This Right","Will We Ever Get This Right","flowerovlove",2022-03-31,161157,28,false,v828zh1enlyp9vzjlfaj5rzpm,2022-12-12T21:28:27Z,"","flowerovlove / FAE",0.797,0.615,2,-6.062,1,0.0322,0.128,0.000467,0.237,0.508,120.985,4
spotify:track:3SlzwAZ8BH5xZvfQjpSChY,"@elio.irl","Can You Hear Me Now?","ELIO",2021-01-22,234361,1,false,v828zh1enlyp9vzjlfaj5rzpm,2022-12-13T03:30:45Z,"","ELIO",0.706,0.468,4,-7.326,1,0.0253,0.13,0.00135,0.102,0.768,105.015,4
spotify:track:0y60itmpH0aPKsFiGxmtnh,"Wait a Minute!","ARDIPITHECUS","WILLOW",2015-01-11,196520,78,false,v828zh1enlyp9vzjlfaj5rzpm,2022-12-13T03:31:37Z,"","Roc Nation W Smith P&D",0.764,0.705,3,-5.279,0,0.0278,0.0371,0.0000194,0.0943,0.672,101.003,4
spotify:track:07MDkzWARZaLEdKxo6yArG,"Meet Me At Our Spot","THE ANXIETY","THE ANXIETY,WILLOW,Tyler Cole",2020-03-13,162680,73,true,v828zh1enlyp9vzjlfaj5rzpm,2022-12-13T03:31:53Z,"","MSFTSMusic / Roc Nation Records, LLC",0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4
spotify:track:3OHfY25tqY28d16oZczHc8,"Kill Bill","SOS","SZA",2022-12-09,153946,77,false,v828zh1enlyp9vzjlfaj5rzpm,2022-12-13T03:33:49Z,"r&b","Top Dawg Entertainment/RCA Records",0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,4
spotify:track:3qs1ozCx271UQqmzC7oNuj,"The King","The King","Sarah Kinsley",2021-06-04,206373,56,false,v828zh1enlyp9vzjlfaj5rzpm,2022-12-13T23:39:38Z,"","Everybody's Records",0.632,0.668,6,-6.196,1,0.0514,0.078,0.111,0.0863,0.716,108.997,4
spotify:track:3PphHkiVdhRaO1EWH6ZWqZ,"Yards / Gardens","Look at it in the Light","Kate Bollinger",2022-04-22,141743,50,false,v828zh1enlyp9vzjlfaj5rzpm,2022-12-13T23:43:19Z,"","Ghostly International",0.8,0.544,10,-7.52,1,0.032,0.268,0.617,0.11,0.745,107.984,4
